"id","name","code","description","max_tier","type","duration_type","duration","parameter","trigger_creation_id","creation_id","available_gun_type","ui_control"
"135","chess_buff-10000135","FlightChessBuff_22","chess_buff-20000135","5","130","1","1","1","0","4","0","0"
"136","chess_buff-10000136","FlightChessBuff_24","chess_buff-20000136","1","132","2","1","5","0","4","0","0"
"137","chess_buff-10000137","FlightChessBuff_23","chess_buff-20000137","1","131","1","-1","1","0","4","0","0"
"138","chess_buff-10000138","FlightChessBuff_24","chess_buff-20000138","1","133","1","1","3","0","4","0","0"
"139","chess_buff-10000139","FlightChessBuff_25","chess_buff-20000139","1","135","1","1","3","0","4","0","0"
"140","chess_buff-10000140","","chess_buff-20000140","1","400","1","-1","0","0","0","0","0"
"141","chess_buff-10000141","","chess_buff-20000141","99","400","1","-1","0","0","0","0","0"
"142","chess_buff-10000142","FlightChessBuff_1","chess_buff-20000142","99","101","1","-1","1","0","7","0","0"
"143","chess_buff-10000143","","chess_buff-20000143","1","400","1","-1","0","0","0","0","0"
"144","chess_buff-10000144","","chess_buff-20000144","1","400","1","-1","0","0","0","0","0"
"145","chess_buff-10000145","FlightChessBuff_24","chess_buff-20000145","1","133","1","1","4","0","4","0","0"
"146","chess_buff-10000146","FlightChessBuff_25","chess_buff-20000146","1","135","1","1","4","0","4","0","0"
"147","chess_buff-10000147","FlightChessBuff_22","chess_buff-20000147","1","130","1","-1","1","0","4","0","0"
"148","chess_buff-10000148","","chess_buff-20000148","1","400","1","1","0","0","0","0","0"
"149","chess_buff-10000149","","chess_buff-20000149","1","400","1","-1","0","0","0","0","0"
"150","chess_buff-10000150","FlightChessBuff_28","chess_buff-20000150","1","120","1","-1","*500104","0","5","0","0"
"151","chess_buff-10000151","FlightChessBuff_28","chess_buff-20000151","1","120","1","-1","*500105","0","5","0","0"
"152","chess_buff-10000152","","chess_buff-20000152","1","400","1","-1","0","0","0","0","0"
"153","chess_buff-10000153","","chess_buff-20000153","99","104","1","-1","1","0","0","0","0"
"154","chess_buff-10000154","FlightChessBuff_3","chess_buff-20000154","99","102","1","-1","1","0","8","0","0"
"155","chess_buff-10000155","","chess_buff-20000155","99","104","1","-1","2","0","0","0","0"
"156","chess_buff-10000156","FlightChessBuff_3","chess_buff-20000156","99","102","1","-1","2","0","8","0","0"
"157","chess_buff-10000157","","chess_buff-20000157","1","400","1","-1","0","0","0","0","0"
"158","chess_buff-10000158","","chess_buff-20000158","1","400","1","-1","0","0","0","0","0"
"159","chess_buff-10000159","FlightChessBuff_3","chess_buff-20000159","99","102","1","-1","1","0","4","0","0"
"160","chess_buff-10000160","FlightChessBuff_8","chess_buff-20000160","99","107","1","-1","2","0","4","0","0"
"161","chess_buff-10000161","FlightChessBuff_28","chess_buff-20000161","1","120","1","-1","*500101","0","5","0","0"
"162","chess_buff-10000162","FlightChessBuff_5","chess_buff-20000162","99","103","1","-1","2","0","9","0","0"
"163","chess_buff-10000163","FlightChessBuff_1","chess_buff-20000163","99","101","1","-1","2","0","7","0","0"
"164","chess_buff-10000164","","chess_buff-20000164","1","400","1","-1","0","0","0","0","0"
"165","chess_buff-10000165","FlightChessBuff_28","chess_buff-20000165","1","120","1","-1","*500107","0","5","0","0"
"166","chess_buff-10000166","","chess_buff-20000166","1","400","1","-1","0","0","0","0","0"
"167","chess_buff-10000167","","chess_buff-20000167","2","400","1","1","0","0","0","0","0"
"168","chess_buff-10000168","FlightChessBuff_4","chess_buff-20000168","99","102","1","-1","-1","0","13","0","0"
"169","chess_buff-10000169","FlightChessBuff_2","chess_buff-20000169","99","101","1","-1","-1","0","13","0","0"
"170","chess_buff-10000170","FlightChessBuff_6","chess_buff-20000170","99","103","1","-1","-1","0","13","0","0"
"171","chess_buff-10000171","FlightChessBuff_1","chess_buff-20000171","99","101","1","-1","2","0","7","0","0"
"172","chess_buff-10000172","FlightChessBuff_3","chess_buff-20000172","99","102","1","-1","2","0","8","0","0"
"173","chess_buff-10000173","FlightChessBuff_9","chess_buff-20000173","99","107","1","-1","-1","0","13","0","0"
"174","chess_buff-10000174","","chess_buff-20000174","6","400","1","-1","0","0","0","0","0"
"175","chess_buff-10000175","","chess_buff-20000175","1","400","1","1","0","0","0","0","0"
"176","chess_buff-10000176","","chess_buff-20000176","8","400","1","-1","0","0","0","0","0"
"177","chess_buff-10000177","","chess_buff-20000177","10","400","1","1","0","0","0","0","0"
"178","chess_buff-10000178","","chess_buff-20000178","5","400","1","-1","0","0","0","0","2"
"179","chess_buff-10000179","FlightChessBuff_17","chess_buff-20000179","1","122","1","-1","-1","0","5","0","0"
"180","chess_buff-10000180","FlightChessBuff_17","chess_buff-20000180","1","122","1","-1","-2","0","5","0","0"
"181","chess_buff-10000181","","chess_buff-20000181","6","400","1","-1","0","0","0","0","0"
"182","chess_buff-10000182","FlightChessBuff_15","chess_buff-20000182","1","118","1","-1","2","0","5","0","0"
"183","chess_buff-10000183","FlightChessBuff_28","chess_buff-20000183","1","108","1","-1","*500108","0","5","0","0"
"194","chess_buff-10000194","","chess_buff-20000194","5","400","1","-1","0","0","0","0","3"
"195","chess_buff-10000195","","chess_buff-20000195","10","400","1","-1","0","0","0","0","0"
"196","chess_buff-10000196","","chess_buff-20000196","1","400","1","1","0","0","0","0","0"
"197","chess_buff-10000197","","chess_buff-20000197","99","400","1","-1","0","0","0","0","0"
"198","chess_buff-10000198","","chess_buff-20000198","1","400","1","-1","0","0","0","0","0"
"199","chess_buff-10000199","FlightChessBuff_5","chess_buff-20000199","99","103","1","-1","1","0","9","0","0"
"200","chess_buff-10000200","","chess_buff-20000200","1","400","1","-1","0","0","0","0","0"
"201","chess_buff-10000201","","chess_buff-20000201","1","400","1","-1","0","0","0","0","0"
"202","chess_buff-10000202","FlightChessBuff_26","chess_buff-20000202","99","125","1","-1","1","0","5","0","0"
"203","chess_buff-10000203","","chess_buff-20000203","1","400","1","-1","0","0","0","0","0"
"204","chess_buff-10000204","","chess_buff-20000204","1","400","1","-1","0","0","0","0","0"
"205","chess_buff-10000205","","chess_buff-20000205","1","400","1","-1","0","0","0","0","0"
"206","chess_buff-10000206","","chess_buff-20000206","1","400","1","-1","0","0","0","0","0"
"207","chess_buff-10000207","FlightChessBuff_22","chess_buff-20000207","1","130","2","1","1","0","4","0","0"
"208","chess_buff-10000208","","chess_buff-20000208","1","108","2","1","*500109","0","0","0","0"
"209","chess_buff-10000209","","chess_buff-20000209","1","400","1","1","0","0","0","0","0"
"210","chess_buff-10000210","","chess_buff-20000210","1","108","2","1","0","0","0","0","0"
"211","chess_buff-10000211","","chess_buff-20000211","1","104","1","-1","2","0","0","0","0"
"212","chess_buff-10000212","","chess_buff-20000212","99","104","1","-1","2","0","0","0","0"
"213","chess_buff-10000213","","chess_buff-20000213","1","400","1","-1","0","0","0","0","0"
"214","chess_buff-10000214","","chess_buff-20000214","1","102","2","1","*500110","0","0","0","0"
"215","chess_buff-10000215","FlightChessBuff_9","chess_buff-20000215","99","107","1","-1","-2","0","13","0","0"
"216","chess_buff-10000216","FlightChessBuff_1","chess_buff-20000216","99","101","1","1","2","0","7","0","0"
"217","chess_buff-10000217","FlightChessBuff_3","chess_buff-20000217","99","102","1","1","2","0","8","0","0"
"218","chess_buff-10000218","FlightChessBuff_5","chess_buff-20000218","99","103","1","1","1","0","9","0","0"
"219","chess_buff-10000219","FlightChessBuff_19","chess_buff-20000219","99","124","1","1","1","0","5","0","0"
"220","chess_buff-10000220","","chess_buff-20000220","1","102","2","1","*500111","0","0","0","0"
"221","chess_buff-10000221","","chess_buff-20000221","1","400","1","-1","0","0","0","0","0"
"222","chess_buff-10000222","FlightChessBuff_10","chess_buff-20000222","1","110","1","1","1","0","0","0","0"
"223","chess_buff-10000223","FlightChessBuff_8","chess_buff-20000223","99","107","1","-1","2","0","6","0","0"
"224","chess_buff-10000224","FlightChessBuff_5","chess_buff-20000224","99","103","1","-1","2","0","9","0","0"
"225","chess_buff-10000225","","chess_buff-20000225","99","104","1","-1","2","0","0","0","0"
"226","chess_buff-10000226","FlightChessBuff_26","chess_buff-20000226","99","125","1","-1","2","0","5","0","0"
"227","chess_buff-10000227","","chess_buff-20000227","1","400","1","-1","0","0","0","0","0"
"228","chess_buff-10000228","FlightChessBuff_22","chess_buff-20000228","1","130","1","1","1","0","4","0","0"
"229","chess_buff-10000229","","chess_buff-20000229","1","400","1","-1","0","0","0","0","0"
"230","chess_buff-10000230","","chess_buff-20000230","1","400","1","-1","0","0","0","0","0"
"231","chess_buff-10000231","","chess_buff-20000231","1","400","1","-1","0","0","0","0","0"
"232","chess_buff-10000232","FlightChessBuff_24","chess_buff-20000232","1","132","2","1","3","0","4","0","0"
"233","chess_buff-10000233","FlightChessBuff_3","chess_buff-20000233","99","102","1","1","4","0","8","0","0"
"234","chess_buff-10000234","FlightChessBuff_3","chess_buff-20000234","1","102","1","-1","1","0","8","0","0"
"235","chess_buff-10000235","FlightChessBuff_3","chess_buff-20000235","1","102","1","-1","2","0","8","0","0"
"236","chess_buff-10000236","FlightChessBuff_3","chess_buff-20000236","1","102","1","1","2","0","8","0","0"
"237","chess_buff-10000237","FlightChessBuff_3","chess_buff-20000237","1","102","1","1","4","0","8","0","0"
"238","chess_buff-10000238","FlightChessBuff_3","chess_buff-20000238","1","102","1","1","8","0","8","0","0"
"239","chess_buff-10000239","FlightChessBuff_3","chess_buff-20000239","1","102","1","1","16","0","8","0","0"
"240","chess_buff-10000240","FlightChessBuff_3","chess_buff-20000240","1","102","1","1","32","0","8","0","0"
"241","chess_buff-10000241","","chess_buff-20000241","4","400","1","-1","0","0","0","0","0"
"242","chess_buff-10000242","FlightChessBuff_25","chess_buff-20000242","1","135","2","1","*500112","0","4","0","0"
"243","chess_buff-10000243","FlightChessBuff_25","chess_buff-20000243","1","135","2","1","*500113","0","4","0","0"
"244","chess_buff-10000244","","chess_buff-20000244","1","400","1","1","0","0","0","0","0"
"246","chess_buff-10000246","FlightChessBuff_30","chess_buff-20000246","1","108","2","1","*500114","0","0","0","0"
"247","chess_buff-10000247","FlightChessBuff_29","chess_buff-20000247","1","120","2","1","*500115","0","5","0","0"
"248","chess_buff-10000248","","chess_buff-20000248","1","400","1","-1","0","0","0","0","0"
"249","chess_buff-10000249","","chess_buff-20000249","1","400","1","-1","0","0","0","0","0"
"250","chess_buff-10000250","","chess_buff-20000250","1","400","1","-1","0","0","0","0","0"
"251","chess_buff-10000251","","chess_buff-20000251","1","400","1","-1","0","0","0","0","0"
"252","chess_buff-10000252","","chess_buff-20000252","1","400","1","1","0","0","0","0","0"
"253","chess_buff-10000253","","chess_buff-20000253","1","400","1","-1","0","0","0","0","0"
"254","chess_buff-10000254","FlightChessBuff_26","chess_buff-20000254","1","125","1","-1","4","0","5","0","0"
"255","chess_buff-10000255","FlightChessBuff_8","chess_buff-20000255","99","107","1","-1","2","0","6","0","0"
"256","chess_buff-10000256","FlightChessBuff_4","chess_buff-20000256","99","102","1","-1","-1","0","13","0","0"
"257","chess_buff-10000257","FlightChessBuff_8","chess_buff-20000257","99","107","1","-1","4","0","6","0","0"
"258","chess_buff-10000258","FlightChessBuff_1","chess_buff-20000258","6","101","2","1","1","0","7","0","0"
"259","chess_buff-10000259","","chess_buff-20000259","1","400","1","1","0","0","0","0","0"
"260","chess_buff-10000260","","chess_buff-20000260","99","400","1","-1","0","0","0","0","0"
"261","chess_buff-10000261","","chess_buff-20000261","1","121","2","1","-1","0","0","0","0"
"262","chess_buff-10000262","","chess_buff-20000262","1","121","2","1","-2","0","0","0","0"
"263","chess_buff-10000263","FlightChessBuff_1","chess_buff-20000263","99","101","1","-1","3","0","7","0","0"
"264","chess_buff-10000264","","chess_buff-20000264","99","400","1","-1","0","0","0","0","0"
"265","chess_buff-10000265","FlightChessBuff_5","chess_buff-20000265","99","103","2","1","1","0","9","0","0"
"266","chess_buff-10000266","","chess_buff-20000266","99","400","1","-1","0","0","0","0","0"
"267","chess_buff-10000267","","chess_buff-20000267","1","121","2","1","-1","0","0","0","0"
"268","chess_buff-10000268","FlightChessBuff_28","chess_buff-20000268","1","120","1","-1","*500116","0","5","0","0"
"269","chess_buff-10000269","FlightChessBuff_28","chess_buff-20000269","1","108","1","-1","*500117","0","0","0","0"
"270","chess_buff-10000270","FlightChessBuff_26","chess_buff-20000270","1","125","1","-1","2","0","5","0","0"
"271","chess_buff-10000271","","chess_buff-20000271","99","400","1","-1","0","0","0","0","0"
"272","chess_buff-10000272","FlightChessBuff_1","chess_buff-20000272","99","101","1","1","1","0","7","0","0"
"273","chess_buff-10000273","FlightChessBuff_3","chess_buff-20000273","99","102","1","1","1","0","8","0","0"
"274","chess_buff-10000274","FlightChessBuff_8","chess_buff-20000274","99","107","1","1","1","0","6","0","0"
"275","chess_buff-10000275","FlightChessBuff_5","chess_buff-20000275","99","103","1","1","1","0","9","0","0"
"276","chess_buff-10000276","","chess_buff-20000276","99","104","1","1","1","0","0","0","0"
"277","chess_buff-10000277","FlightChessBuff_26","chess_buff-20000277","99","125","1","1","1","0","5","0","0"
"278","chess_buff-10000278","","chess_buff-20000278","1","400","1","1","0","0","0","0","0"
"279","chess_buff-10000279","","chess_buff-20000279","1","400","1","1","0","0","0","0","0"
"280","chess_buff-10000280","","chess_buff-20000280","1","400","1","1","0","0","0","0","0"
"281","chess_buff-10000281","","chess_buff-20000281","1","400","1","1","0","0","0","0","0"
"282","chess_buff-10000282","","chess_buff-20000282","1","400","1","1","0","0","0","0","0"
"283","chess_buff-10000283","","chess_buff-20000283","1","104","1","-1","4","0","0","0","0"
"284","chess_buff-10000284","","chess_buff-20000284","1","400","1","-1","0","0","0","0","0"
"285","chess_buff-10000285","","chess_buff-20000285","1","400","1","1","0","0","0","0","0"
"286","chess_buff-10000286","","chess_buff-20000286","1","121","2","1","-2","0","0","0","0"
"287","chess_buff-10000287","FlightChessBuff_3","chess_buff-20000287","1","102","1","-1","2","0","8","0","0"
"288","chess_buff-10000288","","chess_buff-20000288","10","400","1","1","0","0","0","0","0"
