id,name,en_name,code,introduce,dialogue,extra,en_introduce,character,type,rank,develop_duration,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,retiremp,retireammo,retiremre,retirepart,ratio_life,ratio_pow,ratio_rate,ratio_speed,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,special,eat_ratio,ratio_range,skill1,skill2,normal_attack,passive_skill,dynamic_passive_skill,effect_grid_center,effect_guntype,effect_grid_pos,effect_grid_effect,max_equip,type_equip1,type_equip2,type_equip3,type_equip4,ai,is_additional,launch_time,obtain_ids,rank_display,prize_id,mindupdate_consume,explore_tag,gun_detail_bg,org_id,related_story_id,show_damage_skin,gun_tag_ids,atk_speed_max,ratio_rec,recommended_team_ids,item_id
11,gun-10000011,P08,P08,"类型            半自动手枪
总重            871克
全长            222毫米
枪管长度        98毫米–203毫米
弹药            7.65毫米帕拉贝伦弹
                9毫米鲁格弹
                .45 ACP
枪机种类        枪管短行程后座作用，肘节式起落闭锁
枪口初速        350 - 400米/秒
有效射程        50米
供弹方式        8发弹匣、32发弹鼓
瞄准具型式      机械瞄具",鲁格P08手枪|虽然不是很耀眼|但是今后|承蒙您的关照了。,gun-40000011,gun-50000011,gun-60000011,1,3,1800,10,10,5,5,2,2,2,0,105,105,100,100,85,100,0,15,20,0,130,100,100610,0,300101,999999,,13,0,12|14|18,1|7;3|35,0,1;4|13|16|18,2;6,3;10,,11,0,2016-05-20 00:00:00,1|3,3,0,,27|55,nation_German,10303,100011,|0|,10102|106,120,105,2|3|4|7|8,
12,gun-10000012,C96,C96,"类型            半自动手枪或全自动手枪
总重            空枪：1.130公斤
全长            843毫米
枪管长度        288 毫米
弹药            7.63×25mm毛瑟弹
                9×19mm鲁格弹
                .45 ACP
                9×25mm毛瑟弹
枪机种类        枪管短行程后座作用/单动
枪口初速        425 米/秒
有效射程        100—200米
供弹方式        6、10、20发弹夹或弹匣；40发弹匣
瞄准具型式      V型照门上刻度最大可调至1000米",这么说来|您就是我的指挥官啦|对吗？,gun-40000012,gun-50000012,gun-60000012,1,3,1800,10,10,5,5,2,2,2,0,125,115,120,100,95,95,0,15,20,0,100,135,102504,0,300101,999999,,13,0,7|9|18,3|32;4|15,0,1;4|13|16|18,2;6,3;10|20,,12,0,2016-05-20 00:00:00,1|3,3,0,10:15|45:200;10:30|45:800;10:45|45:1600,55|57|67,nation_German,10302,100012,|0|8405|,104|106,120,125,7,
13,gun-10000013,Type 92,92type,"类型            半自动手枪
总重            空枪：760克
全长            190毫米
枪管长度        111毫米
弹药            DAP92式9毫米普通弹
                9毫米鲁格弹
枪机种类        后座作用
                闭膛待机
                枪管旋转闭锁
                双动式
枪口初速        350—370 米/秒
有效射程        50米
供弹方式        10／15发弹匣
瞄准具型式      固定准星，缺口式照门",92式|报到！那么|我该去哪里？,gun-40000013,gun-50000013,gun-60000013,1,3,2100,10,10,5,5,2,2,2,0,95,115,115,100,100,115,0,15,20,0,110,100,102002,0,300101,200427|999999|756161,,13,0,7|8|9|12|14|17|18|19,3|25;4|20,0,1;4|13|16,2;6|19,3;10,,13,0,2016-05-20 00:00:00,1|3,3,0,10:15|45:200;10:30|45:800;10:45|45:1600,37|38|48|53,nation_China,10704,100013,|5507|,10101,120,95,2|3|4|6|8,
14,gun-10000014,357,357,"类型            左轮手枪
总重            1.15 公斤
全长            212 毫米
枪管长度        98 毫米
弹药            9 毫米
枪机种类        单动式、双动式
枪口初速        220米/秒
有效射程        25米
供弹方式        6发转轮式弹巢
瞄准具型式      前后准星",嘻嘻♪今后承蒙您的照顾啦|指挥官！,gun-40000014,gun-50000014,gun-60000014,1,3,2400,10,10,5,5,2,2,2,0,120,120,95,100,90,90,0,15,20,0,120,90,100802,0,300115,999999,,13,0,7|9|17|19,2|10;4|10,0,1;4|13|16,2;6|19,3;10,,14,0,2016-05-20 00:00:00,1|3,3,0,,5|31,,10303,0,|0|8107|11206|,10101,120,120,2|3|4|6|8,
15,gun-10000015,Glock 17,Glock17,"类型            半自动手枪
总重            625 克
全长            202毫米
枪管长度        114毫米
弹药            9×19毫米鲁格弹
枪机种类        枪管短行程后座作用
                自由枪机
                安全机动
枪口初速        370 米／秒
有效射程        50 米
供弹方式        10／17／19／31／33发原厂弹匣
                100发C-Mag弹鼓
瞄准具型式      机械瞄具：前方准星及后方缺口式照门（两者皆可更换）",格洛克17式，报到。BOSS，看您的嘴角，明明应该更开心一点吧？,gun-40000015,gun-50000015,gun-60000015,1,3,2700,10,10,5,5,2,2,2,0,95,110,115,100,125,125,0,15,20,0,110,100,101302,0,300101,999999,,13,0,7|9|17|18|19,3|32;4|15,0,1;4|13|16|18,2;6,3;10,,15,0,2016-05-20 00:00:00,3,3,0,,29|46,,10802,100015,|0|,10102,120,95,2|3|4|8,
16,gun-10000016,M1928A1,M1928A1,"类型            冲锋枪
总重            空枪：4.9公斤
全长            852毫米
枪管长度        269毫米（10.59英寸）
弹药            .45 ACP（11.43 x 23毫米）、其他
枪机种类        延迟闭锁系统（早期型），气体反冲式
发射速率        600-800发/分钟
供弹方式        20或30发弹匣；
                50或100发弹鼓",你就是新BOSS吗？芝加哥打字机|请多指教了。,gun-40000016,gun-50000016,gun-60000016,2,5,9000,25,20,15,10,5,5,2,0,135,120,105,100,100,90,0,15,5,0,110,85,116203,0,300102,200421|1004804|1004805|1004806|1004807,,13,4,7|9,1|12;4|15,0,3;9|10|20,2;6,1;1|2|3|4|13|18,,16,0,2016-05-20 00:00:00,1|2,5,0,,19|34|41|50,nation_US,102,100016,|0|5703|1501|10703|,120,135,150,1|2|3|6|7,
17,gun-10000017,M3,M3,"类型            冲锋枪
总重            3.63公斤
全长            760毫米枪托伸展
                579.1毫米枪托收缩
枪管长度        203.2毫米
弹药            .45自动手枪子弹（.45 ACP）
                9毫米鲁格弹
枪机种类        提前击发底火式反冲作用及开放式枪机
发射速率        350–450发/分钟
枪口初速        280 米／秒
有效射程        照门和准星设定为100码
供弹方式        30发弹匣
瞄准具型式      固定觇孔式照门和刀片式准星",您、您好|长官|我是……M3冲锋枪……,gun-40000017,gun-50000017,gun-60000017,2,2,5400,25,20,15,10,5,5,2,0,105,110,85,100,105,105,0,15,5,0,115,105,102101,0,300102,900156|999999,,13,4,8,3|40;4|30,0,3;9|10,2;6,1;1|2|3|4|13|18,,17,0,2016-05-20 00:00:00,1|3,2,0,,9|12,nation_US,10303,100017,|0|,121|105,120,105,1|2|3|6|7,
18,gun-10000018,MAC-10,MAC10,"类型            冲锋枪/冲锋手枪
总重            没有加装消声器：
                  空枪：2.84 公斤
                加装消声器：
                  空枪：3.385 公斤
全长            没有加装消声器：
                  没有枪托：269 毫米
                  枪托缩折：295 毫米
                  枪托伸展：548 毫米
                加装消声器：
                  枪托缩折：545 毫米
                  枪托伸展：798 毫米
枪管长度        146 毫米
弹药            .45 ACP
                9×19毫米鲁格弹
枪机种类        反冲作用
                开放式枪机
                包络式枪机
发射速率        .45 ACP：1|145 发／分钟
                9×19毫米鲁格弹：1|090 发／分钟
枪口初速        .45 ACP：280 米／秒
                9×19毫米鲁格弹：366 米／秒
有效射程        .45 ACP：50 米
                9×19毫米鲁格弹：80 米
供弹方式        .45 ACP：30 发可拆卸式弹匣
                9×19毫米鲁格弹：32 发可拆卸式弹匣
瞄准具型式       机械瞄具：固定觇孔式照门和柱状准星",哼哼♪我的指挥官|您想干掉谁呢？英格拉姆乐意效劳。,gun-40000018,gun-50000018,gun-60000018,2,3,7200,25,20,15,10,5,5,2,0,100,105,115,100,90,110,0,15,5,0,110,80,102402,0,300102,900156|999999,,13,4,7|8|9,1|12,0,3;9|10,2;6,1;1|2|3|4|13|18,,18,0,2016-05-20 00:00:00,1|3|2,3,0,,33|52,nation_US,10202,100018,|0|,10102|105,120,100,1|2|3|6|7,
19,gun-10000019,FMG-9,FMG9,"类型            冲锋枪
总重            0.5公斤
全长            503毫米（枪身打开时）
                262毫米（枪身折叠时）
枪管长度        168毫米
弹药            9毫米鲁格弹
枪机种类        反冲作用
枪口初速        380 米／秒
供弹方式        32发弹匣",FMG9，申请加入。BOSS，这就是我的真面目没错，握手时请放心吧。,gun-40000019,gun-50000019,gun-60000019,2,3,7800,25,20,15,10,5,5,2,0,80,95,115,100,105,140,0,15,5,0,115,100,100202,0,300102,999999,,13,4,7|9,1|10;4|12,0,3;9|10,2;6,1;1|2|3|4|13,,19,0,2016-05-20 00:00:00,3,3,0,,29,nation_US,10402,0,|0|,108,120,80,1|2|3|6|7,
20,gun-10000020,Vector,Vector,"类型            冲锋枪
总重            空枪：2.72公斤
全长            枪托折叠：406.4毫米
                枪托伸展：617.22毫米
枪管长度        139.7毫米
弹药            9×19毫米鲁格弹
                .45 ACP（.45自动手枪子弹）
枪机种类        向量延迟反冲作用/闭锁式枪机
发射速率        1|100—1|200发／分钟
枪口初速        270 米／秒
有效射程        100米
供弹方式        9×19毫米鲁格弹：
                   10、17、19、31、33发原厂弹匣
                   100发C-Mag弹鼓
                .45 ACP：
                   10、13发格洛克21可拆卸式弹匣
                   可选用25发“MagEx 25+”延长型可拆卸式弹匣（需装上加长弹匣附件）
                   28发可选用“MagEx G28”弹匣（需装上加长弹匣附件，已停产）
                   30发可选用“MagEx G30”弹匣（需装上加长弹匣附件，已停产）
瞄准具型式       机匣顶部的MIL-STD-1913战术导轨上安装的机械瞄具、光学瞄准镜、红点镜／反射式瞄准镜、全息瞄准镜、夜视镜和／或热成像仪（可拆卸）",哦？新的长官吗？嗯……总之|好好相处吧。,gun-40000020,gun-50000020,gun-60000020,2,5,9300,25,20,15,10,5,5,2,0,105,115,130,100,90,120,0,15,5,0,105,100,102304,0,300102,200486|900156,,13,4,8,2|25,0,3;9|10,2;6|19,1;1|2|3|4|13,,20,0,2016-05-20 00:00:00,1|3|2,5,0,,9|10|18|23|35|69,nation_US,10202,100020,|0|2|549|1901|6701|10402|,121|105,135,105,1|2|3|6|7,
21,gun-10000021,PPSh-41,PPsh41,"类型            冲锋枪
总重            空枪：3.63公斤
全长            843毫米
枪管长度        269毫米
弹药            7.62×25毫米托卡列夫手枪弹
枪机种类        反冲作用/开放式枪机
发射速率        900—1|000发／分钟
枪口初速        488 米／秒
有效射程        150—250米
最大射程        200—250米
供弹方式        35发可拆卸式弹匣|71发可拆卸式弹鼓
瞄准具型式      固定金属缺口式照门和准星",指挥官|初次见面！诶？我的身体？不重啊|一点都不重呢！,gun-40000021,gun-50000021,gun-60000021,2,2,6600,25,20,15,10,5,5,2,0,110,100,120,100,85,95,0,15,5,0,105,135,102101,0,300102,900156|999999|759225,,13,4,12|14,1|10;2|5,0,3;9|10,2;6|19,1;1|2|3|4|13|18,,21,0,2016-05-20 00:00:00,1|3,2,0,10:10|45:200;10:20|45:600;10:30|45:1200,7|50|54|69,nation_Russia,10303,100021,|602|5808|0|9008|,121|105,120,110,1|2|3|6|7,
22,gun-10000022,PPS-43,PPS43,"类型            冲锋枪
总重            3.86 公斤
全长            831 毫米（枪托展开）
                616 毫米（枪托折叠）
枪管长度        240 毫米
弹药            7.62×25毫米托卡列夫手枪弹
枪机种类        反冲作用/开放式枪机
发射速率        650 发/分钟
枪口初速        500米/秒
有效射程        100—150米
最大射程        200米
供弹方式        35 发弹匣
瞄准具型式      刀片式瞄具",指挥官|能见到您太好了|更加轻巧的我|为您效劳。,gun-40000022,gun-50000022,gun-60000022,2,3,7800,25,20,15,10,5,5,2,0,100,130,95,100,110,110,0,15,5,0,105,100,102102,0,300102,900156|999999,,13,4,7|8|9,1|12,0,3;9|10,2;6,1;1|2|3|4|13,,22,0,2016-05-20 00:00:00,1|3|2,3,0,,30|50|54,nation_Russia,10302,0,,121|105,120,100,1|2|3|6|7,
23,gun-10000023,PP-90,PP90,"类型            冲锋枪
总重            空枪：1.83 公斤
                上弹：2.23公斤
全长            490 毫米（枪托展开）
                270 毫米（枪托折叠）
枪管长度        203 毫米
弹药            9×18毫米马卡洛夫
枪机种类        直接反冲作用/开放式枪机
发射速率        600—800发／分钟
枪口初速        大约320米／秒
有效射程        80—100米
供弹方式        30发可拆卸式双排弹匣
瞄准具型式      机械瞄具：折叠式金属缺口式照门和柱状准星
                LP-92激光瞄准器（横贯式安装在照门座和准星座的中空凹槽）",PP-90，为您效劳。指挥官，期待您给我的第一个命令哦。,gun-40000023,gun-50000023,gun-60000023,2,4,8400,25,20,15,10,5,5,2,0,90,90,120,100,100,130,0,15,5,0,120,100,100207,0,300102,200486,,13,4,7|9,1|8;4|20,0,3;9|10|20,2;6,1;1|2|3|4|13,,23,0,2016-12-15 00:00:00,1|2,4,0,,18,nation_Russia,10303,0,|0|10306|,108,120,90,1|2|3|6|7,
24,gun-10000024,PP-2000,PP2000,"类型            冲锋枪
                个人防卫武器
总重            空枪：1.4 公斤
全长            枪托缩折：340 毫米
                枪托伸展：555 毫米
枪管长度        182毫米
弹药            9×19毫米鲁格弹
                9×19毫米7N21高压子弹（+P+）
                9×19毫米7N31高压子弹（+P+）
枪机种类        直接反冲作用/闭锁式枪机
发射速率        600—800 发／分钟
枪口初速        9×19毫米7N31高压子弹（+P+）：460—600 米／秒
有效射程        9×19毫米鲁格弹：100 米
                9×19毫米7N31高压子弹（+P+）：200 米
供弹方式        20、44 发可拆卸式弹匣
瞄准具型式      机械瞄具：固定缺口式照门和准星
               机匣顶部的MIL-STD-1913战术导轨上安装光学瞄准镜、红点镜／反射式瞄准镜、全息瞄准镜、夜视镜或热成像仪（可拆卸）",PP-2000冲锋枪|今后请让我紧随您的脚步。,gun-40000024,gun-50000024,gun-60000024,2,2,4200,25,20,15,10,5,5,2,0,90,120,105,100,100,130,0,15,5,0,100,100,102101,0,300102,900156|999999,,13,4,7|9,1|10;3|25,0,3;9|10,2;6,1;1|2|3|4|13|18,,24,0,2016-05-20 00:00:00,1|3,2,0,,12,nation_Russia,10303,100024,|0|,121|105,120,90,1|2|3|6|7,
25,gun-10000025,MP40,MP40,"类型            冲锋枪
总重            4公斤
全长            收起枪托：630毫米
                展开枪托：833毫米
枪管长度        251毫米
弹药            9×19毫米鲁格弹
枪机种类        提前击发底火式反冲作用及开放式枪机
发射速率        500发／分钟
枪口初速        约380米／秒
有效射程        约100米
供弹方式        32发弹匣
瞄准具型式      机械瞄具",您好|指挥官|为了您的事业|我会努力的！,gun-40000025,gun-50000025,gun-60000025,2,2,5400,25,20,15,10,5,5,2,0,105,105,95,100,100,90,0,15,5,0,115,120,102301,0,300102,900156|999999,,13,4,7|9,3|25;4|20,0,3;9|10,2;6,1;1|2|3|4|13,,25,0,2016-05-20 00:00:00,1|3,2,0,,7|27|55,nation_German,10302,100025,|0|902|10808|,121|105,120,105,1|2|3|6|7,
26,gun-10000026,MP5,MP5,"类型            冲锋枪
总重            2公斤
全长            325毫米
枪管长度        225毫米
弹药            9×19毫米鲁格弹、
                10毫米Auto、
                .40 S&W
枪机种类        滚轮延迟反冲式、闭锁式枪机
发射速率        800 发/分钟
枪口初速        400 米/秒
供弹方式        15、30 发可卸式弹匣，100 发Beta C-Mag 弹鼓
瞄准具型式      机械瞄具
               可旋转式调节的旋转屈光式鼓状照门和冠顶状准星
               专用连接装置和适配器以加装光学瞄准镜",MP5|报到。虽然个头有点小|可我会帮上忙的。,gun-40000026,gun-50000026,gun-60000026,2,4,8400,25,20,15,10,5,5,2,0,95,115,115,100,115,115,0,15,5,0,105,120,103105,0,300102,710802|759188,,13,4,7|9,3|40;5|20,0,3;9|10|20,2;6,1;1|2|3|4|13|18,,26,0,2016-05-20 00:00:00,1|3|2,4,0,10:20|45:200;10:40|45:1000;10:60|45:2000,6|18|58|70,nation_German,10203,100026,|0|1903|9006|10606|3006|,120,120,95,1|2|3|6|7,
27,gun-10000027,Vz. 61,VZ61,"类型            冲锋枪
总重            空枪：2.77公斤
全长            枪托缩折：410毫米
                枪托伸展：660／670毫米
枪管长度        196毫米
弹药            9×19毫米鲁格弹
枪机种类        反冲作用/闭锁式枪机
发射速率        1|100—1|150发／分钟
枪口初速        370米／秒
有效射程        50米
供弹方式        20、30发透明聚合物制双排双进可拆卸式弹匣
瞄准具型式      机械瞄具：觇孔式照门和柱状准星
               夜间瞄准具型：氚光夜间用瞄准具
               瞄准基线：240毫米（9.45英寸）
               机匣顶部的MIL-STD-1913战术导轨上安装日间／夜间光学瞄准镜、红点镜／反射式瞄准镜、全息瞄准镜、夜视镜、热成像仪（可拆卸）",蝎式冲锋枪来了！隆重地欢迎我吧！……别怕|我可是无毒无害的。,gun-40000027,gun-50000027,gun-60000027,2,3,7200,25,20,15,10,5,5,2,0,90,85,120,100,100,130,0,15,5,0,115,95,102302,0,300102,900156|999999|756175|756160,,13,4,8,2|15;3|50,0,3;9|10,2;6|19,1;1|2|3|4|13,,27,0,2016-05-20 00:00:00,1|3|2,3,0,,30|52,,10302,100027,|0|801|,121|105,120,90,1|2|3|6|7,
28,gun-10000028,MP7,MP7,"类型            冲锋枪
总重            空枪：1.9公斤
全长            伸缩枪托：415毫米
                枪托伸展：638毫米
枪管长度        180毫米
弹药            4.6×30毫米
枪机种类        短行程活塞气动式，转拴式枪机
发射速率        950~1150 发/分钟
枪口初速        724.81 米／秒
有效射程        200 米
供弹方式        20、30、40发弹匣
瞄准具形式      机械瞄具、可透过机匣顶部的皮卡汀尼导轨安装瞄准镜",“饲养员”，你终于来接我了吗？辛苦了哦。,gun-40000028,gun-50000028,gun-60000028,2,5,8280,25,20,15,10,5,5,2,0,112,120,120,100,122,122,0,15,5,0,100,100,108401,0,108402,108403,,13,4,7|8|9,2|15;3|25,0,3;9|10,2;6|19,1;1|2|3|4|13,,28,0,2018-02-08 00:00:00,403|2,5,0,,2|28,nation_German,10202,100028,|2405|6806|0|11103|,108|124,135,122,1|2|3|6|7,
29,gun-10000029,Sten Mk Ⅱ,StenMK2,"类型            冲锋枪
总重            3.18公斤
全长            760毫米
枪管长度        196毫米
弹药            9×19毫米
枪机种类        提前击发底火式反冲作用及开放式枪机
发射速率        约500发/分钟
枪口初速        365米/秒（无消声器）
供弹方式        32发弹匣",您就是指挥官大人吧？经常听人提到您|今后承蒙关照！,gun-40000029,gun-50000029,gun-60000029,2,3,6000,25,20,15,10,5,5,2,0,105,90,95,100,115,110,0,15,5,0,125,110,102102,0,300102,900156|200427|999999|1001804,,13,4,7|8|9,3|10;4|30,0,3;9|10,2;6,1;1|2|3|4|13|18,,29,0,2016-05-20 00:00:00,1|3|2,3,0,10:15|45:200;10:30|45:800;10:45|45:1600,31|47|48|68,,10704,100029,|0|7605|,121|105,120,105,1|2|3|6|7,
