id,name,description
76,enemy_illustration_skill-10000076,enemy_illustration_skill-20000076
77,enemy_illustration_skill-10000077,enemy_illustration_skill-20000077
78,enemy_illustration_skill-10000078,enemy_illustration_skill-20000078
79,enemy_illustration_skill-10000079,enemy_illustration_skill-20000079
80,enemy_illustration_skill-10000080,enemy_illustration_skill-20000080
81,enemy_illustration_skill-10000081,enemy_illustration_skill-20000081
82,enemy_illustration_skill-10000082,enemy_illustration_skill-20000082
83,enemy_illustration_skill-10000083,enemy_illustration_skill-20000083
84,enemy_illustration_skill-10000084,enemy_illustration_skill-20000084
85,enemy_illustration_skill-10000085,enemy_illustration_skill-20000085
86,enemy_illustration_skill-10000086,enemy_illustration_skill-20000086
87,enemy_illustration_skill-10000087,enemy_illustration_skill-20000087
88,enemy_illustration_skill-10000088,enemy_illustration_skill-20000088
89,enemy_illustration_skill-10000089,enemy_illustration_skill-20000089
90,enemy_illustration_skill-10000090,enemy_illustration_skill-20000090
91,enemy_illustration_skill-10000091,enemy_illustration_skill-20000091
92,enemy_illustration_skill-10000092,enemy_illustration_skill-20000092
93,enemy_illustration_skill-10000093,enemy_illustration_skill-20000093
94,enemy_illustration_skill-10000094,enemy_illustration_skill-20000094
95,enemy_illustration_skill-10000095,enemy_illustration_skill-20000095
96,enemy_illustration_skill-10000096,enemy_illustration_skill-20000096
97,enemy_illustration_skill-10000097,enemy_illustration_skill-20000097
98,enemy_illustration_skill-10000098,enemy_illustration_skill-20000098
99,enemy_illustration_skill-10000099,enemy_illustration_skill-20000099
100,enemy_illustration_skill-10000100,enemy_illustration_skill-20000100
101,enemy_illustration_skill-10000101,enemy_illustration_skill-20000101
102,enemy_illustration_skill-10000102,enemy_illustration_skill-20000102
103,enemy_illustration_skill-10000103,enemy_illustration_skill-20000103
104,enemy_illustration_skill-10000104,enemy_illustration_skill-20000104
105,enemy_illustration_skill-10000105,enemy_illustration_skill-20000105
106,enemy_illustration_skill-10000106,enemy_illustration_skill-20000106
107,enemy_illustration_skill-10000107,enemy_illustration_skill-20000107
108,enemy_illustration_skill-10000108,enemy_illustration_skill-20000108
109,enemy_illustration_skill-10000109,enemy_illustration_skill-20000109
110,enemy_illustration_skill-10000110,enemy_illustration_skill-20000110
111,enemy_illustration_skill-10000111,enemy_illustration_skill-20000111
112,enemy_illustration_skill-10000112,enemy_illustration_skill-20000112
113,enemy_illustration_skill-10000113,enemy_illustration_skill-20000113
114,enemy_illustration_skill-10000114,enemy_illustration_skill-20000114
115,enemy_illustration_skill-10000115,enemy_illustration_skill-20000115
116,enemy_illustration_skill-10000116,enemy_illustration_skill-20000116
117,enemy_illustration_skill-10000117,enemy_illustration_skill-20000117
118,enemy_illustration_skill-10000118,enemy_illustration_skill-20000118
119,enemy_illustration_skill-10000119,enemy_illustration_skill-20000119
120,enemy_illustration_skill-10000120,enemy_illustration_skill-20000120
121,enemy_illustration_skill-10000121,enemy_illustration_skill-20000121
122,enemy_illustration_skill-10000122,enemy_illustration_skill-20000122
123,enemy_illustration_skill-10000123,enemy_illustration_skill-20000123
124,enemy_illustration_skill-10000124,enemy_illustration_skill-20000124
125,enemy_illustration_skill-10000125,enemy_illustration_skill-20000125
126,enemy_illustration_skill-10000126,enemy_illustration_skill-20000126
127,enemy_illustration_skill-10000127,enemy_illustration_skill-20000127
128,enemy_illustration_skill-10000128,enemy_illustration_skill-20000128
129,enemy_illustration_skill-10000129,enemy_illustration_skill-20000129
130,enemy_illustration_skill-10000130,enemy_illustration_skill-20000130
131,enemy_illustration_skill-10000131,enemy_illustration_skill-20000131
132,enemy_illustration_skill-10000132,enemy_illustration_skill-20000132
133,enemy_illustration_skill-10000133,enemy_illustration_skill-20000133
134,enemy_illustration_skill-10000134,enemy_illustration_skill-20000134
135,enemy_illustration_skill-10000135,enemy_illustration_skill-20000135
136,enemy_illustration_skill-10000136,enemy_illustration_skill-20000136
137,enemy_illustration_skill-10000137,enemy_illustration_skill-20000137
138,enemy_illustration_skill-10000138,enemy_illustration_skill-20000138
139,enemy_illustration_skill-10000139,enemy_illustration_skill-20000139
140,enemy_illustration_skill-10000140,enemy_illustration_skill-20000140
141,enemy_illustration_skill-10000141,enemy_illustration_skill-20000141
142,enemy_illustration_skill-10000142,enemy_illustration_skill-20000142
143,enemy_illustration_skill-10000143,enemy_illustration_skill-20000143
144,enemy_illustration_skill-10000144,enemy_illustration_skill-20000144
145,enemy_illustration_skill-10000145,enemy_illustration_skill-20000145
146,enemy_illustration_skill-10000146,enemy_illustration_skill-20000146
147,enemy_illustration_skill-10000147,enemy_illustration_skill-20000147
148,enemy_illustration_skill-10000148,enemy_illustration_skill-20000148
149,enemy_illustration_skill-10000149,enemy_illustration_skill-20000149
150,enemy_illustration_skill-10000150,enemy_illustration_skill-20000150
151,enemy_illustration_skill-10000151,enemy_illustration_skill-20000151
152,enemy_illustration_skill-10000152,enemy_illustration_skill-20000152
153,enemy_illustration_skill-10000153,enemy_illustration_skill-20000153
154,enemy_illustration_skill-10000154,enemy_illustration_skill-20000154
155,enemy_illustration_skill-10000155,enemy_illustration_skill-20000155
156,enemy_illustration_skill-10000156,enemy_illustration_skill-20000156
157,enemy_illustration_skill-10000157,enemy_illustration_skill-20000157
158,enemy_illustration_skill-10000158,enemy_illustration_skill-20000158
159,enemy_illustration_skill-10000159,enemy_illustration_skill-20000159
160,enemy_illustration_skill-10000160,enemy_illustration_skill-20000160
161,enemy_illustration_skill-10000161,enemy_illustration_skill-20000161
162,enemy_illustration_skill-10000162,enemy_illustration_skill-20000162
163,enemy_illustration_skill-10000163,enemy_illustration_skill-20000163
164,enemy_illustration_skill-10000164,enemy_illustration_skill-20000164
165,enemy_illustration_skill-10000165,enemy_illustration_skill-20000165
166,enemy_illustration_skill-10000166,enemy_illustration_skill-20000166
167,enemy_illustration_skill-10000167,enemy_illustration_skill-20000167
168,enemy_illustration_skill-10000168,enemy_illustration_skill-20000168
169,enemy_illustration_skill-10000169,enemy_illustration_skill-20000169
170,enemy_illustration_skill-10000170,enemy_illustration_skill-20000170
171,enemy_illustration_skill-10000171,enemy_illustration_skill-20000171
172,enemy_illustration_skill-10000172,enemy_illustration_skill-20000172
173,enemy_illustration_skill-10000173,enemy_illustration_skill-20000173
174,enemy_illustration_skill-10000174,enemy_illustration_skill-20000174
175,enemy_illustration_skill-10000175,enemy_illustration_skill-20000175
176,enemy_illustration_skill-10000176,enemy_illustration_skill-20000176
177,enemy_illustration_skill-10000177,enemy_illustration_skill-20000177
178,enemy_illustration_skill-10000178,enemy_illustration_skill-20000178
179,enemy_illustration_skill-10000179,enemy_illustration_skill-20000179
180,enemy_illustration_skill-10000180,enemy_illustration_skill-20000180
181,enemy_illustration_skill-10000181,enemy_illustration_skill-20000181
182,enemy_illustration_skill-10000182,enemy_illustration_skill-20000182
183,enemy_illustration_skill-10000183,enemy_illustration_skill-20000183
184,enemy_illustration_skill-10000184,enemy_illustration_skill-20000184
185,enemy_illustration_skill-10000185,enemy_illustration_skill-20000185
186,enemy_illustration_skill-10000186,enemy_illustration_skill-20000186
187,enemy_illustration_skill-10000187,enemy_illustration_skill-20000187
188,enemy_illustration_skill-10000188,enemy_illustration_skill-20000188
189,enemy_illustration_skill-10000189,enemy_illustration_skill-20000189
190,enemy_illustration_skill-10000190,enemy_illustration_skill-20000190
191,enemy_illustration_skill-10000191,enemy_illustration_skill-20000191
192,enemy_illustration_skill-10000192,enemy_illustration_skill-20000192
193,enemy_illustration_skill-10000193,enemy_illustration_skill-20000193
194,enemy_illustration_skill-10000194,enemy_illustration_skill-20000194
195,enemy_illustration_skill-10000195,enemy_illustration_skill-20000195
196,enemy_illustration_skill-10000196,enemy_illustration_skill-20000196
197,enemy_illustration_skill-10000197,enemy_illustration_skill-20000197
198,enemy_illustration_skill-10000198,enemy_illustration_skill-20000198
199,enemy_illustration_skill-10000199,enemy_illustration_skill-20000199
200,enemy_illustration_skill-10000200,enemy_illustration_skill-20000200
201,enemy_illustration_skill-10000201,enemy_illustration_skill-20000201
202,enemy_illustration_skill-10000202,enemy_illustration_skill-20000202
203,enemy_illustration_skill-10000203,enemy_illustration_skill-20000203
204,enemy_illustration_skill-10000204,enemy_illustration_skill-20000204
205,enemy_illustration_skill-10000205,enemy_illustration_skill-20000205
206,enemy_illustration_skill-10000206,enemy_illustration_skill-20000206
207,enemy_illustration_skill-10000207,enemy_illustration_skill-20000207
208,enemy_illustration_skill-10000208,enemy_illustration_skill-20000208
209,enemy_illustration_skill-10000209,enemy_illustration_skill-20000209
210,enemy_illustration_skill-10000210,enemy_illustration_skill-20000210
211,enemy_illustration_skill-10000211,enemy_illustration_skill-20000211
212,enemy_illustration_skill-10000212,enemy_illustration_skill-20000212
213,enemy_illustration_skill-10000213,enemy_illustration_skill-20000213
214,enemy_illustration_skill-10000214,enemy_illustration_skill-20000214
215,enemy_illustration_skill-10000215,enemy_illustration_skill-20000215
216,enemy_illustration_skill-10000216,enemy_illustration_skill-20000216
217,enemy_illustration_skill-10000217,enemy_illustration_skill-20000217
218,enemy_illustration_skill-10000218,enemy_illustration_skill-20000218
219,enemy_illustration_skill-10000219,enemy_illustration_skill-20000219
220,enemy_illustration_skill-10000220,enemy_illustration_skill-20000220
221,enemy_illustration_skill-10000221,enemy_illustration_skill-20000221
999,enemy_illustration_skill-10000999,enemy_illustration_skill-20000999
10005,enemy_illustration_skill-10010005,enemy_illustration_skill-20010005
10018,enemy_illustration_skill-10010018,enemy_illustration_skill-20010018
10019,enemy_illustration_skill-10010019,enemy_illustration_skill-20010019
10021,enemy_illustration_skill-10010021,enemy_illustration_skill-20010021
10022,enemy_illustration_skill-10010022,enemy_illustration_skill-20010022
10037,enemy_illustration_skill-10010037,enemy_illustration_skill-20010037
10038,enemy_illustration_skill-10010038,enemy_illustration_skill-20010038
10039,enemy_illustration_skill-10010039,enemy_illustration_skill-20010039
10040,enemy_illustration_skill-10010040,enemy_illustration_skill-20010040
10041,enemy_illustration_skill-10010041,enemy_illustration_skill-20010041
10042,enemy_illustration_skill-10010042,enemy_illustration_skill-20010042
10043,enemy_illustration_skill-10010043,enemy_illustration_skill-20010043
10044,enemy_illustration_skill-10010044,enemy_illustration_skill-20010044
10045,enemy_illustration_skill-10010045,enemy_illustration_skill-20010045
10046,enemy_illustration_skill-10010046,enemy_illustration_skill-20010046
10047,enemy_illustration_skill-10010047,enemy_illustration_skill-20010047
10048,enemy_illustration_skill-10010048,enemy_illustration_skill-20010048
10049,enemy_illustration_skill-10010049,enemy_illustration_skill-20010049
10050,enemy_illustration_skill-10010050,enemy_illustration_skill-20010050
10051,enemy_illustration_skill-10010051,enemy_illustration_skill-20010051
10052,enemy_illustration_skill-10010052,enemy_illustration_skill-20010052
10053,enemy_illustration_skill-10010053,enemy_illustration_skill-20010053
10054,enemy_illustration_skill-10010054,enemy_illustration_skill-20010054
10055,enemy_illustration_skill-10010055,enemy_illustration_skill-20010055
10056,enemy_illustration_skill-10010056,enemy_illustration_skill-20010056
10057,enemy_illustration_skill-10010057,enemy_illustration_skill-20010057
10058,enemy_illustration_skill-10010058,enemy_illustration_skill-20010058
10087,enemy_illustration_skill-10010087,enemy_illustration_skill-20010087
10091,enemy_illustration_skill-10010091,enemy_illustration_skill-20010091
10191,enemy_illustration_skill-10010191,enemy_illustration_skill-20010191
