"id","type","title","content","function_control_id"
"42","consume_core","carnival_task_type-10000042","carnival_task_type-20000042","0"
"43","consume_exchange_coin","carnival_task_type-10000043","carnival_task_type-20000043","0"
"44","consume_skin_exchange","carnival_task_type-10000044","carnival_task_type-20000044","0"
"45","open_gift","carnival_task_type-10000045","carnival_task_type-20000045","0"
"46","gasha_count","carnival_task_type-10000046","carnival_task_type-20000046","0"
"47","consume_capsule","carnival_task_type-10000047","carnival_task_type-20000047","0"
"48","consume_quick_training","carnival_task_type-10000048","carnival_task_type-20000048","0"
"49","consume_quick_reinforce","carnival_task_type-10000049","carnival_task_type-20000049","0"
"50","consume_gem","carnival_task_type-10000050","carnival_task_type-20000050","0"
"51","cumulative_recharge_amount","carnival_task_type-10000051","carnival_task_type-20000051","0"
"52","cumulative_recharge_days","carnival_task_type-10000052","carnival_task_type-20000052","0"
"53","special_develop_gun","carnival_task_type-10000053","carnival_task_type-20000053","0"
"54","adjust_equip","carnival_task_type-10000054","carnival_task_type-20000054","0"
"55","trial_mission","carnival_task_type-10000055","carnival_task_type-20000055","0"
"56","win_hunter","carnival_task_type-10000056","carnival_task_type-20000056","0"
"57","win_executioner","carnival_task_type-10000057","carnival_task_type-20000057","0"
"58","win_architect","carnival_task_type-10000058","carnival_task_type-20000058","0"
"59","win_ouroboros","carnival_task_type-10000059","carnival_task_type-20000059","0"
"60","get_friend_points","carnival_task_type-10000060","carnival_task_type-20000060","0"
"61","consume_friend_points","carnival_task_type-10000061","carnival_task_type-20000061","0"
"62","consume_build_coin","carnival_task_type-10000062","carnival_task_type-20000062","0"
"63","win_jammer","carnival_task_type-10000063","carnival_task_type-20000063","0"
"64","win_destroyer","carnival_task_type-10000064","carnival_task_type-20000064","0"
"65","win_alchemist","carnival_task_type-10000065","carnival_task_type-20000065","0"
"66","consume_quick_develop","carnival_task_type-10000066","carnival_task_type-20000066","0"
"67","operation_big_success","carnival_task_type-10000067","carnival_task_type-20000067","0"
"68","mystery_mission_1","carnival_task_type-10000068","carnival_task_type-20000068","0"
"69","mystery_mission_2","carnival_task_type-10000069","carnival_task_type-20000069","0"
"70","mystery_mission_3","carnival_task_type-10000070","carnival_task_type-20000070","0"
"71","mystery_mission_4","carnival_task_type-10000071","carnival_task_type-20000071","0"
"72","mystery_mission_5","carnival_task_type-10000072","carnival_task_type-20000072","0"
"73","mystery_mission_6","carnival_task_type-10000073","carnival_task_type-20000073","0"
"74","mystery_mission_7","carnival_task_type-10000074","carnival_task_type-20000074","0"
"75","mystery_mission_8","carnival_task_type-10000075","carnival_task_type-20000075","0"
"76","mystery_mission_9","carnival_task_type-10000076","carnival_task_type-20000076","0"
"77","mystery_mission_10","carnival_task_type-10000077","carnival_task_type-20000077","0"
"78","special_develop_equip","carnival_task_type-10000078","carnival_task_type-20000078","0"
"79","mission_activities_win","carnival_task_type-10000079","carnival_task_type-20000079","0"
"80","mind_update","carnival_task_type-10000080","carnival_task_type-20000080","0"
"81","reset_mission_group","carnival_task_type-10000081","carnival_task_type-20000081","0"
"82","special_mission_point","carnival_task_type-10000082","carnival_task_type-20000082","0"
"83","coffeeshop_comic","carnival_task_type-10000083","carnival_task_type-20000083","0"
"84","coffeeshop_pv","carnival_task_type-10000084","carnival_task_type-20000084","0"
"85","mission_duplicate_type5","carnival_task_type-10000085","carnival_task_type-20000085","0"
"86","develop_fairy","carnival_task_type-10000086","carnival_task_type-20000086","0"
"87","special_develop","carnival_task_type-10000087","carnival_task_type-20000087","0"
"88","squad_base_data_analyse","carnival_task_type-10000088","carnival_task_type-20000088","0"
"89","squad_senior_data_analyse","carnival_task_type-10000089","carnival_task_type-20000089","0"
"90","squad_data_analyse","carnival_task_type-10000090","carnival_task_type-20000090","0"
"91","squad_data_by_analyse","carnival_task_type-10000091","carnival_task_type-20000091","0"
"92","squad_chip_rank4_by_analyse","carnival_task_type-10000092","carnival_task_type-20000092","0"
"93","squad_chip_rank5_by_analyse","carnival_task_type-10000093","carnival_task_type-20000093","0"
"94","squad_level_up_times","carnival_task_type-10000094","carnival_task_type-20000094","0"
"95","squad_strengthen_times","carnival_task_type-10000095","carnival_task_type-20000095","0"
"96","squad_train_and_skill_times","carnival_task_type-10000096","carnival_task_type-20000096","0"
"97","squad_up_rank","carnival_task_type-10000097","carnival_task_type-20000097","0"
"98","squad_up_advanced_times","carnival_task_type-10000098","carnival_task_type-20000098","0"
"99","squad_eat_chip_num","carnival_task_type-10000099","carnival_task_type-20000099","0"
"100","combine_gun","carnival_task_type-10000100","carnival_task_type-20000100","0"
"101","win_armorrobot","carnival_task_type-10000101","carnival_task_type-20000101","0"
"102","win_robot","carnival_task_type-10000102","carnival_task_type-20000102","0"
"103","win_person","carnival_task_type-10000103","carnival_task_type-20000103","0"
"104","win_boss","carnival_task_type-10000104","carnival_task_type-20000104","0"
"105","from_friend_build_coin","carnival_task_type-10000105","carnival_task_type-20000105","0"
"106","finish_squad_daily_task","carnival_task_type-10000106","carnival_task_type-20000106","0"
"107","consume_quick_analyse","carnival_task_type-10000107","carnival_task_type-20000107","0"
"108","get_squad_fragment_type1","carnival_task_type-10000108","carnival_task_type-20000108","0"
"109","get_squad_fragment_type2","carnival_task_type-10000109","carnival_task_type-20000109","0"
"110","get_squad_fragment_type3","carnival_task_type-10000110","carnival_task_type-20000110","0"
"111","get_base_data","carnival_task_type-10000111","carnival_task_type-20000111","0"
"112","get_senior_data","carnival_task_type-10000112","carnival_task_type-20000112","0"
"113","get_fight_report","carnival_task_type-10000113","carnival_task_type-20000113","0"
"114","explore_has_time","carnival_task_type-10000114","carnival_task_type-20000114","0"
"115","buy_commander_uniform","carnival_task_type-10000115","carnival_task_type-20000115","0"
"116","get_commander_uniform","carnival_task_type-10000116","carnival_task_type-20000116","0"
"117","buy_random_dye","carnival_task_type-10000117","carnival_task_type-20000117","0"
"118","buy_assign_dye","carnival_task_type-10000118","carnival_task_type-20000118","0"
"119","use_dye","carnival_task_type-10000119","carnival_task_type-20000119","0"
"120","sangvis_daily_retrieval","carnival_task_type-10000120","carnival_task_type-20000120","0"
"121","sangvis_aided_retrieval","carnival_task_type-10000121","carnival_task_type-20000121","0"
"122","sangvis_exercise","carnival_task_type-10000122","carnival_task_type-20000122","0"
"123","sangvis_exercise_exp","carnival_task_type-10000123","carnival_task_type-20000123","0"
"124","sangvis_exercise_star","carnival_task_type-10000124","carnival_task_type-20000124","0"
"125","sangvis_exercise_analysis","carnival_task_type-10000125","carnival_task_type-20000125","0"
"126","consume_sangvis_exp_item","carnival_task_type-10000126","carnival_task_type-20000126","0"
"127","consume_sangvis_advance_item","carnival_task_type-10000127","carnival_task_type-20000127","0"
"128","consume_sangvis_skill_coin1","carnival_task_type-10000128","carnival_task_type-20000128","0"
"129","consume_sangvis_skill_coin2","carnival_task_type-10000129","carnival_task_type-20000129","0"
"130","consume_sangvis_material1_coin","carnival_task_type-10000130","carnival_task_type-20000130","0"
"131","special_develop_fairy","carnival_task_type-10000131","carnival_task_type-20000131","1"
"132","map_capture","carnival_task_type-10000132","carnival_task_type-20000132","0"
