id,description,max_times,if_delete_buff,record_chara1,record_chara2,watch_trigger_type,watch_sp_trigger,activation_watch_trigger,activation_skills,sp_skill_target,record_watch_trigger,new_record_chara1,new_record_chara2,unactivation_skills,sp_unaskill_target,ending_watch_trigger,ending_activation_skills,sp_endingskill_target
1028,斯捷奇金敌方死亡监视,0,0,0,0,7,0,0,759137,0,0,0,0,0,0,0,0,0
1029,纱那锁定死亡监视,0,0,0,0,7,0,0,750790,0,0,0,0,0,0,0,0,0
1030,死亡监视boss,0,0,0,0,7,750824,0,750824,0,0,0,0,0,0,0,0,0
1031,死亡监视精英,0,0,0,0,7,750825,0,750825,0,0,0,0,0,0,0,0,0
1032,死亡监视小怪,0,0,0,0,7,750826,0,750826,0,0,0,0,0,0,0,0,0
1033,开场AR监视,1,1,0,0,1,0,1016,757122,1,0,0,0,0,0,0,0,0
1034,开场RF监视,1,1,0,0,1,0,1016,757123,1,0,0,0,0,0,0,0,0
1035,开场HG监视,1,1,0,0,1,757121,1016,757124,1,0,0,0,0,0,0,0,0
1036,开场MG监视,1,1,0,0,1,0,1016,757125,1,0,0,0,0,0,0,0,0
1037,开场SMG监视,1,1,0,0,1,0,1016,757126,1,0,0,0,0,0,0,0,0
1038,开场SG监视,1,1,0,0,1,0,1016,757127,1,0,0,0,0,0,0,0,0
1039,死亡监视-巨人,0,0,0,0,7,0,0,750852,0,0,0,0,0,0,0,0,0
1040,死亡监视-海蛇,0,0,0,0,7,0,0,750853,0,0,0,0,0,0,0,0,0
1041,死亡监视-巨龙,0,0,0,0,7,0,0,750854,0,0,0,0,0,0,0,0,0
1042,M327杰里科效果监视,0,0,1000005372,0,1,750588|750600,1017,750558,0,0,1000005372,0,0,0,0,0,0
1043,死亡监视-竞争者,0,0,0,0,7,0,0,759247,0,0,0,0,0,0,0,0,0
1044,离场监视,0,0,0,0,6,0,0,750878|750879,0,0,0,0,0,0,0,0,0
1045,死亡监视,0,0,0,0,7,0,0,750878|750879,0,0,0,0,0,0,0,0,0
1046,45监视,0,0,0,0,1,0,1018,759095,1,0,0,0,0,0,0,0,0
1047,离场监视,0,0,0,0,6,0,0,750899,0,0,0,0,0,0,0,0,0
1048,掉编监视,0,0,1000005160,0,2,0,1015,755320,0,0,1000005160,0,0,0,0,0,0
1049,敌方死亡监视,0,0,0,0,7,0,0,755320,0,0,0,0,0,0,0,0,0
1050,10%血量监视,0,0,1000005401,0,2,0,1019,755323,0,1019,1000005401,0,0,0,0,0,0
1051,素子掉编监视,0,0,1000005160,0,2,0,1015,750904,0,0,1000005160,0,0,0,0,0,0
1052,敌方死亡监视,0,0,0,0,7,750902,0,750903,0,0,0,0,0,0,0,0,0
1053,敌方精英死亡监视,0,0,0,0,7,750903,0,750906,0,0,0,0,0,0,0,0,0
1054,布丁敌方死亡监视,0,0,0,0,7,0,0,750908,0,0,0,0,0,0,0,0,0
1060,死亡监视,0,0,0,0,7,0,0,740099,0,0,0,0,0,0,0,0,0
1061,被暴击监视,0,0,0,0,2,0,1060,740106,1,0,0,0,0,0,0,0,0
1062,风暴离场监视,0,0,0,0,6,0,0,740110,0,0,0,0,0,0,0,0,0
1063,柯尔特海军监视友方命中,0,0,0,0,1,0,0,1000605,1,0,0,0,0,0,0,0,0
1064,柯尔特海军监视敌方伤害,0,0,0,0,1,0,0,1000606,1,0,0,0,0,0,0,0,0
1065,P50监视友方受伤,0,0,0,0,2,0,1061,1000704,1,0,0,0,0,0,0,0,0
1066,79式监视受伤,0,0,0,0,2,0,1062,1000908,1,0,0,0,0,0,0,0,0
1067,MK18掉编监视,0,0,1000005160,0,2,0,1015,1002507,1,0,1000005160,0,0,0,0,0,0
1068,Cross暴击监视,0,0,0,0,3,0,4002,1002705,0,0,0,0,0,0,0,0,0
1069,Cross死亡监视,0,0,0,0,7,0,0,1002703,0,0,0,0,0,0,0,0,0
1070,XM556死亡监视,0,0,0,0,7,0,0,1002804,0,0,0,0,0,0,0,0,0
1071,Cross嘲讽死亡监视,0,0,0,0,7,0,0,1002708,0,0,0,0,0,0,0,0,0
1072,黑卡蒂死亡监视,0,0,0,0,7,0,0,1003603,0,0,0,0,0,0,0,0,0
1073,黑卡蒂死亡监视,0,0,0,0,7,0,0,1003622,0,0,0,0,0,0,0,0,0
1080,G41Buff监视,0,0,1000009494,0,1,0,1063,1002905,1,0,1000009494,0,0,0,0,0,0
2001,英雄妖精掉编监视,1,1,1000007005,0,2,0,4001,757202,1,0,1000007005,0,0,0,0,0,0
2002,英雄妖精退场监视,0,0,0,0,6,0,0,757233,0,0,0,0,0,0,0,0,0
3001,距离监视,1,1,0,0,1,0,2001,770002,1,0,0,0,0,0,0,0,0
3002,受伤监视,0,0,0,0,2,0,2002,770007,1,0,0,0,0,0,0,0,0
3003,眩晕监视,0,0,1000009017,0,1,0,2003,770035,1,0,1000009017,0,0,0,0,0,0
3004,爆炸触发,1,1,0,0,1,0,2004,770048,1,0,0,0,0,0,0,0,0
3005,防护期间受伤监视,0,0,0,0,2,0,2005,770069,0,0,0,0,0,0,0,0,0
3006,载具能量受伤监视,0,0,0,0,2,0,2006,770085,0,0,0,0,0,0,0,0,0
3007,载具能量受伤反击监视,0,0,0,0,2,0,2007,770087,0,0,0,0,0,0,0,0,0
3008,受伤监视,0,0,1000009070,0,2,0,2008,770132,0,2010,1000009071,0,0,0,0,0,0
3009,受伤监视记录次数,0,0,0,0,2,0,2009,770136,0,0,0,0,0,0,0,0,0
4006,AK12暴击监视,0,0,0,0,3,0,4002,992498,1,0,0,0,0,0,0,0,0
5001,曦和监视,0,0,1000002118,0,1,0,5001,119603,0,5001,1000002120,0,0,0,0,0,0
5002,伤害监视,0,0,1000002216,0,1,0,5002,120803,0,0,1000002216,0,0,0,0,0,0
5003,射速监视,0,0,1000002217,0,1,0,5003,120804,0,0,1000002217,0,0,0,0,0,0
5004,回避监视,0,0,1000002218,0,1,0,5004,120805,0,0,1000002218,0,0,0,0,0,0
5005,命中监视,0,0,1000002219,0,1,0,5005,120806,0,0,1000002219,0,0,0,0,0,0
5006,榴弹发射器监视,1,1,0,0,1,0,5006,220118,1,0,1000002219,0,0,0,0,0,0
5007,词条精英击杀监视,0,0,0,0,7,220168,0,220168,0,0,0,0,0,0,0,0,0
5008,掉编监视,0,0,1000005160,0,2,0,5008,220169,0,0,0,0,0,0,0,0,0
5009,江琦布丁监视,1,1,0,0,2,0,5009,121921,1,0,0,0,0,0,0,0,0
5010,江琦布丁解控监视,0,0,1000002355,0,1,0,5010,121917,0,0,1000002355,0,0,0,0,0,0
5011,MG15监视,1,1,0,0,7,0,0,121806,1,0,0,0,0,0,0,0,0
5012,赫柏掉编监视,0,0,1000002456,0,2,0,1020,450058,2,0,1000002456,0,0,0,0,0,0
5013,赫柏毒针监视,0,0,0,0,1,0,0,450061,1,0,0,0,0,0,0,0,0
5014,黑卡蒂掉编监视,0,0,1000002471,0,2,0,1021,450085,2,0,1000002471,0,0,0,0,0,0
70001,开场AR监视,1,1,0,0,1,0,70001,778125,0,0,0,0,0,0,0,0,0
70002,开场SMG监视,1,1,0,0,1,0,70002,778126,0,0,0,0,0,0,0,0,0
70003,开场RF监视,1,1,0,0,1,0,70003,778127,0,0,0,0,0,0,0,0,0
70004,开场HG监视,1,1,0,0,1,0,70004,778128,0,0,0,0,0,0,0,0,0
70005,开场MG监视,1,1,0,0,1,0,70005,778129,0,0,0,0,0,0,0,0,0
70006,开场SG监视,1,1,0,0,1,0,70006,778130,0,0,0,0,0,0,0,0,0
70007,DP12换弹监视,0,0,0,0,4,0,1014,740065,0,0,0,0,0,0,0,0,0
400101,Rex1号位掉编监视1,0,0,1000007005,0,2,0,4001,992433,1,0,1000007005,0,0,0,0,0,0
400102,Rex1号位掉编监视2,0,0,1000007005,0,2,0,4001,992444,1,0,1000007005,0,0,0,0,0,0
400103,Rex1号位掉编监视3,0,0,1000007005,0,2,0,4001,992445,1,0,1000007005,0,0,0,0,0,0
400104,Rex1号位掉编监视4,0,0,1000007005,0,2,0,4001,992446,1,0,1000007005,0,0,0,0,0,0
400105,Rex1号位掉编监视5,0,0,1000007005,0,2,0,4001,992447,1,0,1000007005,0,0,0,0,0,0
400106,Rex1号位掉编监视6,0,0,1000007005,0,2,0,4001,992448,1,0,1000007005,0,0,0,0,0,0
400107,Rex1号位掉编监视7,0,0,1000007005,0,2,0,4001,992449,1,0,1000007005,0,0,0,0,0,0
400108,Rex1号位掉编监视8,0,0,1000007005,0,2,0,4001,992450,1,0,1000007005,0,0,0,0,0,0
400109,Rex1号位掉编监视9,0,0,1000007005,0,2,0,4001,992451,1,0,1000007005,0,0,0,0,0,0
400110,Rex1号位掉编监视10,0,0,1000007005,0,2,0,4001,992452,1,0,1000007005,0,0,0,0,0,0
400201,Rex2号位掉编监视1,0,0,1000007005,0,2,0,4001,992434,1,0,1000007005,0,0,0,0,0,0
400202,Rex2号位掉编监视2,0,0,1000007005,0,2,0,4001,992453,1,0,1000007005,0,0,0,0,0,0
400203,Rex2号位掉编监视3,0,0,1000007005,0,2,0,4001,992454,1,0,1000007005,0,0,0,0,0,0
400204,Rex2号位掉编监视4,0,0,1000007005,0,2,0,4001,992455,1,0,1000007005,0,0,0,0,0,0
400205,Rex2号位掉编监视5,0,0,1000007005,0,2,0,4001,992456,1,0,1000007005,0,0,0,0,0,0
400206,Rex2号位掉编监视6,0,0,1000007005,0,2,0,4001,992457,1,0,1000007005,0,0,0,0,0,0
400207,Rex2号位掉编监视7,0,0,1000007005,0,2,0,4001,992458,1,0,1000007005,0,0,0,0,0,0
400208,Rex2号位掉编监视8,0,0,1000007005,0,2,0,4001,992459,1,0,1000007005,0,0,0,0,0,0
400209,Rex2号位掉编监视9,0,0,1000007005,0,2,0,4001,992460,1,0,1000007005,0,0,0,0,0,0
400210,Rex2号位掉编监视10,0,0,1000007005,0,2,0,4001,992461,1,0,1000007005,0,0,0,0,0,0
400301,Rex3号位掉编监视1,0,0,1000007005,0,2,0,4001,992435,1,0,1000007005,0,0,0,0,0,0
400302,Rex3号位掉编监视2,0,0,1000007005,0,2,0,4001,992462,1,0,1000007005,0,0,0,0,0,0
400303,Rex3号位掉编监视3,0,0,1000007005,0,2,0,4001,992463,1,0,1000007005,0,0,0,0,0,0
400304,Rex3号位掉编监视4,0,0,1000007005,0,2,0,4001,992464,1,0,1000007005,0,0,0,0,0,0
400305,Rex3号位掉编监视5,0,0,1000007005,0,2,0,4001,992465,1,0,1000007005,0,0,0,0,0,0
400306,Rex3号位掉编监视6,0,0,1000007005,0,2,0,4001,992466,1,0,1000007005,0,0,0,0,0,0
400307,Rex3号位掉编监视7,0,0,1000007005,0,2,0,4001,992467,1,0,1000007005,0,0,0,0,0,0
400308,Rex3号位掉编监视8,0,0,1000007005,0,2,0,4001,992468,1,0,1000007005,0,0,0,0,0,0
400309,Rex3号位掉编监视9,0,0,1000007005,0,2,0,4001,992469,1,0,1000007005,0,0,0,0,0,0
400310,Rex3号位掉编监视10,0,0,1000007005,0,2,0,4001,992470,1,0,1000007005,0,0,0,0,0,0
400401,Rex4号位掉编监视1,0,0,1000007005,0,2,0,4001,992436,1,0,1000007005,0,0,0,0,0,0
400402,Rex4号位掉编监视2,0,0,1000007005,0,2,0,4001,992471,1,0,1000007005,0,0,0,0,0,0
400403,Rex4号位掉编监视3,0,0,1000007005,0,2,0,4001,992472,1,0,1000007005,0,0,0,0,0,0
400404,Rex4号位掉编监视4,0,0,1000007005,0,2,0,4001,992473,1,0,1000007005,0,0,0,0,0,0
400405,Rex4号位掉编监视5,0,0,1000007005,0,2,0,4001,992474,1,0,1000007005,0,0,0,0,0,0
400406,Rex4号位掉编监视6,0,0,1000007005,0,2,0,4001,992475,1,0,1000007005,0,0,0,0,0,0
400407,Rex4号位掉编监视7,0,0,1000007005,0,2,0,4001,992476,1,0,1000007005,0,0,0,0,0,0
400408,Rex4号位掉编监视8,0,0,1000007005,0,2,0,4001,992477,1,0,1000007005,0,0,0,0,0,0
400409,Rex4号位掉编监视9,0,0,1000007005,0,2,0,4001,992478,1,0,1000007005,0,0,0,0,0,0
400410,Rex4号位掉编监视10,0,0,1000007005,0,2,0,4001,992479,1,0,1000007005,0,0,0,0,0,0
400501,Rex5号位掉编监视1,0,0,1000007005,0,2,0,4001,992437,1,0,1000007005,0,0,0,0,0,0
400502,Rex5号位掉编监视2,0,0,1000007005,0,2,0,4001,992480,1,0,1000007005,0,0,0,0,0,0
400503,Rex5号位掉编监视3,0,0,1000007005,0,2,0,4001,992481,1,0,1000007005,0,0,0,0,0,0
400504,Rex5号位掉编监视4,0,0,1000007005,0,2,0,4001,992482,1,0,1000007005,0,0,0,0,0,0
400505,Rex5号位掉编监视5,0,0,1000007005,0,2,0,4001,992483,1,0,1000007005,0,0,0,0,0,0
400506,Rex5号位掉编监视6,0,0,1000007005,0,2,0,4001,992484,1,0,1000007005,0,0,0,0,0,0
400507,Rex5号位掉编监视7,0,0,1000007005,0,2,0,4001,992485,1,0,1000007005,0,0,0,0,0,0
400508,Rex5号位掉编监视8,0,0,1000007005,0,2,0,4001,992486,1,0,1000007005,0,0,0,0,0,0
400509,Rex5号位掉编监视9,0,0,1000007005,0,2,0,4001,992487,1,0,1000007005,0,0,0,0,0,0
400510,Rex5号位掉编监视10,0,0,1000007005,0,2,0,4001,992488,1,0,1000007005,0,0,0,0,0,0
