id,type,code,name,detail,background_code
39,cg_collection-10000039,cg_collection-20000039,2018SummerCG5,39,10150
40,cg_collection-10000040,cg_collection-20000040,2018SummerCG1-1,40,10156
41,cg_collection-10000041,cg_collection-20000041,2018SummerCG8,41,10157
42,cg_collection-10000042,cg_collection-20000042,19WinterCG1,42,10194
43,cg_collection-10000043,cg_collection-20000043,19WinterCG2,43,10225|10264
44,cg_collection-10000044,cg_collection-20000044,19WinterCG3,44,10226
45,cg_collection-10000045,cg_collection-20000045,19WinterCG4,45,10242
46,cg_collection-10000046,cg_collection-20000046,19WinterCG6,46,10247|10275
47,cg_collection-10000047,cg_collection-20000047,CG10-4-1,47,119
48,cg_collection-10000048,cg_collection-20000048,19winter_ump45vs,48,10447
49,cg_collection-10000049,cg_collection-20000049,19winter_4516,49,10454
50,cg_collection-10000050,cg_collection-20000050,19winter_m4_1,50,10468
51,cg_collection-10000051,cg_collection-20000051,19winter_ange_2,51,10469
52,cg_collection-10000052,cg_collection-20000052,17xhCG2-2,52,10037
53,cg_collection-10000053,cg_collection-20000053,17xhCG4-0,53,10042
54,cg_collection-10000054,cg_collection-20000054,CG9-1.3,54,92
55,cg_collection-10000055,cg_collection-20000055,CG9-2.2,55,94
56,cg_collection-10000056,cg_collection-20000056,CG10-6-2,56,103
57,cg_collection-10000057,cg_collection-20000057,CG10-5-3,57,104
58,cg_collection-10000058,cg_collection-20000058,2018Winter1-1,58,10052
59,cg_collection-10000059,cg_collection-20000059,17xhCG1-1,59,10054
60,cg_collection-10000060,cg_collection-20000060,2018Winter2-3,60,10064
61,cg_collection-10000061,cg_collection-20000061,2018Winter3-2,61,10081
62,cg_collection-10000062,cg_collection-20000062,2018Winter7-1,62,10084
63,cg_collection-10000063,cg_collection-20000063,2018Winter6-1,63,10085
64,cg_collection-10000064,cg_collection-20000064,2018Winter8-1,64,10086
65,cg_collection-10000065,cg_collection-20000065,2018Winter5-1,65,10087
66,cg_collection-10000066,cg_collection-20000066,CG11-1,66,114
67,cg_collection-10000067,cg_collection-20000067,17xhCG3-1,67,10296
68,cg_collection-10000068,cg_collection-20000068,2019summer_2,68,10300
69,cg_collection-10000069,cg_collection-20000069,2019summer_4_1,69,10310
70,cg_collection-10000070,cg_collection-20000070,2019summer_9,70,10319
71,cg_collection-10000071,cg_collection-20000071,2019summer_10,71,10335
72,cg_collection-10000072,cg_collection-20000072,CG10-2-3,72,102
73,cg_collection-10000073,cg_collection-20000073,13CG3v2,73,128
74,cg_collection-10000074,cg_collection-20000074,2020summerBattle2,74,10535
75,cg_collection-10000075,cg_collection-20000075,2020summerAnge,75,10546
76,cg_collection-10000076,cg_collection-20000076,2020summerA&M2,76,10579
77,cg_collection-10000077,cg_collection-20000077,2021white_R&A,77,10729
78,cg_collection-10000078,cg_collection-20000078,2021white_RPK16&AK15,78,10732
79,cg_collection-10000079,cg_collection-20000079,2021white_Machlian01,79,10740
80,cg_collection-10000080,cg_collection-20000080,2021white_Dandelion,80,10741
81,cg_collection-10000081,cg_collection-20000081,2021summer_M16_ATTACK_1,81,10880
82,cg_collection-10000082,cg_collection-20000082,2021summer_M16_COMEBACK,82,10880
83,cg_collection-10000083,cg_collection-20000083,2021summer_Murderous,83,10883
84,cg_collection-10000084,cg_collection-20000084,2021summer_SANGVISFERRI,84,10820|10839
85,cg_collection-10000085,cg_collection-20000085,2022winter_Family_3,85,11061
86,cg_collection-10000086,cg_collection-20000086,2022winter_squad,86,11074
87,cg_collection-10000087,cg_collection-20000087,2022winter_16vs16_a,87,11080
88,cg_collection-10000088,cg_collection-20000088,2022summer_Target_a,88,11172
89,cg_collection-10000089,cg_collection-20000089,2022summer_LightUpNight_b,89,11175
90,cg_collection-10000090,cg_collection-20000090,2022summer_robbery_a,90,11181
91,cg_collection-10000091,cg_collection-20000091,2022summer_Farewell_a,91,11194
92,cg_collection-10000092,cg_collection-20000092,2022summer_1stDeath_a,92,11195
93,cg_collection-10000093,cg_collection-20000093,2022summer_DeadEnd,93,11203
94,cg_collection-10000094,cg_collection-20000094,2022summer_Doctor_a,94,11204
95,cg_collection-10000095,cg_collection-20000095,2022summer_Doctor_b,95,11229
96,cg_collection-10000096,cg_collection-20000096,2022saros_FatedReunion,96,11258
97,cg_collection-10000097,cg_collection-20000097,2023slow_Teacher-Student_a,97,11406
98,cg_collection-10000098,cg_collection-20000098,2023slow_DestroyPortrait_b,98,11342
99,cg_collection-10000099,cg_collection-20000099,2023slow_Laplace,99,11345
100,cg_collection-10000100,cg_collection-20000100,2023slow_BecomeHuman_d,100,11412
101,cg_collection-10000101,cg_collection-20000101,2023slow_Photo,101,11416
102,cg_collection-10000102,cg_collection-20000102,2023slow_TowerFall_b,102,11418
103,cg_collection-10000103,cg_collection-20000103,202505_Kalina_b,103,11907
104,cg_collection-10000104,cg_collection-20000104,202505_Kalina_a,104,11915
