id	type	difficulty	difficulty_group	state_type	mission_group	daily_pt
11	1	1	6	1	530001,530051	180
12	1	1	6	2	530004,530054	180
13	1	2	1	1	500006,500036,500066,500096,500126,500156,500186,500216,500246,500276,500306,500336,500366,500396,500426,500456,500486,500516,500546,500576,500006,500036,500066,500096,500126,500156,500186,500216,500246,500276,500306,500336,500366,500396,500426,500456,500486,500516,500546,500576,500006,500036,500066,500096,500126,500156,500186,500216,500246,500276,500306,500336,500366,500396,500426,500456,500486,500516,500546,500576,500006,500036,500066,500096,500126,500156,500186,500216,500246,500276,500306,500336,500366,500396,500426,500456,500486,500516,500546,500576,500006,500036,500066,500096,500126,500156,500186,500216,500246,500276,500306,500336,500366,500396,500426,500456,500486,500516,500546,500576,500006,500036,500066,500096,500126,500156,500186,500216,500246,500276,500306,500336,500366,500396,500426,500456,500486,500516,500546,500576,580001,580002,580003,580004,580005,580006	45
14	1	2	1	2	500021,500051,500081,500111,500141,500171,500201,500231,500261,500291,500321,500351,500381,500411,500441,500471,500501,500531,500561,500591,500021,500051,500081,500111,500141,500171,500201,500231,500261,500291,500321,500351,500381,500411,500441,500471,500501,500531,500561,500591,500021,500051,500081,500111,500141,500171,500201,500231,500261,500291,500321,500351,500381,500411,500441,500471,500501,500531,500561,500591,500021,500051,500081,500111,500141,500171,500201,500231,500261,500291,500321,500351,500381,500411,500441,500471,500501,500531,500561,500591,500021,500051,500081,500111,500141,500171,500201,500231,500261,500291,500321,500351,500381,500411,500441,500471,500501,500531,500561,500591,500021,500051,500081,500111,500141,500171,500201,500231,500261,500291,500321,500351,500381,500411,500441,500471,500501,500531,500561,500591,580001,580002,580003,580004,580005,580006	45
15	1	2	2	1	500007,500037,500067,500097,500127,500157,500187,500217,500247,500277,500307,500337,500367,500397,500427,500457,500487,500517,500547,500577,500007,500037,500067,500097,500127,500157,500187,500217,500247,500277,500307,500337,500367,500397,500427,500457,500487,500517,500547,500577,500007,500037,500067,500097,500127,500157,500187,500217,500247,500277,500307,500337,500367,500397,500427,500457,500487,500517,500547,500577,500007,500037,500067,500097,500127,500157,500187,500217,500247,500277,500307,500337,500367,500397,500427,500457,500487,500517,500547,500577,500007,500037,500067,500097,500127,500157,500187,500217,500247,500277,500307,500337,500367,500397,500427,500457,500487,500517,500547,500577,500007,500037,500067,500097,500127,500157,500187,500217,500247,500277,500307,500337,500367,500397,500427,500457,500487,500517,500547,500577,580001,580002,580003,580004,580005,580006	68
16	1	2	2	2	500022,500052,500082,500112,500142,500172,500202,500232,500262,500292,500322,500352,500382,500412,500442,500472,500502,500532,500562,500592,500022,500052,500082,500112,500142,500172,500202,500232,500262,500292,500322,500352,500382,500412,500442,500472,500502,500532,500562,500592,500022,500052,500082,500112,500142,500172,500202,500232,500262,500292,500322,500352,500382,500412,500442,500472,500502,500532,500562,500592,500022,500052,500082,500112,500142,500172,500202,500232,500262,500292,500322,500352,500382,500412,500442,500472,500502,500532,500562,500592,500022,500052,500082,500112,500142,500172,500202,500232,500262,500292,500322,500352,500382,500412,500442,500472,500502,500532,500562,500592,500022,500052,500082,500112,500142,500172,500202,500232,500262,500292,500322,500352,500382,500412,500442,500472,500502,500532,500562,500592,580001,580002,580003,580004,580005,580006	68
17	1	2	3	1	500008,500038,500068,500098,500128,500158,500188,500218,500248,500278,500308,500338,500368,500398,500428,500458,500488,500518,500548,500578,500008,500038,500068,500098,500128,500158,500188,500218,500248,500278,500308,500338,500368,500398,500428,500458,500488,500518,500548,500578,500008,500038,500068,500098,500128,500158,500188,500218,500248,500278,500308,500338,500368,500398,500428,500458,500488,500518,500548,500578,500008,500038,500068,500098,500128,500158,500188,500218,500248,500278,500308,500338,500368,500398,500428,500458,500488,500518,500548,500578,500008,500038,500068,500098,500128,500158,500188,500218,500248,500278,500308,500338,500368,500398,500428,500458,500488,500518,500548,500578,500008,500038,500068,500098,500128,500158,500188,500218,500248,500278,500308,500338,500368,500398,500428,500458,500488,500518,500548,500578,580001,580002,580003,580004,580005,580006	90
18	1	2	3	2	500023,500053,500083,500113,500143,500173,500203,500233,500263,500293,500323,500353,500383,500413,500443,500473,500503,500533,500563,500593,500023,500053,500083,500113,500143,500173,500203,500233,500263,500293,500323,500353,500383,500413,500443,500473,500503,500533,500563,500593,500023,500053,500083,500113,500143,500173,500203,500233,500263,500293,500323,500353,500383,500413,500443,500473,500503,500533,500563,500593,500023,500053,500083,500113,500143,500173,500203,500233,500263,500293,500323,500353,500383,500413,500443,500473,500503,500533,500563,500593,500023,500053,500083,500113,500143,500173,500203,500233,500263,500293,500323,500353,500383,500413,500443,500473,500503,500533,500563,500593,500023,500053,500083,500113,500143,500173,500203,500233,500263,500293,500323,500353,500383,500413,500443,500473,500503,500533,500563,500593,580001,580002,580003,580004,580005,580006	90
19	1	2	4	1	500009,500039,500069,500099,500129,500159,500189,500219,500249,500279,500309,500339,500369,500399,500429,500459,500489,500519,500549,500579,500009,500039,500069,500099,500129,500159,500189,500219,500249,500279,500309,500339,500369,500399,500429,500459,500489,500519,500549,500579,500009,500039,500069,500099,500129,500159,500189,500219,500249,500279,500309,500339,500369,500399,500429,500459,500489,500519,500549,500579,500009,500039,500069,500099,500129,500159,500189,500219,500249,500279,500309,500339,500369,500399,500429,500459,500489,500519,500549,500579,500009,500039,500069,500099,500129,500159,500189,500219,500249,500279,500309,500339,500369,500399,500429,500459,500489,500519,500549,500579,500009,500039,500069,500099,500129,500159,500189,500219,500249,500279,500309,500339,500369,500399,500429,500459,500489,500519,500549,500579,580001,580002,580003,580004,580005,580006	112
20	1	2	4	2	500024,500054,500084,500114,500144,500174,500204,500234,500264,500294,500324,500354,500384,500414,500444,500474,500504,500534,500564,500594,500024,500054,500084,500114,500144,500174,500204,500234,500264,500294,500324,500354,500384,500414,500444,500474,500504,500534,500564,500594,500024,500054,500084,500114,500144,500174,500204,500234,500264,500294,500324,500354,500384,500414,500444,500474,500504,500534,500564,500594,500024,500054,500084,500114,500144,500174,500204,500234,500264,500294,500324,500354,500384,500414,500444,500474,500504,500534,500564,500594,500024,500054,500084,500114,500144,500174,500204,500234,500264,500294,500324,500354,500384,500414,500444,500474,500504,500534,500564,500594,500024,500054,500084,500114,500144,500174,500204,500234,500264,500294,500324,500354,500384,500414,500444,500474,500504,500534,500564,500594,580001,580002,580003,580004,580005,580006	112
21	1	2	5	1	500010,500040,500070,500100,500130,500160,500190,500220,500250,500280,500310,500340,500370,500400,500430,500460,500490,500520,500550,500580,500010,500040,500070,500100,500130,500160,500190,500220,500250,500280,500310,500340,500370,500400,500430,500460,500490,500520,500550,500580,500010,500040,500070,500100,500130,500160,500190,500220,500250,500280,500310,500340,500370,500400,500430,500460,500490,500520,500550,500580,500010,500040,500070,500100,500130,500160,500190,500220,500250,500280,500310,500340,500370,500400,500430,500460,500490,500520,500550,500580,500010,500040,500070,500100,500130,500160,500190,500220,500250,500280,500310,500340,500370,500400,500430,500460,500490,500520,500550,500580,500010,500040,500070,500100,500130,500160,500190,500220,500250,500280,500310,500340,500370,500400,500430,500460,500490,500520,500550,500580,580001,580002,580003,580004,580005,580006	135
22	1	2	5	2	500025,500055,500085,500115,500145,500175,500205,500235,500265,500295,500325,500355,500385,500415,500445,500475,500505,500535,500565,500595,500025,500055,500085,500115,500145,500175,500205,500235,500265,500295,500325,500355,500385,500415,500445,500475,500505,500535,500565,500595,500025,500055,500085,500115,500145,500175,500205,500235,500265,500295,500325,500355,500385,500415,500445,500475,500505,500535,500565,500595,500025,500055,500085,500115,500145,500175,500205,500235,500265,500295,500325,500355,500385,500415,500445,500475,500505,500535,500565,500595,500025,500055,500085,500115,500145,500175,500205,500235,500265,500295,500325,500355,500385,500415,500445,500475,500505,500535,500565,500595,500025,500055,500085,500115,500145,500175,500205,500235,500265,500295,500325,500355,500385,500415,500445,500475,500505,500535,500565,500595,580001,580002,580003,580004,580005,580006	135
23	1	2	6	1	530002,530052	270
24	1	2	6	2	530005,530055	270
25	1	3	1	1	500011,500041,500071,500101,500131,500161,500191,500221,500251,500281,500311,500341,500371,500401,500431,500461,500491,500521,500551,500581,500011,500041,500071,500101,500131,500161,500191,500221,500251,500281,500311,500341,500371,500401,500431,500461,500491,500521,500551,500581,500011,500041,500071,500101,500131,500161,500191,500221,500251,500281,500311,500341,500371,500401,500431,500461,500491,500521,500551,500581,500011,500041,500071,500101,500131,500161,500191,500221,500251,500281,500311,500341,500371,500401,500431,500461,500491,500521,500551,500581,500011,500041,500071,500101,500131,500161,500191,500221,500251,500281,500311,500341,500371,500401,500431,500461,500491,500521,500551,500581,500011,500041,500071,500101,500131,500161,500191,500221,500251,500281,500311,500341,500371,500401,500431,500461,500491,500521,500551,500581,580001,580002,580003,580004,580005,580006	60
26	1	3	1	2	500026,500056,500086,500116,500146,500176,500206,500236,500266,500296,500326,500356,500386,500416,500446,500476,500506,500536,500566,500596,500026,500056,500086,500116,500146,500176,500206,500236,500266,500296,500326,500356,500386,500416,500446,500476,500506,500536,500566,500596,500026,500056,500086,500116,500146,500176,500206,500236,500266,500296,500326,500356,500386,500416,500446,500476,500506,500536,500566,500596,500026,500056,500086,500116,500146,500176,500206,500236,500266,500296,500326,500356,500386,500416,500446,500476,500506,500536,500566,500596,500026,500056,500086,500116,500146,500176,500206,500236,500266,500296,500326,500356,500386,500416,500446,500476,500506,500536,500566,500596,500026,500056,500086,500116,500146,500176,500206,500236,500266,500296,500326,500356,500386,500416,500446,500476,500506,500536,500566,500596,580001,580002,580003,580004,580005,580006	60
27	1	3	2	1	500012,500042,500072,500102,500132,500162,500192,500222,500252,500282,500312,500342,500372,500402,500432,500462,500492,500522,500552,500582,500012,500042,500072,500102,500132,500162,500192,500222,500252,500282,500312,500342,500372,500402,500432,500462,500492,500522,500552,500582,500012,500042,500072,500102,500132,500162,500192,500222,500252,500282,500312,500342,500372,500402,500432,500462,500492,500522,500552,500582,500012,500042,500072,500102,500132,500162,500192,500222,500252,500282,500312,500342,500372,500402,500432,500462,500492,500522,500552,500582,500012,500042,500072,500102,500132,500162,500192,500222,500252,500282,500312,500342,500372,500402,500432,500462,500492,500522,500552,500582,500012,500042,500072,500102,500132,500162,500192,500222,500252,500282,500312,500342,500372,500402,500432,500462,500492,500522,500552,500582,580001,580002,580003,580004,580005,580006	90
28	1	3	2	2	500027,500057,500087,500117,500147,500177,500207,500237,500267,500297,500327,500357,500387,500417,500447,500477,500507,500537,500567,500597,500027,500057,500087,500117,500147,500177,500207,500237,500267,500297,500327,500357,500387,500417,500447,500477,500507,500537,500567,500597,500027,500057,500087,500117,500147,500177,500207,500237,500267,500297,500327,500357,500387,500417,500447,500477,500507,500537,500567,500597,500027,500057,500087,500117,500147,500177,500207,500237,500267,500297,500327,500357,500387,500417,500447,500477,500507,500537,500567,500597,500027,500057,500087,500117,500147,500177,500207,500237,500267,500297,500327,500357,500387,500417,500447,500477,500507,500537,500567,500597,500027,500057,500087,500117,500147,500177,500207,500237,500267,500297,500327,500357,500387,500417,500447,500477,500507,500537,500567,500597,580001,580002,580003,580004,580005,580006	90
29	1	3	3	1	500013,500043,500073,500103,500133,500163,500193,500223,500253,500283,500313,500343,500373,500403,500433,500463,500493,500523,500553,500583,500013,500043,500073,500103,500133,500163,500193,500223,500253,500283,500313,500343,500373,500403,500433,500463,500493,500523,500553,500583,500013,500043,500073,500103,500133,500163,500193,500223,500253,500283,500313,500343,500373,500403,500433,500463,500493,500523,500553,500583,500013,500043,500073,500103,500133,500163,500193,500223,500253,500283,500313,500343,500373,500403,500433,500463,500493,500523,500553,500583,500013,500043,500073,500103,500133,500163,500193,500223,500253,500283,500313,500343,500373,500403,500433,500463,500493,500523,500553,500583,500013,500043,500073,500103,500133,500163,500193,500223,500253,500283,500313,500343,500373,500403,500433,500463,500493,500523,500553,500583,580001,580002,580003,580004,580005,580006	120
30	1	3	3	2	500028,500058,500088,500118,500148,500178,500208,500238,500268,500298,500328,500358,500388,500418,500448,500478,500508,500538,500568,500598,500028,500058,500088,500118,500148,500178,500208,500238,500268,500298,500328,500358,500388,500418,500448,500478,500508,500538,500568,500598,500028,500058,500088,500118,500148,500178,500208,500238,500268,500298,500328,500358,500388,500418,500448,500478,500508,500538,500568,500598,500028,500058,500088,500118,500148,500178,500208,500238,500268,500298,500328,500358,500388,500418,500448,500478,500508,500538,500568,500598,500028,500058,500088,500118,500148,500178,500208,500238,500268,500298,500328,500358,500388,500418,500448,500478,500508,500538,500568,500598,500028,500058,500088,500118,500148,500178,500208,500238,500268,500298,500328,500358,500388,500418,500448,500478,500508,500538,500568,500598,580001,580002,580003,580004,580005,580006	120
31	1	3	4	1	500014,500044,500074,500104,500134,500164,500194,500224,500254,500284,500314,500344,500374,500404,500434,500464,500494,500524,500554,500584,500014,500044,500074,500104,500134,500164,500194,500224,500254,500284,500314,500344,500374,500404,500434,500464,500494,500524,500554,500584,500014,500044,500074,500104,500134,500164,500194,500224,500254,500284,500314,500344,500374,500404,500434,500464,500494,500524,500554,500584,500014,500044,500074,500104,500134,500164,500194,500224,500254,500284,500314,500344,500374,500404,500434,500464,500494,500524,500554,500584,500014,500044,500074,500104,500134,500164,500194,500224,500254,500284,500314,500344,500374,500404,500434,500464,500494,500524,500554,500584,500014,500044,500074,500104,500134,500164,500194,500224,500254,500284,500314,500344,500374,500404,500434,500464,500494,500524,500554,500584,580001,580002,580003,580004,580005,580006	150
32	1	3	4	2	500029,500059,500089,500119,500149,500179,500209,500239,500269,500299,500329,500359,500389,500419,500449,500479,500509,500539,500569,500599,500029,500059,500089,500119,500149,500179,500209,500239,500269,500299,500329,500359,500389,500419,500449,500479,500509,500539,500569,500599,500029,500059,500089,500119,500149,500179,500209,500239,500269,500299,500329,500359,500389,500419,500449,500479,500509,500539,500569,500599,500029,500059,500089,500119,500149,500179,500209,500239,500269,500299,500329,500359,500389,500419,500449,500479,500509,500539,500569,500599,500029,500059,500089,500119,500149,500179,500209,500239,500269,500299,500329,500359,500389,500419,500449,500479,500509,500539,500569,500599,500029,500059,500089,500119,500149,500179,500209,500239,500269,500299,500329,500359,500389,500419,500449,500479,500509,500539,500569,500599,580001,580002,580003,580004,580005,580006	150
33	1	3	5	1	500015,500045,500075,500105,500135,500165,500195,500225,500255,500285,500315,500345,500375,500405,500435,500465,500495,500525,500555,500585,500015,500045,500075,500105,500135,500165,500195,500225,500255,500285,500315,500345,500375,500405,500435,500465,500495,500525,500555,500585,500015,500045,500075,500105,500135,500165,500195,500225,500255,500285,500315,500345,500375,500405,500435,500465,500495,500525,500555,500585,500015,500045,500075,500105,500135,500165,500195,500225,500255,500285,500315,500345,500375,500405,500435,500465,500495,500525,500555,500585,500015,500045,500075,500105,500135,500165,500195,500225,500255,500285,500315,500345,500375,500405,500435,500465,500495,500525,500555,500585,500015,500045,500075,500105,500135,500165,500195,500225,500255,500285,500315,500345,500375,500405,500435,500465,500495,500525,500555,500585,580001,580002,580003,580004,580005,580006	180
34	1	3	5	2	500030,500060,500090,500120,500150,500180,500210,500240,500270,500300,500330,500360,500390,500420,500450,500480,500510,500540,500570,500600,500030,500060,500090,500120,500150,500180,500210,500240,500270,500300,500330,500360,500390,500420,500450,500480,500510,500540,500570,500600,500030,500060,500090,500120,500150,500180,500210,500240,500270,500300,500330,500360,500390,500420,500450,500480,500510,500540,500570,500600,500030,500060,500090,500120,500150,500180,500210,500240,500270,500300,500330,500360,500390,500420,500450,500480,500510,500540,500570,500600,500030,500060,500090,500120,500150,500180,500210,500240,500270,500300,500330,500360,500390,500420,500450,500480,500510,500540,500570,500600,500030,500060,500090,500120,500150,500180,500210,500240,500270,500300,500330,500360,500390,500420,500450,500480,500510,500540,500570,500600,580001,580002,580003,580004,580005,580006	180
35	1	3	6	1	530003,530053	360
36	1	3	6	2	530006,530056	360
37	1	4	1	1	500811,500821,500831,500841,500851,500861,500871,500881,500891,500901,500911,500921,500931,500941,500951,500961,500971,500981,500991,501001,500811,500821,500831,500841,500851,500861,500871,500881,500891,500901,500911,500921,500931,500941,500951,500961,500971,500981,500991,501001,500811,500821,500831,500841,500851,500861,500871,500881,500891,500901,500911,500921,500931,500941,500951,500961,500971,500981,500991,501001,500811,500821,500831,500841,500851,500861,500871,500881,500891,500901,500911,500921,500931,500941,500951,500961,500971,500981,500991,501001,500811,500821,500831,500841,500851,500861,500871,500881,500891,500901,500911,500921,500931,500941,500951,500961,500971,500981,500991,501001,500811,500821,500831,500841,500851,500861,500871,500881,500891,500901,500911,500921,500931,500941,500951,500961,500971,500981,500991,501001,580001,580002,580003,580004,580005,580006	60
38	1	4	1	2	500816,500826,500836,500846,500856,500866,500876,500886,500896,500906,500916,500926,500936,500946,500956,500966,500976,500986,500996,501006,500816,500826,500836,500846,500856,500866,500876,500886,500896,500906,500916,500926,500936,500946,500956,500966,500976,500986,500996,501006,500816,500826,500836,500846,500856,500866,500876,500886,500896,500906,500916,500926,500936,500946,500956,500966,500976,500986,500996,501006,500816,500826,500836,500846,500856,500866,500876,500886,500896,500906,500916,500926,500936,500946,500956,500966,500976,500986,500996,501006,500816,500826,500836,500846,500856,500866,500876,500886,500896,500906,500916,500926,500936,500946,500956,500966,500976,500986,500996,501006,500816,500826,500836,500846,500856,500866,500876,500886,500896,500906,500916,500926,500936,500946,500956,500966,500976,500986,500996,501006,580001,580002,580003,580004,580005,580006	60
39	1	4	2	1	500812,500822,500832,500842,500852,500862,500872,500882,500892,500902,500912,500922,500932,500942,500952,500962,500972,500982,500992,501002,500812,500822,500832,500842,500852,500862,500872,500882,500892,500902,500912,500922,500932,500942,500952,500962,500972,500982,500992,501002,500812,500822,500832,500842,500852,500862,500872,500882,500892,500902,500912,500922,500932,500942,500952,500962,500972,500982,500992,501002,500812,500822,500832,500842,500852,500862,500872,500882,500892,500902,500912,500922,500932,500942,500952,500962,500972,500982,500992,501002,500812,500822,500832,500842,500852,500862,500872,500882,500892,500902,500912,500922,500932,500942,500952,500962,500972,500982,500992,501002,500812,500822,500832,500842,500852,500862,500872,500882,500892,500902,500912,500922,500932,500942,500952,500962,500972,500982,500992,501002,580001,580002,580003,580004,580005,580006	90
40	1	4	2	2	500817,500827,500837,500847,500857,500867,500877,500887,500897,500907,500917,500927,500937,500947,500957,500967,500977,500987,500997,501007,500817,500827,500837,500847,500857,500867,500877,500887,500897,500907,500917,500927,500937,500947,500957,500967,500977,500987,500997,501007,500817,500827,500837,500847,500857,500867,500877,500887,500897,500907,500917,500927,500937,500947,500957,500967,500977,500987,500997,501007,500817,500827,500837,500847,500857,500867,500877,500887,500897,500907,500917,500927,500937,500947,500957,500967,500977,500987,500997,501007,500817,500827,500837,500847,500857,500867,500877,500887,500897,500907,500917,500927,500937,500947,500957,500967,500977,500987,500997,501007,500817,500827,500837,500847,500857,500867,500877,500887,500897,500907,500917,500927,500937,500947,500957,500967,500977,500987,500997,501007,580001,580002,580003,580004,580005,580006	90
41	1	4	3	1	500813,500823,500833,500843,500853,500863,500873,500883,500893,500903,500913,500923,500933,500943,500953,500963,500973,500983,500993,501003,500813,500823,500833,500843,500853,500863,500873,500883,500893,500903,500913,500923,500933,500943,500953,500963,500973,500983,500993,501003,500813,500823,500833,500843,500853,500863,500873,500883,500893,500903,500913,500923,500933,500943,500953,500963,500973,500983,500993,501003,500813,500823,500833,500843,500853,500863,500873,500883,500893,500903,500913,500923,500933,500943,500953,500963,500973,500983,500993,501003,500813,500823,500833,500843,500853,500863,500873,500883,500893,500903,500913,500923,500933,500943,500953,500963,500973,500983,500993,501003,500813,500823,500833,500843,500853,500863,500873,500883,500893,500903,500913,500923,500933,500943,500953,500963,500973,500983,500993,501003,580001,580002,580003,580004,580005,580006	120
