id,name,description,rank,code,type,group,unlock_lv,basic_effect,search_range,normal_attack,skill,inherent_mission_skill,turn_mission_skill,skill_group,h_weapon_ratio,l_weapon_ratio,reload_ratio,atk_speed_ratio,precision_ratio,hit_ratio,heavy_damage,light_damage,reload,atk_speed,precision,hit,armor,dodge,speed,critical_harm_rate,critical_percent,H_armor_piercing,L_armor_piercing,def_break,energy,energy_bak,night_view_percent,is_addition,is_show,obtain_ids,sp_description,att_roll,bonus_type,interact_point,interact_point_offset,exp_provide,introduction,attack_type,effect_range,custom_type,unable_buff_id,unable_buff_type
1006,vehicle_component-10001006,vehicle_component-20001006,5,闪避芯片,0,134,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001006,5004,dodge:1000,,,1000,vehicle_component-50001006,0,,1000,,
1007,vehicle_component-10001007,vehicle_component-20001007,5,火力芯片,0,135,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001007,5003,"heavy_damage:1000,light_damage:1000",,,1000,vehicle_component-50001007,0,,1000,,
1008,vehicle_component-10001008,vehicle_component-20001008,5,全速芯片,0,136,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001008,5003,"reload:1000,atk_speed:1000",,,1000,vehicle_component-50001008,0,,1000,,
1009,vehicle_component-10001009,vehicle_component-20001009,5,鹰眼芯片,0,137,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001009,5003,"precision:1000,hit:1000",,,1000,vehicle_component-50001009,0,,1000,,
1010,vehicle_component-10001010,vehicle_component-20001010,5,暴击芯片,0,138,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0,1,,vehicle_component-40001010,5002,"critical_harm_rate:1000,critical_percent:1000",,,1000,vehicle_component-50001010,0,,1000,,
1011,vehicle_component-10001011,vehicle_component-20001011,5,防御芯片,0,139,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001011,5004,"armor:1000,dodge:1000",,,1000,vehicle_component-50001011,0,,1000,,
1012,vehicle_component-10001012,vehicle_component-20001012,5,重武芯片,0,127,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001012,5001,heavy_damage:1000,,,1000,vehicle_component-50001012,0,,1000,,
1013,vehicle_component-10001013,vehicle_component-20001013,5,轻武芯片,0,128,"3,10","3000,5000,5000",0,0,,,,,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001013,5002,light_damage:1000,,,1000,vehicle_component-50001013,0,,1000,,
1101,vehicle_component-10001101,vehicle_component-20001101,5,MG_Single,2,101,"1,3,10","4500,5000,5000,5000",8,770001,1:770002,,,,0,60,0,100,0,90,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001101,2001,"light_damage:1000,atk_speed:1000",,,1000,vehicle_component-50001101,0,,1002,,
1102,vehicle_component-10001102,vehicle_component-20001102,5,RF_AntiTank,2,102,"1,3,10","4500,5000,5000,5000",8,770003,1:770004,,,,0,160,0,35,0,200,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001102,2002,light_damage:1000,,,1000,vehicle_component-50001102,0,,1002,,
1103,vehicle_component-10001103,vehicle_component-20001103,5,MG_Multi_Barrel,2,103,"1,3,10","4500,5000,5000,5000",8,770008,1:770009,,,"770010,770009",0,70,0,90,0,90,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001103,2003,"light_damage:1000,atk_speed:1000",,,1000,vehicle_component-50001103,0,,1002,,
1104,vehicle_component-10001104,vehicle_component-20001104,5,HMGCom,2,104,"1,3,10","4500,5000,5000,5000",8,220206,1:220205,,,"220207,220208,220219",0,150,0,120,0,60,0,25,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001104,2004,"light_damage:1000,hit:1000",,,1000,vehicle_component-50001104,0,,1002,,
1105,vehicle_component-10001105,vehicle_component-20001105,5,Searchlight,3,105,"1,3,10","4500,5000,5000,5000",0,900107,1:770006,,,"770005,770007",0,0,0,0,0,0,0,0,0,0,34,11,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001105,4001,"precision:1000,hit:1000",,,1000,vehicle_component-50001105,0,,1003,,
1106,vehicle_component-10001106,vehicle_component-20001106,5,Flame_Ejector,2,106,"1,3,10","4500,5000,5000,5000",8,770053,1:770054,,,,0,60,0,100,0,100,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001106,2002,"light_damage:1000,atk_speed:1000",,,1000,vehicle_component-50001106,0,,1002,,
1107,vehicle_component-10001107,vehicle_component-20001107,5,MG_Cannon,2,107,"1,3,10","4500,5000,5000,5000",8,770055,1:770056,,,,0,110,0,60,0,80,0,30,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001107,2001,"light_damage:1000,atk_speed:1000",,,1000,vehicle_component-50001107,0,,1002,,
1108,vehicle_component-10001108,vehicle_component-20001108,5,GrenadeComponent,1,108,"1,3,10","4500,5000,5000,5000",20,900107,1:220110,,,"220116,220171",50,0,130,0,80,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001108,1001,"heavy_damage:1000,reload:1000",,,1000,vehicle_component-50001108,2,1.5,1001,,
1109,vehicle_component-10001109,vehicle_component-20001109,5,Laser_Weapon,1,109,"1,3,10","4500,5000,5000,5000",20,900107,1:220119,,,220171,75,0,80,0,50,0,20,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001109,1002,"heavy_damage:1000,precision:1000",,,1000,vehicle_component-50001109,1,,1001,,
1110,vehicle_component-10001110,vehicle_component-20001110,5,Cannon,1,110,"1,3,10","4500,5000,5000,5000",20,900107,1:220111,,,"220159,220171",60,0,50,0,45,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001110,1003,"heavy_damage:1000,reload:1000",,,1000,vehicle_component-50001110,1,,1001,,
1111,vehicle_component-10001111,vehicle_component-20001111,5,Flak_Cannon,1,111,"1,3,10","4500,5000,5000,5000",20,900107,1:220125,,,220171,60,0,45,0,50,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001111,1004,"heavy_damage:1000,reload:1000",,,1000,vehicle_component-50001111,2,4,1001,,
1112,vehicle_component-10001112,vehicle_component-20001112,5,Pulse_Cannon,1,112,"1,3,10","4500,5000,5000,5000",20,900107,1:220126,,,"220127,220128,220171",60,0,80,0,90,0,30,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001112,1002,"heavy_damage:1000,precision:1000",,,1000,vehicle_component-50001112,1,,1001,,
1113,vehicle_component-10001113,vehicle_component-20001113,5,Armor_Cannon,1,113,"1,3,10","4500,5000,5000,5000",20,900107,1:220129,,,220171,60,0,40,0,50,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001113,1003,"heavy_damage:1000,armor:1000",,,1000,vehicle_component-50001113,1,,1001,,
1114,vehicle_component-10001114,vehicle_component-20001114,5,Interference_Gun,3,114,"1,3,10","4500,5000,5000,5000",0,900107,1:770065,,,,0,0,0,0,0,0,0,0,0,0,17,6,0,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001114,4003,"precision:1000,hit:1000,dodge:1000",,,1000,vehicle_component-50001114,0,,1003,,
1115,vehicle_component-10001115,vehicle_component-20001115,5,Jammer,3,115,"1,3,10","4500,5000,5000,5000",0,900107,1:770074,,,,0,0,0,0,0,0,0,0,0,0,17,6,0,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001115,4003,"precision:1000,hit:1000,dodge:1000",,,1000,vehicle_component-50001115,0,,1003,,
1116,vehicle_component-10001116,vehicle_component-20001116,5,Signal_Tower,3,116,"1,3,10","4500,5000,5000,5000",0,900107,1:770076,,,"770077,770078,770079,770080",0,0,0,0,0,0,0,0,0,0,34,11,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001116,4002,"precision:1000,hit:1000",,,1000,vehicle_component-50001116,0,,1003,,
1117,vehicle_component-10001117,vehicle_component-20001117,5,Smoke_Emitter,3,117,"1,3,10","4500,5000,5000,5000",0,900107,1:770075,,,,0,0,0,0,0,0,0,0,0,0,17,6,0,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001117,4003,"precision:1000,hit:1000,dodge:1000",,,1000,vehicle_component-50001117,0,,1003,,
1118,vehicle_component-10001118,vehicle_component-20001118,5,Small_Missile_Launcher,1,118,"1,3,10","4500,5000,5000,5000",20,900107,1:220132,,,220171,65,0,60,0,100,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001118,1001,"heavy_damage:1000,reload:1000",,,1000,vehicle_component-50001118,3,1.5,1001,,
1119,vehicle_component-10001119,vehicle_component-20001119,5,Medium_Missile_Launcher,1,119,"1,3,10","4500,5000,5000,5000",20,900107,1:220157,,,220171,80,0,20,0,100,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001119,1001,"heavy_damage:1000,reload:1000",,,1000,vehicle_component-50001119,3,6,1001,,
1120,vehicle_component-10001120,vehicle_component-20001120,5,Electromagnetic_Artillery,1,120,"1,3,10","4500,5000,5000,5000",20,900107,1:220161,,,"220162,220163,220164,220165,220171,220226",70,0,40,0,80,0,25,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001120,1004,"heavy_damage:1000,precision:1000",,,1000,vehicle_component-50001120,1,,1001,,
1121,vehicle_component-10001121,vehicle_component-20001121,5,ERA,4,121,"1,3,10","4500,5000,5000,5000",0,900107,1:770119,,,770123,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001121,3001,"armor:1000,dodge:1000",,,1000,vehicle_component-50001121,0,,1003,,
1122,vehicle_component-10001122,vehicle_component-20001122,5,Rotating_Turret,2,122,"1,3,10","4500,5000,5000,5000",8,770060,1:770057,,,"770058,770059,770061",0,60,0,100,0,100,0,20,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001122,2003,"light_damage:1000,atk_speed:1000,hit:1000",,,1000,vehicle_component-50001122,0,,1002,,
1123,vehicle_component-10001123,vehicle_component-20001123,5,UAV_Compartment,3,123,"1,3,10","4500,5000,5000,5000",0,900107,1:770071,,,,0,0,0,0,0,0,0,0,5,3,17,6,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001123,4002,"reload:1000,atk_speed:1000,precision:1000,hit:1000",,,1000,vehicle_component-50001123,0,,1003,,
1124,vehicle_component-10001124,vehicle_component-20001124,5,AutoDef,4,124,"1,3,10","4500,5000,5000,5000",0,900107,1:770067,,,"770066,770068,770069,770070",0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001124,3002,"armor:1000,dodge:1000",,,1000,vehicle_component-50001124,0,,1003,,
1125,vehicle_component-10001125,vehicle_component-20001125,5,PAR,3,125,"1,3,10","4500,5000,5000,5000",0,900107,2:9981,,,770064,0,0,0,0,0,0,0,0,0,0,34,11,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001125,4001,"precision:1000,hit:1000",,,1000,vehicle_component-50001125,0,,1003,,
1126,vehicle_component-10001126,vehicle_component-20001126,5,LMGCom,2,140,"1,3,10","4500,5000,5000,5000",8,220210,1:220209,,,,0,60,0,80,0,100,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001126,2001,"atk_speed:1000,hit:1000",,,1000,vehicle_component-50001126,0,,1002,,
1127,vehicle_component-10001127,vehicle_component-20001127,5,Protective_Generator,4,141,"1,3,10","4500,5000,5000,5000",0,900107,1:770116,,,770122,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001127,3001,"armor:1000,dodge:1000",,,1000,vehicle_component-50001127,0,,1003,,
1128,vehicle_component-10001128,vehicle_component-20001128,5,ElecGun,2,142,"1,3,10","4500,5000,5000,5000",8,220212,1:220211,,,220213,0,120,0,60,0,100,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001128,2004,"light_damage:1000,atk_speed:1000",,,1000,vehicle_component-50001128,0,,1002,,
1129,vehicle_component-10001129,vehicle_component-20001129,5,LaserSup,3,143,"1,3,10","4500,5000,5000,5000",0,900107,1:770117,,,770118,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001129,4001,"hit:1000,dodge:1000",,,1000,vehicle_component-50001129,0,,1003,,
1130,vehicle_component-10001130,vehicle_component-20001130,5,ShotgunVehicle,2,144,"1,3,10","4500,5000,5000,5000",8,770128,1:770129,,,,0,70,0,90,0,90,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001130,2001,"light_damage:1000,atk_speed:1000",,,1000,vehicle_component-50001130,0,,1002,,
1131,vehicle_component-10001131,vehicle_component-20001131,5,MortarVehicle,1,145,"1,3,10","4500,5000,5000,5000",20,900107,1:770133,,,"220171,770137",80,0,50,0,50,0,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001131,1003,"heavy_damage:1000,reload:1000",,,1000,vehicle_component-50001131,2,4,1001,,
1132,vehicle_component-10001132,vehicle_component-20001132,5,LaserRangefinder,3,146,"1,3,10","4500,5000,5000,5000",0,900107,1:770134,,,,0,0,0,0,0,0,25,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001132,4003,"heavy_damage:1000,reload:1000,precision:1000",,,1000,vehicle_component-50001132,0,,1003,,
1133,vehicle_component-10001133,vehicle_component-20001133,5,CamouflageNet,4,147,"1,3,10","4500,5000,5000,5000",0,900107,2:9982,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001133,3001,"armor:1000,dodge:1000",,,1000,vehicle_component-50001133,0,,1003,,
1134,vehicle_component-10001134,vehicle_component-20001134,5,GrilleArmor,4,148,"1,3,10","4500,5000,5000,5000",0,900107,1:770131,,,"770130,770132,770136,770135",0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40001134,3001,"armor:1000,dodge:1000",,,1000,vehicle_component-50001134,0,,1003,,
2001,vehicle_component-10002001,vehicle_component-20002001,4,装填芯片,0,129,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002001,5001,reload:1000,,,500,vehicle_component-50002001,0,,1000,,
2002,vehicle_component-10002002,vehicle_component-20002002,4,射速芯片,0,130,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002002,5002,atk_speed:1000,,,500,vehicle_component-50002002,0,,1000,,
2003,vehicle_component-10002003,vehicle_component-20002003,4,精准芯片,0,131,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002003,5001,precision:1000,,,500,vehicle_component-50002003,0,,1000,,
2004,vehicle_component-10002004,vehicle_component-20002004,4,命中芯片,0,132,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002004,5002,hit:1000,,,500,vehicle_component-50002004,0,,1000,,
2005,vehicle_component-10002005,vehicle_component-20002005,4,护甲芯片,0,133,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002005,5004,armor:1000,,,500,vehicle_component-50002005,0,,1000,,
2006,vehicle_component-10002006,vehicle_component-20002006,4,闪避芯片,0,134,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002006,5004,dodge:1000,,,500,vehicle_component-50002006,0,,1000,,
2007,vehicle_component-10002007,vehicle_component-20002007,4,火力芯片,0,135,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002007,5003,"heavy_damage:1000,light_damage:1000",,,500,vehicle_component-50002007,0,,1000,,
2008,vehicle_component-10002008,vehicle_component-20002008,4,全速芯片,0,136,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002008,5003,"reload:1000,atk_speed:1000",,,500,vehicle_component-50002008,0,,1000,,
2009,vehicle_component-10002009,vehicle_component-20002009,4,鹰眼芯片,0,137,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,17,6,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002009,5003,"precision:1000,hit:1000",,,500,vehicle_component-50002009,0,,1000,,
2010,vehicle_component-10002010,vehicle_component-20002010,4,暴击芯片,0,138,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,1,,vehicle_component-40002010,5002,"critical_harm_rate:1000,critical_percent:1000",,,500,vehicle_component-50002010,0,,1000,,
2011,vehicle_component-10002011,vehicle_component-20002011,4,防御芯片,0,139,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002011,5004,"armor:1000,dodge:1000",,,500,vehicle_component-50002011,0,,1000,,
2012,vehicle_component-10002012,vehicle_component-20002012,4,重武芯片,0,127,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002012,5001,heavy_damage:1000,,,500,vehicle_component-50002012,0,,1000,,
2013,vehicle_component-10002013,vehicle_component-20002013,4,轻武芯片,0,128,"3,10","3000,4000,4000",0,0,,,,,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002013,5002,light_damage:1000,,,500,vehicle_component-50002013,0,,1000,,
2101,vehicle_component-10002101,vehicle_component-20002101,4,MG_Single,2,101,"1,3,10","4500,4000,4000,4000",8,770001,1:770002,,,,0,60,0,100,0,90,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002101,2001,"light_damage:1000,atk_speed:1000",,,500,vehicle_component-50002101,0,,1002,,
2102,vehicle_component-10002102,vehicle_component-20002102,4,RF_AntiTank,2,102,"1,3,10","4500,4000,4000,4000",8,770003,1:770004,,,,0,160,0,35,0,200,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002102,2002,light_damage:1000,,,500,vehicle_component-50002102,0,,1002,,
2103,vehicle_component-10002103,vehicle_component-20002103,4,MG_Multi_Barrel,2,103,"1,3,10","4500,4000,4000,4000",8,770008,1:770009,,,"770010,770009",0,70,0,90,0,90,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002103,2003,"light_damage:1000,atk_speed:1000",,,500,vehicle_component-50002103,0,,1002,,
2104,vehicle_component-10002104,vehicle_component-20002104,4,HMGCom,2,104,"1,3,10","4500,4000,4000,4000",8,220206,1:220205,,,"220207,220208,220219",0,150,0,120,0,60,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002104,2004,"light_damage:1000,hit:1000",,,500,vehicle_component-50002104,0,,1002,,
2105,vehicle_component-10002105,vehicle_component-20002105,4,Searchlight,3,105,"1,3,10","4500,4000,4000,4000",0,900107,1:770006,,,"770005,770007",0,0,0,0,0,0,0,0,0,0,27,9,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002105,4001,"precision:1000,hit:1000",,,500,vehicle_component-50002105,0,,1003,,
2106,vehicle_component-10002106,vehicle_component-20002106,4,Flame_Ejector,2,106,"1,3,10","4500,4000,4000,4000",8,770053,1:770054,,,,0,60,0,100,0,100,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002106,2002,"light_damage:1000,atk_speed:1000",,,500,vehicle_component-50002106,0,,1002,,
2107,vehicle_component-10002107,vehicle_component-20002107,4,MG_Cannon,2,107,"1,3,10","4500,4000,4000,4000",8,770055,1:770056,,,,0,110,0,60,0,80,0,25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002107,2001,"light_damage:1000,atk_speed:1000",,,500,vehicle_component-50002107,0,,1002,,
2108,vehicle_component-10002108,vehicle_component-20002108,4,GrenadeComponent,1,108,"1,3,10","4500,4000,4000,4000",20,900107,1:220110,,,"220116,220171",50,0,130,0,80,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002108,1001,"heavy_damage:1000,reload:1000",,,500,vehicle_component-50002108,2,1.5,1001,,
2109,vehicle_component-10002109,vehicle_component-20002109,4,Laser_Weapon,1,109,"1,3,10","4500,4000,4000,4000",20,900107,1:220119,,,220171,75,0,80,0,50,0,18,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002109,1002,"heavy_damage:1000,precision:1000",,,500,vehicle_component-50002109,1,,1001,,
2110,vehicle_component-10002110,vehicle_component-20002110,4,Cannon,1,110,"1,3,10","4500,4000,4000,4000",20,900107,1:220111,,,"220159,220171",60,0,50,0,45,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002110,1003,"heavy_damage:1000,reload:1000",,,500,vehicle_component-50002110,1,,1001,,
2111,vehicle_component-10002111,vehicle_component-20002111,4,Flak_Cannon,1,111,"1,3,10","4500,4000,4000,4000",20,900107,1:220125,,,220171,60,0,45,0,50,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,vehicle_component-40002111,1004,"heavy_damage:1000,reload:1000",,,500,vehicle_component-50002111,2,4,1001,,
