id,type,arg,code,item_name,introduction,rank,sort,initial_num,daily_limit,upper_limit,consume_type,item_access,detail_introduction,is_hide_info
1023,5,2,card_rankK_jupiter,item-10001023,item-20001023,1,0,,,0,0,,item-30001023,0
1024,5,2,card_rankK_sop2,item-10001024,item-20001024,1,0,,,0,0,,item-30001024,0
1025,5,2,card_rankA_kp31,item-10001025,item-20001025,1,0,,,0,0,,item-30001025,0
1026,5,1,profilePic_rank0_anniv1_M4,item-10001026,item-20001026,1,0,,,0,0,,item-30001026,0
1027,5,1,profilePic_rank0_anniv1_ar15,item-10001027,item-20001027,1,0,,,0,0,,item-30001027,0
1028,5,1,profilePic_rank0_anniv1_m16,item-10001028,item-20001028,1,0,,,0,0,,item-30001028,0
1029,5,1,profilePic_rank0_anniv1_sop2,item-10001029,item-20001029,1,0,,,0,0,,item-30001029,0
1030,5,2,card_rankA_anniv1,item-10001030,item-20001030,1,0,,,0,0,,item-30001030,0
1031,5,1,profilePic_rank3_BrenMK,item-10001031,item-20001031,1,0,,,0,0,,item-30001031,0
1032,5,1,profilePic_rank3_FMG9,item-10001032,item-20001032,1,0,,,0,0,,item-30001032,0
1033,5,1,profilePic_rank3_KS23,item-10001033,item-20001033,1,0,,,0,0,,item-30001033,0
1034,5,1,profilePic_rank3_M9,item-10001034,item-20001034,1,0,,,0,0,,item-30001034,0
1035,5,1,profilePic_rank3_M1919A4,item-10001035,item-20001035,1,0,,,0,0,,item-30001035,0
1036,5,1,profilePic_rank3_MAC10,item-10001036,item-20001036,1,0,,,0,0,,item-30001036,0
1037,5,1,profilePic_rank3_MicroUZI,item-10001037,item-20001037,1,0,,,0,0,,item-30001037,0
1038,5,1,profilePic_rank3_OTs12,item-10001038,item-20001038,1,0,,,0,0,,item-30001038,0
1039,5,1,profilePic_rank3_PPS43,item-10001039,item-20001039,1,0,,,0,0,,item-30001039,0
1040,5,1,profilePic_rank3_RMB93,item-10001040,item-20001040,1,0,,,0,0,,item-30001040,0
1041,5,1,profilePic_rank3_StenMK2,item-10001041,item-20001041,1,0,,,0,0,,item-30001041,0
1042,5,1,profilePic_rank3_SV98,item-10001042,item-20001042,1,0,,,0,0,,item-30001042,0
1043,5,1,profilePic_rank4_G36,item-10001043,item-20001043,1,0,,,0,0,,item-30001043,0
1044,5,1,profilePic_rank4_M1873,item-10001044,item-20001044,1,0,,,0,0,,item-30001044,0
1045,5,1,profilePic_rank4_SPAS12,item-10001045,item-20001045,1,0,,,0,0,,item-30001045,0
1046,5,1,profilePic_rank4_SVD,item-10001046,item-20001046,1,0,,,0,0,,item-30001046,0
1047,5,1,profilePic_rank4_UMP45,item-10001047,item-20001047,1,0,,,0,0,,item-30001047,0
1048,5,1,profilePic_rank5_KSG,item-10001048,item-20001048,1,0,,,0,0,,item-30001048,0
1049,5,1,profilePic_rank5_M99,item-10001049,item-20001049,1,0,,,0,0,,item-30001049,0
1050,5,1,profilePic_rank5_RO635,item-10001050,item-20001050,1,0,,,0,0,,item-30001050,0
1051,5,1,card_rank10_manticore,item-10001051,item-20001051,1,0,,,0,0,,item-30001051,0
1052,5,1,card_rank2_vespidripper,item-10001052,item-20001052,1,0,,,0,0,,item-30001052,0
1053,5,1,card_rankJ_m4a1,item-10001053,item-20001053,1,0,,,0,0,,item-30001053,0
1054,5,1,card_rankJ_spp1,item-10001054,item-20001054,1,0,,,0,0,,item-30001054,0
1055,5,1,card_rankQ_dreamer,item-10001055,item-20001055,1,0,,,0,0,,item-30001055,0
1056,5,1,profilePic_rank0_deepdive_ump40,item-10001056,item-20001056,1,0,,,0,0,,item-30001056,0
1057,5,1,card_rankA_deepdive,item-10001057,item-20001057,1,0,,,0,0,,item-30001057,0
1058,5,1,profilePic_rank2_FNP-9,item-10001058,item-20001058,1,0,,,0,0,,item-30001058,0
1059,5,1,profilePic_rank2_G3,item-10001059,item-20001059,1,0,,,0,0,,item-30001059,0
1060,5,1,profilePic_rank2_LWMMG,item-10001060,item-20001060,1,0,,,0,0,,item-30001060,0
1061,5,1,profilePic_rank2_M3,item-10001061,item-20001061,1,0,,,0,0,,item-30001061,0
1062,5,1,profilePic_rank2_NagantM1895,item-10001062,item-20001062,1,0,,,0,0,,item-30001062,0
1063,5,1,profilePic_rank2_SpectreM4,item-10001063,item-20001063,1,0,,,0,0,,item-30001063,0
1064,5,1,profilePic_rank2_SVT-38,item-10001064,item-20001064,1,0,,,0,0,,item-30001064,0
1065,5,1,profilePic_rank3_M1Garand,item-10001065,item-20001065,1,0,,,0,0,,item-30001065,0
1066,5,1,profilePic_rank3_M2HB,item-10001066,item-20001066,1,0,,,0,0,,item-30001066,0
1067,5,1,profilePic_rank3_M21,item-10001067,item-20001067,1,0,,,0,0,,item-30001067,0
1068,5,1,profilePic_rank3_StG44,item-10001068,item-20001068,1,0,,,0,0,,item-30001068,0
1069,5,1,profilePic_rank3_TTpistol,item-10001069,item-20001069,1,0,,,0,0,,item-30001069,0
1070,5,1,profilePic_rank4_ASVal,item-10001070,item-20001070,1,0,,,0,0,,item-30001070,0
1071,5,1,profilePic_rank4_M60,item-10001071,item-20001071,1,0,,,0,0,,item-30001071,0
1072,5,1,profilePic_rank4_Mk23,item-10001072,item-20001072,1,0,,,0,0,,item-30001072,0
1073,5,1,profilePic_rank4_Springfield,item-10001073,item-20001073,1,0,,,0,0,,item-30001073,0
1074,5,1,profilePic_rank4_Stechkin,item-10001074,item-20001074,1,0,,,0,0,,item-30001074,0
1075,5,1,profilePic_rank5_Kar98k,item-10001075,item-20001075,1,0,,,0,0,,item-30001075,0
1076,5,1,profilePic_rank5_M950A,item-10001076,item-20001076,1,0,,,0,0,,item-30001076,0
1077,5,1,profilePic_rank5_Thompson,item-10001077,item-20001077,1,0,,,0,0,,item-30001077,0
1078,5,1,card_rank8_jaeger,item-10001078,item-20001078,1,0,,,0,0,,item-30001078,0
1079,5,1,card_rank10_dragoon,item-10001079,item-20001079,1,0,,,0,0,,item-30001079,0
1080,5,1,card_rankJ_sangvisferri,item-10001080,item-20001080,1,0,,,0,0,,item-30001080,0
1081,5,1,card_rankK_ar15,item-10001081,item-20001081,1,0,,,0,0,,item-30001081,0
1082,5,1,card_rankQ_destroyer,item-10001082,item-20001082,1,0,,,0,0,,item-30001082,0
1083,5,1,cg1,item-10001083,item-20001083,1,0,,,0,0,,item-30001083,0
1084,5,1,cg2,item-10001084,item-20001084,1,0,,,0,0,,item-30001084,0
1085,5,1,cg3,item-10001085,item-20001085,1,0,,,0,0,,item-30001085,0
1086,5,1,cg4,item-10001086,item-20001086,1,0,,,0,0,,item-30001086,0
1087,5,1,profilePic_pm_halloween,item-10001087,item-20001087,1,0,,,0,0,,item-30001087,0
1088,5,1,profilePic_vector_halloween,item-10001088,item-20001088,1,0,,,0,0,,item-30001088,0
1089,5,1,profilePic_mp5_halloween,item-10001089,item-20001089,1,0,,,0,0,,item-30001089,0
1090,5,1,profilePic_m45_halloween,item-10001090,item-20001090,1,0,,,0,0,,item-30001090,0
1091,5,1,profilePic_m1903_halloween,item-10001091,item-20001091,1,0,,,0,0,,item-30001091,0
1092,5,1,profilePic_wa2000_halloween,item-10001092,item-20001092,1,0,,,0,0,,item-30001092,0
1093,5,1,profilePic_m1919a4_halloween,item-10001093,item-20001093,1,0,,,0,0,,item-30001093,0
1094,5,1,profilePic_mk23_halloween,item-10001094,item-20001094,1,0,,,0,0,,item-30001094,0
1095,5,1,profilePic_g11_halloween,item-10001095,item-20001095,1,0,,,0,0,,item-30001095,0
1096,5,1,profilePic_64type_halloween,item-10001096,item-20001096,1,0,,,0,0,,item-30001096,0
1097,5,1,profilePic_MLEMK1_nichijou,item-10001097,item-20001097,1,0,,,0,0,,item-30001097,0
1098,5,1,profilePic_MicroUZI_nichijou,item-10001098,item-20001098,1,0,,,0,0,,item-30001098,0
1099,5,1,profilePic_M1918_nichijou,item-10001099,item-20001099,1,0,,,0,0,,item-30001099,0
1100,5,1,profilePic_MP446_nichijou,item-10001100,item-20001100,1,0,,,0,0,,item-30001100,0
1101,5,1,profilePic_64type_nichijou,item-10001101,item-20001101,1,0,,,0,0,,item-30001101,0
1102,5,1,profilePic_Grizzly_nichijou,item-10001102,item-20001102,1,0,,,0,0,,item-30001102,0
1103,5,1,profilePic_M1919A4_nichijou,item-10001103,item-20001103,1,0,,,0,0,,item-30001103,0
1104,5,1,profilePic_m1873_xmas,item-10001104,item-20001104,1,0,,,0,0,,item-30001104,0
1105,5,1,profilePic_m1903_xmas,item-10001105,item-20001105,1,0,,,0,0,,item-30001105,0
1106,5,1,profilePic_m14_xmas,item-10001106,item-20001106,1,0,,,0,0,,item-30001106,0
1107,5,1,profilePic_m21_xmas,item-10001107,item-20001107,1,0,,,0,0,,item-30001107,0
1108,5,1,profilePic_svd_xmas,item-10001108,item-20001108,1,0,,,0,0,,item-30001108,0
1109,5,1,profilePic_wa2000_xmas,item-10001109,item-20001109,1,0,,,0,0,,item-30001109,0
1110,5,1,profilePic_ntw_xmas,item-10001110,item-20001110,1,0,,,0,0,,item-30001110,0
1111,5,1,profilePic_fal_xmas,item-10001111,item-20001111,1,0,,,0,0,,item-30001111,0
1112,5,1,profilePic_mg5_xmas,item-10001112,item-20001112,1,0,,,0,0,,item-30001112,0
1113,5,1,profilePic_kp31_xmas,item-10001113,item-20001113,1,0,,,0,0,,item-30001113,0
1114,5,1,profilePic_561type_spring,item-10001114,item-20001114,1,0,,,0,0,,item-30001114,0
1115,5,1,profilePic_mp446_spring,item-10001115,item-20001115,1,0,,,0,0,,item-30001115,0
1116,5,1,profilePic_nz75_spring,item-10001116,item-20001116,1,0,,,0,0,,item-30001116,0
1117,5,1,profilePic_m99_spring,item-10001117,item-20001117,1,0,,,0,0,,item-30001117,0
1118,5,1,profilePic_95type_spring,item-10001118,item-20001118,1,0,,,0,0,,item-30001118,0
1119,5,1,profilePic_97type_spring,item-10001119,item-20001119,1,0,,,0,0,,item-30001119,0
1120,5,1,profilePic_59type_spring,item-10001120,item-20001120,1,0,,,0,0,,item-30001120,0
1121,5,1,profilePic_ptrd_spring,item-10001121,item-20001121,1,0,,,0,0,,item-30001121,0
1122,5,1,profilePic_ump9_spring,item-10001122,item-20001122,1,0,,,0,0,,item-30001122,0
1123,5,1,profilePic_ump45_spring,item-10001123,item-20001123,1,0,,,0,0,,item-30001123,0
1124,5,1,profilePic_welrod_spring,item-10001124,item-20001124,1,0,,,0,0,,item-30001124,0
1125,5,1,profilePic_sv98_maid,item-10001125,item-20001125,1,0,,,0,0,,item-30001125,0
1126,5,1,profilePic_tt33_wedding,item-10001126,item-20001126,1,0,,,0,0,,item-30001126,0
1127,5,1,profilePic_ppsh41_wedding,item-10001127,item-20001127,1,0,,,0,0,,item-30001127,0
1128,5,1,profilePic_stenmkii_wedding,item-10001128,item-20001128,1,0,,,0,0,,item-30001128,0
1129,5,1,profilePic_mlemk1_wedding,item-10001129,item-20001129,1,0,,,0,0,,item-30001129,0
1130,5,1,profilePic_pk_wedding,item-10001130,item-20001130,1,0,,,0,0,,item-30001130,0
1131,5,1,profilePic_p7_wedding,item-10001131,item-20001131,1,0,,,0,0,,item-30001131,0
1132,5,1,profilePic_fal_wedding,item-10001132,item-20001132,1,0,,,0,0,,item-30001132,0
1133,5,1,profilePic_ar15_serafuku,item-10001133,item-20001133,1,0,,,0,0,,item-30001133,0
1134,5,1,profilePic_m950a_serafuku,item-10001134,item-20001134,1,0,,,0,0,,item-30001134,0
1135,5,1,profilePic_mg4_serafuku,item-10001135,item-20001135,1,0,,,0,0,,item-30001135,0
1136,5,1,profilePic_6p62_serafuku,item-10001136,item-20001136,1,0,,,0,0,,item-30001136,0
1137,5,1,profilePic_vz61_dress,item-10001137,item-20001137,1,0,,,0,0,,item-30001137,0
1138,5,1,profilePic_m1903_dress,item-10001138,item-20001138,1,0,,,0,0,,item-30001138,0
1139,5,1,profilePic_m1891_dress,item-10001139,item-20001139,1,0,,,0,0,,item-30001139,0
1140,5,1,profilePic_wa2000_dress,item-10001140,item-20001140,1,0,,,0,0,,item-30001140,0
1141,5,1,profilePic_hk416_dress,item-10001141,item-20001141,1,0,,,0,0,,item-30001141,0
1142,5,1,profilePic_m1918_dress,item-10001142,item-20001142,1,0,,,0,0,,item-30001142,0
1143,5,1,profilePic_sr3mp_dress,item-10001143,item-20001143,1,0,,,0,0,,item-30001143,0
1144,5,1,profilePic_m950a_dress,item-10001144,item-20001144,1,0,,,0,0,,item-30001144,0
1145,5,1,profilePic_MLEMK1_childrensday,item-10001145,item-20001145,1,0,,,0,0,,item-30001145,0
1146,5,1,profilePic_MP40_childrensday,item-10001146,item-20001146,1,0,,,0,0,,item-30001146,0
1147,5,1,profilePic_Grizzly_childrensday,item-10001147,item-20001147,1,0,,,0,0,,item-30001147,0
1148,5,1,profilePic_NEGEV_childrensday,item-10001148,item-20001148,1,0,,,0,0,,item-30001148,0
1149,5,1,profilePic_G36_childrensday,item-10001149,item-20001149,1,0,,,0,0,,item-30001149,0
1150,5,1,profilePic_myu12_bb,item-10001150,item-20001150,1,0,,,0,0,,item-30001150,0
1151,5,1,profilePic_dress_elphelt_gg,item-10001151,item-20001151,1,0,,,0,0,,item-30001151,0
1152,5,1,profilePic_blood_elphelt_gg,item-10001152,item-20001152,1,0,,,0,0,,item-30001152,0
1153,5,1,profilePic_NTW20_swimsuit,item-10001153,item-20001153,1,0,,,0,0,,item-30001153,0
1154,5,1,profilePic_95type_swimsuit,item-10001154,item-20001154,1,0,,,0,0,,item-30001154,0
1155,5,1,profilePic_KP31_swimsuit,item-10001155,item-20001155,1,0,,,0,0,,item-30001155,0
1156,5,1,profilePic_G28_swimsuit,item-10001156,item-20001156,1,0,,,0,0,,item-30001156,0
1157,5,1,profilePic_Ithaca37_swimsuit,item-10001157,item-20001157,1,0,,,0,0,,item-30001157,0
1158,5,1,profilePic_M1_swimsuit,item-10001158,item-20001158,1,0,,,0,0,,item-30001158,0
1159,5,1,profilePic_M1903_swimsuit,item-10001159,item-20001159,1,0,,,0,0,,item-30001159,0
