id,mission_id,description,scripts,campaign,bgm,title,is_util,start,round,point,first,mid,end,fail,step_start_story,step_end_story,story_playback_sub_id,background_code
66,54,story_util-10000066,5-4-1E|5-4-2E,5,BGM_Frontline,story_util-20000066,1,5-4-1E,,,5-4-2E,,5-4-2E,,,,2,作战室avg
67,55,story_util-10000067,6-1-1|6-1-2,6,BGM_Frontline,story_util-20000067,1,6-1-1,,,6-1-2,,6-1-2,,,,1,作战室avg
68,56,story_util-10000068,6-2-1|6-2-2,6,BGM_Frontline,story_util-20000068,1,6-2-1,,,6-2-2,,6-2-2,,,,1,机场
69,57,story_util-10000069,6-3-1|6-3-2,6,BGM_Frontline,story_util-20000069,1,6-3-1,,,6-3-2,,6-3-2,,,,1,主界面背景
70,58,story_util-10000070,6-4-1|6-4-2,6,BGM_Frontline,story_util-20000070,1,6-4-1,,,6-4-2,,6-4-2,,,,1,6CG-AR15b
71,59,story_util-10000071,6-5-1|6-5-2,6,BGM_Frontline,story_util-20000071,1,6-5-1,,,6-5-2,,6-5-2,,,,1,eliza0
72,60,story_util-10000072,6-6-1|6-6-2,6,BGM_Frontline,story_util-20000072,1,6-6-1,,,6-6-2,,6-6-2,,,,1,6CG-M4
73,61,story_util-10000073,6-1-1E|6-1-2E,6,BGM_Frontline,story_util-20000073,1,6-1-1E,,,6-1-2E,,6-1-2E,,,,2,大桥
74,62,story_util-10000074,6-2-1E|6-2-2E,6,BGM_Frontline,story_util-20000074,1,6-2-1E,,,6-2-2E,,6-2-2E,,,,2,机场
75,63,story_util-10000075,6-3-1E|6-3-2E,6,BGM_Frontline,story_util-20000075,1,6-3-1E,,,6-3-2E,,6-3-2E,,,,2,街道
76,64,story_util-10000076,6-4-1E|6-4-2E,6,BGM_Frontline,story_util-20000076,1,6-4-1E,,,6-4-2E,,6-4-2E,,,,2,SFs
77,90013,story_util-10000077,4-1-1N|4-1-2N,4,BGM_Frontline,story_util-20000077,1,4-1-1N,,,4-1-2N,,4-1-2N,,,,3,作战室avg
78,90014,story_util-10000078,4-2-1N|4-2-2N,4,BGM_Frontline,story_util-20000078,1,4-2-1N,,,4-2-2N,,4-2-2N,,,,3,街道
79,90015,story_util-10000079,4-3-1N|4-3-2N,4,BGM_Frontline,story_util-20000079,1,4-3-1N,,,4-3-2N,,4-3-2N,,,,3,ANTIRAIN
80,90016,story_util-10000080,4-4-1N|4-4-2N,4,BGM_Frontline,story_util-20000080,1,4-4-1N,,,4-4-2N,,4-4-2N,,,,3,CG4N2
81,65,story_util-10000081,7-1-1|7-1-2,7,BGM_Frontline,story_util-20000081,1,7-1-1,,,7-1-2,,7-1-2,,,,1,ANTIRAIN
82,66,story_util-10000082,7-2-1|7-2-2,7,BGM_Frontline,story_util-20000082,1,7-2-1,,,7-2-2,,7-2-2,,,,1,作战室avg
83,67,story_util-10000083,7-3-1|7-3-2,7,BGM_Frontline,story_util-20000083,1,7-3-1,,,7-3-2,,7-3-2,,,,1,BG7-4
84,68,story_util-10000084,7-4-1|7-4-2,7,BGM_Frontline,story_util-20000084,1,7-4-1,,,7-4-2,,7-4-2,,,,1,StoryCG5
85,69,story_util-10000085,7-5-1|7-5-2,7,BGM_Frontline,story_util-20000085,1,7-5-1,,,7-5-2,,7-5-2,,,,1,eliza0
86,70,story_util-10000086,7-6-1|7-6-2,7,BGM_Frontline,story_util-20000086,1,7-6-1,,,7-6-2,,7-6-2,,,,1,CG7-3
87,71,story_util-10000087,7-1-1E|7-1-2E,7,BGM_Frontline,story_util-20000087,1,7-1-1E,,,7-1-2E,,7-1-2E,,,,2,6CG-M4
88,72,story_util-10000088,7-2-1E|7-2-2E,7,BGM_Frontline,story_util-20000088,1,7-2-1E,,,7-2-2E,,7-2-2E,,,,2,CG7-3
89,73,story_util-10000089,7-3-1E|7-3-2E,7,BGM_Frontline,story_util-20000089,1,7-3-1E,,,7-3-2E,,7-3-2E,,,,2,BG7-4
90,74,story_util-10000090,7-4-1E|7-4-2E,7,BGM_Frontline,story_util-20000090,1,7-4-1E,,,7-4-2E,,7-4-2E,,,,2,CG4N
91,90017,story_util-10000091,5-1-1N|5-1-2N,5,BGM_Frontline,story_util-20000091,1,5-1-1N,,,5-1-2N,,5-1-2N,,,,3,CG-Cannon
92,90018,story_util-10000092,5-2-1N|5-2-2N,5,BGM_Frontline,story_util-20000092,1,5-2-1N,,,5-2-2N,,5-2-2N,,,,3,主界面背景
93,90019,story_util-10000093,5-3-1N|5-3-2N,5,BGM_Frontline,story_util-20000093,1,5-3-1N,,,5-3-2N,,5-3-2N,,,,3,CG4N
94,90020,story_util-10000094,5-4-1N|5-4-2N,5,BGM_Frontline,story_util-20000094,1,5-4-1N,,,5-4-2N,,5-4-2N,,,,3,CG4N
95,10001|10018,story_util-10000095,-1-1-1|-1-1-2,-1,BGM_Frontline,story_util-20000095,1,-1-1-1,,,-1-1-2,,-1-1-2,,,,1,CG.5-6
96,10002|10019,story_util-10000096,-1-2-1|-1-2-2First|-1-2-2End,-1,BGM_Frontline,story_util-20000096,1,-1-2-1,,,-1-2-2First,,-1-2-2End,,,,1,404
97,10003|10020,story_util-10000097,-1-3-1|-1-3-2First|-1-3-2End,-1,BGM_Frontline,story_util-20000097,1,-1-3-1,,,-1-3-2First,,-1-3-2End,,,,1,街道
98,10004|10021,story_util-10000098,-1-4-1|-1-4-2First|-1-4-2End,-1,BGM_Frontline,story_util-20000098,1,-1-4-1,,,-1-4-2First,,-1-4-2End,,,,1,sp2.2.2
99,10005,story_util-10000099,-2-1-1|-2-1-4-Point2007|-2-1-4-Point2179|-2-1-2First,-2,BGM_Frontline,story_util-20000099,1,-2-1-1,,2007:-2-1-4-Point2007|2179:-2-1-4-Point2179,-2-1-2First,,-2-1-2First,,,,1,CG7-3
100,10006,story_util-10000100,-2-2-1|-2-2-4-Point2204|-2-2-2First,-2,BGM_Frontline,story_util-20000100,1,-2-2-1,,2204:-2-2-4-Point2204,-2-2-2First,,-2-2-2First,,,,1,CG-Cannon
101,10007,story_util-10000101,-2-3-1|-2-3-4-Point2215|-2-3-4-Point2058|-2-3-2First,-2,BGM_Frontline,story_util-20000101,1,-2-3-1,,2215:-2-3-4-Point2215|2058:-2-3-4-Point2058,-2-3-2First,,-2-3-2First,,,,1,sp2.2.4
102,10008,story_util-10000102,-2-4-1|-2-4-2First|-2-4-2End,-2,BGM_Frontline,story_util-20000102,1,-2-4-1,,,-2-4-2First,,-2-4-2End,,,,1,作战室avg
103,10009,story_util-10000103,-3-1-1|-3-1-2First,-3,BGM_Frontline,story_util-20000103,1,-3-1-1,,,-3-1-2First,,-3-1-2First,,,,2,sp2.2.4
104,10010,story_util-10000104,-3-2-1|-3-2-2First,-3,BGM_Frontline,story_util-20000104,1,-3-2-1,,,-3-2-2First,,-3-2-2First,,,,2,sp2.2.4
105,10011,story_util-10000105,-3-3-1|-3-3-2First,-3,BGM_Frontline,story_util-20000105,1,-3-3-1,,,-3-3-2First,,-3-3-2First,,,,2,sp2.2.4
106,10012,story_util-10000106,-3-4-1|-3-4-4-Point2499|-3-4-2First|-3-4-2End,-3,BGM_Frontline,story_util-20000106,1,-3-4-1,,2499:-3-4-4-Point2499,-3-4-2First,,-3-4-2End,,,,2,CG-2017Winter1
107,10013,story_util-10000107,-4-1-1|-4-1-2First,-4,BGM_Frontline,story_util-20000107,1,-4-1-1,,,-4-1-2First,,-4-1-2First,,,,3,作战室avg
108,10014,story_util-10000108,-4-2-1|-4-2-2First,-4,BGM_Frontline,story_util-20000108,1,-4-2-1,,,-4-2-2First,,-4-2-2First,,,,3,sp2.2.4
109,10015,story_util-10000109,-4-3-1|-4-3-2First,-4,BGM_Frontline,story_util-20000109,1,-4-3-1,,,-4-3-2First,,-4-3-2First,,,,3,雪地
110,10016,story_util-10000110,-4-4-1|-4-4-2First|-4-4-2End,-4,BGM_Frontline,story_util-20000110,1,-4-4-1,,,-4-4-2First,,-4-4-2End,,,,3,CG-2017Winter2
112,10022,story_util-10000112,-7-1-1|-7-1-3Round1|-7-1-2First|-7-1-2End,-7,BGM_Frontline,story_util-20000112,1,-7-1-1,1:-7-1-3Round1,,-7-1-2First,,-7-1-2End,,,,1,CG7-3
113,10023,story_util-10000113,-7-2-1|-7-2-3Round1|-7-2-2First|-7-2-2End,-7,BGM_Frontline,story_util-20000113,1,-7-2-1,1:-7-2-3Round1,,-7-2-2First,,-7-2-2End,,,,1,室内战斗
114,10024,story_util-10000114,-7-3-1|-7-3-3Round1|-7-3-2First|-7-3-2End,-7,BGM_Frontline,story_util-20000114,1,-7-3-1,1:-7-3-3Round1,,-7-3-2First,,-7-3-2End,,,,1,Ouroboros
115,10025,story_util-10000115,-7-4-1|-7-4-3Round1|-7-4-2First|-7-4-2End,-7,BGM_Frontline,story_util-20000115,1,-7-4-1,1:-7-4-3Round1,,-7-4-2First,,-7-4-2End,,,,1,CG4N
116,75,story_util-10000116,8-1-1|8-1-2,8,BGM_Frontline,story_util-20000116,1,8-1-1,,,8-1-2,,8-1-2,,,,1,单挑
117,76,story_util-10000117,8-2-1|8-2-2,8,BGM_Frontline,story_util-20000117,1,8-2-1,,,8-2-2,,8-2-2,,,,1,Metro
118,77,story_util-10000118,8-3-1|8-3-2,8,BGM_Frontline,story_util-20000118,1,8-3-1,,,8-3-2,,8-3-2,,,,1,sp2.2.4
119,78,story_util-10000119,8-4-1|8-4-2,8,BGM_Frontline,story_util-20000119,1,8-4-1,,,8-4-2,,8-4-2,,,,1,sp2.2.4
120,79,story_util-10000120,8-5-1|8-5-2,8,BGM_Frontline,story_util-20000120,1,8-5-1,,,8-5-2,,8-5-2,,,,1,sp2.2.4
121,80,story_util-10000121,8-6-1|8-6-2,8,BGM_Frontline,story_util-20000121,1,8-6-1,,,8-6-2,,8-6-2,,,,1,CG8-1
122,81,story_util-10000122,8-1-1E|8-1-2E,8,BGM_Frontline,story_util-20000122,1,8-1-1E,,,8-1-2E,,8-1-2E,,,,2,M16开枪
123,82,story_util-10000123,8-2-1E|8-2-2E,8,BGM_Frontline,story_util-20000123,1,8-2-1E,,,8-2-2E,,8-2-2E,,,,2,eliza0
124,83,story_util-10000124,8-3-1E|8-3-2E,8,BGM_Frontline,story_util-20000124,1,8-3-1E,,,8-3-2E,,8-3-2E,,,,2,SFBase
125,84,story_util-10000125,8-4-1E|8-4-2E,8,BGM_Frontline,story_util-20000125,1,8-4-1E,,,8-4-2E,,8-4-2E,,,,2,CG8-3.1
126,90021,story_util-10000126,6-1-1N|6-1-2N,6,BGM_Frontline,story_util-20000126,1,6-1-1N,,,6-1-2N,,6-1-2N,,,,3,BG7-3
127,90022,story_util-10000127,6-2-1N|6-2-2N,6,BGM_Frontline,story_util-20000127,1,6-2-1N,,,6-2-2N,,6-2-2N,,,,3,作战室avg
128,90023,story_util-10000128,6-3-1N|6-3-2N,6,BGM_Frontline,story_util-20000128,1,6-3-1N,,,6-3-2N,,6-3-2N,,,,3,街道
129,90024,story_util-10000129,6-4-1N|6-4-2N,6,BGM_Frontline,story_util-20000129,1,6-4-1N,,,6-4-2N,,6-4-2N,,,,3,单挑
130,85,story_util-10000130,9-1-1|9-1-2,9,BGM_Frontline,story_util-20000130,1,9-1-1,,,9-1-2,,9-1-2,,,,1,BG7-3
131,86,story_util-10000131,9-2-1|9-2-2,9,BGM_Frontline,story_util-20000131,1,9-2-1,,,9-2-2,,9-2-2,,,,1,BG9-Dinner
132,87,story_util-10000132,9-3-1|9-3-2,9,BGM_Frontline,story_util-20000132,1,9-3-1,,,9-3-2,,9-3-2,,,,1,BG9-Dinner
133,88,story_util-10000133,9-4-1|9-4-2,9,BGM_Frontline,story_util-20000133,1,9-4-1,,,9-4-2,,9-4-2,,,,1,BG7-3
134,89,story_util-10000134,9-5-1|9-5-2,9,BGM_Frontline,story_util-20000134,1,9-5-1,,,9-5-2,,9-5-2,,,,1,BG9-Dinner
135,90,story_util-10000135,9-6-1|9-6-2,9,BGM_Frontline,story_util-20000135,1,9-6-1,,,9-6-2,,9-6-2,,,,1,机场
136,91,story_util-10000136,9-1-1E|9-1-2E,9,BGM_Frontline,story_util-20000136,1,9-1-1E,,,9-1-2E,,9-1-2E,,,,2,街道
137,92,story_util-10000137,9-2-1E|9-2-2E,9,BGM_Frontline,story_util-20000137,1,9-2-1E,,,9-2-2E,,9-2-2E,,,,2,BG9-Dinner
138,93,story_util-10000138,9-3-1E|9-3-2E,9,BGM_Frontline,story_util-20000138,1,9-3-1E,,,9-3-2E,,9-3-2E,,,,2,CG9-1.3
139,94,story_util-10000139,9-4-1E|9-4-2E,9,BGM_Frontline,story_util-20000139,1,9-4-1E,,,9-4-2E,,9-4-2E,,,,2,CG9-2.2
140,95,story_util-10000140,10-1-1|10-1-2,10,BGM_Frontline,story_util-20000140,1,10-1-1,,,10-1-2,,10-1-2,,,,1,CG8-1
141,96,story_util-10000141,10-2-1|10-2-2,10,BGM_Frontline,story_util-20000141,1,10-2-1,,,10-2-2,,10-2-2,,,,1,CG9-2.1
142,97,story_util-10000142,10-3-1|10-3-2,10,BGM_Frontline,story_util-20000142,1,10-3-1,,,10-3-2,,10-3-2,,,,1,eliza0
143,98,story_util-10000143,10-4-1|10-4-2,10,BGM_Frontline,story_util-20000143,1,10-4-1,,5302:10-4-4-Point5302,10-4-2,,10-4-2,,,,1,BG-BurnCity
144,99,story_util-10000144,10-5-1|10-5-2,10,BGM_Frontline,story_util-20000144,1,10-5-1,,,10-5-2,,10-5-2,,,,1,BG-BurnCity
145,100,story_util-10000145,10-6-1|10-6-2,10,BGM_Frontline,story_util-20000145,1,10-6-1,,,10-6-2,,10-6-2,,,,1,BG-WildBattle
146,101,story_util-10000146,10-1-1E|10-1-2E,10,BGM_Frontline,story_util-20000146,1,10-1-1E,,,10-1-2E,,10-1-2E,,,,2,CG10-1-1
147,102,story_util-10000147,10-2-1E|10-2-2E,10,BGM_Frontline,story_util-20000147,1,10-2-1E,,5417:10-2-4E-Point5417,10-2-2E,,10-2-2E,,,,2,CG10-1-3
148,103,story_util-10000148,10-3-1E|10-3-2E,10,BGM_Frontline,story_util-20000148,1,10-3-1E,,,10-3-2E,,10-3-2E,,,,2,CG10-6-2
149,104,story_util-10000149,10-4-1E|10-4-2E,10,BGM_Frontline,story_util-20000149,1,10-4-1E,,,10-4-2E,,10-4-2E,,,,2,CG10-5-3
150,10030,story_util-10000150,-10-1-1|-10-1-2First,-10,BGM_Frontline,story_util-20000150,1,-10-1-1,,,-10-1-2First,,-10-1-2First,,,,1,17xh-404Room
151,10031,story_util-10000151,-10-2-1|-10-2-2First,-10,BGM_Frontline,story_util-20000151,1,-10-2-1,,,-10-2-2First,,-10-2-2First,,,,1,17xh-Networld
152,10032,story_util-10000152,-10-3-1|-10-3-2First,-10,BGM_Frontline,story_util-20000152,1,-10-3-1,,4229:-10-3-4-Point4229,-10-3-2First,,-10-3-2First,,,,1,17xh-404Room
153,10033,story_util-10000153,-10-4-1|-10-4-2End,-10,BGM_Frontline,story_util-20000153,1,-10-4-1,,,-10-4-2First,,-10-4-2End,,,,1,CG8-3.1
154,10034,story_util-10000154,-11-1-1|-11-1-2First,-11,BGM_Frontline,story_util-20000154,1,-11-1-1,,4270:-11-1-4-Point4270,-11-1-2First,,-11-1-2First,,,,2,Metro
155,10035,story_util-10000155,-11-2-1|-11-2-2First,-11,BGM_Frontline,story_util-20000155,1,-11-2-1,,4292:-11-2-4-Point4292,-11-2-2First,,-11-2-2First,,,,2,sp2.2.4
156,10037,story_util-10000156,-11-3-1|-11-3-2First,-11,BGM_Frontline,story_util-20000156,1,-11-3-1,,4411:-11-3-4-Point4411,-11-3-2First,,-11-3-2First,,,,2,17xhCG2-2
157,10038,story_util-10000157,-11-4-1|-11-4-2First|-11-4-2End,-11,BGM_Frontline,story_util-20000157,1,-11-4-1,,4431:-11-4-4-Point4431,-11-4-2First,,-11-4-2End,,,,2,17xhCG1-1
158,10039,story_util-10000158,-12-1-1|-12-1-2First,-12,BGM_Frontline,story_util-20000158,1,-12-1-1,,4528:-12-1-4-Point4528|4540:-12-1-4-Point4540|4538:-12-1-4-Point4538,-12-1-2First,,-12-1-2First,,,,3,17xh-Networld
159,10040,story_util-10000159,-12-2-1|-12-2-2First,-12,BGM_Frontline,story_util-20000159,1,-12-2-1,,4560:-12-2-4-Point4560|4601:-12-2-4-Point4601|4562:-12-2-4-Point4562,-12-2-2First,,-12-2-2First,,,,3,sp2.2.4
160,10041,story_util-10000160,-12-3-1|-12-3-2First,-12,BGM_Frontline,story_util-20000160,1,-12-3-1,,4605:-12-3-4-Point4605|4615:-12-3-4-Point4615|4641:-12-3-4-Point4641,-12-3-2First,,-12-3-2First,,,,3,17xh-Networld
161,10042,story_util-10000161,-12-4-1|-12-4-2First|-12-4-2End,-12,BGM_Frontline,story_util-20000161,1,-12-4-1,,4723:-12-4-4-Point4723|4724:-12-4-4-Point4724|4671:-12-4-4-Point4671|4518:-12-4-4-Point4518,-12-4-2First,,-12-4-2End,,,,3,17xhCG3-1
162,90025,story_util-10000162,7-1-1N|7-1-2N,7,BGM_Frontline,story_util-20000162,1,7-1-1N,,,7-1-2N,,7-1-2N,,,,3,BG7-3
163,90026,story_util-10000163,7-2-1N|7-2-2N,7,BGM_Frontline,story_util-20000163,1,7-2-1N,,,7-2-2N,,7-2-2N,,,,3,机场
