id,name,type,group_id,vehicle_id,blueprint_id,class_id,code,item_id,obtain,feature,introduction,is_show
10041,vehicle_skin-10010041,2,116,,,2,Signal_Tower_1002,133047,7,0,vehicle_skin-20010041,1
10042,vehicle_skin-10010042,2,117,,,2,Smoke_Emitter_1002,133048,7,0,vehicle_skin-20010042,1
10043,vehicle_skin-10010043,2,118,,,2,Small_Missile_Launcher_1002,133049,7,0,vehicle_skin-20010043,1
10044,vehicle_skin-10010044,2,119,,,2,Medium_Missile_Launcher_1002,133050,7,0,vehicle_skin-20010044,1
10045,vehicle_skin-10010045,2,120,,,2,Electromagnetic_Artillery_1002,133051,7,0,vehicle_skin-20010045,1
10046,vehicle_skin-10010046,2,141,,,2,Protective_Generator_1002,133052,7,0,vehicle_skin-20010046,1
10047,vehicle_skin-10010047,2,122,,,2,Rotating_Turret_1002,133053,7,0,vehicle_skin-20010047,1
10048,vehicle_skin-10010048,2,123,,,2,UAV_Compartment_1002,133054,7,0,vehicle_skin-20010048,1
10049,vehicle_skin-10010049,2,140,,,1,LMGCom_1001,133057,7,0,vehicle_skin-20010049,1
10050,vehicle_skin-10010050,2,142,,,1,ElecGun_1001,133058,7,0,vehicle_skin-20010050,1
10051,vehicle_skin-10010051,2,124,,,1,AutoDef_1001,133059,7,0,vehicle_skin-20010051,1
10052,vehicle_skin-10010052,2,143,,,1,LaserSup_1001,133060,7,0,vehicle_skin-20010052,1
10053,vehicle_skin-10010053,2,104,,,1,HMGCom_1001,133061,7,0,vehicle_skin-20010053,1
10054,vehicle_skin-10010054,2,125,,,1,PAR_1001,133062,7,0,vehicle_skin-20010054,1
10055,vehicle_skin-10010055,2,121,,,1,ERA_1001,133063,7,0,vehicle_skin-20010055,1
10056,vehicle_skin-10010056,2,140,,,2,LMGCom_1002,133064,7,0,vehicle_skin-20010056,1
10057,vehicle_skin-10010057,2,142,,,2,ElecGun_1002,133065,7,0,vehicle_skin-20010057,1
10058,vehicle_skin-10010058,2,124,,,2,AutoDef_1002,133066,7,0,vehicle_skin-20010058,1
10059,vehicle_skin-10010059,2,143,,,2,LaserSup_1002,133067,7,0,vehicle_skin-20010059,1
10060,vehicle_skin-10010060,2,104,,,2,HMGCom_1002,133068,7,0,vehicle_skin-20010060,1
10061,vehicle_skin-10010061,2,125,,,2,PAR_1002,133069,7,0,vehicle_skin-20010061,1
10062,vehicle_skin-10010062,2,121,,,2,ERA_1002,133070,7,0,vehicle_skin-20010062,1
10063,vehicle_skin-10010063,1,0,2,,1,Warjack_1001,133055,7,0,vehicle_skin-20010063,1
10064,vehicle_skin-10010064,1,0,2,,2,Warjack_1002,133056,7,0,vehicle_skin-20010064,1
10065,vehicle_skin-10010065,1,0,1,,3,TankM1_1003,133071,40,0,vehicle_skin-20010065,1
10066,vehicle_skin-10010066,1,0,1,,4,TankM1_1004,133072,40,0,vehicle_skin-20010066,1
10067,vehicle_skin-10010067,1,0,1,,5,TankM1_1005,133073,40,0,vehicle_skin-20010067,1
10068,vehicle_skin-10010068,1,0,1,,6,TankM1_1006,133074,40,0,vehicle_skin-20010068,1
10069,vehicle_skin-10010069,1,0,1,,7,TankM1_1007,133075,40,0,vehicle_skin-20010069,1
10070,vehicle_skin-10010070,1,0,1,,8,TankM1_1008,133076,40,0,vehicle_skin-20010070,1
10071,vehicle_skin-10010071,1,0,2,,9,Warjack_1009,133077,40,0,vehicle_skin-20010071,1
10072,vehicle_skin-10010072,2,106,,,9,Flame_Ejector_1009,133078,40,0,vehicle_skin-20010072,1
10073,vehicle_skin-10010073,2,103,,,9,MG_Multi_Barrel_1009,133079,40,0,vehicle_skin-20010073,1
10074,vehicle_skin-10010074,2,107,,,9,MG_Cannon_1009,133080,40,0,vehicle_skin-20010074,1
10075,vehicle_skin-10010075,2,124,,,9,AutoDef_1009,133081,40,0,vehicle_skin-20010075,1
10076,vehicle_skin-10010076,2,115,,,9,Jammer_1009,133082,40,0,vehicle_skin-20010076,1
10083,vehicle_skin-10010083,2,101,,,3,MG_Single_1003,133089,40,0,vehicle_skin-20010083,1
10084,vehicle_skin-10010084,2,105,,,3,Searchlight_1003,133090,40,0,vehicle_skin-20010084,1
10085,vehicle_skin-10010085,2,141,,,3,Protective_Generator_1003,133091,40,0,vehicle_skin-20010085,1
10086,vehicle_skin-10010086,2,118,,,3,Small_Missile_Launcher_1003,133092,40,0,vehicle_skin-20010086,1
10087,vehicle_skin-10010087,2,106,,,3,Flame_Ejector_1003,133093,40,0,vehicle_skin-20010087,1
10088,vehicle_skin-10010088,2,105,,,4,Searchlight_1004,133094,40,0,vehicle_skin-20010088,1
10089,vehicle_skin-10010089,2,141,,,4,Protective_Generator_1004,133095,40,0,vehicle_skin-20010089,1
10090,vehicle_skin-10010090,2,118,,,4,Small_Missile_Launcher_1004,133096,40,0,vehicle_skin-20010090,1
10091,vehicle_skin-10010091,2,106,,,4,Flame_Ejector_1004,133097,40,0,vehicle_skin-20010091,1
10092,vehicle_skin-10010092,2,111,,,5,Flak_Cannon_1005,133098,40,0,vehicle_skin-20010092,1
10093,vehicle_skin-10010093,2,117,,,5,Smoke_Emitter_1005,133099,40,0,vehicle_skin-20010093,1
10094,vehicle_skin-10010094,2,116,,,5,Signal_Tower_1005,133100,40,0,vehicle_skin-20010094,1
10095,vehicle_skin-10010095,2,107,,,5,MG_Cannon_1005,133101,40,0,vehicle_skin-20010095,1
10096,vehicle_skin-10010096,2,118,,,5,Small_Missile_Launcher_1005,133102,40,0,vehicle_skin-20010096,1
10097,vehicle_skin-10010097,2,111,,,6,Flak_Cannon_1006,133103,40,0,vehicle_skin-20010097,1
10098,vehicle_skin-10010098,2,117,,,6,Smoke_Emitter_1006,133104,40,0,vehicle_skin-20010098,1
10099,vehicle_skin-10010099,2,107,,,6,MG_Cannon_1006,133105,40,0,vehicle_skin-20010099,1
10100,vehicle_skin-10010100,2,118,,,6,Small_Missile_Launcher_1006,133106,40,0,vehicle_skin-20010100,1
10101,vehicle_skin-10010101,2,117,,,7,Smoke_Emitter_1007,133107,40,0,vehicle_skin-20010101,1
10102,vehicle_skin-10010102,2,107,,,7,MG_Cannon_1007,133108,40,0,vehicle_skin-20010102,1
10103,vehicle_skin-10010103,2,118,,,7,Small_Missile_Launcher_1007,133109,40,0,vehicle_skin-20010103,1
10104,vehicle_skin-10010104,2,107,,,8,MG_Cannon_1008,133110,40,0,vehicle_skin-20010104,1
10105,vehicle_skin-10010105,2,118,,,8,Small_Missile_Launcher_1008,133111,40,0,vehicle_skin-20010105,1
11100,vehicle_skin-10011100,1,0,1,,11,TankM1_1011,133112,40,0,vehicle_skin-20011100,1
11101,vehicle_skin-10011101,2,108,,,11,GrenadeComponent_1011,133113,40,0,vehicle_skin-20011101,1
11102,vehicle_skin-10011102,2,117,,,11,Smoke_Emitter_1011,133114,40,0,vehicle_skin-20011102,1
11103,vehicle_skin-10011103,2,143,,,11,LaserSup_1011,133115,40,0,vehicle_skin-20011103,1
11104,vehicle_skin-10011104,2,118,,,11,Small_Missile_Launcher_1011,133116,40,0,vehicle_skin-20011104,1
11105,vehicle_skin-10011105,2,107,,,11,MG_Cannon_1011,133117,40,0,vehicle_skin-20011105,1
11300,vehicle_skin-10011300,1,0,2,,13,Warjack_1013,133124,40,0,vehicle_skin-20011300,1
11301,vehicle_skin-10011301,2,118,,,13,Small_Missile_Launcher_1013,133125,40,0,vehicle_skin-20011301,1
11302,vehicle_skin-10011302,2,101,,,13,MG_Single_1013,133126,40,0,vehicle_skin-20011302,1
11303,vehicle_skin-10011303,2,107,,,13,MG_Cannon_1013,133127,40,0,vehicle_skin-20011303,1
11304,vehicle_skin-10011304,2,124,,,13,AutoDef_1013,133128,40,0,vehicle_skin-20011304,1
11305,vehicle_skin-10011305,2,116,,,13,Signal_Tower_1013,133129,40,0,vehicle_skin-20011305,1
