id,name,description,code,priority,duration_type,duration_time,special_spot_config_id,mission_hurt_config_id,mission_buff_config_id,detect_target_type,detect_range,effect_target_type,effect_spotbelong_type,effect_range_type,effect_range,side_type,conflict_type,conditions_type,conditions_time,conditions_count,skill_config_id_on_birth,skill_config_id_on_death,death_effect_target_type,death_clear_spot,effect_birth,effect_death,effect_duration,effect_process_star,effect_process_end,effect_process_duration,effect_conditions,effect_conditions_type,spot_buff_config_id,pref_code,is_still_alive
98,special_spot_config-10000098,special_spot_config-20000098,98,98,1,1,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,2,98,0;0,0-0;0-0,0,6|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1101,special_spot_config-10001101,special_spot_config-20001101,11,19,1,2,1111,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1102,special_spot_config-10001102,special_spot_config-20001102,11,19,1,2,1112,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1103,special_spot_config-10001103,special_spot_config-20001103,11,19,1,2,1113,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1104,special_spot_config-10001104,special_spot_config-20001104,11,19,1,2,1114,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1105,special_spot_config-10001105,special_spot_config-20001105,11,19,1,2,1115,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1106,special_spot_config-10001106,special_spot_config-20001106,11,19,1,2,1116,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1107,special_spot_config-10001107,special_spot_config-20001107,11,19,1,2,1117,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1108,special_spot_config-10001108,special_spot_config-20001108,11,19,1,2,1118,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1109,special_spot_config-10001109,special_spot_config-20001109,11,19,1,2,1119,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1110,special_spot_config-10001110,special_spot_config-20001110,11,19,1,2,1120,0,0,-1,0,-1,0|1|2|3,1,0,0,11,0;1,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,8,0,0,0,0|1,0,0,,0
1111,special_spot_config-10001111,special_spot_config-20001111,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,4,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1112,special_spot_config-10001112,special_spot_config-20001112,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,4,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1113,special_spot_config-10001113,special_spot_config-20001113,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,4,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1114,special_spot_config-10001114,special_spot_config-20001114,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,4,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1115,special_spot_config-10001115,special_spot_config-20001115,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,4,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1116,special_spot_config-10001116,special_spot_config-20001116,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,5,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1117,special_spot_config-10001117,special_spot_config-20001117,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,5,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1118,special_spot_config-10001118,special_spot_config-20001118,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,5,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1119,special_spot_config-10001119,special_spot_config-20001119,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,5,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1120,special_spot_config-10001120,special_spot_config-20001120,99,99,1,1,0,0,0,-1,0,-1,0|1|2|3,1,2,0,11,0;0,0-0;0-0,5,0|0|1121,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1121,special_spot_config-10001121,special_spot_config-20001121,99,100,1,1,0,0,0,4|5|6,0,4|5|6,0|1|2|3,1,0,0,100,1;0,1-1;0-0,0,0|2|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1201,special_spot_config-10001201,special_spot_config-20001201,12,20,1,1,0,0,61,-1,0,1|8|301|10|305|304,0|1|2|3,1,0,0,12,3;0,0-1;0-0,0,6|0|0,0|0|1202,-1,0,0,0,6,0,0,0,0|1,0,0,,0
1202,special_spot_config-10001202,special_spot_config-20001202,12,20,1,1,0,0,61,-1,0,1|8|301|10|305|304,0|1|2|3,1,0,0,12,3;0,0-1;0-0,0,6|0|0,0|0|0,-1,0,0,0,6,0,0,0,0|1,0,0,,0
1301,special_spot_config-10001301,special_spot_config-20001301,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1301|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1302,special_spot_config-10001302,special_spot_config-20001302,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1302|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1303,special_spot_config-10001303,special_spot_config-20001303,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1303|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1304,special_spot_config-10001304,special_spot_config-20001304,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1304|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1305,special_spot_config-10001305,special_spot_config-20001305,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1305|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1306,special_spot_config-10001306,special_spot_config-20001306,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1306|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1307,special_spot_config-10001307,special_spot_config-20001307,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1307|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1308,special_spot_config-10001308,special_spot_config-20001308,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1308|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1309,special_spot_config-10001309,special_spot_config-20001309,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1309|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1310,special_spot_config-10001310,special_spot_config-20001310,13,21,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,13,1;0,1-1;0-0,0,1310|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1501,special_spot_config-10001501,special_spot_config-20001501,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1501|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1502,special_spot_config-10001502,special_spot_config-20001502,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1502|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1503,special_spot_config-10001503,special_spot_config-20001503,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1503|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1504,special_spot_config-10001504,special_spot_config-20001504,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1504|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1505,special_spot_config-10001505,special_spot_config-20001505,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1505|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1506,special_spot_config-10001506,special_spot_config-20001506,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1506|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1507,special_spot_config-10001507,special_spot_config-20001507,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1507|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1508,special_spot_config-10001508,special_spot_config-20001508,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1508|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1509,special_spot_config-10001509,special_spot_config-20001509,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1509|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1510,special_spot_config-10001510,special_spot_config-20001510,15,23,1,1,0,0,0,1,0,1,0|1|2|3,1,0,0,15,1;0,1-1;0-0,0,1510|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1701,special_spot_config-10001701,special_spot_config-20001701,1701,1701,1,1,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,0,1701,0;0,0-0;0-0,1,1701|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1702,special_spot_config-10001702,special_spot_config-20001702,1702,1702,1,1,0,0,0,1|301|10|305|304,0,1|301|10|305|304,0|1|2|3,1,0,0,1702,0;0,0-0;0-0,1,1702|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
1800,special_spot_config-10001800,special_spot_config-20001800,1800,1800,1|3,2|1,1801,0,0,-1,0,1|3|7|8|201|10,0|1|2|3,1,0,0,1800,0;3|4,0-0;0-1|0-1,0,0|0|0,0|0|0,0,0,0,0,1005,0,0,0,0,0,0,,0
1801,special_spot_config-10001801,special_spot_config-20001801,1801,1801,1,1,0,0,0,-1,0,1|3|7|8|201|10,0|1|2|3,1,0,0,1801,0;0,0-0;0-0,0,1801|0|0,0|0|0,0,0,1006,0,0,0,0,0,0,0,0,,0
1810,special_spot_config-10001810,special_spot_config-20001810,1810,1810,1|3,2|1,1811,0,0,-1,0,4|5|6,0|1|2|3,1,0,0,1810,0;3|4,0-0;0-1|0-1,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,,0
1811,special_spot_config-10001811,special_spot_config-20001811,1811,1811,1,1,0,0,0,-1,0,4|5|6,0|1|2|3,1,0,0,1811,0;0,0-0;0-0,0,1811|0|0,0|0|0,0,0,1006,0,0,0,0,0,0,0,0,,0
1900,special_spot_config-10001900,special_spot_config-20001900,,1900,1,1,0,0,1900,-1,0,-1,0|1|2|3,1,0,0,1900,3;0,0-1;0-0,0,1900|0|0,0|0|0,0,0,0,0,1000024,0,0,0,1,0,0,,0
1901,special_spot_config-10001901,special_spot_config-20001901,,1901,1,1,0,0,1900,-1,0,-1,0|1|2|3,1,0,0,1901,3;0,0-1;0-0,0,1900|0|0,0|0|1900,-1,0,0,0,1000024,0,0,0,1,0,0,,0
2001,special_spot_config-10002001,special_spot_config-20002001,,2001,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,2001,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0,0,0,,0
2100,special_spot_config-10002100,special_spot_config-20002100,,2100,1|3,1|1,0,21,0,4|5|6,0,4|5|6,0|1|2|3,1,0,0,2100,3;0,0-1;0-0,0,0|0|0,0|0|0,,0,0,0,900002,0,0,0,0,0,0,,0
2101,special_spot_config-10002101,special_spot_config-20002101,,2101,1|3,1|1,0,0,2100,4|5|6,0,4|5|6,0|1|2|3,1,0,0,2101,3;0,0-1;0-0,0,0|0|0,0|0|0,,0,0,0,900002,0,0,0,0,0,0,,0
2200,special_spot_config-10002200,special_spot_config-20002200,,2200,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,2200,0;0,0-0;0-0,0,0|22|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
2300,special_spot_config-10002300,special_spot_config-20002300,,2300,1|2,3|4,0,0,0,-1,2,-1,0|1|2|3,1,0,0,2300,0;0,0-0;0-0,0,0|0|0,0|0|2304,-1,0,0,0,8,0,0,0,0,0,0,,0
2301,special_spot_config-10002301,special_spot_config-20002301,,1,2,1,0,0,2300,-1,2,1|8|301|10|305|304,0|1|2|3,2,0,0,2301,2;0,0-1;0-0,0,0|0|0,0|0|2302,-1,0,0,0,0,0,0,0,0,0,0,,0
2302,special_spot_config-10002302,special_spot_config-20002302,,2,2,1,0,0,2300,-1,2,1|8|301|10|305|304,0|1|2|3,2,0,0,2301,2;0,0-1;0-0,0,0|0|0,0|0|2303,-1,0,0,0,0,0,0,0,0,0,0,,0
2303,special_spot_config-10002303,special_spot_config-20002303,,3,2,1,0,0,2300,-1,2,1|8|301|10|305|304,0|1|2|3,2,0,0,2301,2;0,0-1;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
2304,special_spot_config-10002304,special_spot_config-20002304,,4,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,2301,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
10001,special_spot_config-10010001,special_spot_config-20010001,,10001,1,1,0,0,0,-1,0,4|5|6,0|1|2|3,1,0,0,10001,0;0,0-0;0-0,0,0|1000004|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
20102,special_spot_config-10020102,special_spot_config-20020102,,20102,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,20102,0;0,0-0;0-0,0,20102|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
20202,special_spot_config-10020202,special_spot_config-20020202,,20202,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,20202,0;0,0-0;0-0,0,20202|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
20302,special_spot_config-10020302,special_spot_config-20020302,,20302,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,20302,0;0,0-0;0-0,0,20302|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
70001,special_spot_config-10070001,special_spot_config-20070001,70001,70001,1,99,0,0,0,-1,0,-1,0|1|2|3,1,0,0,70001,0;0,0-0;0-0,1,0|0|0,0|0|0,-1,0,0,0,900002,0,0,0,0,0,8,,0
70012,special_spot_config-10070012,special_spot_config-20070012,70012,70012,1,1,0,0,0,1|3|5|7|8|201|301|10|305|304,0,1|3|5|7|8|201|301|10|305|304,0|1|2|3,1,0,0,70012,0;0,0-0;0-0,1,0|70012|0,0|70012|0,-1,0,0,0,0,3,0,0,0,0,0,,0
70014,special_spot_config-10070014,special_spot_config-20070014,70014,70014,1,1,0,0,0,1|3|5|7|8|201|301|10|305|304,0,1|3|5|7|8|201|301|10|305|304,0|1|2|3,1,0,0,70014,0;0,0-0;0-0,1,0|70014|0,0|70014|0,-1,0,0,0,0,3,0,0,0,0,0,,0
72001,special_spot_config-10072001,special_spot_config-20072001,,-1,1,1,0,0,0,1|3|5|7|8|201|301|10|305|304,0,1|3|5|7|8|201|301|10|305|304,0|1|2|3,1,0,0,72001,0;0,0-0;0-0,0,0|0|0,0|0|72002,-1,0,0,0,0,0,0,0,0,0,0,,0
72002,special_spot_config-10072002,special_spot_config-20072002,,-1,1,99,0,0,0,1|3|5|7|8|201|301|10|305|304,0,1|3|5|7|8|201|301|10|305|304,0|1|2|3,1,0,0,72002,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
78001,special_spot_config-10078001,special_spot_config-20078001,,1,3,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78001,0;0,0-0;0-0,0,0|0|0,0|0|78002,-1,0,0,0,0,0,0,0,0,0,0,,0
78002,special_spot_config-10078002,special_spot_config-20078002,,1,3,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78002,0;0,0-0;0-0,0,0|0|0,0|0|78001,-1,0,0,0,1000141,0,0,0,0,0,0,,0
78003,special_spot_config-10078003,special_spot_config-20078003,M4A1_Boss,1,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78003,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
78024,special_spot_config-10078024,special_spot_config-20078024,,1,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78024,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
78025,special_spot_config-10078025,special_spot_config-20078025,,1,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78025,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
78026,special_spot_config-10078026,special_spot_config-20078026,,1,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78026,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
78027,special_spot_config-10078027,special_spot_config-20078027,,1,1,99,0,0,0,-1,0,-1,0|1|2|3,1,0,0,78027,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
100201,special_spot_config-10100201,special_spot_config-20100201,1002,1002,1,1,0,0,0,0,0,4|5|6,0|1|2|3,1,2,0,1004,0;0,0-0;0-0,3,0|0|100202,0|0|0,0,0,1002,0,0,0,0,0,0|1,0,0,,0
100202,special_spot_config-10100202,special_spot_config-20100202,1002,10021,1,1,0,0,0,4|5|6,0,4|5|6,0|1|2|3,1,0,0,1005,1;0,1-1;0-0,0,0|1002|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
100401,special_spot_config-10100401,special_spot_config-20100401,1004,20,1,1,0,0,10041,-1,0,1|8|301|10|305|304,0|1|2|3,1,0,0,10,3;0,0-1;0-0,0,1004|0|0,0|0|100402,-1,0,0,0,1004,0,0,0,0|1,0,0,,0
100402,special_spot_config-10100402,special_spot_config-20100402,1004,20,1,1,0,0,10041,-1,0,1|8|301|10|305|304,0|1|2|3,1,0,0,10,3;0,0-1;0-0,0,1004|0|0,0|0|0,0,0,0,0,1004,0,0,0,0|1,0,0,,0
363001,special_spot_config-10363001,special_spot_config-20363001,,363001,1,99,0,0,0,-1,0,-1,0|1|2|3,1,0,0,363001,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
363002,special_spot_config-10363002,special_spot_config-20363002,,363002,1,99,0,0,0,-1,0,-1,0|1|2|3,1,0,0,363002,0;0,0-0;0-0,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
363011,special_spot_config-10363011,special_spot_config-20363011,,363011,1,99,363001,0,0,-1,0,-1,0|1|2|3,1,0,0,363011,0;1,0-0;0-1,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
363012,special_spot_config-10363012,special_spot_config-20363012,,363012,1,99,363002,0,0,-1,0,-1,0|1|2|3,1,0,0,363012,0;1,0-0;0-1,0,0|0|0,0|0|0,-1,0,0,0,0,0,0,0,0,0,0,,0
381602,special_spot_config-10381602,special_spot_config-20381602,,381602,1,1,0,0,0,-1,0,-1,0|1|2|3,1,9,0,381602,0;0,0-0;0-0,0,0|0|381604,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381603,special_spot_config-10381603,special_spot_config-20381603,,381603,1,1,0,0,0,-1,0,-1,0|1|2|3,1,9,0,381603,0;0,0-0;0-0,0,0|0|381605,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381604,special_spot_config-10381604,special_spot_config-20381604,,381604,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,381604,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381605,special_spot_config-10381605,special_spot_config-20381605,,381605,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,381605,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381606,special_spot_config-10381606,special_spot_config-20381606,,381606,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,381606,0;0,0-0;0-0,0,0|9130610|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381704,special_spot_config-10381704,special_spot_config-20381704,,381704,1,1,0,0,0,-1,0,-1,0|1|2|3,1,0,0,381704,0;0,0-0;0-0,0,0|1000051|0,0|0|0,0,0,3,0,0,0,0,0,0|1,0,0,,0
381901,special_spot_config-10381901,special_spot_config-20381901,,381901,1|3,99|1,381904,0,0,-1,0,-1,0|1|2|3,1,7,0,381901,0;3|3,0-0;0-1|0-1,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381902,special_spot_config-10381902,special_spot_config-20381902,,381902,1,99,0,0,0,-1,0,-1,0|1|2|3,1,9,0,381902,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,900002,0,0,0,0|1,0,2,,0
381903,special_spot_config-10381903,special_spot_config-20381903,,381903,1,99,0,0,381903,-1,0,-1,0|1|2|3,1,0,0,381903,3|3;0,0-1|0-1;0-0,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381904,special_spot_config-10381904,special_spot_config-20381904,,381904,1,99,0,0,0,-1,0,-1,0|1|2|3,1,7,0,381902,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381905,special_spot_config-10381905,special_spot_config-20381905,,381905,1|3,99|1,381906,0,0,-1,0,-1,0|1|2|3,1,7,0,381905,0;3|3,0-0;0-1|0-1,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
381906,special_spot_config-10381906,special_spot_config-20381906,,381906,1,99,0,0,0,-1,0,-1,0|1|2|3,1,7,0,381906,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,0,0,0,0,0|1,0,0,,0
382001,special_spot_config-10382001,special_spot_config-20382001,,382001,1,99,0,0,0,-1,0,-1,0|1|2|3,1,0,0,382001,0;0,0-0;0-0,0,0|0|0,0|0|0,0,0,0,0,900002,0,0,0,0|1,0,3,,0
382002,special_spot_config-10382002,special_spot_config-20382002, ,382002,3,1,382001,0,0,1|3|7|8|201,0,-1,0|1|2|3,1,1,0,382002,0;3,0-0;0-1,0,0|0|0,0|0|382007,-1,0,0,0,0,0,0,0,0|1,0,0,,0
382003,special_spot_config-10382003,special_spot_config-20382003,,382003,3,1,382001,0,0,1|3|7|8|201,0,-1,0|1|2|3,1,1,0,382003,0;3,0-0;0-1,0,0|0|0,0|0|382008,-1,0,0,0,0,0,0,0,0|1,0,0,,0
382004,special_spot_config-10382004,special_spot_config-20382004,,382004,1,99,382005,0,0,1|3|7|8|201,0,-1,0|1|2|3,1,1,0,382004,0;3,0-0;0-1,0,0|0|0,0|0|0,0,0,0,0,900001,0,0,0,0|1,0,0,,0
