"map_id","route","create_date","map_label"
"80","70,62,53,52,44,36,28,20,12,3","","1"
"81","1,10,11,12,20,28,36,44,52,60","","1"
"82","1,10,11,12,20,28,36,44,52,61","","1"
"83","1,10,11,12,20,28,36,44,52,61","","1"
"84","1,10,11,12,20,28,36,44,52,60","","1"
"85","70,62,53,52,44,36,28,20,12,3","","1"
"86","1,10,11,12,20,28,35,42,50,58","","1"
"87","63,56,57,58,50,42,34,27,20,13","","1"
"88","63,56,57,58,50,42,34,27,20,12","","1"
"89","1,10,11,12,20,28,35,42,50,58","","1"
"90","63,56,57,58,50,42,34,27,20,12","","1"
"91","8,16,15,22,30,37,44,52,61,69","","1"
"92","8,16,15,22,30,37,44,51,50,58","","1"
"93","63,56,57,58,50,42,35,28,21,22","","1"
"94","8,16,15,22,30,37,44,51,50,58","","1"
"95","1,10,11,12,20,28,36,44,52,61","","1"
"96","1,10,11,12,20,28,35,42,50,58","","1"
"97","8,16,15,22,30,37,44,51,50,58","","1"
"98","8,16,15,22,30,37,44,51,50,58","","1"
"99","63,56,57,58,50,42,34,27,20,13","","1"
"100","70,62,53,52,44,36,28,21,22,15","","1"
"101","73,74,82,83,90,97,105,112,120,128","","2"
"102","138,129,121,113,106,98,91,84,83","","2"
"103","73,74,82,83,90,97,105,112,120,128","","2"
"104","73,74,82,83,90,97,105,112,120,128","","2"
"105","138,129,121,113,106,98,91,84,83","","2"
"106","131,132,124,125,118,111,105,98,92,85,78","","2"
"107","131,132,124,125,118,111,105,98,92,85,78","","2"
"108","131,132,124,125,118,111,105,98,92,85,78","","2"
"109","138,129,121,113,106,98,91,84,83","","2"
"110","138,129,121,113,106,98,91,84,83","","2"
"111","73,74,82,83,90,97,105,112,120,128","","2"
"112","138,129,121,113,106,98,91,84,83","","2"
"113","138,129,121,113,106,98,91,84,83","","2"
"114","73,74,82,83,90,97,105,112,120,128","","2"
"115","131,132,124,125,118,111,105,98,92,85,78","","2"
"116","138,129,121,113,106,98,91,84,83","","2"
"117","73,74,82,83,90,97,105,112,120,128","","2"
"118","80,87,93,99,106,112,119,118,125","","2"
"119","73,74,82,83,90,97,105,112,120,128","","2"
"120","73,74,82,83,90,97,105,112,120,128","","2"
"121","138,129,121,113,106,98,91,84,83","","2"
"122","131,132,124,125,118,111,105,98,92,85,78","","2"
"123","131,132,124,125,118,111,105,98,92,85,78","","2"
"124","138,129,121,113,106,98,91,84,83","","2"
"125","80,87,93,99,106,112,119,118,125","","2"
"126","73,74,82,83,90,97,105,112,120,128","","2"
"127","80,87,93,99,106,112,119,118,125","","2"
"128","80,87,93,99,106,112,119,118,125","","2"
"129","80,87,93,99,106,112,119,118,125","","2"
"130","131,132,124,125,118,111,105,98,92,85,78","","2"
"131","131,132,124,125,118,111,105,98,92,85,78","","2"
"132","138,129,121,113,106,98,91,84,83","","2"
"133","131,132,124,125,118,111,105,98,92,85,78","","2"
"134","138,129,121,113,106,98,91,84,83","","2"
"135","131,132,124,125,118,111,105,98,92,85,78","","2"
"136","73,74,82,83,90,97,105,112,120,128","","2"
"137","80,87,93,99,106,112,119,118,125","","2"
"138","138,129,121,113,106,98,91,84,83","","2"
"139","138,129,121,113,106,98,91,84,83","","2"
"140","80,87,93,99,106,112,119,118,125","","2"
"141","138,129,121,113,106,98,91,84,83","","2"
"142","80,87,93,99,106,112,119,118,125","","2"
"143","131,132,124,125,118,111,105,98,92,85,78","","2"
"144","80,87,93,99,106,112,119,118,125","","2"
"145","73,74,82,83,90,97,105,112,120,128","","2"
"146","73,74,82,83,90,97,105,112,120,128","","2"
"147","138,129,121,113,106,98,91,84,83","","2"
"148","138,129,121,113,106,98,91,84,83","","2"
"149","131,132,124,125,118,111,105,98,92,85,78","","2"
"150","73,74,82,83,90,97,105,112,120,128","","2"
