id,name,en_name,code,introduce,dialogue,extra,en_introduce,forces,type,character,formation,resolution,shape_scale,ap_cost,ap_add,rank,skill1,skill2_type,skill2,skill3,skill_advance,skill_resolution,passive_skill2,dynamic_passive_skill,normal_attack,baseammo,basemre,ammo_add_withnumber,mre_add_withnumber,ratio_hp,ratio_pow,ratio_rate,ratio_hit,ratio_dodge,ratio_armor,armor_piercing,crit,crit_dmg,eat_ratio,ratio_speed,special,attack_range_type,assist_attack_range,ratio_range,search_range,effect_grid_effect,type_chip1,type_chip2,type_chip3,illustration_id,ai,is_additional,launch_time,obtain_ids,display_enemy_team,picture_offset,picture_scale,dorm_scale,org_id,gun_tag_ids,ratio_rec,recommended_team_ids
1012,sangvis-10001012,Agent,Agent,sangvis-40001012,待定，单独提出语言包最好,||,sangvis-30001012,1,1,2|4|6,1,112,80|120,10,0,5,902162,2,30010,902165,902166,902163,,902190|902204|902205,902164,10,10,5,5,115,130,95,120,100,0,50,30,150,100,15,0,2,15,500,7,0:1|15;3|15;4|15,1|2|3,1|2|3,1|2|3,45,11002,1,2016-05-20 00:00:00,0,930012,-100.001|-65.021,0.864|0.864,100,10604,126|103|110,115,1|9
1013,sangvis-10001013,Nyto_black,Nyto_black,sangvis-40001013,待定，单独提出语言包最好,||,sangvis-30001013,3,1,2|4|6,1,113,80|120,8,0,5,902356,3,1013,902358,902359,902362,,902363|902364|902367,902361,10,10,5,5,90,132,72,128,55,0,180,40,150,100,15,0,2,15,500,7,0:2|20|4:1|10;3|10,1|2|3,1|2|3,1|2|3,50,11002,1,2016-05-20 00:00:00,0,930013,-100.001|-65.021,0.864|0.864,100,10603,117|10101,105,8
1014,sangvis-10001014,Nyto_white,Nyto_white,sangvis-40001014,待定，单独提出语言包最好,||,sangvis-30001014,3,1,2|4|5,1,114,80|120,8,0,5,902431,3,1014,902433,902434,902442,902437|902438|902439,902441,902436,10,10,5,5,105,135,55,110,90,0,180,40,150,100,15,0,1,15,500,4,4:1|12;3|12|5:4|12;5|12,1|2|3,1|2|3,1|2|3,51,11002,1,2016-05-20 00:00:00,0,930014,-100.001|-65.021,0.864|0.864,100,10603,121|10101|120,105,10
1015,sangvis-10001015,Architect_Summer,BossArchitect_Summer,sangvis-40001015,待定，单独提出语言包最好,||,sangvis-30001015,1,1,2|4|6,1,115,80|120,10,0,5,750001,1,750003,750008,750009,750002,750004,750005|750006|750010,750007,10,10,5,5,120,140,85,135,60,0,100,30,200,100,15,0,2,15,500,7,3:1|15;3|15;4|15,1|2|3,1|2|3,1|2|3,126,11002,1,2016-05-20 00:00:00,0,930016,-100.001|-65.021,0.864|0.864,100,10603,121|110|125|161,120,6
1016,sangvis-10001016,Intruder_Halloween,Intruder_Halloween,sangvis-40001016,待定，单独提出语言包最好,||,sangvis-30001016,1,1,2|4|6,1,116,80|120,10,0,5,750126,1,750081,750082,750086,750080,750084,750085|750083,900536,10,10,5,5,125,98,108,85,105,0,15,20,150,100,15,0,2,15,500,7,0:4|10;8|10|3:1|15,1|2|3,1|2|3,1|2|3,140,11002,1,2016-05-20 00:00:00,0,930017,-100.001|-65.021,0.864|0.864,100,10602,126|103|104|113,125,9
1017,sangvis-10001017,Destroyer_Christmas,Destroyer_Christmas,sangvis-40001017,待定，单独提出语言包最好,||,sangvis-30001017,1,1,2|4|6,1,117,80|120,10,0,5,750276,1,750278,750279,750280,750277,750296|750281|750282|750283|750284,750295|750285|750286|750287|750288|750289|750290|750291|750292,750294,10,10,5,5,120,130,80,80,110,0,15,20,150,100,15,0,2,15,500,7,2:1|10;8|10;|3:2|10;3|15,1|2|3,1|2|3,1|2|3,147,11002,1,2016-05-20 00:00:00,0,930018,-100.001|-65.021,0.864|0.864,100,10603,109|121|110,120,6
1018,sangvis-10001018,Hunter_WhiteDay,Hunter_WhiteDay,sangvis-40001018,待定，单独提出语言包最好,||,sangvis-30001018,1,1,2|4|6,1,118,80|120,10,0,5,750363,1,750365,750366,750367,750364,750371,750368|750369|750372|750374|750375|750376,750370,10,10,5,5,80,100,95,150,125,0,200,40,150,100,15,0,2,15,500,7,5:2|10;4|15|6:1|10;3|15,1|2|3,1|2|3,1|2|3,157,11002,1,2016-05-20 00:00:00,0,930019,-100.001|-65.021,0.864|0.864,100,10602,139|148|103,80,8
1019,sangvis-10001019,Cerberus,BossCerberus,sangvis-40001019,待定，单独提出语言包最好,||,sangvis-30001019,1,1,1|3|6,1,119,80|120,10,0,5,750397,1,750399,750400,750401,750398,750408,,750407,10,10,5,5,165,118,80,110,50,75,180,20,150,100,10,0,2,15,500,6,3:1|15;4|15;5|15,1|2|3,1|2|3,1|2|3,33,11002,1,2016-05-20 00:00:00,0,930020,-100.001|-65.021,0.864|0.864,100,10603,121|149|113|110|129,165,9
1020,sangvis-10001020,Nyto_White_Summer,Nyto_White_Summer,sangvis-40001020,待定，单独提出语言包最好,||,sangvis-30001020,3,1,2|4|5,1,120,80|120,8,0,5,750409,1,750411,750412,750413,750410,750421|750422|750424|750425|750426|750427|750428|750429|750431|750447,750010,750414,10,10,5,5,140,90,55,130,95,0,180,40,150,100,18,0,1,15,500,4,1:5|10;8|10|4:1|15;4|15,1|2|3,1|2|3,1|2|3,166,11002,1,2016-05-20 00:00:00,0,930021,-100.001|-65.021,0.864|0.864,100,10603,118|164|129|140|110|107,140,10
1021,sangvis-10001021,Excutioner_Halloween,Excutioner_Halloween,sangvis-40001021,待定，单独提出语言包最好,||,sangvis-30001021,1,1,2|4|5,1,121,80|120,10,0,5,750579,1,750581,750582,750583,750580,750592|750593|750594|750595|750596|750597|750599,750598,750584,10,10,5,5,155,110,65,90,110,0,15,40,150,100,20,0,1,15,500,3,0:5|50|5:1|15;4|15,1|2|3,1|2|3,1|2|3,175,11002,2,2016-05-20 00:00:00,0,930022,-100.001|-65.021,0.864|0.864,100,10604,117|121|129,200,10
1022,sangvis-10001022,Nyto_tareus,Nyto_tareus,sangvis-40001022,待定，单独提出语言包最好,||,sangvis-30001022,3,1,1|4|6,1,122,80|120,10,0,5,750622,3,1018,750625,750626,750623,750627|750632|750633|750634|750635|750636|750637|750638|750639|750640|750641,750630|750642,750631,10,10,5,5,200,65,65,150,40,120,180,20,150,100,10,0,2,15,500,8,4:1|20;3|50;5|30,1|2|3,1|2|3,1|2|3,176,11002,1,2016-05-20 00:00:00,0,930023,-100.001|-65.021,0.864|0.864,100,10603,10127|113|109,200,1
1023,sangvis-10001023,Scarecrow_SpringFes,Scarecrow_SpringFes,sangvis-40001023,待定，单独提出语言包最好,||,sangvis-30001023,1,1,2|4|6,1,123,80|120,10,0,5,750700,1,750702,750703,750704,750701,750707|750708|750709,,750706,10,10,5,5,135,112,100,126,90,0,15,20,150,100,18,0,2,15,500,7,0:2|10;5|20|4:1|20,1|2|3,1|2|3,1|2|3,181,11002,1,2023-01-22 00:00:00,0,930024,-100.001|-65.021,0.864|0.864,100,10604,137|113|145,135,9
1024,sangvis-10001024,Sana,Nyto_mecha2,sangvis-40001024,待定，单独提出语言包最好,||,sangvis-30001024,3,1,1|4|6,1,124,80|120,10,0,5,750783,1,750785,750786,750787,750784,750789|750790|750791|750792|750798,750793|750795,750788,10,10,5,5,170,138,50,200,60,75,180,20,150,100,10,0,2,15,500,8,4:2|20;3|50;5|30,1|2|3,1|2|3,1|2|3,206,11002,1,2016-05-20 00:00:00,0,930025,-100.001|-65.021,0.864|0.864,100,10604,121|109|108|146|10102|145,170,6
1025,sangvis-10001025,Narciss,BossNarciss,sangvis-40001025,待定，单独提出语言包最好,||,sangvis-30001025,3,1,2|4|6,1,125,80|120,10,0,5,750870,1,750872,750873,750874,750871,750876|750878|750879,750877|750880|750883|750884,750875,10,10,5,5,105,170,60,150,130,0,180,40,200,100,18,0,2,15,500,8,4:1|20;2|20,1|2|3,1|2|3,1|2|3,109,11002,1,2016-05-20 00:00:00,0,930026,-100.001|-65.021,0.864|0.864,100,10603,117|154|109|124,105,8
1026,sangvis-10001026,Dreamer_Halloween,Dreamer_Halloween,sangvis-40001026,待定，单独提出语言包最好,||,sangvis-30001026,1,1,2|4|6,1,126,80|120,10,0,5,750885,1,750887,750888,750889,750886,750891|750892|750895|750899,750893|750894|750896|750897,750890,10,10,5,5,90,130,70,165,100,0,200,30,200,100,18,0,2,15,500,7,0:2|10;5|20|6:1|20,1|2|3,1|2|3,1|2|3,216,11002,1,2016-05-20 00:00:00,0,930027,-100.001|-65.021,0.864|0.864,100,10604,144|154|104|103,90,4
1027,sangvis-10001027,Mrsgray,Mrsgray,sangvis-40001027,待定，单独提出语言包最好,||,sangvis-30001027,3,1,2|4|6,1,127,80|120,10,0,5,750960,2,30012,750963,750964,750961,450604,,750965,10,10,5,5,120,100,100,120,135,0,15,20,150,100,18,0,2,15,500,7,0:1|10;2|10;4|30,1|2|3,1|2|3,1|2|3,110,11002,1,2016-05-20 00:00:00,0,930028,-100.001|-65.021,0.864|0.864,100,10604,121|113|103|145,165,9
1028,sangvis-10001028,GagerSwimwear,GagerSwimwear,sangvis-40001028,待定，单独提出语言包最好,||,sangvis-30001028,1,1,2|4|6,1,128,80|120,10,0,5,760002,1,760004,760005,760007,760003,760006,,760001,10,10,5,5,100,115,125,95,80,0,15,40,150,100,15,0,2,15,500,7,0:1|20|3:8|20|4:5|20,1|2|3,1|2|3,1|2|3,236,11002,1,2016-05-20 00:00:00,0,930029,-100.001|-65.021,0.864|0.864,100,10602,103|109|121,100,6
1029,sangvis-10001029,Beluga,Beluga,sangvis-40001029,待定，单独提出语言包最好,||,sangvis-30001029,1,1,2|4|6,1,129,80|120,10,0,5,760010,2,30015,760013,760014,760011,760009|450516,760022,760008,10,10,5,5,110,145,100,165,100,0,15,20,150,100,15,0,2,15,500,7,4:1|30;4|30;5|50,1|2|3,1|2|3,1|2|3,44,11002,1,2016-05-20 00:00:00,0,930015,-100.001|-65.021,0.864|0.864,100,10602,118|103|164|108,110,6
1030,sangvis-10001030,Teal,Teal,sangvis-40001030,待定，单独提出语言包最好,||,sangvis-30001030,1,1,2|4|5,1,130,80|120,10,0,5,760027,1,760031,760034,760035,760028,760025|760026|760032|760036|760037|760038|760039|760040,760029|760030,760024,10,10,5,5,100,140,90,160,120,0,100,50,150,100,20,0,1,15,500,3,4:2|30;4|50,1|2|3,1|2|3,1|2|3,138,11002,1,2016-05-20 00:00:00,0,930030,-100.001|-65.021,0.864|0.864,100,10604,139|109|122|103,250,8
2001,sangvis-10002001,Brute,Brute,sangvis-40002001,待定，单独提出语言包最好,||,sangvis-30002001,1,2,2|4|5,5,201,80|120,4,0,4,0,1,0,900578,900579,0,902167,900580|900581,900577,10,10,5,5,75,62,80,100,90,0,180,10,150,95,20,0,1,15,500,3,,,,,28,3045,7,2016-05-20 00:00:00,0,910017,-100.001|-65.021,0.864|0.864,75,0,101|10138|166,135,10
2002,sangvis-10002002,Dragoon,Dragoon,sangvis-40002002,待定，单独提出语言包最好,||,sangvis-30002002,1,2,2|4|5,5,202,80|120,6,0,4,0,1,0,900520,900527,0,900521|901519|901520|902167,,900519,10,10,5,5,132,105,65,105,75,0,50,20,150,95,16,0,1,15,500,4,,,,,12,3045,8,2016-05-20 00:00:00,0,910008,-100.001|-65.021,0.864|0.864,90,0,101|113|166,150,1|4|5|6|8|9|10
2003,sangvis-10002003,Aegis,Aegis,sangvis-40002003,待定，单独提出语言包最好,||,sangvis-30002003,1,2,1|4|5,5,203,80|120,6,0,4,0,1,0,600701,600703,0,902167,600702,600704,10,10,5,5,140,90,75,110,40,100,15,20,150,95,8,0,1,15,500,3,,,,,15,3045,9,2016-05-20 00:00:00,0,910015,-100.001|-65.021,0.864|0.864,100,0,101|152|113,150,1|4|5|6|8|9
2004,sangvis-10002004,Nemeum,Nemeum,sangvis-40002004,待定，单独提出语言包最好,||,sangvis-30002004,1,2,1|3|6,5,204,80|120,6,0,4,0,1,0,900612,900613,0,902167,,900611,10,10,5,5,98,165,60,110,30,50,100,20,150,95,8,0,2,15,500,3,,,,,14,3045,9,2016-05-20 00:00:00,0,910016,-100.001|-65.021,0.864|0.864,100,0,102|117|152,98,8
2005,sangvis-10002005,Tarantula,Tarantula,sangvis-40002005,待定，单独提出语言包最好,||,sangvis-30002005,1,2,1|3|5,5,205,80|120,3,0,4,0,1,0,900653,900661,0,900631|900632|900633|900634|900635|902167,900651,900655,10,10,5,5,36,100,105,105,50,60,15,20,150,95,10,0,1,15,500,3,,,,,30,3045,9,2016-05-20 00:00:00,0,910018,-100.001|-65.021,0.864|0.864,100,0,101|152|126|166,60,1|4|5|6|8|9|10
2006,sangvis-10002006,Manticore,Manticore,sangvis-40002006,待定，单独提出语言包最好,||,sangvis-30002006,1,2,1|3|6,1,206,80|120,10,0,4,0,1,0,900617,900618,0,900614|902167,900616|901618|902618,900615,10,10,5,5,165,130,85,110,50,120,180,20,150,75,8,0,2,15,500,5,,,,,16,3045,9,2016-05-20 00:00:00,0,910010,-100.001|-65.021,0.864|0.864,100,0,101|102|161|152|118|121,165,1|4|5|6|8|9
2008,sangvis-10002008,Guard_SWAP,Guard_SWAP,sangvis-40002008,待定，单独提出语言包最好,||,sangvis-30002008,1,2,2|4|5,5,208,80|120,6,0,4,0,1,0,900746,900744,0,902167,900749,900745,10,10,5,5,140,100,75,130,80,0,50,20,150,95,16,0,1,15,500,3,,,,,57,3045,8,2016-05-20 00:00:00,0,911007,-100.001|-65.021,0.864|0.864,90,0,101|10102,150,1
2009,sangvis-10002009,Ripper_SWAP,Ripper_SWAP,sangvis-40002009,待定，单独提出语言包最好,||,sangvis-30002009,1,2,2|4|6,5,209,80|120,6,0,4,0,1,0,900770,910774,0,900631|900632|900633|900634|900635|900775|902167,900771|900773|900776|900777|900774,900772,10,10,5,5,115,72,100,85,140,0,15,10,150,95,15,0,2,15,500,7,,,,,86,3045,8,2016-05-20 00:00:00,0,911104,-100.001|-65.021,0.864|0.864,90,0,102|108|120,125,1
2010,sangvis-10002010,Vespid_SWAP,Vespid_SWAP,sangvis-40002010,待定，单独提出语言包最好,||,sangvis-30002010,1,2,2|4|6,5,210,80|120,6,0,4,0,1,0,900841,900842,0,902167,900843,900840,10,10,5,5,95,95,105,115,95,0,15,20,150,95,15,0,2,15,500,7,,,,,94,3045,8,2016-05-20 00:00:00,0,911105,-100.001|-65.021,0.864|0.864,90,0,102|103,95,1|4|9
2011,sangvis-10002011,Prowler_SWAP,Prowler_SWAP,sangvis-40002011,待定，单独提出语言包最好,||,sangvis-30002011,1,2,2|3|5,5,211,80|120,4,0,4,0,1,0,900934,900937,0,902167,900935|900936,900574,10,10,5,5,95,75,120,110,95,0,15,20,150,95,12,0,1,15,500,4,,,,,55,3045,21,2016-05-20 00:00:00,0,911001,-100.001|-65.021,0.864|0.864,80,0,101|103|113|166,125,1|4|9|10
2012,sangvis-10002012,Dragoon_SWAP,Dragoon_SWAP,sangvis-40002012,待定，单独提出语言包最好,||,sangvis-30002012,1,2,2|4|5,5,212,80|120,6,0,4,0,1,0,900982,900981,0,902167,900983|900984|900985,900980,10,10,5,5,135,122,65,115,80,0,50,20,150,95,16,0,1,15,500,4,,,,,58,3045,8,2016-05-20 00:00:00,0,911008,-100.001|-65.021,0.864|0.864,90,0,101|113|108|166,135,1|10
2013,sangvis-10002013,Striker_SWAP,Striker_SWAP,sangvis-40002013,待定，单独提出语言包最好,||,sangvis-30002013,1,2,2|4|6,5,213,80|120,6,0,4,0,1,0,901251,901253,0,901254|902167,901252|901255,901250,10,10,5,5,100,100,115,80,45,0,180,5,150,95,5,0,2,15,500,9,,,,,59,3045,18,2016-05-20 00:00:00,0,911012,-100.001|-65.021,0.864|0.864,95,0,102|146|10118,100,4|5
2014,sangvis-10002014,Aegis_SWAP,Aegis_SWAP,sangvis-40002014,待定，单独提出语言包最好,||,sangvis-30002014,1,2,1|4|5,5,214,80|120,6,0,4,0,1,0,902200,902201,0,902167,,600704,10,10,5,5,180,75,50,110,50,105,15,20,150,95,8,0,1,15,500,3,,,,,60,3045,9,2016-05-20 00:00:00,0,911011,-100.001|-65.021,0.864|0.864,95,0,101|152|113|129,200,1|4|5|6|8|9
2015,sangvis-10002015,Jaeger_SWAP,Jaeger_SWAP,sangvis-40002015,待定，单独提出语言包最好,||,sangvis-30002015,1,2,2|4|6,5,215,80|120,6,0,4,0,1,0,750056,750058,0,902167,,750057,10,10,5,5,80,140,70,130,55,0,180,50,200,95,6,0,2,15,500,9,,,,,56,3045,17,2016-05-20 00:00:00,0,911006,-100.001|-65.021,0.864|0.864,95,0,102|154|117|10118,80,8|5
2016,sangvis-10002016,Guard_chm,Guard_chm,sangvis-40002016,待定，单独提出语言包最好,||,sangvis-30002016,1,2,2|4|5,5,216,80|120,6,0,4,0,1,0,900746,750298,0,902167,900749,900745,10,10,5,5,200,115,75,165,40,0,15,20,150,95,16,0,1,15,500,3,,,,,108,3045,8,2016-05-20 00:00:00,0,913124,-100.001|-65.021,0.864|0.864,95,0,101|10102,220,1
2017,sangvis-10002017,Vespid_bride,Vespid_bride,sangvis-40002017,待定，单独提出语言包最好,||,sangvis-30002017,1,2,2|4|6,5,217,80|120,6,0,4,0,1,0,900841,750377,0,902167,,750378,10,10,5,5,110,80,110,125,100,0,15,20,150,95,15,0,2,15,500,7,,,,,121,3045,8,2016-05-20 00:00:00,0,913101,-100.001|-65.021,0.864|0.864,90,0,102|103,110,1|4|9
2018,sangvis-10002018,RecceCentreSwim,RecceCentreSwim_buhuo,sangvis-40002018,待定，单独提出语言包最好,||,sangvis-30002018,1,2,1|3|6,1,218,20|60,8,0,4,0,1,0,750433,750444,0,750432|902167,750445|750446,900107,10,10,5,5,100,330,95,300,0,85,100,5,150,75,3,0,2,15,500,5,,,,,123,3045,21,2016-05-20 00:00:00,0,913217,-100.001|-65.021,0.864|0.864,100,0,102|126|152|113|121,100,1|4|5|6|8|9
3001,sangvis-10003001,Ripper,Ripper,sangvis-40003001,待定，单独提出语言包最好,||,sangvis-30003001,1,3,2|4|6,5,301,80|120,4,0,3,0,1,0,0,600501,0,902167,600502|600504,600503,10,10,5,5,100,62,100,65,130,0,15,10,150,95,15,0,2,15,500,7,,,,,4,3045,14,2016-05-20 00:00:00,0,910004,-100.001|-65.021,0.864|0.864,95,0,102|108,120,1
3002,sangvis-10003002,Vespid,Vespid,sangvis-40003002,待定，单独提出语言包最好,||,sangvis-30003002,1,3,2|4|6,5,302,80|120,4,0,3,0,1,0,0,600601,0,902167,,600602,10,10,5,5,92,85,100,110,90,0,15,20,150,95,12,0,2,15,500,7,,,,,7,3045,15,2016-05-20 00:00:00,0,910005,-100.001|-65.021,0.864|0.864,100,0,102|103,92,1|4|9
3003,sangvis-10003003,Guard,Guard,sangvis-40003003,待定，单独提出语言包最好,||,sangvis-30003003,1,3,2|4|5,5,303,80|120,4,0,3,0,1,0,0,900525,0,902167,901524|901525,900524,10,10,5,5,135,80,75,120,80,0,15,20,150,95,12,0,1,15,500,3,,,,,10,3045,16,2016-05-20 00:00:00,0,910007,-100.001|-65.021,0.864|0.864,92,0,101|10102,150,1
3004,sangvis-10003004,Jaeger,Jaeger,sangvis-40003004,待定，单独提出语言包最好,||,sangvis-30003004,1,3,2|4|6,5,304,80|120,4,0,3,0,1,0,0,900523,0,902167,,900522,10,10,5,5,65,105,65,125,55,0,180,50,200,95,6,0,2,15,500,9,,,,,9,3045,17,2016-05-20 00:00:00,0,910006,-100.001|-65.021,0.864|0.864,100,0,102|154|117|10118,65,8|5
3005,sangvis-10003005,Striker,Striker,sangvis-40003005,待定，单独提出语言包最好,||,sangvis-30003005,1,3,2|4|6,5,305,80|120,4,0,3,0,1,0,0,900571,0,902167,901570,900570,10,10,5,5,80,80,115,50,45,0,180,5,150,95,5,0,2,15,500,9,,,,,29,3045,18,2016-05-20 00:00:00,0,910012,-100.001|-65.021,0.864|0.864,95,0,102|10118,80,5
3006,sangvis-10003006,Dinergate,Dinergate,sangvis-40003006,待定，单独提出语言包最好,||,sangvis-30003006,1,3,2|3|5,5,306,80|120,2,0,3,0,1,0,0,900676,0,900631|900632|900633|900634|900635|902167,900636|900652,900654,10,10,5,5,36,90,100,100,100,0,15,20,150,95,15,0,1,15,500,3,,,,,6,3045,18,2016-05-20 00:00:00,0,910003,-100.001|-65.021,0.864|0.864,95,0,101|126|166,60,1|9|10
3007,sangvis-10003007,Scouts,Scouts,sangvis-40003007,待定，单独提出语言包最好,||,sangvis-30003007,1,3,2|3|5,5,307,80|120,4,0,3,0,1,0,0,900573,0,902167,,900572,10,10,5,5,75,72,100,100,140,0,15,20,150,95,12,0,2,15,500,5,,,,,3,3045,20,2016-05-20 00:00:00,0,910002,-100.001|-65.021,0.864|0.864,80,0,101|103,105,1
3008,sangvis-10003008,Prowler,Prowler,sangvis-40003008,待定，单独提出语言包最好,||,sangvis-30003008,1,3,2|3|5,5,308,80|120,4,0,3,0,1,0,0,900575,0,902167,901574|900576,900574,10,10,5,5,90,68,120,110,95,0,15,20,150,95,12,0,1,15,500,4,,,,,2,3045,21,2016-05-20 00:00:00,0,910001,-100.001|-65.021,0.864|0.864,80,0,101|103|166,120,1|4|9|10
3009,sangvis-10003009,Jaguar,Jaguar,sangvis-40003009,待定，单独提出语言包最好,||,sangvis-30003009,1,3,2|3|6,5,309,80|120,4,0,3,0,1,0,0,900741,0,902167,,900740,10,10,5,5,55,72,50,130,90,0,100,20,150,95,12,0,2,15,500,9,,,,,13,3045,21,2016-05-20 00:00:00,0,910009,-100.001|-65.021,0.864|0.864,80,0,102|121,55,6
