id,name,classes,type,position,space,deco_rate,decompose_gift,description,code,texture_type,sorting,offset,rotate,interact_point,interact_point_offset,furniture_bgm,touch_area,bonus_id,ai
205,furniture-10000205,2,201,0,"5,3,1,1,1,0",100,100001,furniture-20000205,cs2016_sofa,1,0,"0,-0.15,0",2,104,"*0,0.9,0.000",0,0,0,0
206,furniture-10000206,2,201,0,"3,3,1,1,1,0",100,100001,furniture-20000206,cs2016_table,1,0,"0,-0.15,0",2,104,"*0.101,1.409,0.000",0,0,0,0
207,furniture-10000207,2,301,0,"1,1,1,1,1,0",100,100001,furniture-20000207,cs2016_wall,1,0,"0,-0.15,0",3,0,0,0,0,0,0
301,furniture-10000301,3,101,0,"3,1,1,1,1,0",460,100001,furniture-20000301,ft2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
302,furniture-10000302,3,301,0,"3,1,1,1,1,0",460,100001,furniture-20000302,ft2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
303,furniture-10000303,3,203,"26,2","6,6,1,1,1,0",380,100001,furniture-20000303,ft2016_bed,1,0,"-0.05,-0.05,0",2,"6,104","0.5,0.31,1|*-2.4,2.3,0.000",0,0,0,0
304,furniture-10000304,3,202,"20,10","2,2,1,1,1,0",100,100001,furniture-20000304,ft2016_chair,1,0,"0,-0.05,0",2,1,"0.5,0.29,0",0,0,0,0
305,furniture-10000305,3,201,"7,3","2,3,1,1,1,0",180,100001,furniture-20000305,ft2016_deco_big,1,0,"-0.1,-0.05,0",2,104,"*0,5.5,0.000",0,0,0,0
306,furniture-10000306,3,201,"9,6","3,4,1,1,1,0",400,100001,furniture-20000306,ft2016_deco_small_01,1,0,"0,-0.2,0",2,104,"*-0.151,1.417,0.000",0,0,0,0
307,furniture-10000307,3,201,"24,8","3,4,1,1,1,0",220,100001,furniture-20000307,ft2016_deco_small_02,1,0,"0,-0.05,0",2,104,"*0.050,1.8,0.000",0,0,0,0
308,furniture-10000308,3,201,"20,2","2,1,1,1,1,0",100,100001,furniture-20000308,ft2016_deco_small_03,1,0,"0,-0.05,0",2,104,"*0.957,1.826,0.000",0,0,0,0
309,furniture-10000309,3,202,"11,2","6,4,1,1,1,0",480,100001,furniture-20000309,ft2016_sofa,1,0,"0,-0.05,0",2,"3,2,104","0.4,0.20,1|0.72,0.20,0|*-2.6,2.6,0.000",0,0,0,0
310,furniture-10000310,3,201,"15,9","4,3,1,1,1,0",400,100001,furniture-20000310,ft2016_table,1,0,"0,-0.05,0",2,104,"*0,2.2,0",0,0,0,0
311,furniture-10000311,3,302,"11,7","6,8,1,1,1,0",420,100001,furniture-20000311,ft2016_walldeco_01,1,0,"0,0,0",3,0,0,0,0,0,0
312,furniture-10000312,3,302,"20,6","2,3,1,1,1,0",100,100001,furniture-20000312,ft2016_walldeco_02,1,0,"0,0,0",3,104,"*0.052,1.319,0.000",0,0,0,0
313,furniture-10000313,3,302,"2,2","2,4,1,1,1,0",180,100001,furniture-20000313,ft2016_walldeco_03,1,0,"0,0,0",3,104,"*0.052,1.670,0.000",0,0,0,0
314,furniture-10000314,3,302,"31,6","1,10,1,1,1,0",160,100001,furniture-20000314,ft2016_walldeco_04,1,0,"0,0,0",3,0,0,0,0,0,0
315,furniture-10000315,3,302,"24,11","3,7,1,1,1,0",460,100001,furniture-20000315,ft2016_window,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
401,furniture-10000401,4,203,"23,2","6,4,1,1,1,0",600,100002,furniture-20000401,qj2016_bed,1,0,"0,-0.05,0",2,"6,104","0.49,0.28,1|*-2,2.3,0",0,0,0,0
402,furniture-10000402,4,102,"24,5","5,5,1,1,1,0",500,100002,furniture-20000402,qj2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
403,furniture-10000403,4,202,"8,8","3,3,1,1,1,0",400,100002,furniture-20000403,qj2016_chair_a,1,0,"0,-0.1,0",2,3,"0.46,0.21,1",0,0,0,0
404,furniture-10000404,4,202,"16,8","3,3,1,1,1,0",400,100002,furniture-20000404,qj2016_chair_b,1,0,"0,-0.1,0",2,2,"0.46,0.21,0",0,0,0,0
405,furniture-10000405,4,201,"5,2","4,3,1,1,1,0",600,100002,furniture-20000405,qj2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,5,0.000",0,0,0,0
406,furniture-10000406,4,201,"4,5","2,2,1,1,1,0",500,100002,furniture-20000406,qj2016_deco_small,1,0,"-0.01,-0.05,0",2,104,"*0.022,1.156,0.000",0,0,0,0
407,furniture-10000407,4,101,0,"1,1,1,1,1,0",500,100002,furniture-20000407,qj2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
408,furniture-10000408,4,202,"11,2","5,4,1,1,1,0",550,100002,furniture-20000408,qj2016_sofa,1,0,"0,-0.05,0",2,"3,2","0.32,0.13,1|0.68,0.13,0",0,0,0,0
409,furniture-10000409,4,201,"11,10","5,3,1,1,1,0",500,100002,furniture-20000409,qj2016_table,1,0,"0,-0.05,0",2,104,"*-1.108,2.257,0.000",0,0,0,0
410,furniture-10000410,4,201,"18,2","2,2,1,1,1,0",500,100002,furniture-20000410,qj2016_vase,1,0,"-0.07,-0.05,0",2,0,0,0,0,0,0
411,furniture-10000411,4,301,0,"3,3,1,1,1,0",500,100002,furniture-20000411,qj2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
412,furniture-10000412,4,302,"15,12","2,5,1,1,1,0",500,100002,furniture-20000412,qj2016_walldeco_01,1,0,"0,0,0",3,0,0,0,0,0,0
413,furniture-10000413,4,201,"22,2","1,2,1,1,1,0",450,100002,furniture-20000413,qj2016_floordeco,1,0,"0,-0.05,0",2,0,0,0,0,0,0
414,furniture-10000414,4,302,"8,9","3,3,1,1,1,0",400,100002,furniture-20000414,qj2016_walldeco_02,1,0,"0,0,0",3,104,"*-0.570,1.143,0.000",0,0,0,0
415,furniture-10000415,4,302,"10,13","3,3,1,1,1,0",450,100002,furniture-20000415,qj2016_walldeco_03,1,0,"0,0,0",3,104,"*0.052,0.967,0.000",0,0,0,0
416,furniture-10000416,4,302,"21,10","6,8,1,1,1,0",650,100002,furniture-20000416,qj2016_window,1,0,"0,-0.05,0",3,104,"*0.8,-1,0.000",0,0,0,0
501,furniture-10000501,5,101,0,"3,1,1,1,1,0",460,100001,furniture-20000501,ft2016_floor_bs,1,0,"0,0,0",2,0,0,0,0,0,0
502,furniture-10000502,5,301,0,"3,1,1,1,1,0",460,100001,furniture-20000502,ft2016_wall_bs,1,0,"0,0,0",2,0,0,0,0,0,0
503,furniture-10000503,5,203,"26,2","6,6,1,1,1,0",380,100001,furniture-20000503,ft2016_bed_bs,1,0,"-0.05,-0.05,0",2,"6,104","0.5,0.31,1|*-2.4,2.3,0.000",0,0,0,0
504,furniture-10000504,5,202,"20,10","2,2,1,1,1,0",100,100001,furniture-20000504,ft2016_chair_bs,1,0,"0,-0.05,0",2,1,"0.5,0.29,0",0,0,0,0
505,furniture-10000505,5,201,"7,3","2,3,1,1,1,0",180,100001,furniture-20000505,ft2016_deco_big_bs,1,0,"-0.1,-0.12,0",2,104,"*0,5.5,0.000",0,0,0,0
506,furniture-10000506,5,201,"9,6","3,4,1,1,1,0",400,100001,furniture-20000506,ft2016_deco_small_01,1,0,"0,-0.2,0",2,104,"*-0.151,1.417,0.000",0,0,0,0
507,furniture-10000507,5,201,"24,8","3,4,1,1,1,0",220,100001,furniture-20000507,ft2016_deco_small_02_bs,1,0,"0,-0.05,0",2,104,"*0.050,1.8,0.000",0,0,0,0
508,furniture-10000508,5,201,"20,2","2,1,1,1,1,0",100,100001,furniture-20000508,ft2016_deco_small_03_bs,1,0,"0,-0.05,0",2,104,"*0.957,1.826,0.000",0,0,0,0
509,furniture-10000509,5,202,"11,2","6,4,1,1,1,0",480,100001,furniture-20000509,ft2016_sofa_bs,1,0,"0,-0.05,0",2,"3,2,104","0.4,0.20,1|0.72,0.20,0|*-2.6,2.6,0.000",0,0,0,0
510,furniture-10000510,5,201,"15,9","4,3,1,1,1,0",400,100001,furniture-20000510,ft2016_table_bs,1,0,"0,-0.05,0",2,104,"*0,2.2,0",0,0,0,0
511,furniture-10000511,5,302,"11,7","6,8,1,1,1,0",420,100001,furniture-20000511,ft2016_walldeco_01_bs,1,0,"0,0,0",3,0,0,0,0,0,0
512,furniture-10000512,5,302,"20,6","2,3,1,1,1,0",100,100001,furniture-20000512,ft2016_walldeco_02_bs,1,0,"0,0,0",3,104,"*0.052,1.319,0.000",0,0,0,0
513,furniture-10000513,5,302,"2,2","2,4,1,1,1,0",180,100001,furniture-20000513,ft2016_walldeco_03_bs,1,0,"0,0,0",3,104,"*0.052,1.670,0.000",0,0,0,0
514,furniture-10000514,5,302,"31,6","1,10,1,1,1,0",160,100001,furniture-20000514,ft2016_walldeco_04_bs,1,0,"0,0,0",3,0,0,0,0,0,0
515,furniture-10000515,5,302,"24,11","3,7,1,1,1,0",460,100001,furniture-20000515,ft2016_window_bs,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
601,furniture-10000601,6,101,0,"1,1,1,1,1,0",500,100002,furniture-20000601,loft2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
602,furniture-10000602,6,301,0,"1,1,1,1,1,0",500,100002,furniture-20000602,loft2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
603,furniture-10000603,6,203,"24,2","6,4,1,1,1,0",600,100002,furniture-20000603,loft2016_bed,1,0,"0,-0.05,0",2,"6,104","0.48,0.29,1|*2.5,3.4,0.000",0,0,0,0
604,furniture-10000604,6,202,"8,11","2,2,1,1,1,0",400,100002,furniture-20000604,loft2016_chair_a,1,0,"0,-0.05,0",2,3,"0.5,0.33,1",0,0,0,0
605,furniture-10000605,6,202,"17,10","2,2,1,1,1,0",400,100002,furniture-20000605,loft2016_chair_b,1,0,"0,-0.05,0",2,2,"0.5,0.33,0",0,0,0,0
606,furniture-10000606,6,201,"16,2","3,1,1,1,1,0",550,100002,furniture-20000606,loft2016_bicycle,1,0,"0,-0.05,0",2,104,"*0.2,1.9,0.000",0,0,0,0
607,furniture-10000607,6,201,"17,8","1,1,1,1,1,0",450,100002,furniture-20000607,loft2016_bedstand,1,0,"0,-0.05,0",2,104,"*0.050,1.8,0.000",0,0,0,0
608,furniture-10000608,6,102,"23,6","4,6,1,1,1,0",500,100002,furniture-20000608,loft2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
609,furniture-10000609,6,201,"19,2","5,2,1,1,1,0",500,100002,furniture-20000609,loft2016_deco_big,1,0,"0,-0.05,0",2,104,"*-0.5,4,0.000",0,0,0,0
610,furniture-10000610,6,202,"10,7","6,2,1,1,1,0",550,100002,furniture-20000610,loft2016_sofa,1,0,"0,-0.05,0",2,"3,2","0.31,0.14,1|0.72,0.14,0",0,0,0,0
611,furniture-10000611,6,201,"1,1","2,2,1,1,1,0",650,100002,furniture-20000611,loft2016_stair,1,0,"1.6,-0.05,0",2,0,0,0,"10,10,10",0,0
612,furniture-10000612,6,201,"11,10","5,3,1,1,1,0",550,100002,furniture-20000612,loft2016_table,1,0,"0,-0.05,0",2,104,"*-0.6,1.4,0.000",0,0,0,0
613,furniture-10000613,6,302,"19,7","6,3,1,1,1,0",500,100002,furniture-20000613,loft2016_walldeco_01,1,0,"0,0,0",3,104,"*0.104,1.231,0.000",0,0,0,0
614,furniture-10000614,6,302,"18,11","3,5,1,1,1,0",450,100002,furniture-20000614,loft2016_walldeco_02,1,0,"0,0,0",3,0,0,0,0,0,0
615,furniture-10000615,6,302,"22,11","3,5,1,1,1,0",500,100002,furniture-20000615,loft2016_walldeco_03,1,0,"0,0,0",3,0,0,0,0,0,0
616,furniture-10000616,6,302,"6,8","11,12,1,1,1,0",600,100002,furniture-20000616,loft2016_window,1,0,"0,0,0",3,0,0,0,0,0,0
701,furniture-10000701,7,203,"21,2","6,3,1,1,1,0",440,100001,furniture-20000701,sn2016_bed,1,0,"0,-0.05,0",2,4,"0.46,0.26,1",0,0,0,0
702,furniture-10000702,7,102,"21,3","6,6,1,1,1,0",420,100001,furniture-20000702,sn2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
703,furniture-10000703,7,201,"6,2","3,2,1,1,1,0",220,100001,furniture-20000703,sn2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,4,0.000",0,0,0,0
704,furniture-10000704,7,201,"16,2","4,3,1,1,1,0",400,100001,furniture-20000704,sn2016_dresser,1,0,"0,-0.05,0",2,104,"*0.101,4.8,0.000",0,0,0,0
705,furniture-10000705,7,202,"10,2","5,3,1,1,1,0",460,100001,furniture-20000705,sn2016_sofa,1,0,"0,-0.05,0",2,"3,2",".34,0.09,1|0.71,0.09,0",0,0,0,0
706,furniture-10000706,7,201,"13,9","5,3,1,1,1,0",180,100001,furniture-20000706,sn2016_table,1,0,"0,-0.05,0",2,104,"*-1,1.1,0.000",0,0,0,0
707,furniture-10000707,7,302,"21,11","4,7,1,1,1,0",460,100001,furniture-20000707,sn2016_window,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
708,furniture-10000708,7,201,"28,2","2,2,1,1,1,0",160,100001,furniture-20000708,sn2016_bedstand,1,0,"0.01,-0.05,0",2,104,"*0.4,1.8,0",0,0,0,0
709,furniture-10000709,7,202,"11,11","2,2,1,1,1,0",100,100001,furniture-20000709,sn2016_chair_a,1,0,"0.01,-0.05,0",2,3,"0.50,0.27,1",0,0,0,0
710,furniture-10000710,7,202,"18,11","2,2,1,1,1,0",100,100001,furniture-20000710,sn2016_chair_b,1,0,"0.03,-0.05,0",2,2,"0.51,0.27,0",0,0,0,0
711,furniture-10000711,7,201,"26,10","2,2,1,1,1,0",120,100001,furniture-20000711,sn2016_deco_small,1,0,"-0.01,-0.05,0",2,104,"*0.123,2.304,0.000",0,0,0,0
712,furniture-10000712,7,302,"11,11","3,4,1,1,1,0",180,100001,furniture-20000712,sn2016_walldeco_01,1,0,"0,0,0",3,104,"*-0.052,1.846,0.000",0,0,0,0
713,furniture-10000713,7,302,"26,14","2,2,1,1,1,0",200,100001,furniture-20000713,sn2016_walldeco_02,1,0,"0,0,0",3,104,"*0.363,0.791,0.000",0,0,0,0
714,furniture-10000714,7,302,"7,7","2,6,1,1,1,0",400,100001,furniture-20000714,sn2016_walldeco_03,1,0,"0,0,0",3,104,"*-0.052,2.726,0.000",0,0,0,0
715,furniture-10000715,7,301,0,"3,6,1,1,1,0",460,100001,furniture-20000715,sn2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
716,furniture-10000716,7,101,0,"3,6,1,1,1,0",460,100001,furniture-20000716,sn2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
801,furniture-10000801,8,203,"21,2","6,3,1,1,1,0",440,100001,furniture-20000801,sn2016_bed_bs,1,0,"0,-0.05,0",2,4,"0.46,0.26,1",0,0,0,0
802,furniture-10000802,8,102,"21,3","6,6,1,1,1,0",420,100001,furniture-20000802,sn2016_carpet_bs,1,0,"0,0,0",1,0,0,0,0,0,0
803,furniture-10000803,8,201,"6,2","3,2,1,1,1,0",220,100001,furniture-20000803,sn2016_deco_big_bs,1,0,"0,-0.05,0",2,104,"*0.101,4,0.000",0,0,0,0
804,furniture-10000804,8,201,"16,2","4,3,1,1,1,0",400,100001,furniture-20000804,sn2016_dresser_bs,1,0,"0,-0.05,0",2,104,"*0.101,4.8,0.000",0,0,0,0
805,furniture-10000805,8,202,"10,2","5,3,1,1,1,0",460,100001,furniture-20000805,sn2016_sofa_bs,1,0,"0,-0.05,0",2,"3,2",".34,0.09,1|0.71,0.09,0",0,0,0,0
806,furniture-10000806,8,201,"13,9","5,3,1,1,1,0",180,100001,furniture-20000806,sn2016_table_bs,1,0,"0,-0.05,0",2,104,"*-1,1.1,0.000",0,0,0,0
807,furniture-10000807,8,302,"21,11","4,7,1,1,1,0",460,100001,furniture-20000807,sn2016_window_bs,1,0,"0,0,0",3,104,"*0.104,3.341,0.000",0,0,0,0
808,furniture-10000808,8,201,"28,2","2,2,1,1,1,0",160,100001,furniture-20000808,sn2016_bedstand_bs,1,0,"0.01,-0.05,0",2,104,"*0.4,1.8,0",0,0,0,0
809,furniture-10000809,8,202,"11,11","2,2,1,1,1,0",100,100001,furniture-20000809,sn2016_chair_a_bs,1,0,"0.01,-0.05,0",2,3,"0.50,0.27,1",0,0,0,0
810,furniture-10000810,8,202,"18,11","2,2,1,1,1,0",100,100001,furniture-20000810,sn2016_chair_b_bs,1,0,"0.03,-0.05,0",2,2,"0.51,0.27,0",0,0,0,0
811,furniture-10000811,8,201,"26,10","2,2,1,1,1,0",120,100001,furniture-20000811,sn2016_deco_small_bs,1,0,"-0.01,-0.05,0",2,104,"*0.123,2.304,0.000",0,0,0,0
812,furniture-10000812,8,302,"11,11","3,4,1,1,1,0",180,100001,furniture-20000812,sn2016_walldeco_01_bs,1,0,"0,0,0",3,104,"*-0.052,1.846,0.000",0,0,0,0
813,furniture-10000813,8,302,"26,14","2,2,1,1,1,0",200,100001,furniture-20000813,sn2016_walldeco_02_bs,1,0,"0,0,0",3,104,"*0.363,0.791,0.000",0,0,0,0
814,furniture-10000814,8,302,"7,7","2,6,1,1,1,0",400,100001,furniture-20000814,sn2016_walldeco_03_bs,1,0,"0,0,0",3,104,"*-0.052,2.726,0.000",0,0,0,0
815,furniture-10000815,8,301,0,"3,6,1,1,1,0",460,100001,furniture-20000815,sn2016_wall_bs,1,0,"0,0,0",3,0,0,0,0,0,0
816,furniture-10000816,8,101,0,"3,6,1,1,1,0",460,100001,furniture-20000816,sn2016_floor_bs,1,0,"0,0,0",1,0,0,0,0,0,0
901,furniture-10000901,9,203,"24,2","6,4,1,1,1,0",900,100003,furniture-20000901,zhs2016_bed,1,0,"0,-0.05,0",2,"6,104","0.46,0.23,1|*-2.3,2,0",0,0,0,0
902,furniture-10000902,9,102,"14,7","6,5,1,1,1,0",900,100003,furniture-20000902,zhs2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
903,furniture-10000903,9,202,"11,10","3,3,1,1,1,0",800,100003,furniture-20000903,zhs2016_chair_a,1,0,"0,-0.05,0",2,3,"0.5,0.25,1",0,0,0,0
904,furniture-10000904,9,202,"20,10","3,3,1,1,1,0",800,100003,furniture-20000904,zhs2016_chair_b,1,0,"0,-0.05,0",2,2,"0.5,0.25,0",0,0,0,0
905,furniture-10000905,9,201,"14,8","6,3,1,1,1,0",1050,100003,furniture-20000905,zhs2016_chandelier,1,0,"0,-0.05,0",2,104,"*0.5,2,0.000",0,0,0,0
906,furniture-10000906,9,201,"3,2","4,2,1,1,1,0",1050,100003,furniture-20000906,zhs2016_deco_big,1,0,"0,-0.05,0",2,104,"*0.101,6.2,0.000",0,0,0,0
907,furniture-10000907,9,201,"8,2","3,2,1,1,1,0",850,100003,furniture-20000907,zhs2016_deco_small,1,0,"0,-0.05,0",2,104,"*0.755,2.496,0.000",0,0,0,0
908,furniture-10000908,9,201,"21,2","1,2,1,1,1,0",850,100003,furniture-20000908,zhs2016_lamp,1,0,"0,-0.05,0",2,104,"*-0.705,3.405,0.000",0,0,0,0
909,furniture-10000909,9,202,"14,2","5,3,1,1,1,0",950,100003,furniture-20000909,zhs2016_sofa,1,0,"0,-0.05,0",2,"3,2","0.35,0.17,1|0.73,0.17,0",0,0,0,0
911,furniture-10000911,9,301,0,"3,3,1,1,1,0",850,100003,furniture-20000911,zhs2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
912,furniture-10000912,9,302,"11,6","2,3,1,1,1,0",800,100003,furniture-20000912,zhs2016_walldeco_01,1,0,"0,0,0",3,104,"*0,0,0",0,0,0,0
913,furniture-10000913,9,302,"13,9","10,8,1,1,1,0",1000,100003,furniture-20000913,zhs2016_walldeco_02,1,0,"0,0,0",3,0,0,0,0,0,0
914,furniture-10000914,9,302,"9,10","4,8,1,1,1,0",900,100003,furniture-20000914,zhs2016_walldeco_03,1,0,"0,0,0",3,0,0,0,0,0,0
915,furniture-10000915,9,302,"4,7","5,5,1,1,1,0",950,100003,furniture-20000915,zhs2016_walldeco_04,1,0,"0,0,0",3,0,0,0,0,0,0
916,furniture-10000916,9,302,"25,7","6,8,1,1,1,0",950,100003,furniture-20000916,zhs2016_window,1,0,"0,0,0",3,104,"*0.104,4.044,0.000",0,0,0,0
917,furniture-10000917,9,101,0,"5,10,1,1,1,0",850,100003,furniture-20000917,zhs2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
1001,furniture-10001001,10,203,"22,2","8,4,1,1,1,0",380,100001,furniture-20001001,kft2016_bed,1,0,"0,-0.05,0",2,"5,6,104","0.32,0.10,1|0.68,0.10,0|*0.104,3.2,0.000",0,0,0,0
1002,furniture-10001002,10,102,"9,9","1,1,1,1,1,0",420,100001,furniture-20001002,kft2016_carpet,1,0,"0,0,0",1,0,0,0,0,0,0
1003,furniture-10001003,10,202,"14,8","3,3,1,1,1,0",100,100001,furniture-20001003,kft2016_chair_a,1,0,"0,-0.05,0",2,3,"0.50,0.41,1",0,0,0,0
1004,furniture-10001004,10,202,"20,8","3,3,1,1,1,0",100,100001,furniture-20001004,kft2016_chair_b,1,0,"0,-0.05,0",2,2,"0.46,0.41,0",0,0,0,0
1005,furniture-10001005,10,201,"14,3","6,3,1,1,1,0",244,100001,furniture-20001005,kft2016_deco_big_01,1,0,"0,-0.05,0",2,104,"*1.5,3.6,0.000",0,0,0,0
1006,furniture-10001006,10,201,"4,4","9,2,1,1,1,0",420,100001,furniture-20001006,kft2016_deco_big_02,1,0,"0,-0.05,0",2,104,"*0.201,3.6,0",0,0,0,0
1007,furniture-10001007,10,101,0,"1,1,1,1,1,0",460,100001,furniture-20001007,kft2016_floor,1,0,"0,0,0",1,0,0,0,0,0,0
1008,furniture-10001008,10,201,"17,10","3,2,1,1,1,0",180,100001,furniture-20001008,kft2016_table,1,0,"0,-0.05,0",2,104,"*0.050,2.400,0.000",0,0,0,0
1009,furniture-10001009,10,301,0,"3,6,1,1,1,0",460,100001,furniture-20001009,kft2016_wall,1,0,"0,0,0",3,0,0,0,0,0,0
1010,furniture-10001010,10,302,"15,11","5,7,1,1,1,0",420,100001,furniture-20001010,kft2016_walldeco_01,1,0,"0,0,0",3,104,"*0.104,1.2,0.000",0,0,0,0
1011,furniture-10001011,10,302,"8,8","5,8,1,1,1,0",440,100001,furniture-20001011,kft2016_walldeco_02,1,0,"0,0,0",3,0,0,0,0,0,0
1012,furniture-10001012,10,302,"3,8","4,8,1,1,1,0",400,100001,furniture-20001012,kft2016_walldeco_03,1,0,"0,0,0",3,0,0,0,0,0,0
1013,furniture-10001013,10,302,"24,6","6,12,1,1,1,0",420,100001,furniture-20001013,kft2016_window,1,0,"0,0,0",3,0,0,0,0,0,0
1101,furniture-10001101,11,203,"23,2","6,4,1,1,1,0",650,100002,furniture-20001101,rs2016_bed,1,0,"0,-0.05,0",2,"6,104","0.56,0.16,1|*-2,1,0.000",0,0,0,0
1102,furniture-10001102,11,201,"11,2","7,3,1,1,1,0",600,100002,furniture-20001102,rs2016_cabinet,1,0,"0,-0.05,0",2,104,"*-2.2,2.2,0.000",0,0,0,0
1103,furniture-10001103,11,202,"8,7","3,2,1,1,1,0",450,100002,furniture-20001103,rs2016_chair,1,0,"0,-0.05,0",2,"1,104","0.48,0.14,0|*0.050,0.964,0.000",0,0,0,0
1104,furniture-10001104,11,201,"2,2","6,2,1,1,1,0",700,100002,furniture-20001104,rs2016_deco_big,1,0,"0,-0.05,0",2,104,"*-1,5.2,0.000",0,0,0,0
1105,furniture-10001105,11,201,"29,6","3,3,1,1,1,0",500,100002,furniture-20001105,rs2016_deco_small_01,1,0,"0,-0.05,0",2,104,"*-0.050,2.879,0.000",0,0,0,0
1107,furniture-10001107,11,201,"9,2","2,2,1,1,1,0",500,100002,furniture-20001107,rs2016_lamp,1,0,"0,-0.05,0",2,104,"*0.050,3.1,0.000",0,0,0,0
1108,furniture-10001108,11,201,"18,2","5,4,1,1,1,0",650,100002,furniture-20001108,rs2016_screen,1,0,"0,-0.05,0",2,104,"*0,7.9,0.000",0,0,0,0
