id,name,user_exp,mp,ammo,mre,part,core,gem,gem_pay,gun_id,sangvis,item_ids,furniture,gift,equip_ids,coins,skin,content,send_limit,icon,bp_pay,fairy_ids,chip,commander_uniform,vehicle_component
42,prize-10000042,0,0,0,0,0,0,0,0,0,,8-1,,,,,0,prize-20000042,0,,0,,,,
43,prize-10000043,0,0,0,0,0,0,0,0,0,,,,,,1-25,0,prize-20000043,0,,0,,,,
44,prize-10000044,0,0,0,0,0,0,0,0,0,,,,,,1-30,0,prize-20000044,0,,0,,,,
45,prize-10000045,0,0,0,0,0,0,0,0,0,,,,,,1-35,0,prize-20000045,0,,0,,,,
46,prize-10000046,0,0,0,0,0,0,0,0,0,,,,,,2-25,0,prize-20000046,0,,0,,,,
47,prize-10000047,0,0,0,0,0,0,0,0,0,,,,,,2-30,0,prize-20000047,0,,0,,,,
48,prize-10000048,0,0,0,0,0,0,0,0,0,,,,,,2-35,0,prize-20000048,0,,0,,,,
49,prize-10000049,0,0,0,0,0,0,0,0,0,,,,,,3-25,0,prize-20000049,0,,0,,,,
50,prize-10000050,0,0,0,0,0,0,0,0,0,,,,,,3-30,0,prize-20000050,0,,0,,,,
51,prize-10000051,0,0,0,0,0,0,0,0,0,,,,,,3-35,0,prize-20000051,0,,0,,,,
52,prize-10000052,0,0,0,0,0,0,0,0,0,,,1901,,,,0,prize-20000052,0,,0,,,,
53,prize-10000053,0,0,0,0,0,0,0,0,0,,,1905,,,,0,prize-20000053,0,,0,,,,
54,prize-10000054,0,0,0,0,0,0,0,0,0,,,1902,,,,0,prize-20000054,0,,0,,,,
55,prize-10000055,0,0,0,0,0,0,0,0,0,,,1906,,,,0,prize-20000055,0,,0,,,,
56,prize-10000056,0,0,0,0,0,0,0,0,0,,,1903,,,,0,prize-20000056,0,,0,,,,
57,prize-10000057,0,0,0,0,0,0,0,0,0,,,1907,,,,0,prize-20000057,0,,0,,,,
58,prize-10000058,0,0,0,0,0,0,0,0,0,,,1904,,,,0,prize-20000058,0,,0,,,,
59,prize-10000059,0,0,0,0,0,0,0,0,0,,,1908,,,,0,prize-20000059,0,,0,,,,
60,prize-10000060,0,0,0,0,0,0,0,0,0,,,,401-1,,,0,prize-20000060,0,,0,,,,
61,prize-10000061,0,0,0,0,0,0,0,0,97,,,,,,,0,prize-20000061,0,,0,,,,
62,prize-10000062,0,0,0,0,0,0,0,0,115,,,,,,,0,prize-20000062,0,,0,,,,
63,prize-10000063,0,0,0,0,0,0,0,0,46,,,,,,,0,prize-20000063,0,,0,,,,
64,prize-10000064,0,0,0,0,0,0,0,0,106,,,,,,,0,prize-20000064,0,,0,,,,
65,prize-10000065,0,0,0,0,0,0,0,0,125,,,,,,,0,prize-20000065,0,,0,,,,
66,prize-10000066,0,0,0,0,0,0,0,0,0,,41-10,,,,,0,prize-20000066,0,,0,,,,
67,prize-10000067,0,0,0,0,0,0,0,0,0,,,,502-1,,,0,prize-20000067,0,,0,,,,
70,prize-10000070,0,0,0,0,0,0,0,0,0,,508-10,,,,,0,prize-20000070,0,,0,,,,
71,prize-10000071,0,0,0,0,0,0,0,0,0,,508-10,,,,,0,prize-20000071,0,,0,,,,
72,prize-10000072,0,0,0,0,0,0,0,0,0,,508-10,,,,,0,prize-20000072,0,,0,,,,
73,prize-10000073,0,0,0,0,0,0,0,0,0,,,,,,3-200,0,prize-20000073,0,,0,,,,
74,prize-10000074,0,0,0,0,0,0,0,0,0,,100002-1,,,,,0,prize-20000074,0,Bumdle_package,0,,,,
75,prize-10000075,0,0,0,0,0,0,0,0,0,,,,,,1-400,0,prize-20000075,0,,0,,,,
76,prize-10000076,0,0,0,0,0,0,0,0,0,,,,,,2-300,0,prize-20000076,0,,0,,,,
77,prize-10000077,0,0,0,0,0,0,0,0,0,,,,,,3-300,0,prize-20000077,0,,0,,,,
78,prize-10000078,0,0,0,0,0,0,0,0,0,,,,504-1,,,0,prize-20000078,0,,0,,,,
79,prize-10000079,0,0,0,0,0,0,0,0,0,,,,505-1,,,0,prize-20000079,0,,0,,,,
80,prize-10000080,0,0,0,0,0,0,0,0,0,,,,503-1,,,0,prize-20000080,0,,0,,,,
81,prize-10000081,0,0,0,0,0,0,0,0,0,,,,,,2-300,0,prize-20000081,0,,0,,,,
82,prize-10000082,0,0,0,0,0,0,0,0,0,,,,,,3-200,0,prize-20000082,0,,0,,,,
83,prize-10000083,0,0,0,0,0,4,0,0,0,,2-20|3-10,,,,,0,prize-20000083,0,,0,,,,
84,prize-10000084,0,0,0,0,0,0,0,0,0,,2-4,,,,3-200,0,prize-20000084,0,,0,,,,
85,prize-10000085,0,0,0,0,0,0,0,0,0,,44-150,,,,3-200,0,prize-20000085,0,,0,,,,
86,prize-10000086,0,0,0,0,0,0,0,0,0,,,3102,,,,0,prize-20000086,0,,0,,,,
87,prize-10000087,0,0,0,0,0,3,0,0,0,,1-1|3-10,,,,,0,prize-20000087,0,Bumdle_purple,0,,,,
88,prize-10000088,0,0,0,0,0,0,0,0,0,,9-30,,,,2-300,0,prize-20000088,0,Bumdle_red,0,,,,
89,prize-10000089,0,0,0,0,0,3,0,0,0,,3-10|8-1,,,,,0,prize-20000089,0,Bumdle_bline,0,,,,
90,prize-10000090,0,0,0,0,0,0,0,0,64,,,,,,,0,prize-20000090,0,,0,,,,
91,prize-10000091,0,0,0,0,0,0,0,0,149,,,,,,,0,prize-20000091,0,,0,,,,
92,prize-10000092,0,0,0,0,0,0,0,0,156,,,,,,,0,prize-20000092,0,,0,,,,
93,prize-10000093,0,0,0,0,0,0,0,0,127,,,,,,,0,prize-20000093,0,,0,,,,
94,prize-10000094,0,0,0,0,0,0,0,0,128,,,,,,,0,prize-20000094,0,,0,,,,
95,prize-10000095,0,0,0,0,0,0,0,0,166,,,,,,,0,prize-20000095,0,,0,,,,
96,prize-10000096,0,0,0,0,0,0,0,0,148,,,,,,,0,prize-20000096,0,,0,,,,
97,prize-10000097,0,0,0,0,0,0,0,0,0,,506-100,,,,3-300,0,prize-20000097,0,Bumdle_orange,0,,,,
98,prize-10000098,0,0,0,0,0,1,0,0,0,,,,,,1-600|2-300|3-150,0,prize-20000098,0,Bumdle_red,0,,,,
99,prize-10000099,0,0,0,0,0,0,0,0,0,,,3104,,,,0,prize-20000099,0,,0,,,,
100,prize-10000100,100,100,0,0,0,100,0,0,0,,8-2|110001-10,,,,,0,prize-20000100,0,,0,,,,
101,prize-10000101,100,100,0,0,0,100,0,0,0,,8-2|41-10,,,,,0,prize-20000101,0,Bumdle_blue,0,,,,
102,prize-10000102,100,100,0,0,0,100,0,0,1,,8-2|110002-10,,,,,0,prize-20000102,0,,0,,,,
103,prize-10000103,100,100,0,0,0,100,0,0,1,,8-2|110003-10,,,,,0,prize-20000103,0,,0,,,,
104,prize-10000104,0,500,500,500,500,0,0,0,0,,,,,,2-500,0,prize-20000104,0,,0,,,,
105,prize-10000105,0,500,500,500,500,0,0,0,0,,,,,,3-300,0,prize-20000105,0,,0,,,,
106,prize-10000106,0,0,0,0,0,3,0,0,0,,1-10|3-10,,,,,0,prize-20000106,0,,0,,,,
107,prize-10000107,0,0,0,0,0,0,0,0,0,,,,,,3-300,0,prize-20000107,0,,0,,,,
108,prize-10000108,0,0,0,0,0,0,0,0,0,,3-10,,,,1-800,0,prize-20000108,0,,0,,,,
109,prize-10000109,0,0,0,0,0,0,0,0,0,,4-10,,,,2-500,0,prize-20000109,0,,0,,,,
110,prize-10000110,0,0,0,0,0,0,0,0,0,,8-2,,,,3-300,0,prize-20000110,0,,0,,,,
111,prize-10000111,0,0,0,0,0,0,0,0,0,,,,100004-50,,,0,prize-20000111,0,gift_item_destiny,0,,,,
112,prize-10000112,0,0,0,0,0,0,0,0,0,,,,200002-50,,,0,prize-20000112,0,gift_item_brightsong,0,,,,
113,prize-10000113,0,0,0,0,0,0,0,0,0,,,,,,,0,prize-20000113,0,,0,1001-910109,,,
114,prize-10000114,0,0,0,0,0,0,0,0,1006,,,,,,,0,prize-20000114,0,profilePic_Theresa_origin,0,,,,
115,prize-10000115,0,0,0,0,0,0,0,0,1008,,,,,,,0,prize-20000115,0,profilePic_Seele_origin,0,,,,
116,prize-10000116,0,0,0,0,0,0,0,0,0,,,,,,,0,prize-20000116,0,profilePic_Kaguya_origin,0,1002-0,,,
117,prize-10000117,0,0,0,0,0,0,0,0,0,,,,,,,0,prize-20000117,0,profilePic_Chloe_origin,0,1003-0,,,
120,prize-10000120,0,0,0,0,0,0,0,0,0,,100005-1,,,,,0,prize-20000120,0,gift_item_diamondnya,0,,,,
121,prize-10000121,0,0,0,0,0,1,0,0,0,,44-150,,,,2-300,0,prize-20000121,0,Bumdle_navy,0,,,,
122,prize-10000122,0,0,0,0,0,0,0,0,0,,,2002,,,,0,prize-20000122,0,xmas2017SP_sofa_icon,0,,,,
123,prize-10000123,0,0,0,0,0,0,0,0,0,,,2003,,,,0,prize-20000123,0,2016xmas_02,0,,,,
124,prize-10000124,0,0,0,0,0,0,0,0,0,,,,,94,,0,prize-20000124,0,人形装备_战术核芯片_阿梅利,0,,,,
125,prize-10000125,0,0,0,0,0,0,0,0,0,,,,,95,,0,prize-20000125,0,弹匣_状态弹_空尖弹_S,0,,,,
126,prize-10000126,0,0,0,0,0,0,0,0,0,,,,,96,,0,prize-20000126,0,人形装备_伪装披风_N3_S,0,,,,
127,prize-10000127,0,0,0,0,0,0,0,0,0,,100006-10,,,,,0,prize-20000127,0,Activity_2017xmas,0,,,,
128,prize-10000128,0,0,0,0,0,0,0,0,0,,,,,,,206,prize-20000128,0,profilePic_kalina_2017Christmas,0,,,,
129,prize-10000129,0,0,0,0,0,0,0,0,0,,15-200,,,,,0,prize-20000129,0,,0,,,,
130,prize-10000130,0,0,0,0,0,0,0,0,0,,,,,,2-300,0,prize-20000130,0,,0,,,,
131,prize-10000131,60,60,60,60,20,0,0,0,0,,41-10,,,,1-100|2-80|3-50,0,prize-20000131,0,,0,,,,
132,prize-10000132,100,100,100,100,30,0,0,0,0,,41-20,,,,1-150|2-100|3-80,0,prize-20000132,0,,0,,,,
133,prize-10000133,200,200,200,200,60,0,0,0,0,,41-30,,,,1-200|2-150|3-100,0,prize-20000133,0,,0,,,,
134,prize-10000134,500,500,500,500,200,0,0,0,0,,41-40,,,,1-250|2-200|3-150,0,prize-20000134,0,,0,,,,
135,prize-10000135,1000,1000,1000,1000,300,0,0,0,0,,41-50,,,,1-300|2-250|3-200,0,prize-20000135,0,,0,,,,
136,prize-10000136,2000,2000,2000,2000,600,0,0,0,0,,41-60,,,,1-400|2-350|3-300,0,prize-20000136,0,,0,,,,
137,prize-10000137,3000,3000,3000,3000,1000,0,0,0,0,,41-70,,,,1-500|2-450|3-400,0,prize-20000137,0,,0,,,,
138,prize-10000138,0,0,0,0,0,1,0,0,0,,44-100,,,,3-150,0,prize-20000138,0,Bumdle_indigo,0,,,,
139,prize-10000139,0,0,0,0,0,0,0,0,0,,100008-10,,,,,0,prize-20000139,0,easter_egg,0,,,,
140,prize-10000140,0,0,0,0,0,0,0,0,0,,,2008,,,,0,prize-20000140,0,easter2018_deco1_A_icon,0,,,,
141,prize-10000141,0,0,0,0,0,0,0,0,0,,,2009,,,,0,prize-20000141,0,easter2018_deco2_icon,0,,,,
142,prize-10000142,0,0,0,0,0,0,0,0,0,,,2010,,,,0,prize-20000142,0,easter2018_deco3_icon,0,,,,
143,prize-10000143,0,0,0,0,0,0,0,0,0,,,2011,,,,0,prize-20000143,0,easter2018_walldeco1_icon,0,,,,
144,prize-10000144,0,0,0,0,0,0,0,0,0,,,,,108,,0,prize-20000144,0,人形装备_伪装披风_PTRD,0,,,,
145,prize-10000145,0,0,0,0,0,0,0,0,0,,,,,109,,0,prize-20000145,0,配件_光学瞄准镜_S,0,,,,
146,prize-10000146,0,0,0,0,0,0,0,0,0,,,,,110,,0,prize-20000146,0,弹匣_高速弹_S,0,,,,
147,prize-10000147,0,0,0,0,0,0,0,0,0,,7-1|8-1,,100003-10,,3-500,0,prize-20000147,0,Bumdle_easter,0,,,,
148,prize-10000148,0,0,0,0,0,10,0,0,0,,45-300,,,,,0,prize-20000148,0,Bumdle_may,0,,,,
150,prize-10000150,0,0,0,0,0,0,0,0,0,,100028-10,,,,,0,prize-20000150,0,djmax_crown,0,,,,
151,prize-10000151,0,0,0,0,0,0,0,0,1010,,,,,,,0,prize-20000151,0,profilePic_fail_origin,0,,,,
152,prize-10000152,0,0,0,0,0,0,0,0,0,,,,,118,,0,prize-20000152,0,配件_特殊_fail,0,,,,
153,prize-10000153,0,0,0,0,0,0,0,0,0,,,,,,,0,prize-20000153,0,profilePic_fairy1_djmax,0,1006-0,,,
154,prize-10000154,0,0,0,0,0,0,0,0,0,,,,,,,0,prize-20000154,0,profilePic_fairy3_djmax,0,1004-0,,,
155,prize-10000155,0,0,0,0,0,0,0,0,0,,,3105,,,,0,prize-20000155,0,djmax_deco_01_icon,0,,,,
156,prize-10000156,0,0,0,0,0,0,0,0,0,,,3106,,,,0,prize-20000156,0,djmax2017_deco_02_icon,0,,,,
157,prize-10000157,0,0,0,0,0,1,0,0,0,,,,,,1-600|2-300|3-150,0,prize-20000157,0,Bumdle_orange,0,,,,
158,prize-10000158,0,0,0,0,0,0,0,0,0,,,,,,,207,prize-20000158,0,Bumdle_black,0,,,,
159,prize-10000159,0,0,0,0,0,0,520,0,0,,45-1000|44-1000|100011-1|7-1|41-100,,,,,0,prize-20000159,0,Bumdle_package,0,,,,
160,prize-10000160,0,0,0,0,0,0,0,0,16,,,,,,,0,prize-20000160,0,,0,,,,
161,prize-10000161,0,0,0,0,0,0,0,0,20,,,,,,,0,prize-20000161,0,,0,,,,
162,prize-10000162,0,0,0,0,0,0,0,0,46,,,,,,,0,prize-20000162,0,,0,,,,
163,prize-10000163,0,0,0,0,0,0,0,0,48,,,,,,,0,prize-20000163,0,,0,,,,
164,prize-10000164,0,0,0,0,0,0,0,0,50,,,,,,,0,prize-20000164,0,,0,,,,
165,prize-10000165,0,0,0,0,0,0,0,0,53,,,,,,,0,prize-20000165,0,,0,,,,
166,prize-10000166,0,0,0,0,0,0,0,0,62,,,,,,,0,prize-20000166,0,,0,,,,
167,prize-10000167,0,0,0,0,0,0,0,0,65,,,,,,,0,prize-20000167,0,,0,,,,
168,prize-10000168,0,0,0,0,0,0,0,0,96,,,,,,,0,prize-20000168,0,,0,,,,
169,prize-10000169,0,0,0,0,0,0,0,0,97,,,,,,,0,prize-20000169,0,,0,,,,
170,prize-10000170,0,0,0,0,0,0,0,0,104,,,,,,,0,prize-20000170,0,,0,,,,
171,prize-10000171,0,0,0,0,0,0,0,0,106,,,,,,,0,prize-20000171,0,,0,,,,
172,prize-10000172,0,0,0,0,0,0,0,0,109,,,,,,,0,prize-20000172,0,,0,,,,
173,prize-10000173,0,0,0,0,0,0,0,0,112,,,,,,,0,prize-20000173,0,,0,,,,
174,prize-10000174,0,0,0,0,0,0,0,0,114,,,,,,,0,prize-20000174,0,,0,,,,
175,prize-10000175,0,0,0,0,0,0,0,0,115,,,,,,,0,prize-20000175,0,,0,,,,
176,prize-10000176,0,0,0,0,0,0,0,0,122,,,,,,,0,prize-20000176,0,,0,,,,
177,prize-10000177,0,0,0,0,0,0,0,0,125,,,,,,,0,prize-20000177,0,,0,,,,
178,prize-10000178,0,0,0,0,0,0,0,0,126,,,,,,,0,prize-20000178,0,,0,,,,
179,prize-10000179,0,0,0,0,0,0,0,0,127,,,,,,,0,prize-20000179,0,,0,,,,
180,prize-10000180,0,0,0,0,0,0,0,0,128,,,,,,,0,prize-20000180,0,,0,,,,
181,prize-10000181,0,0,0,0,0,0,0,0,129,,,,,,,0,prize-20000181,0,,0,,,,
182,prize-10000182,0,0,0,0,0,0,0,0,130,,,,,,,0,prize-20000182,0,,0,,,,
183,prize-10000183,0,0,0,0,0,0,0,0,135,,,,,,,0,prize-20000183,0,,0,,,,
184,prize-10000184,0,0,0,0,0,0,0,0,148,,,,,,,0,prize-20000184,0,,0,,,,
185,prize-10000185,0,0,0,0,0,0,0,0,157,,,,,,,0,prize-20000185,0,,0,,,,
186,prize-10000186,0,0,0,0,0,0,0,0,160,,,,,,,0,prize-20000186,0,,0,,,,
187,prize-10000187,0,0,0,0,0,0,0,0,172,,,,,,,0,prize-20000187,0,,0,,,,
188,prize-10000188,0,0,0,0,0,0,0,0,173,,,,,,,0,prize-20000188,0,,0,,,,
189,prize-10000189,0,0,0,0,0,0,0,0,181,,,,,,,0,prize-20000189,0,,0,,,,
190,prize-10000190,0,0,0,0,0,0,0,0,183,,,,,,,0,prize-20000190,0,,0,,,,
191,prize-10000191,0,0,0,0,0,0,0,0,188,,,,,,,0,prize-20000191,0,,0,,,,
192,prize-10000192,0,0,0,0,0,0,0,0,194,,,,,,,0,prize-20000192,0,,0,,,,
193,prize-10000193,0,0,0,0,0,0,0,0,196,,,,,,,0,prize-20000193,0,,0,,,,
194,prize-10000194,0,0,0,0,0,0,0,0,197,,,,,,,0,prize-20000194,0,,0,,,,
195,prize-10000195,0,0,0,0,0,0,0,0,198,,,,,,,0,prize-20000195,0,,0,,,,
196,prize-10000196,0,0,0,0,0,0,0,0,205,,,,,,,0,prize-20000196,0,,0,,,,
197,prize-10000197,0,0,0,0,0,0,0,0,206,,,,,,,0,prize-20000197,0,,0,,,,
198,prize-10000198,0,0,0,0,0,1,0,0,0,,45-135,,,,3-150,0,prize-20000198,0,Bumdle_navy,0,,,,
199,prize-10000199,0,0,0,0,0,0,0,0,0,,7-1|8-1,,100003-10,,3-500,0,prize-20000199,0,Bumdle_package,0,,,,
200,prize-10000200,0,0,0,0,0,10,0,0,0,,45-300,,,,,0,prize-20000200,0,Bumdle_may,0,,,,
201,prize-10000201,0,30000,30000,30000,30000,0,2017,0,0,,,,501-1,83|83,,0,prize-20000201,0,,0,,,,
202,prize-10000202,0,28000,28000,28000,28000,0,1800,0,0,,,,501-1,83|83,,0,prize-20000202,0,,0,,,,
203,prize-10000203,0,26000,26000,26000,26000,0,1600,0,0,,,,501-1,83|83,,0,prize-20000203,0,,0,,,,
204,prize-10000204,0,24000,24000,24000,24000,0,1400,0,0,,,,501-1,83|83,,0,prize-20000204,0,,0,,,,
205,prize-10000205,0,22000,22000,22000,22000,0,1200,0,0,,,,501-1,83|83,,0,prize-20000205,0,,0,,,,
206,prize-10000206,0,20000,20000,20000,20000,0,1000,0,0,,,,501-1,83|83,,0,prize-20000206,0,,0,,,,
207,prize-10000207,0,18000,18000,18000,18000,0,900,0,0,,,,501-1,83|83,,0,prize-20000207,0,,0,,,,
208,prize-10000208,0,16000,16000,16000,16000,0,800,0,0,,,,501-1,83|83,,0,prize-20000208,0,,0,,,,
209,prize-10000209,0,14000,14000,14000,14000,0,700,0,0,,,,501-1,83|83,,0,prize-20000209,0,,0,,,,
210,prize-10000210,0,12000,12000,12000,12000,0,600,0,0,,,,501-1,83|83,,0,prize-20000210,0,,0,,,,
211,prize-10000211,0,10000,10000,10000,10000,0,500,0,0,,,,501-1,83|83,,0,prize-20000211,0,,0,,,,
212,prize-10000212,0,9000,9000,9000,9000,0,400,0,0,,,,501-1,83|83,,0,prize-20000212,0,,0,,,,
213,prize-10000213,0,8000,8000,8000,8000,0,300,0,0,,,,501-1,83|84,,0,prize-20000213,0,,0,,,,
214,prize-10000214,0,7000,7000,7000,7000,0,200,0,0,,,,501-1,84|84,,0,prize-20000214,0,,0,,,,
215,prize-10000215,0,6000,6000,6000,6000,0,150,0,0,,,,501-1,84|85,,0,prize-20000215,0,,0,,,,
216,prize-10000216,0,5000,5000,5000,5000,0,100,0,0,,,,501-1,85|85,,0,prize-20000216,0,,0,,,,
217,prize-10000217,0,4000,4000,4000,4000,0,80,0,0,,,,501-1,85,,0,prize-20000217,0,,0,,,,
218,prize-10000218,0,3000,3000,3000,3000,0,50,0,0,,,,501-1,,,0,prize-20000218,0,,0,,,,
219,prize-10000219,0,2000,2000,2000,2000,0,50,0,0,,,,,,,0,prize-20000219,0,,0,,,,
221,prize-10000221,0,30000,30000,30000,30000,0,2018,0,0,,,,501-1,83|83,,0,prize-20000221,0,,0,,,,
222,prize-10000222,0,28000,28000,28000,28000,0,1800,0,0,,,,501-1,83|83,,0,prize-20000222,0,,0,,,,
223,prize-10000223,0,26000,26000,26000,26000,0,1600,0,0,,,,501-1,83|83,,0,prize-20000223,0,,0,,,,
224,prize-10000224,0,24000,24000,24000,24000,0,1400,0,0,,,,501-1,83|83,,0,prize-20000224,0,,0,,,,
225,prize-10000225,0,22000,22000,22000,22000,0,1200,0,0,,,,501-1,83|83,,0,prize-20000225,0,,0,,,,
226,prize-10000226,0,20000,20000,20000,20000,0,1000,0,0,,,,501-1,83|83,,0,prize-20000226,0,,0,,,,
227,prize-10000227,0,18000,18000,18000,18000,0,900,0,0,,,,501-1,83|83,,0,prize-20000227,0,,0,,,,
228,prize-10000228,0,16000,16000,16000,16000,0,800,0,0,,,,501-1,83|83,,0,prize-20000228,0,,0,,,,
229,prize-10000229,0,14000,14000,14000,14000,0,700,0,0,,,,501-1,83|83,,0,prize-20000229,0,,0,,,,
230,prize-10000230,0,12000,12000,12000,12000,0,600,0,0,,,,501-1,83|83,,0,prize-20000230,0,,0,,,,
231,prize-10000231,0,10000,10000,10000,10000,0,500,0,0,,,,501-1,83|83,,0,prize-20000231,0,,0,,,,
232,prize-10000232,0,9000,9000,9000,9000,0,400,0,0,,,,501-1,83|83,,0,prize-20000232,0,,0,,,,
233,prize-10000233,0,8000,8000,8000,8000,0,300,0,0,,,,501-1,83|84,,0,prize-20000233,0,,0,,,,
234,prize-10000234,0,7000,7000,7000,7000,0,200,0,0,,,,501-1,84|84,,0,prize-20000234,0,,0,,,,
235,prize-10000235,0,6000,6000,6000,6000,0,150,0,0,,,,501-1,84|85,,0,prize-20000235,0,,0,,,,
236,prize-10000236,0,5000,5000,5000,5000,0,100,0,0,,,,501-1,85|85,,0,prize-20000236,0,,0,,,,
237,prize-10000237,0,4000,4000,4000,4000,0,80,0,0,,,,501-1,85,,0,prize-20000237,0,,0,,,,
238,prize-10000238,0,3000,3000,3000,3000,0,50,0,0,,,,501-1,,,0,prize-20000238,0,,0,,,,
239,prize-10000239,0,2000,2000,2000,2000,0,50,0,0,,,,,,,0,prize-20000239,0,,0,,,,
240,prize-10000240,0,0,0,0,0,0,0,0,0,,41-100|44-200|9-200,,200001-300,,1-1000|2-1000|3-1000,0,prize-20000240,0,,0,,,,
241,prize-10000241,0,0,0,0,0,0,0,0,0,,41-90|44-180|9-180,,200001-270,,1-900|2-900|3-900,0,prize-20000241,0,,0,,,,
242,prize-10000242,0,0,0,0,0,0,0,0,0,,41-80|44-160|9-160,,200001-240,,1-800|2-800|3-800,0,prize-20000242,0,,0,,,,
243,prize-10000243,0,0,0,0,0,0,0,0,0,,41-70|44-140|9-140,,200001-210,,1-700|2-700|3-700,0,prize-20000243,0,,0,,,,
244,prize-10000244,0,0,0,0,0,0,0,0,0,,41-60|44-120|9-120,,200001-180,,1-600|2-600|3-600,0,prize-20000244,0,,0,,,,
245,prize-10000245,0,0,0,0,0,0,0,0,0,,41-50|44-100|9-100,,200001-150,,1-500|2-500|3-500,0,prize-20000245,0,,0,,,,
