id,type,prize_id,cost,quota,clear_cycle,function_control_id,start_time,end_time,is_new
44,4,12411,4002-1500|4004-1500,0,0,0,,,0
45,1,12115,4001-8000,0,0,0,,,0
46,1,12116,4001-8000,0,0,0,,,0
47,1,12117,4001-8000,0,0,0,,,0
48,1,12118,4001-8000,0,0,0,,,0
49,1,12119,4001-8000,0,0,0,,,0
50,1,12120,4001-8000,0,0,0,,,0
51,1,12121,4001-8000,0,0,0,,,0
52,1,12122,4001-8000,0,0,0,,,0
53,1,12123,4001-8000,0,0,0,,,0
54,1,12124,4001-8000,0,0,0,,,0
55,1,12125,4001-15000,0,0,0,,,0
56,1,12126,4001-15000,0,0,0,,,0
57,3,12313,4003-5000,0,0,0,,,0
58,3,12314,4003-5000,0,0,0,,,0
59,4,12412,4003-1500|4004-1500,0,0,0,,,0
60,4,12413,4001-1500|4004-1500,0,0,0,,,0
61,4,12414,4002-1500|4004-1500,0,0,0,,,0
62,1,12127,4001-8000,0,0,0,,,0
63,1,12128,4001-8000,0,0,0,,,0
64,1,12129,4001-8000,0,0,0,,,0
65,1,12130,4001-8000,0,0,0,,,0
66,1,12131,4001-8000,0,0,0,,,0
67,1,12132,4001-8000,0,0,0,,,0
68,1,12133,4001-8000,0,0,0,,,0
69,1,12134,4001-8000,0,0,0,,,0
70,1,12135,4001-8000,0,0,0,,,0
71,1,12136,4001-8000,0,0,0,,,0
72,1,12137,4001-8000,0,0,0,,,0
73,1,12138,4001-8000,0,0,0,,,0
74,1,12139,4001-8000,0,0,0,,,0
75,1,12140,4001-8000,0,0,0,,,0
76,1,12141,4001-8000,0,0,0,,,0
77,1,12142,4001-8000,0,0,0,,,0
78,1,12143,4001-8000,0,0,0,,,0
79,1,12144,4001-8000,0,0,0,,,0
80,1,12145,4001-8000,0,0,0,,,0
81,1,12146,4001-8000,0,0,0,,,0
82,1,12147,4001-8000,0,0,0,,,0
83,1,12148,4001-8000,0,0,0,,,0
84,1,12149,4001-8000,0,0,0,,,0
85,1,12150,4001-8000,0,0,0,,,0
86,1,12151,4001-8000,0,0,0,,,0
87,1,12152,4001-8000,0,0,0,,,0
88,1,12153,4001-8000,0,0,0,,,0
89,1,12154,4001-8000,0,0,0,,,0
90,1,12155,4001-8000,0,0,0,,,0
91,1,12156,4001-8000,0,0,0,,,0
92,1,12157,4001-8000,0,0,0,,,0
93,1,12158,4001-8000,0,0,0,,,0
94,1,12159,4001-8000,0,0,0,,,0
95,1,12160,4001-8000,0,0,0,,,0
96,1,12161,4001-8000,0,0,0,,,0
97,1,12162,4001-8000,0,0,0,,,0
98,1,12163,4001-8000,0,0,0,,,0
99,1,12164,4001-8000,0,0,0,,,0
100,3,12315,4003-5000,0,0,0,,,0
101,3,12316,4003-5000,0,0,0,,,0
102,3,12317,4003-4000,0,0,0,,,0
103,4,12415,4003-1500|4004-1500,0,0,0,,,0
104,4,12416,4001-1500|4004-1500,0,0,0,,,0
105,4,12417,4002-1500|4004-1500,0,0,0,,,0
106,1,12165,4001-8000,0,0,0,,,0
107,1,12166,4001-8000,0,0,0,,,0
108,4,12418,4003-1500|4004-1500,0,0,0,,,0
109,4,12419,4001-1500|4004-1500,0,0,0,,,0
110,4,12420,4002-1500|4004-1500,0,0,0,,,0
111,3,12318,4003-5000,0,0,0,,,0
112,3,12319,4003-5000,0,0,0,,,0
113,3,12320,4003-4000,0,0,0,,,0
114,1,12167,4001-8000,0,0,0,,,0
115,1,12168,4001-8000,0,0,0,,,0
116,4,12421,4003-1500|4004-1500,0,0,0,,,0
117,4,12422,4001-1500|4004-1500,0,0,0,,,0
118,4,12423,4002-1500|4004-1500,0,0,0,,,0
119,3,12321,4003-5000,0,0,0,,,0
120,3,12322,4003-5000,0,0,0,,,0
121,3,12323,4003-4000,0,0,0, ,,0
122,1,12169,4001-8000,0,0,0,,,0
123,1,12170,4001-8000,0,0,0,,,0
124,1,12171,4001-8000,0,0,0,,,0
125,1,12172,4001-8000,0,0,0,,,0
126,1,12173,4001-8000,0,0,0,,,0
127,1,12174,4001-8000,0,0,0,,,0
128,1,12175,4001-8000,0,0,0,,,0
129,1,12176,4001-8000,0,0,0,,,0
130,1,12177,4001-8000,0,0,0,,,0
131,1,12178,4001-8000,0,0,0,,,0
132,1,12179,4001-8000,0,0,0,,,0
133,4,12424,4003-1500|4004-1500,0,0,0,,,0
134,4,12425,4001-1500|4004-1500,0,0,0,,,0
135,4,12426,4002-1500|4004-1500,0,0,0,,,0
136,3,12324,4003-4000,0,0,0,,,0
137,3,12325,4003-4000,0,0,0,,,0
138,3,12326,4003-5000,0,0,0, ,,0
139,52,12501,4001-4500,1,0,0,,,0
140,52,12502,4001-4500,1,0,0,,,0
141,1,12180,4001-8000,0,0,0,,,0
142,1,12181,4001-8000,0,0,0,,,0
143,4,12427,4003-1500|4004-1500,0,0,0,,,0
144,4,12428,4001-1500|4004-1500,0,0,0,,,0
145,4,12429,4002-1500|4004-1500,0,0,0,,,0
146,3,12327,4003-5000,0,0,0,,,0
147,3,12328,4003-4000,0,0,0,,,0
148,3,12329,4003-6000,0,0,0, ,,0
149,53,12503,4001-18000,1,0,0,,,0
150,52,12504,4001-4500,1,0,0,,,0
151,52,12505,4001-4500,1,0,0,,,0
153,1,12182,4001-8000,0,0,0,,,0
154,53,12506,4001-18000,1,0,0,,,0
155,4,12430,4003-1500|4004-1500,0,0,0,,,0
156,4,12431,4001-1500|4004-1500,0,0,0,,,0
157,4,12432,4002-1500|4004-1500,0,0,0,,,0
158,3,12330,4003-4000,0,0,0,,,0
159,3,12331,4003-5000,0,0,0,,,0
160,3,12332,4003-6000,0,0,0, ,,0
161,1,12183,4001-8000,0,0,0,,,0
162,1,12184,4001-8000,0,0,0,,,0
163,53,12507,4001-18000,1,0,0,,,0
164,4,12433,4003-1500|4004-1500,0,0,0,,,0
165,4,12434,4001-1500|4004-1500,0,0,0,,,0
166,4,12435,4002-1500|4004-1500,0,0,0,,,0
167,3,12333,4003-5000,0,0,0,,,0
168,3,12334,4003-5000,0,0,0,,,0
169,3,12335,4003-4000,0,0,0, ,,0
170,1,12185,4001-8000,0,0,0,,,0
171,1,12186,4001-8000,0,0,0,,,0
172,4,12436,4003-1500|4004-1500,0,0,0,,,0
173,4,12437,4001-1500|4004-1500,0,0,0,,,0
174,4,12438,4002-1500|4004-1500,0,0,0,,,0
175,3,12336,4003-5000,0,0,0,,,0
176,3,12337,4003-5000,0,0,0,,,0
177,3,12338,4003-5000,0,0,0, ,,0
178,1,12187,4001-8000,0,0,0,,,0
179,1,12188,4001-8000,0,0,0,,,0
180,4,12439,4003-1500|4004-1500,0,0,0,,,0
181,4,12440,4001-1500|4004-1500,0,0,0,,,0
182,4,12441,4002-1500|4004-1500,0,0,0,,,0
183,3,12339,4003-4000,0,0,0,,,0
184,3,12340,4003-5000,0,0,0,,,0
185,3,12341,4003-5000,0,0,0, ,,0
186,1,12189,4001-8000,0,0,0,,,0
187,1,12190,4001-8000,0,0,0,,,0
188,1,12191,4001-8000,0,0,0,,,0
189,1,12192,4001-8000,0,0,0,,,0
190,1,12193,4001-8000,0,0,0,,,0
191,1,12194,4001-8000,0,0,0,,,0
192,1,12195,4001-8000,0,0,0,,,0
193,1,12196,4001-8000,0,0,0,,,0
194,1,12197,4001-8000,0,0,0,,,0
195,1,12601,4001-8000,0,0,0,,,0
196,1,12602,4001-8000,0,0,0,,,0
197,1,12603,4001-8000,0,0,0,,,0
198,1,12604,4001-8000,0,0,0,,,0
199,1,12605,4001-8000,0,0,0,,,0
200,1,12606,4001-8000,0,0,0,,,0
201,1,12607,4001-8000,0,0,0,,,0
202,1,12608,4001-8000,0,0,0,,,0
203,1,12609,4001-8000,0,0,0,,,0
204,1,12610,4001-8000,0,0,0,,,0
205,1,12611,4001-8000,0,0,0,,,0
206,1,12612,4001-8000,0,0,0,,,0
207,1,12613,4001-8000,0,0,0,,,0
208,1,12614,4001-8000,0,0,0,,,0
209,1,12198,4001-8000,0,0,0,,,0
210,1,12199,4001-8000,0,0,0,,,0
211,4,12442,4003-1500|4004-1500,0,0,0,,,0
212,4,12443,4001-1500|4004-1500,0,0,0,,,0
213,4,12444,4002-1500|4004-1500,0,0,0,,,0
214,3,12342,4003-5000,0,0,0,,,0
215,3,12343,4003-5000,0,0,0,,,0
216,3,12344,4003-4000,0,0,0, ,,0
217,1,12615,4001-8000,0,0,0,,,0
218,1,121001,4001-8000,0,0,0,,,0
219,1,121002,4001-8000,0,0,0,,,0
220,4,12445,4003-1500|4004-1500,0,0,0,,,0
221,4,12446,4001-1500|4004-1500,0,0,0,,,0
222,4,12447,4002-1500|4004-1500,0,0,0,,,0
223,3,12345,4003-5000,0,0,0,,,0
224,3,12346,4003-5000,0,0,0,,,0
225,3,12347,4003-5000,0,0,0, ,,0
226,1,121003,4001-8000,0,0,0, ,,0
227,1,121004,4001-8000,0,0,0, ,,0
228,1,121005,4001-8000,0,0,0, ,,0
229,1,121006,4001-8000,0,0,0,,,0
230,1,121007,4001-8000,0,0,0,,,0
231,4,12448,4003-1500|4004-1500,0,0,0,,,0
232,4,12449,4001-1500|4004-1500,0,0,0,,,0
233,4,12450,4002-1500|4004-1500,0,0,0,,,0
234,3,12348,4003-5000,0,0,0,,,0
235,3,12349,4003-5000,0,0,0,,,0
236,3,12350,4003-4000,0,0,0, ,,0
237,1,121008,4001-8000,0,0,0,,,0
238,52,12508,4001-4500,1,0,0,,,0
239,1,121009,4001-8000,0,0,0,,,0
240,1,121010,4001-8000,0,0,0,,,0
241,1,121011,4001-8000,0,0,0,,,0
242,1,121012,4001-8000,0,0,0,,,0
243,1,121013,4001-8000,0,0,0,,,0
244,1,121014,4001-8000,0,0,0,,,0
245,1,121015,4001-8000,0,0,0,,,0
246,1,121016,4001-8000,0,0,0,,,0
247,4,12451,4003-1500|4004-1500,0,0,0,,,0
248,4,12452,4001-1500|4004-1500,0,0,0,,,0
249,4,12453,4002-1500|4004-1500,0,0,0,,,0
250,3,12351,4003-5000,0,0,0,,,0
251,3,12352,4003-5000,0,0,0,,,0
252,3,12353,4003-4000,0,0,0, ,,0
253,1,121017,4001-8000,0,0,0,,,1
254,1,121018,4001-8000,0,0,0,,,1
255,3,12354,4003-5000,0,0,0,,,1
256,3,12355,4003-5000,0,0,0,,,1
257,3,12356,4003-4000,0,0,0, ,,1
258,4,12454,4003-1500|4004-1500,0,0,0,,,1
259,4,12455,4001-1500|4004-1500,0,0,0,,,1
260,4,12456,4002-1500|4004-1500,0,0,0,,,1
261,53,12509,4001-18000,1,0,0,,,1
