id,code_a,description_a,description_b,description_c,code_b,is_manual_target,use_fairy_ui
511001,Console_P,manual_ui-10511001,manual_ui-20511001,manual_ui-30511001,Console_Icon,0,0
511012,PylonTower_B_3,manual_ui-10511012,manual_ui-20511012,manual_ui-30511012,Console_Icon,2,0
511013,PylonTower_A_3,manual_ui-10511013,manual_ui-20511013,manual_ui-30511013,Console_Icon,2,0
511701,Console_P,manual_ui-10511701,manual_ui-20511701,manual_ui-30511701,Console_Icon,2,0
520621,Console_P,manual_ui-10520621,manual_ui-20520621,manual_ui-30520621,Squad_Icon,0,0
520801,Console_P,manual_ui-10520801,manual_ui-20520801,manual_ui-30520801,Console_Icon,2,0
520802,Console_P,manual_ui-10520802,manual_ui-20520802,manual_ui-30520802,Console_Icon,2,0
520803,Console_P,manual_ui-10520803,manual_ui-20520803,manual_ui-30520803,Console_Icon,2,0
520804,Console_P,manual_ui-10520804,manual_ui-20520804,manual_ui-30520804,Console_Icon,2,0
520805,Console_P,manual_ui-10520805,manual_ui-20520805,manual_ui-30520805,Console_Icon,2,0
541212,AR18_NPC,manual_ui-10541212,manual_ui-20541212,manual_ui-30541212,Console_Icon,0,0
541213,AR18_NPC,manual_ui-10541213,manual_ui-20541213,manual_ui-30541213,Console_Icon,0,0
541222,AR18_NPC,manual_ui-10541222,manual_ui-20541222,manual_ui-30541222,Console_Icon,0,0
541311,AR18_NPC,manual_ui-10541311,manual_ui-20541311,manual_ui-30541311,Console_Icon,0,0
541313,Boomer,manual_ui-10541313,manual_ui-20541313,manual_ui-30541313,Console_Icon,2,0
541314,Boomer,manual_ui-10541314,manual_ui-20541314,manual_ui-30541314,Console_Icon,0,0
541411,2022_Bikini_Fireworks,manual_ui-10541411,manual_ui-20541411,manual_ui-30541411,Console_Icon,0,0
541412,LiftBlue,manual_ui-10541412,manual_ui-20541412,manual_ui-30541412,Console_Icon,0,0
542402,ColtWalker_NPC,manual_ui-10542402,manual_ui-20542402,manual_ui-30542402,Console_Icon,0,0
542411,ColtWalker_NPC,manual_ui-10542411,manual_ui-20542411,manual_ui-30542411,Console_Icon,2,0
542711,Erma_NPC,manual_ui-10542711,manual_ui-20542711,manual_ui-30542711,Console_Icon,0,0
543921,Console,manual_ui-10543921,manual_ui-20543921,manual_ui-30543921,Console_Icon,0,0
544111,ColtWalker_NPC,manual_ui-10544111,manual_ui-20544111,manual_ui-30544111,Console_Icon,2,0
544112,ColtWalker_NPC,manual_ui-10544112,manual_ui-20544112,manual_ui-30544112,Console_Icon,2,0
544113,Door_Left_S,manual_ui-10544113,manual_ui-20544113,manual_ui-30544113,Console_Icon,2,0
544114,Build_PortableEMP,manual_ui-10544114,manual_ui-20544114,manual_ui-30544114,Console_Icon,0,0
544124,Build_PortableEMP,manual_ui-10544124,manual_ui-20544124,manual_ui-30544124,Console_Icon,2,0
544211,Console,manual_ui-10544211,manual_ui-20544211,manual_ui-30544211,Console_Icon,0,0
544212,tong,manual_ui-10544212,manual_ui-20544212,manual_ui-30544212,Console_Icon,0,0
544213,tong,manual_ui-10544213,manual_ui-20544213,manual_ui-30544213,Console_Icon,2,0
570011,ZLSR_570011,manual_ui-10570011,manual_ui-20570011,manual_ui-30570011,Console_Icon,2,0
570021,ZLSR_570021,manual_ui-10570021,manual_ui-20570021,manual_ui-30570021,Console_Icon,2,0
570031,ZLSR_570031,manual_ui-10570031,manual_ui-20570031,manual_ui-30570031,Console_Icon,0,0
570041,ZLSR_570041,manual_ui-10570041,manual_ui-20570041,manual_ui-30570041,Console_Icon,0,0
570051,ZLSR_570051,manual_ui-10570051,manual_ui-20570051,manual_ui-30570051,Console_Icon,2,0
570061,ZLSR_570061,manual_ui-10570061,manual_ui-20570061,manual_ui-30570061,Console_Icon,0,0
570071,ZLSR_570071,manual_ui-10570071,manual_ui-20570071,manual_ui-30570071,Console_Icon,0,0
570501,Bubble_machine,manual_ui-10570501,manual_ui-20570501,manual_ui-30570501,Console_Icon,0,0
570605,DriedSquid,manual_ui-10570605,manual_ui-20570605,manual_ui-30570605,Console_Icon,2,0
570606,TakeOut,manual_ui-10570606,manual_ui-20570606,manual_ui-30570606,Console_Icon,2,0
570607,DriedSquid,manual_ui-10570607,manual_ui-20570607,manual_ui-30570607,Console_Icon,0,0
570608,TakeOut,manual_ui-10570608,manual_ui-20570608,manual_ui-30570608,Console_Icon,0,0
570610,Console,manual_ui-10570610,manual_ui-20570610,manual_ui-30570610,Console_Icon,0,0
572041,ZLSP,manual_ui-10572041,manual_ui-20572041,manual_ui-30572041,Console_Icon,0,0
572042,ZLSP,manual_ui-10572042,manual_ui-20572042,manual_ui-30572042,Console_Icon,0,0
572043,Griffin,manual_ui-10572043,manual_ui-20572043,manual_ui-30572043,Console_Icon,0,0
575001,ZLSP,manual_ui-10575001,manual_ui-20575001,manual_ui-30575001,Console_Icon,0,0
580118,Griffin,manual_ui-10580118,manual_ui-20580118,manual_ui-30580118,Console_Icon,0,0
580119,Griffin,manual_ui-10580119,manual_ui-20580119,manual_ui-30580119,Console_Icon,0,0
580121,Gospelaxis,manual_ui-10580121,manual_ui-20580121,manual_ui-30580121,Console_Icon,0,0
580122,Griffin,manual_ui-10580122,manual_ui-20580122,manual_ui-30580122,Console_Icon,2,0
580903,Pyxis,manual_ui-10580903,manual_ui-20580903,manual_ui-30580903,Console_Icon,0,0
581702,Detonator,manual_ui-10581702,manual_ui-20581702,manual_ui-30581702,Console_Icon,2,0
583601,Dandelion_Gri,manual_ui-10583601,manual_ui-20583601,manual_ui-30583601,Console_Icon,2,0
584511,LiftBlue,manual_ui-10584511,manual_ui-20584511,manual_ui-30584511,Console_Icon,0,0
584901,AK12,manual_ui-10584901,manual_ui-20584901,manual_ui-30584901,Console_Icon,0,0
584903,AN94,manual_ui-10584903,manual_ui-20584903,manual_ui-30584903,Console_Icon,0,0
590001,Rouge_590001,manual_ui-10590001,manual_ui-20590001,manual_ui-30590001,Console_Icon,3,0
590002,Rouge_590002,manual_ui-10590002,manual_ui-20590002,manual_ui-30590002,Console_Icon,3,0
590003,Rouge_590003,manual_ui-10590003,manual_ui-20590003,manual_ui-30590003,Console_Icon,3,0
590004,Rouge_590004,manual_ui-10590004,manual_ui-20590004,manual_ui-30590004,Console_Icon,3,0
590005,Rouge_590005,manual_ui-10590005,manual_ui-20590005,manual_ui-30590005,Console_Icon,3,0
590006,Rouge_590006,manual_ui-10590006,manual_ui-20590006,manual_ui-30590006,Console_Icon,3,0
590101,Rouge_590101,manual_ui-10590101,manual_ui-20590101,manual_ui-30590101,Console_Icon,3,0
590102,Rouge_590102,manual_ui-10590102,manual_ui-20590102,manual_ui-30590102,Console_Icon,3,0
590103,Rouge_590103,manual_ui-10590103,manual_ui-20590103,manual_ui-30590103,Console_Icon,3,0
590104,Rouge_590104,manual_ui-10590104,manual_ui-20590104,manual_ui-30590104,Console_Icon,3,0
590105,Rouge_590105,manual_ui-10590105,manual_ui-20590105,manual_ui-30590105,Console_Icon,3,0
590106,Rouge_590106,manual_ui-10590106,manual_ui-20590106,manual_ui-30590106,Console_Icon,3,0
590201,Rouge_590201,manual_ui-10590201,manual_ui-20590201,manual_ui-30590201,Console_Icon,3,0
590202,Rouge_590202,manual_ui-10590202,manual_ui-20590202,manual_ui-30590202,Console_Icon,3,0
590203,Rouge_590203,manual_ui-10590203,manual_ui-20590203,manual_ui-30590203,Console_Icon,3,0
590204,Rouge_590204,manual_ui-10590204,manual_ui-20590204,manual_ui-30590204,Console_Icon,3,0
590205,Rouge_590205,manual_ui-10590205,manual_ui-20590205,manual_ui-30590205,Console_Icon,3,0
590206,Rouge_590206,manual_ui-10590206,manual_ui-20590206,manual_ui-30590206,Console_Icon,3,0
590301,Rouge_590301,manual_ui-10590301,manual_ui-20590301,manual_ui-30590301,Console_Icon,3,0
590302,Rouge_590302,manual_ui-10590302,manual_ui-20590302,manual_ui-30590302,Console_Icon,3,0
590303,Rouge_590303,manual_ui-10590303,manual_ui-20590303,manual_ui-30590303,Console_Icon,3,0
590401,Rouge_590401,manual_ui-10590401,manual_ui-20590401,manual_ui-30590401,Console_Icon,3,0
590402,Rouge_590402,manual_ui-10590402,manual_ui-20590402,manual_ui-30590402,Console_Icon,3,0
590403,Rouge_590403,manual_ui-10590403,manual_ui-20590403,manual_ui-30590403,Console_Icon,3,0
590501,Rouge_590501,manual_ui-10590501,manual_ui-20590501,manual_ui-30590501,Console_Icon,3,0
590502,Rouge_590502,manual_ui-10590502,manual_ui-20590502,manual_ui-30590502,Console_Icon,3,0
590503,Rouge_590503,manual_ui-10590503,manual_ui-20590503,manual_ui-30590503,Console_Icon,3,0
590601,Rouge_590601,manual_ui-10590601,manual_ui-20590601,manual_ui-30590601,Console_Icon,3,0
590602,Rouge_590602,manual_ui-10590602,manual_ui-20590602,manual_ui-30590602,Console_Icon,3,0
590603,Rouge_590603,manual_ui-10590603,manual_ui-20590603,manual_ui-30590603,Console_Icon,3,0
590604,Rouge_590604,manual_ui-10590604,manual_ui-20590604,manual_ui-30590604,Console_Icon,3,0
590605,Rouge_590605,manual_ui-10590605,manual_ui-20590605,manual_ui-30590605,Console_Icon,3,0
590606,Rouge_590606,manual_ui-10590606,manual_ui-20590606,manual_ui-30590606,Console_Icon,3,0
590701,Rouge_590701,manual_ui-10590701,manual_ui-20590701,manual_ui-30590701,Console_Icon,3,0
590702,Rouge_590702,manual_ui-10590702,manual_ui-20590702,manual_ui-30590702,Console_Icon,3,0
590703,Rouge_590703,manual_ui-10590703,manual_ui-20590703,manual_ui-30590703,Console_Icon,3,0
590704,Rouge_590704,manual_ui-10590704,manual_ui-20590704,manual_ui-30590704,Console_Icon,3,0
590705,Rouge_590705,manual_ui-10590705,manual_ui-20590705,manual_ui-30590705,Console_Icon,3,0
590706,Rouge_590706,manual_ui-10590706,manual_ui-20590706,manual_ui-30590706,Console_Icon,3,0
590801,Rouge_590801,manual_ui-10590801,manual_ui-20590801,manual_ui-30590801,Console_Icon,3,0
