id	name	description	group_id	code	bonus_plastic	skill_id	path	is_class	des_year	source	source_description
36	commander_class-10000036	commander_class-20000036	78	commander_3640_icon		0	CLASS36	0	commander_class-30000036	2	commander_class-40000036
37	commander_class-10000037	commander_class-20000037	79	commander_3700_icon		0	CLASS37	0	commander_class-30000037	2	commander_class-40000037
38	commander_class-10000038	commander_class-20000038	80	commander_3820_icon		0	CLASS38	0	commander_class-30000038	2	commander_class-40000038
39	commander_class-10000039	commander_class-20000039	81	commander_3932_icon	130012	103	CLASS39	1	commander_class-30000039	1	commander_class-40000039
40	commander_class-10000040	commander_class-20000040	82	commander_4032_icon	130013	101	CLASS40	1	commander_class-30000040	1	commander_class-40000040
41	commander_class-10000041	commander_class-20000041	83	commander_4120_icon		0	CLASS41	0	commander_class-30000041	2	commander_class-40000041
42	commander_class-10000042	commander_class-20000042	84	commander_4232_icon	130014	113	CLASS42	1	commander_class-30000042	1	commander_class-40000042
43	commander_class-10000043	commander_class-20000043	85	commander_4310_icon		0	CLASS43	0	commander_class-30000043	2	commander_class-40000043
44	commander_class-10000044	commander_class-20000044	86	commander_4432_icon	130015	115	CLASS44	1	commander_class-30000044	2	commander_class-40000044
45	commander_class-10000045	commander_class-20000045	87	commander_4532_icon	130016	109	CLASS45	1	commander_class-30000045	1	commander_class-40000045
46	commander_class-10000046	commander_class-20000046	88	commander_4640_icon		0	CLASS46	0	commander_class-30000046	2	commander_class-40000046
47	commander_class-10000047	commander_class-20000047	89	commander_4732_icon	130017	101	CLASS47	1	commander_class-30000047	1	commander_class-40000047
48	commander_class-10000048	commander_class-20000048	90	commander_4810_icon		0	CLASS48	0	commander_class-30000048	2	commander_class-40000048
49	commander_class-10000049	commander_class-20000049	91	commander_4932_icon	130018	105	CLASS49	1	commander_class-30000049	1	commander_class-40000049
50	commander_class-10000050	commander_class-20000050	92	commander_5031_icon	130019	104	CLASS50	1	commander_class-30000050	1	commander_class-40000050
51	commander_class-10000051	commander_class-20000051	93	commander_5132_icon	130020	107	CLASS51	1	commander_class-30000051	1	commander_class-40000051
52	commander_class-10000052	commander_class-20000052	94	commander_5210_icon		0	CLASS52	0	commander_class-30000052	2	commander_class-40000052
53	commander_class-10000053	commander_class-20000053	95	commander_5320_icon		0	CLASS53	0	commander_class-30000053	2	commander_class-40000053
54	commander_class-10000054	commander_class-20000054	96	commander_5431_icon	130021	111	CLASS54	1	commander_class-30000054	2	commander_class-40000054
55	commander_class-10000055	commander_class-20000055	97	commander_5531_icon	130022	110	CLASS55	1	commander_class-30000055	1	commander_class-40000055
56	commander_class-10000056	commander_class-20000056	98	commander_5640_icon		0	CLASS56	1	commander_class-30000056	2	commander_class-40000056
57	commander_class-10000057	commander_class-20000057	99	commander_5731_icon	130023	108	CLASS57	1	commander_class-30000057	1	commander_class-40000057
99	commander_class-10000099	commander_class-20000099	60	commander_9920_icon		0	EMOJI	0	commander_class-30000099	2	commander_class-40000099
