id	name	en_name	code	introduce	dialogue	extra	en_introduce	type	assist_type	population	cpu_id	hp	assist_damage	assist_reload	assist_hit	assist_def_break	damage	atk_speed	hit	basic_rate	cpu_rate	crit_rate	crit_damage	armor_piercing	dodge	move	assist_armor_piercing	battle_assist_range	display_assist_damage_area	display_assist_area_coef	attack_range	night_vision	skill1	skill2	skill3	performance_skill	passive_skill	dynamic_passive_skill	normal_attack	advanced_bonus	deploy_round	assist_attack_round	attack_round	baseammo	basemre	ammo_part	mre_part	is_additional	launch_time	obtain_ids	is_piece_only	piece_item_id	destroy_coef	assist_damage_destroy_coef	mission_skill_repair	develop_duration	dorm_ai	normal_attack_description	is_show	org_id
1001	squad-10001001	squad-20001001	GustafAssist3	squad-30001001	squad-40001001	squad-50001001	squad-60001001	101	1	2	1005	100	150	80	300	100	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	900014	900020		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1002	squad-10001002	squad-20001002	GustafAssist1	squad-30001002	squad-40001002	squad-50001002	squad-60001002	101	1	2	1005	100	150	80	300	100	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	900015	900021		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1003	squad-10001003	squad-20001003	GustafAssist2	squad-30001003	squad-40001003	squad-50001003	squad-60001003	101	1	2	1005	100	150	80	300	100	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	900013	900019		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1004	squad-10001004	squad-20001004	GustafAssist3	squad-30001004	squad-40001004	squad-50001004	squad-60001004	101	1	2	1005	100	400	80	500	500	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	900014	900020		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1005	squad-10001005	squad-20001005	GustafAssist1	squad-30001005	squad-40001005	squad-50001005	squad-60001005	101	1	2	1005	100	400	80	500	500	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	900015	900021		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1006	squad-10001006	squad-20001006	GustafAssist2	squad-30001006	squad-40001006	squad-50001006	squad-60001006	101	1	2	1005	100	400	80	500	500	100	100	100	100	100	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	900013	900019		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1007	squad-10001007	squad-20001007	GustafAssist1	squad-30001007	squad-40001007	squad-50001007	squad-60001007	101	1	2	1005	100	150	80	300	100	100	100	100	100	100	10	150	0	5	5	400	1,4	150	270	15	1	900107	900107	900107	900015	900021		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1008	squad-10001008	squad-20001008	GustafAssist1	squad-30001008	squad-40001008	squad-50001008	squad-60001008	101	1	2	1005	100	400	80	500	500	100	100	100	100	100	10	150	0	5	5	400	1,4	150	270	15	1	900107	900107	900107	900015	900021		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
1009	squad-10001009	squad-20001009	Boss9_Ally	squad-30001009	squad-40001009	squad-50001009	squad-60001009	101	1	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,2	150	270	15	1	900107	900107	900107	600409	600402		900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	100	0		28800	1001,1002,1003	500000	1	0
1010	squad-10001010	squad-20001010	Destroyer	squad-30001010	squad-40001010	squad-50001010	squad-60001010	102	3	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,2	150	270	15	1	900736	900107	900107	900735			900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	0	10		28800	1001,1002,1003	500000	0	0
1011	squad-10001011	squad-20001011	BossArchitect	squad-30001011	squad-40001011	squad-50001011	squad-60001011	102	3	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,2	150	270	15	1	900782	900107	900107	900781			900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	0	50		28800	1001,1002,1003	500000	0	0
1012	squad-10001012	squad-20001012	Dreamer	squad-30001012	squad-40001012	squad-50001012	squad-60001012	102	3	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,3	150	270	15	1	900961	900107	900107	900964			900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	0	0		28800	1001,1002,1003	500000	0	0
1013	squad-10001013	squad-20001013	Nyto_black	squad-30001013	squad-40001013	squad-50001013	squad-60001013	102	3	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,3	150	270	15	1	902357	900107	900107	902360			900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	0	0		28800	1001,1002,1003	500000	0	0
1014	squad-10001014	squad-20001014	Nyto_white	squad-30001014	squad-40001014	squad-50001014	squad-60001014	102	3	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,1	150	270	15	1	902432	900107	900107	902435			900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	0	0		28800	1001,1002,1003	500000	0	0
1015	squad-10001015	squad-20001015	TOW	squad-30001015	squad-40001015	squad-50001015	squad-60001015	1	1	2	1001	1000	300	600	500	1000	100	100	100	110	90	10	150	0	5	5	400	1,2	150	270	15	1	500028	500003	500005	900001	500000,500029,500004,500024,501001		900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	100	0		28800	1001,1002,1003	500000	0	0
1016	squad-10001016	squad-20001016	PP93	squad-30001016	squad-40001016	squad-50001016	squad-60001016	2	1	2	1008	800	350	600	500	1000	100	100	100	110	90	30	150	0	5	5	40	1,3	250	300	15	1	502001	502003	502004	900026	502002	502005,502006	502002	108	0	0	0	60	40	10	10	0	2029-03-21	0	0	308	100	0		28800	1001,1002,1003	502002	0	0
1017	squad-10001017	squad-20001017	QLZ04	squad-30001017	squad-40001017	squad-50001017	squad-60001017	3	1	2	1006	800	350	600	600	1000	100	100	100	95	100	10	150	0	5	5	80	1,3	200	270	15	1	510301	510303	510304	900025	510302,510305,510306		900107	106	0	0	0	40	60	10	10	0	2029-03-21	0	0	306	100	0		28800	1001,1002,1003	510302	0	0
1018	squad-10001018	squad-20001018	Nyto_tareus	squad-30001018	squad-40001018	squad-50001018	squad-60001018	102	3	2	1001	100	125	80	135	140	100	100	100	110	90	10	150	0	5	5	400	1,2	150	270	15	1	750624	900107	900107	750654			900107	101	0	0	0	50	50	10	10	0	2029-03-21	0	0	301	0	50		28800	1001,1002,1003	500000	0	0
1019	squad-10001019	squad-20001019	MissileLauncher_ally	squad-30001019	squad-40001019	squad-50001019	squad-60001019	101	1	2	1005	100	400	80	500	500	100	100	100	100	100	10	150	0	5	5	400	0,4	150	270	15	1	900107	900107	900107	405006	405005		900107	105	0	0	0	50	50	10	10	0	2029-03-21	0	0	305	100	0		28800	1001,1002,1003	500000	0	0
