id,story_campaign_id,mindupdate_story_id,fetter_id,skin_id
100197,15|17,0,,
100198,15|17,0,,
100199,,199,,
100200,15,200,,
100201,,201,,2305|3107|4006
100202,16|36,0,,3309
100203,16|33,0,,4005
100204,16,0,,
100205,16|17|19|22|23|24|25|27|29,205,,2404|3303
100206,16|17|19|22|23|24|25|28|29,206,,2402|3302
100207,16,0,,
100208,16,0,,4002
100209,28,0,,
100210,,0,,3007
100211,,0,,
100212,,212,,3308
100213,35,0,,3503
100214,,0,,
100215,32|33|35|36,0,,2603|3305
100216,15|27,216,4,
100217,,0,,
100218,14,0,,
100220,26,220,,
100221,26,221,,
100222,,0,,2602
100223,,0,,3809
100224,,0,,
100225,17,0,,
100226,17,0,,
100227,17,0,,
100228,33,228,,4004
100229,17,0,,3803
100230,,230,,
100231,17|29,0,,
100232,,0,,
100233,33,0,,2801
100234,,0,,4204
100235,,0,,
100236,,0,,
100237,,0,,
100238,35,0,,3003|3504
100239,,0,,
100240,18,0,,
100241,,0,,
100242,19,0,,
100243,,0,,
100244,19,0,,
100245,27|30,0,,2802
100247,,0,,
100248,,0,,
100249,,0,,
100250,19,0,,
100251,19,0,,
100252,19|30,252,,3805|4509
100253,19|36,0,,3502|4001
100254,19,0,,
100255,,0,,
100256,,0,,
100257,25|36,0,,4502
100258,,0,,
100259,,0,,
100260,33,0,,4202
100261,,0,,3801|4503
100262,,0,,4209
100263,,0,,4205
100264,,0,,
100265,,0,,
100266,35,0,,3501
100267,15|22,0,,
100268,,0,,
100269,,0,,
100270,35,0,,3505
100271,,0,,
100272,20|25|27|28,0,1,
100273,20,0,,
100274,20,0,,
100275,20,0,,
100276,20,0,,
100277,,0,,
100278,,0,,
100279,22,0,,
100280,,0,,
100281,33,0,,4003
100282,,282,,4201
100283,,0,,
100284,,0,,4511
100285,,0,,
100286,,0,,
100287,,0,,
100288,,0,,
100289,,0,,
100290,,0,,
100291,,0,,
100292,22|23|24|25|26|27|29,0,,
100293,22|23|24|25|27|29,293,,
100294,22|26,0,,
100295,22,0,,
100296,22|23|24|25,0,,
100297,22,0,3,
100298,,0,,
100299,,0,,
100300,,0,,
100301,,0,,
100302,26,0,,
100303,,0,,
100304,,0,,
100305,,0,,
100306,,0,3,
100307,,0,,
100308,,0,,
100309,,0,,
100310,,0,,
100311,,0,,
100312,27,0,,
100313,,0,,
100314,,0,,
100315,24|25|29,0,,
100316,24|25|29,0,,
100317,24,0,,
100318,24|25|29,0,,
100319,24|29,0,,
100320,,0,,
100321,,0,,
100322,,0,,
100323,,0,,
100324,,0,,
100325,,0,,
100326,,0,,
100327,,0,,
100328,,0,,
100329,,0,,
100330,,0,,
100331,25,0,,
100332,25,0,,
100333,25,0,,
100334,25,0,,
100335,25,0,,
100336,,0,,
100337,,0,,
100338,27,0,,
100339,,0,,
100340,,0,,
100341,26|27,0,,
100342,26|27,0,,
100343,26,0,,
100344,26,0,,
100345,26,0,,
100346,,0,,
100347,,0,,
100348,,0,,
100349,,0,,
100350,,0,,
100351,34|29,0,,
100352,,0,,
100353,,0,,
100354,,0,,
100355,,0,,
100356,28,0,,
100357,27,0,,
100358,27,0,,
100359,27,0,,
100360,27,0,,
100361,27,0,,
100362,27,0,,
100363,,0,,
100364,,0,,
100365,,0,,
100366,,0,,
100367,,0,,
100368,,0,,
100369,,0,,
100370,,0,,
100371,28,0,,
100372,28|29,0,,
100373,28,0,,
100374,,0,,
100375,28|29,0,,
100376,28|29,0,,
100377,34,0,,
100378,34|29,0,,
100379,,0,,
100380,,0,,
100381,,0,,
100382,,0,,
100383,,0,,
100384,29,0,,
100385,,0,,
100386,29,0,,
100387,29,0,,
100388,29,0,,
100389,,0,,
100390,,0,,
200005,2|16|17|22|26,0,,
200008,2|3|7|19|22|26|29,0,,
200011,4|7|19|22,0,,
200017,4|5|16|29,0,,
200018,6|12|13|22|24|29|31,0,,
200021,7|11|24,0,,
200023,8|22|26|29|30,0,,
200024,6|7|9|12|13|14|22|24|29|31,0,,
200026,10|15|16|24|26|27|31,0,,
200027,10|11|15|24|27|30,0,,
200035,14|15|19|22|29,0,,
200045,1|7|10|16|19|22|23|26|31,0,,
