id,name,type,code,introduce,forces,if_capture,pow_rank,life_rank,hit_rank,dodge_rank,rate_rank,armor_rank,speed_rank,range_rank,counter,character,enemy_skill,launch_time,extra,spine_scale
22,enemy_illustration-10000022,1,WeaverElite,enemy_illustration-20000022,1,0,5,5,5,5,5,4,5,4,enemy_illustration-30000022,"1001,210,309","71,72",2016-5-20 00:00:00,enemy_illustration-40000022,"80,80,1"
23,enemy_illustration-10000023,1,Alchemist,enemy_illustration-20000023,1,1,5,5,4,5,4,0,3,3,enemy_illustration-30000023,"1001,205",63,2016-5-20 00:00:00,enemy_illustration-40000023,"85,85,1"
24,enemy_illustration-10000024,1,Dreamer,enemy_illustration-20000024,1,1,5,5,5,5,5,0,5,5,enemy_illustration-30000024,"1001,209","70,97",2016-5-20 00:00:00,enemy_illustration-40000024,"75,75,1"
25,enemy_illustration-10000025,2,Jupiter,enemy_illustration-20000025,1,0,6,5,5,0,4,2,0,5,enemy_illustration-30000025,"1003,309,910",12,2016-5-20 00:00:00,enemy_illustration-40000025,"55,55,1"
26,enemy_illustration-10000026,1,BossGager,enemy_illustration-20000026,1,1,5,4,5,4,3,0,4,3,enemy_illustration-30000026,"1001,207","66,67,96",2016-5-20 00:00:00,enemy_illustration-40000026,"85,85,1"
27,enemy_illustration-10000027,1,BossArchitect,enemy_illustration-20000027,1,1,6,5,4,3,3,3,3,5,enemy_illustration-30000027,"1001,208,309","68,69",2016-5-20 00:00:00,enemy_illustration-40000027,"85,85,1"
28,enemy_illustration-10000028,3,Brute,enemy_illustration-20000028,1,1,5,3,4,3,3,0,4,2,enemy_illustration-30000028,303,,2016-5-20 00:00:00,enemy_illustration-40000028,"85,85,1"
29,enemy_illustration-10000029,3,Striker,enemy_illustration-20000029,1,1,3,3,2,3,5,0,3,4,enemy_illustration-30000029,308,,2016-5-20 00:00:00,enemy_illustration-40000029,"100,100,1"
30,enemy_illustration-10000030,4,Tarantula,enemy_illustration-20000030,1,1,5,1,5,0,2,4,5,2,enemy_illustration-30000030,"303,309",,2016-5-20 00:00:00,enemy_illustration-40000030,"150,150,1"
31,enemy_illustration-10000031,2,Golyat,enemy_illustration-20000031,1,0,7,5,7,0,0,0,3,1,enemy_illustration-30000031,"1001,1003,323,908",11,2016-5-20 00:00:00,enemy_illustration-40000031,"100,100,1"
32,enemy_illustration-10000032,2,GolyatPlus,enemy_illustration-20000032,1,0,7,7,7,0,0,0,3,1,enemy_illustration-30000032,"1001,1003,323,908",11,2016-5-20 00:00:00,enemy_illustration-40000032,"100,100,1"
33,enemy_illustration-10000033,1,BossCerberus,enemy_illustration-20000033,1,0,5,5,5,3,2,4,5,2,enemy_illustration-30000033,"1001,214,309","79,80",2016-5-20 00:00:00,enemy_illustration-40000033,"70,70,1"
34,enemy_illustration-10000034,1,DestroyerPlus,enemy_illustration-20000034,1,0,6,5,5,3,3,0,4,5,enemy_illustration-30000034,"1001,206","64,65",2016-5-20 00:00:00,enemy_illustration-40000034,"80,80,1"
35,enemy_illustration-10000035,1,Justice,enemy_illustration-20000035,1,1,5,6,4,4,4,3,4,5,enemy_illustration-30000035,"1001,211,309","73,74,75",2016-5-20 00:00:00,enemy_illustration-40000035,"70,70,1"
36,enemy_illustration-10000036,3,unknown,enemy_illustration-20000036,0,0,4,4,4,4,3,0,2,2,enemy_illustration-30000036,303,,2016-5-20 00:00:00,enemy_illustration-40000036,"80,80,1"
37,enemy_illustration-10000037,3,Cyclops,enemy_illustration-20000037,2,0,4,4,4,3,3,0,4,4,enemy_illustration-30000037,"1001,319",16,2016-5-20 00:00:00,enemy_illustration-40000037,"85,85,1"
38,enemy_illustration-10000038,5,Cyclops_SG,enemy_illustration-20000038,2,0,4,4,3,3,2,4,3,4,enemy_illustration-30000038,"1001,309,314",17,2016-5-20 00:00:00,enemy_illustration-40000038,"85,85,1"
39,enemy_illustration-10000039,4,Hydra,enemy_illustration-20000039,2,0,6,5,4,0,4,6,1,2,enemy_illustration-30000039,"1003,309,301",18,2016-5-20 00:00:00,enemy_illustration-40000039,"80,80,1"
40,enemy_illustration-10000040,5,Aegis_GA,enemy_illustration-20000040,2,0,2,3,2,0,3,5,3,2,enemy_illustration-30000040,"303,309,310",9,2016-5-20 00:00:00,enemy_illustration-40000040,"100,100,1"
41,enemy_illustration-10000041,4,Cerynitis,enemy_illustration-20000041,2,0,5,3,5,0,1,3,3,4,enemy_illustration-30000041,"1003,309",,2016-5-20 00:00:00,enemy_illustration-40000041,"100,100,1"
42,enemy_illustration-10000042,4,Dactyl,enemy_illustration-20000042,2,0,5,2,4,0,0,2,3,5,enemy_illustration-30000042,"1001,309,322",19,2016-5-20 00:00:00,enemy_illustration-40000042,"100,100,1"
43,enemy_illustration-10000043,4,Typhon,enemy_illustration-20000043,2,0,5,5,6,0,5,4,3,5,enemy_illustration-30000043,"1001,1003,309,320",20,2016-5-20 00:00:00,enemy_illustration-40000043,"70,70,1"
44,enemy_illustration-10000044,1,M16A1_Boss,enemy_illustration-20000044,1,0,6,6,6,6,6,6,6,6,enemy_illustration-30000044,"1001,215,309","81,82,83",2016-5-20 00:00:00,enemy_illustration-40000044,"100,100,1"
45,enemy_illustration-10000045,1,Agent,enemy_illustration-20000045,1,1,5,5,5,2,4,0,2,4,enemy_illustration-30000045,"1001,212","77,78",2016-5-20 00:00:00,enemy_illustration-40000045,"80,80,1"
46,enemy_illustration-10000046,3,Strelet,enemy_illustration-20000046,3,0,2,3,2,3,4,0,3,3,enemy_illustration-30000046,312,,2016-5-20 00:00:00,enemy_illustration-40000046,"100,100,1"
47,enemy_illustration-10000047,3,Rodelero,enemy_illustration-20000047,3,0,3,4,3,3,1,2,3,4,enemy_illustration-30000047,"309,312,320",27,2016-5-20 00:00:00,enemy_illustration-40000047,"90,90,1"
48,enemy_illustration-10000048,3,Doppelsoldner,enemy_illustration-20000048,3,0,2,4,3,0,3,4,1,3,enemy_illustration-30000048,"1003,309,312,319","28,29",2016-5-20 00:00:00,enemy_illustration-40000048,"60,60,1"
49,enemy_illustration-10000049,4,Uhlan,enemy_illustration-20000049,3,0,4,4,4,0,3,4,3,4,enemy_illustration-30000049,"1001,309,312","31,32",2016-5-20 00:00:00,enemy_illustration-40000049,"50,50,1"
50,enemy_illustration-10000050,1,Nyto_black,enemy_illustration-20000050,3,1,6,6,5,4,4,3,4,5,enemy_illustration-30000050,"1001,216,309,312","45,47",2016-5-20 00:00:00,enemy_illustration-40000050,"70,70,1"
51,enemy_illustration-10000051,1,Nyto_white,enemy_illustration-20000051,3,1,6,6,5,4,4,3,4,5,enemy_illustration-30000051,"1001,216,309,312","46,47",2016-5-20 00:00:00,enemy_illustration-40000051,"70,70,1"
52,enemy_illustration-10000052,3,Zombie2,enemy_illustration-20000052,0,0,3,3,4,3,4,0,3,4,enemy_illustration-30000052,300,,2016-5-20 00:00:00,enemy_illustration-40000052,"90,90,1"
53,enemy_illustration-10000053,3,Zombie1,enemy_illustration-20000053,0,0,2,4,4,3,4,0,3,2,enemy_illustration-30000053,303,,2016-5-20 00:00:00,enemy_illustration-40000053,"90,90,1"
54,enemy_illustration-10000054,1,Smasher,enemy_illustration-20000054,0,0,5,6,4,4,4,0,3,5,enemy_illustration-30000054,"1001,301","57,58",2016-5-20 00:00:00,enemy_illustration-40000054,"70,70,1"
55,enemy_illustration-10000055,2,Prowler_SWAP,enemy_illustration-20000055,1,1,1,1,1,1,3,0,2,2,enemy_illustration-30000055,300,,2016-5-20 00:00:00,enemy_illustration-40000055,"100,100,1"
56,enemy_illustration-10000056,3,Jaeger_SWAP,enemy_illustration-20000056,1,1,4,1,5,3,2,0,3,4,enemy_illustration-30000056,"1003,307",5,2016-5-20 00:00:00,enemy_illustration-40000056,"100,100,1"
57,enemy_illustration-10000057,3,Guard_SWAP,enemy_illustration-20000057,1,1,1,5,3,1,4,0,2,2,enemy_illustration-30000057,"303,310",4,2016-5-20 00:00:00,enemy_illustration-40000057,"90,90,1"
58,enemy_illustration-10000058,3,Dragoon_SWAP,enemy_illustration-20000058,1,1,3,3,5,3,3,0,5,5,enemy_illustration-30000058,"1003,304",7,2016-5-20 00:00:00,enemy_illustration-40000058,"75,75,1"
59,enemy_illustration-10000059,3,Striker_SWAP,enemy_illustration-20000059,1,1,5,3,2,3,5,0,3,4,enemy_illustration-30000059,308,,2016-5-20 00:00:00,enemy_illustration-40000059,"100,100,1"
60,enemy_illustration-10000060,5,Aegis_SWAP,enemy_illustration-20000060,1,1,2,5,2,0,3,5,2,2,enemy_illustration-30000060,"303,309,310",9,2016-5-20 00:00:00,enemy_illustration-40000060,"100,100,1"
61,enemy_illustration-10000061,1,Nyto_Silver,enemy_illustration-20000061,3,0,6,6,5,4,4,3,4,4,enemy_illustration-30000061,"1001,216,309,312","42,43",2016-5-20 00:00:00,enemy_illustration-40000061,"85,85,1"
62,enemy_illustration-10000062,1,Nyto_Gold,enemy_illustration-20000062,3,0,6,6,5,4,4,3,4,5,enemy_illustration-30000062,"1001,216,309",41,2016-5-20 00:00:00,enemy_illustration-40000062,"85,85,1"
63,enemy_illustration-10000063,3,Roarer,enemy_illustration-20000063,3,0,4,5,3,2,2,3,2,2,enemy_illustration-30000063,"309,312,316","34,35,140",2016-5-20 00:00:00,enemy_illustration-40000063,"80,80,1"
64,enemy_illustration-10000064,4,Thunder,enemy_illustration-20000064,3,0,5,5,5,5,4,4,2,4,enemy_illustration-30000064,"1001,309,310,315","36,37,38",2016-5-20 00:00:00,enemy_illustration-40000064,"80,80,1"
65,enemy_illustration-10000065,3,StreletPlus,enemy_illustration-20000065,3,0,4,3,3,5,3,0,1,4,enemy_illustration-30000065,"1003,312,316",39,2016-5-20 00:00:00,enemy_illustration-40000065,"100,100,1"
66,enemy_illustration-10000066,3,Isomer,enemy_illustration-20000066,3,0,1,4,1,5,4,0,1,5,enemy_illustration-30000066,303,40,2016-5-20 00:00:00,enemy_illustration-40000066,"75,75,1"
67,enemy_illustration-10000067,2,Pyxis,enemy_illustration-20000067,3,0,4,5,3,0,5,2,0,5,enemy_illustration-30000067,"309,308",,2016-5-20 00:00:00,enemy_illustration-40000067,"100,100,1"
68,enemy_illustration-10000068,1,Nyto_Isomer_White,enemy_illustration-20000068,3,0,7,6,5,4,4,4,4,5,enemy_illustration-30000068,"1001,309,911",44,2016-5-20 00:00:00,enemy_illustration-40000068,"80,80,1"
69,enemy_illustration-10000069,2,RecceCentre,enemy_illustration-20000069,2,0,0,6,0,0,0,4,0,0,enemy_illustration-30000069,"309,321",21,2016-5-20 00:00:00,enemy_illustration-40000069,"40,40,1"
70,enemy_illustration-10000070,2,Pathfinder,enemy_illustration-20000070,2,0,4,2,4,3,4,4,5,2,enemy_illustration-30000070,"303,309",22,2016-5-20 00:00:00,enemy_illustration-40000070,"100,100,1"
71,enemy_illustration-10000071,3,Archer,enemy_illustration-20000071,2,0,3,3,3,4,3,0,2,4,enemy_illustration-30000071,"1003,325",23,2016-5-20 00:00:00,enemy_illustration-40000071,"100,100,1"
72,enemy_illustration-10000072,2,Beast,enemy_illustration-20000072,2,0,4,4,5,2,4,0,6,2,enemy_illustration-30000072,310,24,2016-5-20 00:00:00,enemy_illustration-40000072,"80,80,1"
73,enemy_illustration-10000073,5,TeslaTrooper,enemy_illustration-20000073,2,0,4,5,3,1,2,5,2,1,enemy_illustration-30000073,"303,309,313","26,33",2016-5-20 00:00:00,enemy_illustration-40000073,"80,80,1"
74,enemy_illustration-10000074,2,GustafL_3,enemy_illustration-20000074,2,0,7,5,5,0,3,3,0,5,enemy_illustration-30000074,"908,910,326",,2016-5-20 00:00:00,enemy_illustration-40000074,"-15,15,1"
75,enemy_illustration-10000075,2,GustafL_2,enemy_illustration-20000075,2,0,7,5,5,0,3,3,0,5,enemy_illustration-30000075,"908,910,326",,2016-5-20 00:00:00,enemy_illustration-40000075,"-15,15,1"
76,enemy_illustration-10000076,2,GustafL_1,enemy_illustration-20000076,2,0,7,5,5,0,3,3,0,5,enemy_illustration-30000076,"908,910,326",,2016-5-20 00:00:00,enemy_illustration-40000076,"-15,15,1"
77,enemy_illustration-10000077,4,Kratos,enemy_illustration-20000077,2,0,6,6,4,3,4,5,4,2,enemy_illustration-30000077,"1001,303,309,310","48,49,50",2016-5-20 00:00:00,enemy_illustration-40000077,"50,50,1"
78,enemy_illustration-10000078,4,Acheron,enemy_illustration-20000078,2,0,0,5,0,0,0,4,0,0,enemy_illustration-30000078,"1001,309,310",51,2016-5-20 00:00:00,enemy_illustration-40000078,"60,60,1"
79,enemy_illustration-10000079,4,Coeus,enemy_illustration-20000079,2,0,6,5,5,4,4,5,5,3,enemy_illustration-30000079,"1001,1003,309,317,316","52,53",2016-5-20 00:00:00,enemy_illustration-40000079,"40,40,1"
80,enemy_illustration-10000080,1,Ares,enemy_illustration-20000080,2,0,6,6,6,4,4,6,6,7,enemy_illustration-30000080,"1001,309,326,316","93,94,95",2016-5-20 00:00:00,enemy_illustration-40000080,"40,40,1"
81,enemy_illustration-10000081,1,Eliza_boss,enemy_illustration-20000081,1,0,7,6,5,4,4,0,0,5,enemy_illustration-30000081,"1001,900","85,86,87",2016-5-20 00:00:00,enemy_illustration-40000081,"60,60,1"
82,enemy_illustration-10000082,4,Hydra_beach,enemy_illustration-20000082,0,0,6,5,4,0,4,6,1,2,enemy_illustration-30000082,"309,301",10018,2016-5-20 00:00:00,enemy_illustration-40000082,"60,60,1"
83,enemy_illustration-10000083,4,landmine_beach,enemy_illustration-20000083,0,0,5,2,4,0,0,2,3,5,enemy_illustration-30000083,"1001,309,322",10019,2016-5-20 00:00:00,enemy_illustration-40000083,"100,100,1"
84,enemy_illustration-10000084,2,RecceCentre_beach,enemy_illustration-20000084,0,0,0,6,0,0,0,4,0,0,enemy_illustration-30000084,"309,321",10021,2016-5-20 00:00:00,enemy_illustration-40000084,"40,40,1"
85,enemy_illustration-10000085,2,Pathfinder_beach,enemy_illustration-20000085,0,0,4,2,4,3,4,4,5,2,enemy_illustration-30000085,"303,309",10022,2016-5-20 00:00:00,enemy_illustration-40000085,"100,100,1"
86,enemy_illustration-10000086,3,Ripper_SWAP,enemy_illustration-20000086,1,1,3,3,3,6,3,0,3,3,enemy_illustration-30000086,"1001,303","88,90,92",2016-5-20 00:00:00,enemy_illustration-40000086,"100,100,1"
87,enemy_illustration-10000087,3,Cocktail,enemy_illustration-20000087,0,0,3,2,4,4,2,0,3,4,enemy_illustration-30000087,"1001,300",10087,2035-12-31 00:00:00,enemy_illustration-40000087,
88,enemy_illustration-10000088,3,Cottoncaper,enemy_illustration-20000088,0,0,2,3,3,5,3,0,3,3,enemy_illustration-30000088,"1001,300",,2035-12-31 00:00:00,enemy_illustration-40000088,
89,enemy_illustration-10000089,3,Hiresniper,enemy_illustration-20000089,0,0,3,1,5,3,2,0,3,4,enemy_illustration-30000089,"1001,307",10005,2035-12-31 00:00:00,enemy_illustration-40000089,
90,enemy_illustration-10000090,3,Swordsman,enemy_illustration-20000090,0,0,5,3,4,3,3,0,4,2,enemy_illustration-30000090,"1001,303",,2035-12-31 00:00:00,enemy_illustration-40000090,
91,enemy_illustration-10000091,1,CarcanoEnemy,enemy_illustration-20000091,0,0,5,5,5,5,5,4,5,5,enemy_illustration-30000091,"1001,307,316","10191,10091",2035-12-31 00:00:00,enemy_illustration-40000091,
92,enemy_illustration-10000092,1,HenEnemy,enemy_illustration-20000092,0,0,4,4,4,4,4,0,4,3,enemy_illustration-30000092,"1001,301",,2035-12-31 00:00:00,enemy_illustration-40000092,
93,enemy_illustration-10000093,1,RicoEnemy,enemy_illustration-20000093,0,0,4,4,4,4,4,0,4,5,enemy_illustration-30000093,"1001,301",,2035-12-31 00:00:00,enemy_illustration-40000093,
94,enemy_illustration-10000094,3,Vespid_SWAP,enemy_illustration-20000094,1,1,3,2,4,4,2,0,3,4,enemy_illustration-30000094,"1001,300","89,91",2016-5-20 00:00:00,enemy_illustration-40000094,"100,100,1"
95,enemy_illustration-10000095,3,Brute_SWAP,enemy_illustration-20000095,1,0,5,3,4,3,3,0,4,2,enemy_illustration-30000095,"1003,303,315","54,55",2016-5-20 00:00:00,enemy_illustration-40000095,"85,85,1"
96,enemy_illustration-10000096,4,Nemeum_SWAP2,enemy_illustration-20000096,1,0,4,4,5,0,2,3,3,4,enemy_illustration-30000096,"1003,309,307",56,2016-5-20 00:00:00,enemy_illustration-40000096,"100,100,1"
97,enemy_illustration-10000097,3,refugee_hg,enemy_illustration-20000097,0,0,2,3,3,5,3,0,4,3,enemy_illustration-30000097,300,,2016-5-20 00:00:00,enemy_illustration-40000097,"100,100,1"
98,enemy_illustration-10000098,3,refugee_smg,enemy_illustration-20000098,0,0,3,4,3,4,5,0,4,3,enemy_illustration-30000098,300,,2016-5-20 00:00:00,enemy_illustration-40000098,"100,100,1"
99,enemy_illustration-10000099,2,Golyat_Factory,enemy_illustration-20000099,1,1,7,5,7,0,0,3,3,1,enemy_illustration-30000099,"309,321",21,2016-5-20 00:00:00,enemy_illustration-40000099,"100,100,1"
101,enemy_illustration-10000101,3,Ripper_Halloween,enemy_illustration-20000101,0,0,2,3,3,5,3,0,3,3,enemy_illustration-30000101,303,,2016-5-20 00:00:00,enemy_illustration-40000101,"90,90,1"
102,enemy_illustration-10000102,3,Jaeger_Halloween,enemy_illustration-20000102,0,0,3,1,5,3,2,0,3,4,enemy_illustration-30000102,307,,2016-5-20 00:00:00,enemy_illustration-40000102,"80,80,1"
103,enemy_illustration-10000103,3,Dragon_Halloween,enemy_illustration-20000103,0,0,3,3,5,3,3,0,5,5,enemy_illustration-30000103,304,,2016-5-20 00:00:00,enemy_illustration-40000103,
104,enemy_illustration-10000104,5,Aegis_Halloween,enemy_illustration-20000104,0,0,2,4,2,0,3,5,2,2,enemy_illustration-30000104,"303,309",,2016-5-20 00:00:00,enemy_illustration-40000104,
105,enemy_illustration-10000105,4,Nemeum_Halloween,enemy_illustration-20000105,0,0,4,3,5,0,1,3,3,4,enemy_illustration-30000105,309,,2016-5-20 00:00:00,enemy_illustration-40000105,
106,enemy_illustration-10000106,2,Dinergate_chm1,enemy_illustration-20000106,0,0,5,1,5,0,2,0,5,2,enemy_illustration-30000106,303,,2016-5-20 00:00:00,enemy_illustration-40000106,
107,enemy_illustration-10000107,2,Dinergate_chm2,enemy_illustration-20000107,0,0,5,1,5,0,2,0,5,2,enemy_illustration-30000107,303,,2016-5-20 00:00:00,enemy_illustration-40000107,
108,enemy_illustration-10000108,3,Guard_chm,enemy_illustration-20000108,0,1,1,4,3,1,4,0,2,2,enemy_illustration-30000108,303,,2016-5-20 00:00:00,enemy_illustration-40000108,
109,enemy_illustration-10000109,1,Narciss,enemy_illustration-20000109,3,0,5,5,5,5,5,0,5,5,enemy_illustration-30000109,"1001,329,330","108,109,110",2016-5-20 00:00:00,enemy_illustration-40000109,
110,enemy_illustration-10000110,1,Mrsgray,enemy_illustration-20000110,3,0,5,5,5,5,5,0,5,5,enemy_illustration-30000110,"1001,316,328,326","113,114,115",2016-5-20 00:00:00,enemy_illustration-40000110,
111,enemy_illustration-10000111,1,Morridow_nor,enemy_illustration-20000111,3,0,0,0,0,0,0,0,5,0,enemy_illustration-30000111,"1001,900",116,2016-5-20 00:00:00,enemy_illustration-40000111,
112,enemy_illustration-10000112,1,Morridow,enemy_illustration-20000112,3,0,5,3,5,3,1,0,6,2,enemy_illustration-30000112,"1001,316,329","111,112",2016-5-20 00:00:00,enemy_illustration-40000112,
113,enemy_illustration-10000113,3,Plaincloth,enemy_illustration-20000113,0,0,4,5,4,3,3,0,0,4,enemy_illustration-30000113,"1001,327","100,101",2016-5-20 00:00:00,enemy_illustration-40000113,
114,enemy_illustration-10000114,3,Mobster,enemy_illustration-20000114,0,0,4,2,2,2,2,0,6,3,enemy_illustration-30000114,426,"102,103",2016-5-20 00:00:00,enemy_illustration-40000114,
115,enemy_illustration-10000115,3,Punish,enemy_illustration-20000115,3,0,4,3,3,4,2,0,6,3,enemy_illustration-30000115,427,104,2016-5-20 00:00:00,enemy_illustration-40000115,
116,enemy_illustration-10000116,2,Cherub,enemy_illustration-20000116,3,0,5,5,5,2,4,0,2,3,enemy_illustration-30000116,"1003,331,332",105,2016-5-20 00:00:00,enemy_illustration-40000116,
117,enemy_illustration-10000117,2,Visjnoe,enemy_illustration-20000117,3,0,3,4,3,3,4,0,2,4,enemy_illustration-30000117,"1003,428,429","106,107",2016-5-20 00:00:00,enemy_illustration-40000117,
118,enemy_illustration-10000118,3,Roarer_New,enemy_illustration-20000118,3,0,4,5,3,2,2,3,2,2,enemy_illustration-30000118,"309,312,316","34,35,140",2016-5-20 00:00:00,enemy_illustration-40000118,"80,80,1"
119,enemy_illustration-10000119,4,Thunder_New,enemy_illustration-20000119,3,0,5,5,5,5,4,4,2,4,enemy_illustration-30000119,"1001,309,310,315","36,37,38",2016-5-20 00:00:00,enemy_illustration-40000119,"50,50,1"
120,enemy_illustration-10000120,3,Soldier_New,enemy_illustration-20000120,3,0,4,3,3,5,3,0,1,4,enemy_illustration-30000120,"1003,312,316",39,2016-5-20 00:00:00,enemy_illustration-40000120,"100,100,1"
121,enemy_illustration-10000121,3,Vespid_bride,enemy_illustration-20000121,0,1,3,2,4,4,2,0,3,4,enemy_illustration-30000121,300,,2016-5-20 00:00:00,enemy_illustration-40000121,"100,100,1"
122,enemy_illustration-10000122,3,Brute_Ghost,enemy_illustration-20000122,0,0,5,3,4,3,3,0,4,2,enemy_illustration-30000122,303,,2016-5-20 00:00:00,enemy_illustration-40000122,"85,85,1"
123,enemy_illustration-10000123,2,RecceCentreSwim,enemy_illustration-20000123,0,0,0,6,0,0,0,4,0,0,enemy_illustration-30000123,"309,321",21,2016-5-20 00:00:00,enemy_illustration-40000123,"40,40,1"
124,enemy_illustration-10000124,2,PathfinderSwim,enemy_illustration-20000124,0,0,4,2,4,3,4,4,5,2,enemy_illustration-30000124,"303,309",22,2016-5-20 00:00:00,enemy_illustration-40000124,"100,100,1"
125,enemy_illustration-10000125,3,CyclopsSwim,enemy_illustration-20000125,0,0,4,4,4,3,3,0,4,4,enemy_illustration-30000125,"1001,319",16,2016-5-20 00:00:00,enemy_illustration-40000125,"85,85,1"
126,enemy_illustration-10000126,1,BossArchitect_Summer,enemy_illustration-20000126,1,1,6,5,4,3,3,3,3,5,enemy_illustration-30000126,"1001,208,309",,2035-5-20 00:00:00,enemy_illustration-40000126,"85,85,1"
127,enemy_illustration-10000127,3,guard_katsura,enemy_illustration-20000127,0,0,1,3,2,3,5,0,3,3,enemy_illustration-30000127,430,,2016-5-20 00:00:00,enemy_illustration-40000127,"100,100,1"
128,enemy_illustration-10000128,3,guard_bald,enemy_illustration-20000128,0,0,7,5,5,6,5,0,3,3,enemy_illustration-30000128,"1001,430",,2016-5-20 00:00:00,enemy_illustration-40000128,"100,100,1"
129,enemy_illustration-10000129,3,Obelisk_partB,enemy_illustration-20000129,3,0,4,3,3,5,3,0,1,4,enemy_illustration-30000129,"1001,1003,335,320",130,2016-5-20 00:00:00,enemy_illustration-40000129,"100,100,1"
