"id","name","squad_id","rank","is_random","assist_damage","assist_def_break","assist_hit","assist_reload","damage","atk_speed","hit","def","intensity_ratio","grid_number","unlock_chip_point","color"
"6006","squad_chip-10006006","6","1","1","0","30","4","0","0","0","0","0","0","4","90","1"
"6007","squad_chip-10006007","6","1","1","16","18","0","0","0","0","0","0","0","4","90","1"
"6008","squad_chip-10006008","6","1","1","0","0","0","25","0","0","0","0","0","3","60","1"
"6009","squad_chip-10006009","6","1","1","0","0","34","0","0","0","0","0","0","4","90","1"
"6010","squad_chip-10006010","6","1","1","7","0","0","27","0","0","0","0","0","4","90","1"
"7001","squad_chip-10007001","7","1","1","20","0","0","0","0","0","0","0","0","2","40","2"
"7002","squad_chip-10007002","7","1","1","0","25","0","5","0","0","0","0","0","3","70","2"
"7003","squad_chip-10007003","7","1","1","45","0","15","0","0","0","0","0","0","6","130","2"
"7004","squad_chip-10007004","7","1","1","0","35","0","6","0","0","0","0","0","4","90","2"
"7005","squad_chip-10007005","7","1","1","0","0","35","5","0","0","0","0","0","4","90","2"
"7006","squad_chip-10007006","7","1","1","20","0","0","0","0","0","0","0","0","2","40","2"
"7007","squad_chip-10007007","7","1","1","0","20","0","0","0","0","0","0","0","2","40","2"
"7008","squad_chip-10007008","7","1","1","38","5","0","0","0","0","0","0","0","4","90","2"
"7009","squad_chip-10007009","7","1","1","0","45","40","0","0","0","0","0","0","8","170","2"
"7010","squad_chip-10007010","7","1","1","0","3","0","27","0","0","0","0","0","3","70","2"
"8001","squad_chip-10008001","8","1","1","28","0","0","5","0","0","0","0","0","4","100","1"
"8002","squad_chip-10008002","8","1","1","0","0","25","0","0","0","0","0","0","3","90","1"
"8003","squad_chip-10008003","8","1","1","0","27","0","6","0","0","0","0","0","4","100","1"
"8004","squad_chip-10008004","8","1","1","28","0","5","0","0","0","0","0","0","4","100","1"
"8005","squad_chip-10008005","8","1","1","0","0","0","25","0","0","0","0","0","3","90","1"
"8006","squad_chip-10008006","8","1","1","16","0","0","0","0","0","0","0","0","2","50","1"
"8007","squad_chip-10008007","8","1","1","25","0","0","8","0","0","0","0","0","4","100","1"
"8008","squad_chip-10008008","8","1","1","0","16","0","0","0","0","0","0","0","2","50","1"
"8009","squad_chip-10008009","8","1","1","0","6","28","0","0","0","0","0","0","4","100","1"
"8010","squad_chip-10008010","8","1","1","15","0","0","0","0","0","0","0","0","2","50","1"
"9001","squad_chip-10009001","9","1","1","4","0","0","22","0","0","0","0","0","3","75","2"
"9002","squad_chip-10009002","9","1","1","27","6","0","0","0","0","0","0","0","4","85","2"
"9003","squad_chip-10009003","9","1","1","0","0","32","0","0","0","0","0","0","4","85","2"
"9004","squad_chip-10009004","9","1","1","6","26","0","0","0","0","0","0","0","4","85","2"
"9005","squad_chip-10009005","9","1","1","24","0","0","8","0","0","0","0","0","4","85","2"
"9006","squad_chip-10009006","9","1","1","0","0","0","36","0","0","0","0","0","4","85","2"
"9007","squad_chip-10009007","9","1","1","0","25","0","8","0","0","0","0","0","4","85","2"
"9008","squad_chip-10009008","9","1","1","0","5","0","24","0","0","0","0","0","3","75","2"
"9009","squad_chip-10009009","9","1","1","0","0","30","0","0","0","0","0","0","4","85","2"
"9010","squad_chip-10009010","9","1","1","25","7","0","0","0","0","0","0","0","4","85","2"
"10001","squad_chip-10010001","10","1","1","30","0","0","4","0","0","0","0","0","3","75","1"
"10002","squad_chip-10010002","10","1","1","0","22","0","0","0","0","0","0","0","2","50","1"
"10003","squad_chip-10010003","10","1","1","30","0","0","4","0","0","0","0","0","4","90","1"
"10004","squad_chip-10010004","10","1","1","0","40","4","0","0","0","0","0","0","3","75","1"
"10005","squad_chip-10010005","10","1","1","4","0","40","0","0","0","0","0","0","4","90","1"
"10006","squad_chip-10010006","10","1","1","0","4","40","0","0","0","0","0","0","4","90","1"
"10007","squad_chip-10010007","10","1","1","0","40","0","24","0","0","0","0","0","6","130","1"
"10008","squad_chip-10010008","10","1","1","24","22","0","0","0","0","0","0","0","4","90","1"
"10009","squad_chip-10010009","10","1","1","0","24","0","0","0","0","0","0","0","2","50","1"
"10010","squad_chip-10010010","10","1","1","44","0","0","0","0","0","0","0","0","4","90","1"
