"id","task_type","title","content","function_control_id"
"72","develop_gun_rank4","bingo_task_type-10000072","bingo_task_type-20000072","0"
"73","develop_equip_rank4","bingo_task_type-10000073","bingo_task_type-20000073","0"
"74","mission_emergency_0_3_6","bingo_task_type-10000074","bingo_task_type-20000074","0"
"75","mission_emergency_1_4_4","bingo_task_type-10000075","bingo_task_type-20000075","0"
"76","mission_emergency_3_3_4","bingo_task_type-10000076","bingo_task_type-20000076","0"
"77","be_borrowed_friend_team","bingo_task_type-10000077","bingo_task_type-20000077","0"
"78","consume_bp","bingo_task_type-10000078","bingo_task_type-20000078","0"
"79","consume_gem","bingo_task_type-10000079","bingo_task_type-20000079","0"
"80","buy_bp_count","bingo_task_type-10000080","bingo_task_type-20000080","0"
"81","buy_quick_reinforce","bingo_task_type-10000081","bingo_task_type-20000081","0"
"82","buy_iop_contract","bingo_task_type-10000082","bingo_task_type-20000082","0"
"83","buy_quick_develop","bingo_task_type-10000083","bingo_task_type-20000083","0"
"84","buy_equip_contract","bingo_task_type-10000084","bingo_task_type-20000084","0"
"85","squad_base_data_analyse","bingo_task_type-10000085","bingo_task_type-20000085","0"
"86","squad_senior_data_analyse","bingo_task_type-10000086","bingo_task_type-20000086","0"
"87","squad_data_analyse","bingo_task_type-10000087","bingo_task_type-20000087","0"
"88","squad_data_by_analyse","bingo_task_type-10000088","bingo_task_type-20000088","0"
"89","squad_chip_rank4_by_analyse","bingo_task_type-10000089","bingo_task_type-20000089","0"
"90","squad_chip_rank5_by_analyse","bingo_task_type-10000090","bingo_task_type-20000090","0"
"91","squad_level_up_times","bingo_task_type-10000091","bingo_task_type-20000091","0"
"92","squad_strengthen_times","bingo_task_type-10000092","bingo_task_type-20000092","0"
"93","squad_train_and_skill_times","bingo_task_type-10000093","bingo_task_type-20000093","0"
"94","squad_up_rank","bingo_task_type-10000094","bingo_task_type-20000094","0"
"95","squad_up_advanced_times","bingo_task_type-10000095","bingo_task_type-20000095","0"
"96","squad_eat_chip_num","bingo_task_type-10000096","bingo_task_type-20000096","0"
"97","buy_bp_count","bingo_task_type-10000097","bingo_task_type-20000097","0"
"98","buy_furniture_coin","bingo_task_type-10000098","bingo_task_type-20000098","0"
"99","buy_quick_training","bingo_task_type-10000099","bingo_task_type-20000099","0"
"100","adopt_pet","bingo_task_type-10000100","bingo_task_type-20000100","0"
"101","develop_gun_2","bingo_task_type-10000101","bingo_task_type-20000101","0"
"102","develop_gun_25","bingo_task_type-10000102","bingo_task_type-20000102","0"
"103","develop_gun_10","bingo_task_type-10000103","bingo_task_type-20000103","0"
"104","develop_gun_93","bingo_task_type-10000104","bingo_task_type-20000104","0"
"105","get_trial_voucher","bingo_task_type-10000105","bingo_task_type-20000105","0"
"106","consume_furniture_coin","bingo_task_type-10000106","bingo_task_type-20000106","0"
"107","develop_gun_rank5","bingo_task_type-10000107","bingo_task_type-20000107","0"
"108","develop_equip_rank5","bingo_task_type-10000108","bingo_task_type-20000108","0"
"109","retire_equip","bingo_task_type-10000109","bingo_task_type-20000109","0"
"110","friends_battery","bingo_task_type-10000110","bingo_task_type-20000110","0"
"111","adjust_fairy","bingo_task_type-10000111","bingo_task_type-20000111","0"
"112","eat_fairy","bingo_task_type-10000112","bingo_task_type-20000112","0"
"113","get_gem","bingo_task_type-10000113","bingo_task_type-20000113","0"
"114","finish_squad_daily_task","bingo_task_type-10000114","bingo_task_type-20000114","0"
"115","consume_quick_analyse","bingo_task_type-10000115","bingo_task_type-20000115","0"
"116","get_squad_fragment_type1","bingo_task_type-10000116","bingo_task_type-20000116","0"
"117","get_squad_fragment_type2","bingo_task_type-10000117","bingo_task_type-20000117","0"
"118","get_squad_fragment_type3","bingo_task_type-10000118","bingo_task_type-20000118","0"
"119","get_base_data","bingo_task_type-10000119","bingo_task_type-20000119","0"
"120","get_senior_data","bingo_task_type-10000120","bingo_task_type-20000120","0"
"121","get_fight_report","bingo_task_type-10000121","bingo_task_type-20000121","0"
"122","explore_start","bingo_task_type-10000122","bingo_task_type-20000122","0"
"123","sangvis_daily_retrieval","bingo_task_type-10000123","bingo_task_type-20000123","0"
"124","sangvis_aided_retrieval","bingo_task_type-10000124","bingo_task_type-20000124","0"
"125","sangvis_exercise","bingo_task_type-10000125","bingo_task_type-20000125","0"
"126","sangvis_exercise_exp","bingo_task_type-10000126","bingo_task_type-20000126","0"
"127","sangvis_exercise_star","bingo_task_type-10000127","bingo_task_type-20000127","0"
"128","sangvis_exercise_analysis","bingo_task_type-10000128","bingo_task_type-20000128","0"
"129","special_develop_fairy","bingo_task_type-10000129","bingo_task_type-20000129","0"
