id,name,type,rank,favor,fit_gun,skin,poster,code,normal_description,bonus_description,description,is_hidden,exp,profile_pic,item_access,detail_introduction,sort,type_sort
104,gift_item-10000104,2,6,50000,94,104,30104,gift_bundle_nichijou_64type,gift_item-20000104,gift_item-30000104,gift_item-50000104,0,0,0,,gift_item-40000104,2000,6
105,gift_item-10000105,2,6,50000,96,105,30105,gift_bundle_nichijou_Grizzly,gift_item-20000105,gift_item-30000105,gift_item-50000105,0,0,0,,gift_item-40000105,2000,6
106,gift_item-10000106,2,6,50000,80,106,30106,gift_bundle_nichijou_M1919A4,gift_item-20000106,gift_item-30000106,gift_item-50000106,0,0,0,,gift_item-40000106,2000,6
201,gift_item-10000201,2,6,50000,-1,201,0,gift_bundle_kalina_201,gift_item-20000201,gift_item-30000201,gift_item-50000201,0,0,0,,gift_item-40000201,2000,0
202,gift_item-10000202,2,6,50000,-1,202,0,gift_bundle_kalina_202,gift_item-20000202,gift_item-30000202,gift_item-50000202,0,0,0,,gift_item-40000202,2000,0
203,gift_item-10000203,2,6,50000,-1,203,0,gift_bundle_kalina_203,gift_item-20000203,gift_item-30000203,gift_item-50000203,0,0,0,,gift_item-40000203,2000,0
204,gift_item-10000204,2,6,50000,-1,204,0,gift_bundle_kalina_204,gift_item-20000204,gift_item-30000204,gift_item-50000204,0,0,0,,gift_item-40000204,2000,0
205,gift_item-10000205,2,6,50000,-1,205,0,gift_bundle_kalina_205,gift_item-20000205,gift_item-30000205,gift_item-50000205,0,0,0,,gift_item-40000205,2000,0
206,gift_item-10000206,2,6,50000,-1,206,0,gift_bundle_kalina_206,gift_item-20000206,gift_item-30000206,gift_item-50000206,0,0,0,,gift_item-40000206,2000,0
207,gift_item-10000207,2,6,50000,-1,207,0,gift_bundle_kalina_207,gift_item-20000207,gift_item-30000207,gift_item-50000207,0,0,0,,gift_item-40000207,2000,0
208,gift_item-10000208,2,6,50000,-1,208,0,gift_bundle_kalina_208,gift_item-20000208,gift_item-30000208,gift_item-50000208,0,0,0,,gift_item-40000208,2000,0
209,gift_item-10000209,2,6,50000,-1,209,0,gift_bundle_kalina_209,gift_item-20000209,gift_item-30000209,gift_item-50000209,0,0,0,,gift_item-40000209,2000,0
210,gift_item-10000210,2,6,50000,-5,210,0,gift_bundle_Persica_210,gift_item-20000210,gift_item-30000210,gift_item-50000210,0,0,0,,gift_item-40000210,2000,0
301,gift_item-10000301,2,6,50000,1,301,30301,gift_bundle_xmas_M1873,gift_item-20000301,gift_item-30000301,gift_item-50000301,0,0,0,,gift_item-40000301,2000,6
302,gift_item-10000302,2,6,50000,36,302,30302,gift_bundle_xmas_M1903,gift_item-20000302,gift_item-30000302,gift_item-50000302,0,0,0,,gift_item-40000302,2000,6
303,gift_item-10000303,2,6,50000,37,303,30303,gift_bundle_xmas_M14,gift_item-20000303,gift_item-30000303,gift_item-50000303,0,0,0,,gift_item-40000303,2000,6
304,gift_item-10000304,2,6,50000,38,304,30304,gift_bundle_xmas_M21,gift_item-20000304,gift_item-30000304,gift_item-50000304,0,0,0,,gift_item-40000304,2000,6
305,gift_item-10000305,2,6,50000,43,305,30305,gift_bundle_xmas_SVD,gift_item-20000305,gift_item-30000305,gift_item-50000305,0,0,0,,gift_item-40000305,2000,6
306,gift_item-10000306,2,6,50000,48,306,30306,gift_bundle_xmas_WA2000,gift_item-20000306,gift_item-30000306,gift_item-50000306,0,0,0,,gift_item-40000306,2000,6
307,gift_item-10000307,2,6,50000,53,307,30307,gift_bundle_xmas_NTW20,gift_item-20000307,gift_item-30000307,gift_item-50000307,0,0,0,,gift_item-40000307,2000,6
308,gift_item-10000308,2,6,50000,106,308,30308,gift_bundle_xmas_FNFAL,gift_item-20000308,gift_item-30000308,gift_item-50000308,0,0,0,,gift_item-40000308,2000,6
309,gift_item-10000309,2,6,50000,109,309,30309,gift_bundle_xmas_MG5,gift_item-20000309,gift_item-30000309,gift_item-50000309,0,0,0,,gift_item-40000309,2000,6
310,gift_item-10000310,2,6,50000,115,310,30310,gift_bundle_xmas_KP31,gift_item-20000310,gift_item-30000310,gift_item-50000310,0,0,0,,gift_item-40000310,2000,6
401,gift_item-10000401,2,6,50000,66,401,30401,gift_bundle_spring_561type,gift_item-20000401,gift_item-30000401,gift_item-50000401,0,0,0,,gift_item-40000401,2000,6
402,gift_item-10000402,2,6,50000,91,402,30402,gift_bundle_spring_mp446,gift_item-20000402,gift_item-30000402,gift_item-50000402,0,0,0,,gift_item-40000402,2000,6
403,gift_item-10000403,2,6,50000,126,403,30403,gift_bundle_spring_nz75,gift_item-20000403,gift_item-30000403,gift_item-50000403,0,0,0,,gift_item-40000403,2000,6
404,gift_item-10000404,2,6,50000,128,404,30404,gift_bundle_spring_m99,gift_item-20000404,gift_item-30000404,gift_item-50000404,0,0,0,,gift_item-40000404,2000,6
405,gift_item-10000405,2,6,50000,129,405,30405,gift_bundle_spring_95type,gift_item-20000405,gift_item-30000405,gift_item-50000405,0,0,0,,gift_item-40000405,2000,6
406,gift_item-10000406,2,6,50000,130,406,30406,gift_bundle_spring_97type,gift_item-20000406,gift_item-30000406,gift_item-50000406,0,0,0,,gift_item-40000406,2000,6
407,gift_item-10000407,2,6,50000,132,407,30407,gift_bundle_spring_59type,gift_item-20000407,gift_item-30000407,gift_item-50000407,0,0,0,,gift_item-40000407,2000,6
408,gift_item-10000408,2,6,50000,42,408,30408,gift_bundle_spring_ptrd,gift_item-20000408,gift_item-30000408,gift_item-50000408,0,0,0,,gift_item-40000408,2000,6
409,gift_item-10000409,2,6,50000,101,409,30409,gift_bundle_spring_ump9,gift_item-20000409,gift_item-30000409,gift_item-50000409,0,0,0,,gift_item-40000409,2000,6
410,gift_item-10000410,2,6,50000,103,410,30410,gift_bundle_spring_ump45,gift_item-20000410,gift_item-30000410,gift_item-50000410,0,0,0,,gift_item-40000410,2000,6
411,gift_item-10000411,2,6,50000,114,411,30411,gift_bundle_spring_welrod,gift_item-20000411,gift_item-30000411,gift_item-50000411,0,0,0,,gift_item-40000411,2000,6
501,gift_item-10000501,2,6,50000,58,501,30501,gift_bundle_golden_ak47,gift_item-20000501,gift_item-30000501,gift_item-50000501,0,0,0,,gift_item-40000501,2000,6
503,gift_item-10000503,2,6,50000,1001,503,30503,gift_bundle_bb_myu12,gift_item-20000503,gift_item-30000503,gift_item-50000503,0,0,0,,gift_item-40000503,2000,6
504,gift_item-10000504,2,6,50000,1002,504,30504,gift_bundle_gg_dress_elphelt,gift_item-20000504,gift_item-30000504,gift_item-50000504,0,0,0,,gift_item-40000504,2000,6
505,gift_item-10000505,2,6,50000,1002,505,30505,gift_bundle_gg_blood_elphelt,gift_item-20000505,gift_item-30000505,gift_item-50000505,0,0,0,,gift_item-40000505,2000,6
509,gift_item-10000509,2,6,50000,1009,509,30509,gift_bundle_djmax_clear,gift_item-20000509,gift_item-30000509,gift_item-50000509,0,0,0,,gift_item-40000509,2000,6
510,gift_item-10000510,2,6,50000,1010,510,30510,gift_bundle_djmax_fail,gift_item-20000510,gift_item-30000510,gift_item-50000510,0,0,0,,gift_item-40000510,2000,6
523,gift_item-10000523,2,6,50000,221,523,30523,gift_bundle_comics10_GSH18,gift_item-20000523,gift_item-30000523,gift_item-50000523,0,0,0,,gift_item-40000523,2000,6
524,gift_item-10000524,2,6,50000,1020,524,30524,gift_bundle_sbld19_Stella,gift_item-20000524,gift_item-30000524,gift_item-50000524,0,0,0,,gift_item-40000524,2000,6
525,gift_item-10000525,2,6,50000,1019,525,30525,gift_bundle_sbld19_Dorothy,gift_item-20000525,gift_item-30000525,gift_item-50000525,0,0,0,,gift_item-40000525,2000,6
526,gift_item-10000526,2,6,50000,1022,526,30526,gift_bundle_sbld19_Dana,gift_item-20000526,gift_item-30000526,gift_item-50000526,0,0,0,,gift_item-40000526,2000,6
527,gift_item-10000527,2,6,50000,1018,527,30527,gift_bundle_sbld19_SEI,gift_item-20000527,gift_item-30000527,gift_item-50000527,0,0,0,,gift_item-40000527,2000,6
528,gift_item-10000528,2,6,50000,1021,528,30528,gift_bundle_sbld19_Alma,gift_item-20000528,gift_item-30000528,gift_item-50000528,0,0,0,,gift_item-40000528,2000,6
529,gift_item-10000529,2,6,50000,1017,529,30529,gift_bundle_sbld19_Jill,gift_item-20000529,gift_item-30000529,gift_item-50000529,0,0,0,,gift_item-40000529,2000,6
530,gift_item-10000530,2,6,50000,55,530,30530,gift_bundle_Carnival2020_M4A1,gift_item-20000530,gift_item-30000530,gift_item-50000530,0,0,0,,gift_item-40000530,2000,6
531,gift_item-10000531,2,6,50000,56,531,30531,gift_bundle_Carnival2020_M4 SOPMOD II,gift_item-20000531,gift_item-30000531,gift_item-50000531,0,0,0,,gift_item-40000531,2000,6
532,gift_item-10000532,2,6,50000,57,532,30532,gift_bundle_Carnival2020_AR15,gift_item-20000532,gift_item-30000532,gift_item-50000532,0,0,0,,gift_item-40000532,2000,6
533,gift_item-10000533,2,6,50000,54,533,30533,gift_bundle_Carnival2020_M16A1,gift_item-20000533,gift_item-30000533,gift_item-50000533,0,0,0,,gift_item-40000533,2000,6
534,gift_item-10000534,2,6,50000,143,534,30534,gift_bundle_Carnival2020_RO635,gift_item-20000534,gift_item-30000534,gift_item-50000534,0,0,0,,gift_item-40000534,2000,6
535,gift_item-10000535,2,6,50000,103,535,30535,gift_bundle_Carnival2020_UMP45,gift_item-20000535,gift_item-30000535,gift_item-50000535,0,0,0,,gift_item-40000535,2000,6
536,gift_item-10000536,2,6,50000,101,536,30536,gift_bundle_Carnival2020_UMP9,gift_item-20000536,gift_item-30000536,gift_item-50000536,0,0,0,,gift_item-40000536,2000,6
537,gift_item-10000537,2,6,50000,65,537,30537,gift_bundle_Carnival2020_HK416,gift_item-20000537,gift_item-30000537,gift_item-50000537,0,0,0,,gift_item-40000537,2000,6
538,gift_item-10000538,2,6,50000,122,538,30538,gift_bundle_Carnival2020_G11,gift_item-20000538,gift_item-30000538,gift_item-50000538,0,0,0,,gift_item-40000538,2000,6
539,gift_item-10000539,2,6,50000,102,539,30539,gift_bundle_Carnival2020_UMP40,gift_item-20000539,gift_item-30000539,gift_item-50000539,0,0,0,,gift_item-40000539,2000,6
541,gift_item-10000541,2,6,50000,1025,541,30541,gift_bundle_Gunslinger_Triela,gift_item-20000541,gift_item-30000541,gift_item-50000541,0,0,0,,gift_item-40000541,2000,6
542,gift_item-10000542,2,6,50000,1024,542,30542,gift_bundle_Gunslinger_Rico,gift_item-20000542,gift_item-30000542,gift_item-50000542,0,0,0,,gift_item-40000542,2000,6
543,gift_item-10000543,2,6,50000,1027,543,30543,gift_bundle_Gunslinger_Angelica,gift_item-20000543,gift_item-30000543,gift_item-50000543,0,0,0,,gift_item-40000543,2000,6
544,gift_item-10000544,2,6,50000,1023,544,30544,gift_bundle_Gunslinger_Henrietta,gift_item-20000544,gift_item-30000544,gift_item-50000544,0,0,0,,gift_item-40000544,2000,6
545,gift_item-10000545,2,6,50000,1026,545,30545,gift_bundle_Gunslinger_Claes,gift_item-20000545,gift_item-30000545,gift_item-50000545,0,0,0,,gift_item-40000545,2000,6
546,gift_item-10000546,2,6,50000,1029,546,30546,gift_bundle_Division_HK416Agent,gift_item-20000546,gift_item-30000546,gift_item-50000546,0,0,0,,gift_item-40000546,2000,6
547,gift_item-10000547,2,6,50000,1028,547,30547,gift_bundle_Division_VectorAgent,gift_item-20000547,gift_item-30000547,gift_item-50000547,0,0,0,,gift_item-40000547,2000,6
548,gift_item-10000548,2,6,50000,65,548,30548,gift_bundle_Division_HK416,gift_item-20000548,gift_item-30000548,gift_item-50000548,0,0,0,,gift_item-40000548,2000,6
549,gift_item-10000549,2,6,50000,20,549,30549,gift_bundle_Division_Vector,gift_item-20000549,gift_item-30000549,gift_item-50000549,0,0,0,,gift_item-40000549,2000,6
550,gift_item-10000550,2,6,50000,55,550,30550,gift_bundle_Carnival2021_M4A1,gift_item-20000550,gift_item-30000550,gift_item-50000550,0,0,0,,gift_item-40000550,2000,6
551,gift_item-10000551,2,6,50000,56,551,30551,gift_bundle_Carnival2021_M4 SOPMOD II,gift_item-20000551,gift_item-30000551,gift_item-50000551,0,0,0,,gift_item-40000551,2000,6
552,gift_item-10000552,2,6,50000,57,552,30552,gift_bundle_Carnival2021_AR15,gift_item-20000552,gift_item-30000552,gift_item-50000552,0,0,0,,gift_item-40000552,2000,6
553,gift_item-10000553,2,6,50000,54,553,30553,gift_bundle_Carnival2021_M16A1,gift_item-20000553,gift_item-30000553,gift_item-50000553,0,0,0,,gift_item-40000553,2000,6
554,gift_item-10000554,2,6,50000,143,554,30554,gift_bundle_Carnival2021_RO635,gift_item-20000554,gift_item-30000554,gift_item-50000554,0,0,0,,gift_item-40000554,2000,6
555,gift_item-10000555,2,6,50000,103,555,30555,gift_bundle_Carnival2021_UMP45,gift_item-20000555,gift_item-30000555,gift_item-50000555,0,0,0,,gift_item-40000555,2000,6
556,gift_item-10000556,2,6,50000,101,556,30556,gift_bundle_Carnival2021_UMP9,gift_item-20000556,gift_item-30000556,gift_item-50000556,0,0,0,,gift_item-40000556,2000,6
557,gift_item-10000557,2,6,50000,65,557,30557,gift_bundle_Carnival2021_HK416,gift_item-20000557,gift_item-30000557,gift_item-50000557,0,0,0,,gift_item-40000557,2000,6
558,gift_item-10000558,2,6,50000,122,558,30558,gift_bundle_Carnival2021_G11,gift_item-20000558,gift_item-30000558,gift_item-50000558,0,0,0,,gift_item-40000558,2000,6
559,gift_item-10000559,2,6,50000,102,559,30559,gift_bundle_Carnival2021_UMP40,gift_item-20000559,gift_item-30000559,gift_item-50000559,0,0,0,,gift_item-40000559,2000,6
560,gift_item-10000560,2,6,50000,257,560,30560,gift_bundle_Carnival2021_M200,gift_item-20000560,gift_item-30000560,gift_item-50000560,0,0,0,,gift_item-40000560,2000,6
561,gift_item-10000561,2,6,50000,315,561,30561,gift_bundle_Carnival2021_AUGPARA,gift_item-20000561,gift_item-30000561,gift_item-50000561,0,0,0,,gift_item-40000561,2000,6
562,gift_item-10000562,2,6,50000,318,562,30562,gift_bundle_Carnival2021_VHS,gift_item-20000562,gift_item-30000562,gift_item-50000562,0,0,0,,gift_item-40000562,2000,6
563,gift_item-10000563,2,6,50000,316,563,30563,gift_bundle_Carnival2021_GeneralLiu,gift_item-20000563,gift_item-30000563,gift_item-50000563,0,0,0,,gift_item-40000563,2000,6
564,gift_item-10000564,2,6,50000,296,564,30564,gift_bundle_Carnival2021_SL8,gift_item-20000564,gift_item-30000564,gift_item-50000564,0,0,0,,gift_item-40000564,2000,6
565,gift_item-10000565,2,6,50000,64,565,30565,gift_bundle_Carnival2021_G36,gift_item-20000565,gift_item-30000565,gift_item-50000565,0,0,0,,gift_item-40000565,2000,6
567,gift_item-10000567,2,6,50000,1030,567,30567,gift_bundle_Dropkick2021_Jashinchan,gift_item-20000567,gift_item-30000567,gift_item-50000567,0,0,0,,gift_item-40000567,2000,6
568,gift_item-10000568,2,6,50000,1033,568,30568,gift_bundle_Dropkick2021_Yurine,gift_item-20000568,gift_item-30000568,gift_item-50000568,0,0,0,,gift_item-40000568,2000,6
569,gift_item-10000569,2,6,50000,1032,569,30569,gift_bundle_Dropkick2021_Medusa,gift_item-20000569,gift_item-30000569,gift_item-50000569,0,0,0,,gift_item-40000569,2000,6
570,gift_item-10000570,2,6,50000,1031,570,30570,gift_bundle_Dropkick2021_Pekora,gift_item-20000570,gift_item-30000570,gift_item-50000570,0,0,0,,gift_item-40000570,2000,6
571,gift_item-10000571,2,6,50000,1034,571,30571,gift_bundle_Dropkick2021_Minosu,gift_item-20000571,gift_item-30000571,gift_item-50000571,0,0,0,,gift_item-40000571,2000,6
573,gift_item-10000573,2,6,50000,116,573,30573,gift_bundle_ChessBonus_Z62,gift_item-20000573,gift_item-30000573,gift_item-50000573,0,0,0,,gift_item-40000573,2000,6
574,gift_item-10000574,2,6,50000,56,574,30574,gift_bundle_AprilFool2022_M4 SOPMOD II,gift_item-20000574,gift_item-30000574,gift_item-50000574,0,0,0,,gift_item-40000574,2000,6
576,gift_item-10000576,2,6,50000,296,576,30576,gift_bundle_Carnival2022_SL8,gift_item-20000576,gift_item-30000576,gift_item-50000576,0,0,0,,gift_item-40000576,2000,6
577,gift_item-10000577,2,6,50000,318,577,30577,gift_bundle_Carnival2022_VHS,gift_item-20000577,gift_item-30000577,gift_item-50000577,0,0,0,,gift_item-40000577,2000,6
578,gift_item-10000578,2,6,50000,316,578,30578,gift_bundle_Carnival2022_GeneralLiu,gift_item-20000578,gift_item-30000578,gift_item-50000578,0,0,0,,gift_item-40000578,2000,6
579,gift_item-10000579,2,6,50000,315,579,30579,gift_bundle_Carnival2022_AUGPARA,gift_item-20000579,gift_item-30000579,gift_item-50000579,0,0,0,,gift_item-40000579,2000,6
581,gift_item-10000581,2,6,50000,65,581,30581,gift_bundle_Carnival2022_HK416,gift_item-20000581,gift_item-30000581,gift_item-50000581,0,0,0,,gift_item-40000581,2000,6
582,gift_item-10000582,2,6,50000,122,582,30582,gift_bundle_Carnival2022_G11,gift_item-20000582,gift_item-30000582,gift_item-50000582,0,0,0,,gift_item-40000582,2000,6
583,gift_item-10000583,2,6,50000,101,583,30583,gift_bundle_Carnival2022_UMP9,gift_item-20000583,gift_item-30000583,gift_item-50000583,0,0,0,,gift_item-40000583,2000,6
584,gift_item-10000584,2,6,50000,103,584,30584,gift_bundle_Carnival2022_UMP45,gift_item-20000584,gift_item-30000584,gift_item-50000584,0,0,0,,gift_item-40000584,2000,6
585,gift_item-10000585,2,6,50000,102,585,30585,gift_bundle_Carnival2022_UMP40,gift_item-20000585,gift_item-30000585,gift_item-50000585,0,0,0,,gift_item-40000585,2000,6
586,gift_item-10000586,2,6,50000,230,586,30586,gift_bundle_ChessBonus_OBR,gift_item-20000586,gift_item-30000586,gift_item-50000586,0,0,0,,gift_item-40000586,2000,6
587,gift_item-10000587,2,6,50000,1037,587,30587,gift_bundle_Saga2023_Sakura,gift_item-20000587,gift_item-30000587,gift_item-50000587,0,0,0,,gift_item-40000587,2000,6
588,gift_item-10000588,2,6,50000,1041,588,30588,gift_bundle_Saga2023_Saki,gift_item-20000588,gift_item-30000588,gift_item-50000588,0,0,0,,gift_item-40000588,2000,6
589,gift_item-10000589,2,6,50000,1038,589,30589,gift_bundle_Saga2023_Ai,gift_item-20000589,gift_item-30000589,gift_item-50000589,0,0,0,,gift_item-40000589,2000,6
590,gift_item-10000590,2,6,50000,1039,590,30590,gift_bundle_Saga2023_Junko,gift_item-20000590,gift_item-30000590,gift_item-50000590,0,0,0,,gift_item-40000590,2000,6
591,gift_item-10000591,2,6,50000,1040,591,30591,gift_bundle_Saga2023_Yuugiri,gift_item-20000591,gift_item-30000591,gift_item-50000591,0,0,0,,gift_item-40000591,2000,6
592,gift_item-10000592,2,6,50000,1036,592,30592,gift_bundle_Saga2023_Lily,gift_item-20000592,gift_item-30000592,gift_item-50000592,0,0,0,,gift_item-40000592,2000,6
593,gift_item-10000593,2,6,50000,1035,593,30593,gift_bundle_Saga2023_Tae,gift_item-20000593,gift_item-30000593,gift_item-50000593,0,0,0,,gift_item-40000593,2000,6
594,gift_item-10000594,2,6,50000,152,594,30594,gift_bundle_ChessBonus_M1897,gift_item-20000594,gift_item-30000594,gift_item-50000594,0,0,0,,gift_item-40000594,2000,6
595,gift_item-10000595,2,6,50000,283,595,30595,gift_bundle_AprilFool2023_Liberator,gift_item-20000595,gift_item-30000595,gift_item-50000595,0,0,0,,gift_item-40000595,2000,6
597,gift_item-10000597,2,6,50000,86,597,30597,gift_bundle_ChessBonus_MG42,gift_item-20000597,gift_item-30000597,gift_item-50000597,0,0,0,,gift_item-40000597,2000,6
598,gift_item-10000598,2,6,50000,1043,598,30598,gift_bundle_Ghost2024_Ezaki,gift_item-20000598,gift_item-30000598,gift_item-50000598,0,0,0,,gift_item-40000598,2000,6
599,gift_item-10000599,2,6,50000,1044,599,30599,gift_bundle_Ghost2024_Mizukinn,gift_item-20000599,gift_item-30000599,gift_item-50000599,0,0,0,,gift_item-40000599,2000,6
600,gift_item-10000600,2,6,50000,1042,600,30600,gift_bundle_Ghost2024_Motoko,gift_item-20000600,gift_item-30000600,gift_item-50000600,0,0,0,,gift_item-40000600,2000,6
601,gift_item-10000601,2,6,50000,6,601,30601,gift_bundle_wedding_tt33,gift_item-20000601,gift_item-30000601,gift_item-50000601,0,0,0,,gift_item-40000601,2000,6
602,gift_item-10000602,2,6,50000,21,602,30602,gift_bundle_wedding_ppsh41,gift_item-20000602,gift_item-30000602,gift_item-50000602,0,0,0,,gift_item-40000602,2000,6
603,gift_item-10000603,2,6,50000,29,603,30603,gift_bundle_wedding_stenmkii,gift_item-20000603,gift_item-30000603,gift_item-50000603,0,0,0,,gift_item-40000603,2000,6
604,gift_item-10000604,2,6,50000,50,604,30604,gift_bundle_wedding_mlemk1,gift_item-20000604,gift_item-30000604,gift_item-50000604,0,0,0,,gift_item-40000604,2000,6
605,gift_item-10000605,2,6,50000,85,605,30605,gift_bundle_wedding_pk,gift_item-20000605,gift_item-30000605,gift_item-50000605,0,0,0,,gift_item-40000605,2000,6
606,gift_item-10000606,2,6,50000,100,606,30606,gift_bundle_wedding_p7,gift_item-20000606,gift_item-30000606,gift_item-50000606,0,0,0,,gift_item-40000606,2000,6
607,gift_item-10000607,2,6,50000,106,607,30607,gift_bundle_wedding_fal,gift_item-20000607,gift_item-30000607,gift_item-50000607,0,0,0,,gift_item-40000607,2000,6
701,gift_item-10000701,2,6,50000,57,701,30701,gift_bundle_serafuku_ar15,gift_item-20000701,gift_item-30000701,gift_item-50000701,0,0,0,,gift_item-40000701,2000,6
702,gift_item-10000702,2,6,50000,97,702,30702,gift_bundle_serafuku_m950a,gift_item-20000702,gift_item-30000702,gift_item-50000702,0,0,0,,gift_item-40000702,2000,6
703,gift_item-10000703,2,6,50000,125,703,30703,gift_bundle_serafuku_mg4,gift_item-20000703,gift_item-30000703,gift_item-50000703,0,0,0,,gift_item-40000703,2000,6
704,gift_item-10000704,2,6,50000,138,704,30704,gift_bundle_serafuku_6p62,gift_item-20000704,gift_item-30000704,gift_item-50000704,0,0,0,,gift_item-40000704,2000,6
801,gift_item-10000801,2,6,50000,27,801,30801,gift_bundle_dress_vz61,gift_item-20000801,gift_item-30000801,gift_item-50000801,0,0,0,,gift_item-40000801,2000,6
802,gift_item-10000802,2,6,50000,36,802,30802,gift_bundle_dress_m1903,gift_item-20000802,gift_item-30000802,gift_item-50000802,0,0,0,,gift_item-40000802,2000,6
803,gift_item-10000803,2,6,50000,39,803,30803,gift_bundle_dress_m1891,gift_item-20000803,gift_item-30000803,gift_item-50000803,0,0,0,,gift_item-40000803,2000,6
804,gift_item-10000804,2,6,50000,48,804,30804,gift_bundle_dress_wa2000,gift_item-20000804,gift_item-30000804,gift_item-50000804,0,0,0,,gift_item-40000804,2000,6
805,gift_item-10000805,2,6,50000,65,805,30805,gift_bundle_dress_hk416,gift_item-20000805,gift_item-30000805,gift_item-50000805,0,0,0,,gift_item-40000805,2000,6
806,gift_item-10000806,2,6,50000,75,806,30806,gift_bundle_dress_m1918,gift_item-20000806,gift_item-30000806,gift_item-50000806,0,0,0,,gift_item-40000806,2000,6
807,gift_item-10000807,2,6,50000,135,807,30807,gift_bundle_dress_sr3mp,gift_item-20000807,gift_item-30000807,gift_item-50000807,0,0,0,,gift_item-40000807,2000,6
808,gift_item-10000808,2,6,50000,97,808,30808,gift_bundle_dress_m950a,gift_item-20000808,gift_item-30000808,gift_item-50000808,0,0,0,,gift_item-40000808,2000,6
901,gift_item-10000901,2,6,50000,50,901,30901,gift_bundle_childrensday_MLEMK1,gift_item-20000901,gift_item-30000901,gift_item-50000901,0,0,0,,gift_item-40000901,2000,6
902,gift_item-10000902,2,6,50000,25,902,30902,gift_bundle_childrensday_MP40,gift_item-20000902,gift_item-30000902,gift_item-50000902,0,0,0,,gift_item-40000902,2000,6
903,gift_item-10000903,2,6,50000,96,903,30903,gift_bundle_childrensday_Grizzly,gift_item-20000903,gift_item-30000903,gift_item-50000903,0,0,0,,gift_item-40000903,2000,6
904,gift_item-10000904,2,6,50000,112,904,30904,gift_bundle_childrensday_NEGEV,gift_item-20000904,gift_item-30000904,gift_item-50000904,0,0,0,,gift_item-40000904,2000,6
905,gift_item-10000905,2,6,50000,64,905,30905,gift_bundle_childrensday_G36,gift_item-20000905,gift_item-30000905,gift_item-50000905,0,0,0,,gift_item-40000905,2000,6
1101,gift_item-10001101,2,6,50000,53,1101,31101,gift_bundle_swimsuit_NTW20,gift_item-20001101,gift_item-30001101,gift_item-50001101,0,0,0,,gift_item-40001101,2000,6
1102,gift_item-10001102,2,6,50000,129,1102,31102,gift_bundle_swimsuit_95type,gift_item-20001102,gift_item-30001102,gift_item-50001102,0,0,0,,gift_item-40001102,2000,6
1103,gift_item-10001103,2,6,50000,115,1103,31103,gift_bundle_swimsuit_KP31,gift_item-20001103,gift_item-30001103,gift_item-50001103,0,0,0,,gift_item-40001103,2000,6
