id,name,description,code,icon,type,gender,uniform_class,color_normal,color_0,color_1,color_2,color_3,color_4,skill_id,bone_name,rotation,scale,position,color_icon_id
1152,commander_uniform-10001152,commander_uniform-20001152,Foot2,commander_1152_icon,5,2,11,Commander_01_initial_b_female_5,,,,,,0,,0,0.0,,13
1211,commander_uniform-10001211,commander_uniform-20001211,Head1,commander_1211_icon,1,1,12,commander_30010_N,commander_30010_0,commander_30010_1,commander_30010_2,commander_30010_3,commander_30010_4,0,,0,0.0,,14|15|16|17|18|19
1212,commander_uniform-10001212,commander_uniform-20001212,Head2,commander_1212_icon,1,2,12,commander_30010_N,commander_30010_0,commander_30010_1,commander_30010_2,commander_30010_3,commander_30010_4,0,,0,0.0,,20|21|22|23|24|25
1220,commander_uniform-10001220,commander_uniform-20001220,HeadAcco,commander_1220_icon,2,0,12,commander_30020_N,commander_30020_0,commander_30020_1,commander_30020_2,commander_30020_3,commander_30020_4,0,HairBinder2,0,0.2,-0.045|0.272,26|27|28|29|30|31
1231,commander_uniform-10001231,commander_uniform-20001231,Body1,commander_1231_icon,3,1,12,commander_30030_N,commander_30030_0,commander_30030_1,commander_30030_2,commander_30030_3,commander_30030_4,0,,0,0.0,,38|39|40|41|42|43
1232,commander_uniform-10001232,commander_uniform-20001232,Body2,commander_1232_icon,3,2,12,commander_30030_N,commander_30030_0,commander_30030_1,commander_30030_2,commander_30030_3,commander_30030_4,0,,0,0.0,,44|45|46|47|48|49
1240,commander_uniform-10001240,commander_uniform-20001240,BodyAcco,commander_1240_icon,4,0,12,commander_30040_N,commander_30040_0,commander_30040_1,commander_30040_2,commander_30040_3,commander_30040_4,0,RHandLayer,0,0.2,0.127|0.026,32|33|34|35|36|37
1251,commander_uniform-10001251,commander_uniform-20001251,Foot1,commander_1251_icon,5,1,12,commander_30050_N,commander_30050_0,commander_30050_1,commander_30050_2,commander_30050_3,commander_30050_4,0,,0,0.0,,50|51|52|53|54|55
1252,commander_uniform-10001252,commander_uniform-20001252,Foot2,commander_1252_icon,5,2,12,commander_30050_N,commander_30050_0,commander_30050_1,commander_30050_2,commander_30050_3,commander_30050_4,0,,0,0.0,,56|57|58|59|60|61
1310,commander_uniform-10001310,commander_uniform-20001310,Head,commander_1310_icon,1,0,13,Commander_1310_N,Commander_1310_0,Commander_1310_1,Commander_1310_2,Commander_1310_3,Commander_1310_4,0,,0,0.0,,62|63|64|65|66|67
1320,commander_uniform-10001320,commander_uniform-20001320,HeadAcco,commander_1320_icon,2,0,13,Commander_1320_N,,,,,,0,HairBinder2,0,0.2,-0.057|0.168,68
1330,commander_uniform-10001330,commander_uniform-20001330,Body,commander_1330_icon,3,0,13,Commander_1330_N,Commander_1330_0,Commander_1330_1,Commander_1330_2,Commander_1330_3,Commander_1330_4,0,,0,0.0,,69|70|71|72|73|74
1340,commander_uniform-10001340,commander_uniform-20001340,BodyAcco,commander_1340_icon,4,0,13,Commander_1340_N,,,,,,0,BodyBinder1,0,0.2,-0.177|-0.038,75
1350,commander_uniform-10001350,commander_uniform-20001350,Foot,commander_1350_icon,5,0,13,Commander_1350_N,Commander_1350_0,Commander_1350_1,Commander_1350_2,Commander_1350_3,Commander_1350_4,0,,0,0.0,,76|77|78|79|80|81
1411,commander_uniform-10001411,commander_uniform-20001411,Head1,commander_1411_icon,1,1,14,Commander_1411_N,Commander_1411_0,Commander_1411_1,Commander_1411_2,Commander_1411_3,Commander_1411_4,0,,0,0.0,,82|83|84|85|86|87
1412,commander_uniform-10001412,commander_uniform-20001412,Head2,commander_1412_icon,1,2,14,Commander_1412_N,Commander_1412_0,Commander_1412_1,Commander_1412_2,Commander_1412_3,Commander_1412_4,0,,0,0.0,,107|108|109|110|111|112
1420,commander_uniform-10001420,commander_uniform-20001420,HeadAcco,commander_1420_icon,2,0,14,Commander_1420_N,Commander_1420_0,Commander_1420_1,Commander_1420_2,Commander_1420_3,Commander_1420_4,0,HairBinder2,0,0.2,-0.137|0.207,100|101|102|103|104|105
1431,commander_uniform-10001431,commander_uniform-20001431,Body1,commander_1431_icon,3,1,14,Commander_1431_N,Commander_1431_0,Commander_1431_1,Commander_1431_2,Commander_1431_3,Commander_1431_4,0,,0,0.0,,88|89|90|91|92|93
1432,commander_uniform-10001432,commander_uniform-20001432,Body2,commander_1432_icon,3,2,14,Commander_1432_N,Commander_1432_0,Commander_1432_1,Commander_1432_2,Commander_1432_3,Commander_1432_4,0,,0,0.0,,113|114|115|116|117|118
1440,commander_uniform-10001440,commander_uniform-20001440,BodyAcco,commander_1440_icon,4,0,14,Commander_1440_N,,,,,,0,BodyBinder1,0,0.2,-0.013|-0.086,106
1451,commander_uniform-10001451,commander_uniform-20001451,Foot1,commander_1451_icon,5,1,14,Commander_1451_N,Commander_1451_0,Commander_1451_1,Commander_1451_2,Commander_1451_3,Commander_1451_4,0,,0,0.0,,94|95|96|97|98|99
1452,commander_uniform-10001452,commander_uniform-20001452,Foot2,commander_1452_icon,5,2,14,Commander_1452_N,Commander_1452_0,Commander_1452_1,Commander_1452_2,Commander_1452_3,Commander_1452_4,0,,0,0.0,,119|120|121|122|123|124
1510,commander_uniform-10001510,commander_uniform-20001510,Head,commander_1510_icon,1,0,15,Commander_1510_N,,,,,,0,,0,0.0,,125
1611,commander_uniform-10001611,commander_uniform-20001611,Head1,commander_1611_icon,1,1,16,Commander_1611_N,Commander_1611_0,Commander_1611_1,Commander_1611_2,Commander_1611_3,Commander_1611_4,0,,0,0.0,,126|127|128|129|130|131
1612,commander_uniform-10001612,commander_uniform-20001612,Head2,commander_1612_icon,1,2,16,Commander_1612_N,Commander_1612_0,Commander_1612_1,Commander_1612_2,Commander_1612_3,Commander_1612_4,0,,0,0.0,,132|133|134|135|136|137
1620,commander_uniform-10001620,commander_uniform-20001620,HeadAcco,commander_1620_icon,2,0,16,Commander_1620_N,Commander_1620_0,Commander_1620_1,Commander_1620_2,Commander_1620_3,Commander_1620_4,0,FaceBinder,0,0.2,-0.012|0.471,138|139|140|141|142|143
1631,commander_uniform-10001631,commander_uniform-20001631,Body1,commander_1631_icon,3,1,16,Commander_1631_N,Commander_1631_0,Commander_1631_1,Commander_1631_2,Commander_1631_3,Commander_1631_4,0,,0,0.0,,144|145|146|147|148|149
1632,commander_uniform-10001632,commander_uniform-20001632,Body2,commander_1632_icon,3,2,16,Commander_1632_N,Commander_1632_0,Commander_1632_1,Commander_1632_2,Commander_1632_3,Commander_1632_4,0,,0,0.0,,150|151|152|153|154|155
1640,commander_uniform-10001640,commander_uniform-20001640,BodyAcco,commander_1640_icon,4,0,16,Commander_1640_N,Commander_1640_0,Commander_1640_1,Commander_1640_2,Commander_1640_3,Commander_1640_4,0,BodyBinder1,0,0.2,-0.055|0.041,156|157|158|159|160|161
1651,commander_uniform-10001651,commander_uniform-20001651,Foot1,commander_1651_icon,5,1,16,Commander_1651_N,Commander_1651_0,Commander_1651_1,Commander_1651_2,Commander_1651_3,Commander_1651_4,0,,0,0.0,,162|163|164|165|166|167
1652,commander_uniform-10001652,commander_uniform-20001652,Foot2,commander_1652_icon,5,2,16,Commander_1652_N,Commander_1652_0,Commander_1652_1,Commander_1652_2,Commander_1652_3,Commander_1652_4,0,,0,0.0,,168|169|170|171|172|173
1720,commander_uniform-10001720,commander_uniform-20001720,HeadAcco,commander_1720_icon,2,0,17,Commander_1720_N,Commander_1720_0,Commander_1720_1,Commander_1720_2,Commander_1720_3,Commander_1720_4,0,HairBinder2,0,0.2,-0.152|0.227,174|175|176|177|178|179
1811,commander_uniform-10001811,commander_uniform-20001811,Head1,commander_1811_icon,1,1,18,Commander_1811_N,Commander_1811_0,Commander_1811_1,Commander_1811_2,Commander_1811_3,Commander_1811_4,0,,0,0.0,,180|181|182|183|184|185
1812,commander_uniform-10001812,commander_uniform-20001812,Head2,commander_1812_icon,1,2,18,Commander_1812_N,Commander_1812_0,Commander_1812_1,Commander_1812_2,Commander_1812_3,Commander_1812_4,0,,0,0.0,,186|187|188|189|190|191
1820,commander_uniform-10001820,commander_uniform-20001820,HeadAcco,commander_1820_icon,2,0,18,Commander_1820_N,Commander_1820_0,Commander_1820_1,Commander_1820_2,Commander_1820_3,Commander_1820_4,0,HairBinder2,0,0.2,-0.043|0.463,192|193|194|195|196|197
1831,commander_uniform-10001831,commander_uniform-20001831,Body1,commander_1831_icon,3,1,18,Commander_1831_N,Commander_1831_0,Commander_1831_1,Commander_1831_2,Commander_1831_3,Commander_1831_4,0,,0,0.0,,198|199|200|201|202|203
1832,commander_uniform-10001832,commander_uniform-20001832,Body2,commander_1832_icon,3,2,18,Commander_1832_N,Commander_1832_0,Commander_1832_1,Commander_1832_2,Commander_1832_3,Commander_1832_4,0,,0,0.0,,204|205|206|207|208|209
1840,commander_uniform-10001840,commander_uniform-20001840,BodyAcco,commander_1840_icon,4,0,18,Commander_1840_N,Commander_1840_0,Commander_1840_1,Commander_1840_2,Commander_1840_3,Commander_1840_4,0,BodyBinder1,0,0.2,-0.392|0.476,210|211|212|213|214|215
1851,commander_uniform-10001851,commander_uniform-20001851,Foot1,commander_1851_icon,5,1,18,Commander_1851_N,Commander_1851_0,Commander_1851_1,Commander_1851_2,Commander_1851_3,Commander_1851_4,0,,0,0.0,,216|217|218|219|220|221
1852,commander_uniform-10001852,commander_uniform-20001852,Foot2,commander_1852_icon,5,2,18,Commander_1852_N,Commander_1852_0,Commander_1852_1,Commander_1852_2,Commander_1852_3,Commander_1852_4,0,,0,0.0,,222|223|224|225|226|227
1911,commander_uniform-10001911,commander_uniform-20001911,Head1,commander_1911_icon,1,1,19,Commander_1911_N,Commander_1911_0,Commander_1911_1,Commander_1911_2,Commander_1911_3,Commander_1911_4,0,,0,0.0,,228|229|230|231|232|233
1912,commander_uniform-10001912,commander_uniform-20001912,Head2,commander_1912_icon,1,2,19,Commander_1912_N,Commander_1912_0,Commander_1912_1,Commander_1912_2,Commander_1912_3,Commander_1912_4,0,,0,0.0,,234|235|236|237|238|239
1920,commander_uniform-10001920,commander_uniform-20001920,HeadAcco,commander_1920_icon,2,0,19,Commander_1920_N,Commander_1920_0,Commander_1920_1,Commander_1920_2,Commander_1920_3,Commander_1920_4,0,HairBinder2,0,0.2,-0.075|0.309,240|241|242|243|244|245
1931,commander_uniform-10001931,commander_uniform-20001931,Body1,commander_1931_icon,3,1,19,Commander_1931_N,Commander_1931_0,Commander_1931_1,Commander_1931_2,Commander_1931_3,Commander_1931_4,0,,0,0.0,,246|247|248|249|250|251
1932,commander_uniform-10001932,commander_uniform-20001932,Body2,commander_1932_icon,3,2,19,Commander_1932_N,Commander_1932_0,Commander_1932_1,Commander_1932_2,Commander_1932_3,Commander_1932_4,0,,0,0.0,,252|253|254|255|256|257
1940,commander_uniform-10001940,commander_uniform-20001940,BodyAcco,commander_1940_icon,4,0,19,Commander_1940_N,Commander_1940_0,Commander_1940_1,Commander_1940_2,Commander_1940_3,Commander_1940_4,0,BodyBinder1,0,0.2,-0.034|-0.014,258|259|260|261|262|263
1951,commander_uniform-10001951,commander_uniform-20001951,Foot1,commander_1951_icon,5,1,19,Commander_1951_N,Commander_1951_0,Commander_1951_1,Commander_1951_2,Commander_1951_3,Commander_1951_4,0,,0,0.0,,264|265|266|267|268|269
1952,commander_uniform-10001952,commander_uniform-20001952,Foot2,commander_1952_icon,5,2,19,Commander_1952_N,Commander_1952_0,Commander_1952_1,Commander_1952_2,Commander_1952_3,Commander_1952_4,0,,0,0.0,,270|271|272|273|274|275
2010,commander_uniform-10002010,commander_uniform-20002010,Head,commander_2010_icon,1,0,20,Commander_2010_N,,,,,,0,,0,0.0,,276
2111,commander_uniform-10002111,commander_uniform-20002111,Head1,commander_2111_icon,1,1,21,Commander_2111_N,Commander_2111_0,Commander_2111_1,Commander_2111_2,Commander_2111_3,Commander_2111_4,0,,0,0.0,,278|279|280|281|282|283
2112,commander_uniform-10002112,commander_uniform-20002112,Head2,commander_2112_icon,1,2,21,Commander_2112_N,Commander_2112_0,Commander_2112_1,Commander_2112_2,Commander_2112_3,Commander_2112_4,0,,0,0.0,,284|285|286|287|288|289
2120,commander_uniform-10002120,commander_uniform-20002120,HeadAcco,commander_2120_icon,2,0,21,Commander_2120_N,Commander_2120_0,Commander_2120_1,Commander_2120_2,Commander_2120_3,Commander_2120_4,0,HairBinder2,0,0.2,-0.040|0.302,290|291|292|293|294|295
2131,commander_uniform-10002131,commander_uniform-20002131,Body1,commander_2131_icon,3,1,21,Commander_2131_N,Commander_2131_0,Commander_2131_1,Commander_2131_2,Commander_2131_3,Commander_2131_4,0,,0,0.0,,296|297|298|299|300|301
2132,commander_uniform-10002132,commander_uniform-20002132,Body2,commander_2132_icon,3,2,21,Commander_2132_N,Commander_2132_0,Commander_2132_1,Commander_2132_2,Commander_2132_3,Commander_2132_4,0,,0,0.0,,302|303|304|305|306|307
2140,commander_uniform-10002140,commander_uniform-20002140,BodyAcco,commander_2140_icon,4,0,21,Commander_2140_N,Commander_2140_0,Commander_2140_1,Commander_2140_2,Commander_2140_3,Commander_2140_4,0,BodyBinder1,0,0.2,-0.034|-0.014,308|309|310|311|312|313
2151,commander_uniform-10002151,commander_uniform-20002151,Foot1,commander_2151_icon,5,1,21,Commander_2151_N,Commander_2151_0,Commander_2151_1,Commander_2151_2,Commander_2151_3,Commander_2151_4,0,,0,0.0,,314|315|316|317|318|319
2152,commander_uniform-10002152,commander_uniform-20002152,Foot2,commander_2152_icon,5,2,21,Commander_2152_N,Commander_2152_0,Commander_2152_1,Commander_2152_2,Commander_2152_3,Commander_2152_4,0,,0,0.0,,320|321|322|323|324|325
2220,commander_uniform-10002220,commander_uniform-20002220,HeadAcco,commander_2220_icon,2,0,22,Commander_2220_N,,,,,,0,HairBinder2,0,0.2,-0.059|0.662,326
2340,commander_uniform-10002340,commander_uniform-20002340,BodyAcco,commander_2340_icon,4,0,23,Commander_2340_N,Commander_2340_0,Commander_2340_1,Commander_2340_2,Commander_2340_3,Commander_2340_4,0,BodyBinder1,0,0.30000000000000004,-0.071|-0.092,327|328|329|330|331|332
2420,commander_uniform-10002420,commander_uniform-20002420,HeadAcco,commander_2420_icon,2,0,24,Commander_2420_N,,,,,,0,HairBinder2,0,0.2,-0.002|0.373,333
2520,commander_uniform-10002520,commander_uniform-20002520,HeadAcco,commander_2520_icon,2,0,25,Commander_2520_N,,,,,,0,HairBinder2,0,0.2,-0.089|0.416,334
2611,commander_uniform-10002611,commander_uniform-20002611,Head1,commander_2611_icon,1,1,26,Commander_2611_N,Commander_2611_0,Commander_2611_1,Commander_2611_2,Commander_2611_3,Commander_2611_4,0,,0,0.0,,335|336|337|338|339|340
2612,commander_uniform-10002612,commander_uniform-20002612,Head2,commander_2612_icon,1,2,26,Commander_2612_N,Commander_2612_0,Commander_2612_1,Commander_2612_2,Commander_2612_3,Commander_2612_4,0,,0,0.0,,341|342|343|344|345|346
2620,commander_uniform-10002620,commander_uniform-20002620,HeadAcco,commander_2620_icon,2,0,26,Commander_2620_N,Commander_2620_0,Commander_2620_1,Commander_2620_2,Commander_2620_3,Commander_2620_4,0,HairBinder2,0,0.2,-0.205|0.250,347|348|349|350|351|352
2631,commander_uniform-10002631,commander_uniform-20002631,Body1,commander_2631_icon,3,1,26,Commander_2631_N,Commander_2631_0,Commander_2631_1,Commander_2631_2,Commander_2631_3,Commander_2631_4,0,,0,0.0,,353|354|355|356|357|358
2632,commander_uniform-10002632,commander_uniform-20002632,Body2,commander_2632_icon,3,2,26,Commander_2632_N,Commander_2632_0,Commander_2632_1,Commander_2632_2,Commander_2632_3,Commander_2632_4,0,,0,0.0,,359|360|361|362|363|364
2640,commander_uniform-10002640,commander_uniform-20002640,BodyAcco,commander_2640_icon,4,0,26,Commander_2640_N,Commander_2640_0,Commander_2640_1,Commander_2640_2,Commander_2640_3,Commander_2640_4,0,BodyBinder1,0,0.2,-0.167|0.254,365|366|367|368|369|370
2651,commander_uniform-10002651,commander_uniform-20002651,Foot1,commander_2651_icon,5,1,26,Commander_2651_N,Commander_2651_0,Commander_2651_1,Commander_2651_2,Commander_2651_3,Commander_2651_4,0,,0,0.0,,371|372|373|374|375|376
2652,commander_uniform-10002652,commander_uniform-20002652,Foot2,commander_2652_icon,5,2,26,Commander_2652_N,Commander_2652_0,Commander_2652_1,Commander_2652_2,Commander_2652_3,Commander_2652_4,0,,0,0.0,,377|378|379|380|381|382
2711,commander_uniform-10002711,commander_uniform-20002711,Head1,commander_2711_icon,1,1,27,Commander_2711_N,Commander_2711_0,Commander_2711_1,Commander_2711_2,Commander_2711_3,Commander_2711_4,0,,0,0.0,,383|384|385|386|387|388
2712,commander_uniform-10002712,commander_uniform-20002712,Head2,commander_2712_icon,1,2,27,Commander_2712_N,Commander_2712_0,Commander_2712_1,Commander_2712_2,Commander_2712_3,Commander_2712_4,0,,0,0.0,,389|390|391|392|393|394
2720,commander_uniform-10002720,commander_uniform-20002720,HeadAcco,commander_2720_icon,2,0,27,Commander_2720_N,Commander_2720_0,Commander_2720_1,Commander_2720_2,Commander_2720_3,Commander_2720_4,0,HairBinder2,0,0.2,-0.040|0.268,395|396|397|398|399|400
2731,commander_uniform-10002731,commander_uniform-20002731,Body1,commander_2731_icon,3,1,27,Commander_2731_N,Commander_2731_0,Commander_2731_1,Commander_2731_2,Commander_2731_3,Commander_2731_4,0,,0,0.0,,401|402|403|404|405|406
2732,commander_uniform-10002732,commander_uniform-20002732,Body2,commander_2732_icon,3,2,27,Commander_2732_N,Commander_2732_0,Commander_2732_1,Commander_2732_2,Commander_2732_3,Commander_2732_4,0,,0,0.0,,407|408|409|410|411|412
2740,commander_uniform-10002740,commander_uniform-20002740,BodyAcco,commander_2740_icon,4,0,27,Commander_2740_N,Commander_2740_0,Commander_2740_1,Commander_2740_2,Commander_2740_3,Commander_2740_4,0,BodyBinder1,0,0.2,-0.465|0.360,413|414|415|416|417|418
2751,commander_uniform-10002751,commander_uniform-20002751,Foot1,commander_2751_icon,5,1,27,Commander_2751_N,Commander_2751_0,Commander_2751_1,Commander_2751_2,Commander_2751_3,Commander_2751_4,0,,0,0.0,,419|420|421|422|423|424
2752,commander_uniform-10002752,commander_uniform-20002752,Foot2,commander_2752_icon,5,2,27,Commander_2752_N,Commander_2752_0,Commander_2752_1,Commander_2752_2,Commander_2752_3,Commander_2752_4,0,,0,0.0,,425|426|427|428|429|430
2820,commander_uniform-10002820,commander_uniform-20002820,HeadAcco,commander_2820_icon,2,0,28,Commander_2820_N,Commander_2820_0,Commander_2820_1,Commander_2820_2,Commander_2820_3,Commander_2820_4,0,FaceBinder,0,0.2,-0.024|0.160,431|432|433|434|435|436
2920,commander_uniform-10002920,commander_uniform-20002920,HeadAcco,commander_2920_icon,2,0,29,Commander_2920_N,Commander_2920_0,Commander_2920_1,Commander_2920_2,Commander_2920_3,Commander_2920_4,0,HairBinder2,0,0.2,-0.089|0.147,437|438|439|440|441|442
3011,commander_uniform-10003011,commander_uniform-20003011,Head1,commander_3011_icon,1,1,30,Commander_3011_N,Commander_3011_0,Commander_3011_1,Commander_3011_2,Commander_3011_3,Commander_3011_4,0,,0,0.0,,443|444|445|446|447|448
3012,commander_uniform-10003012,commander_uniform-20003012,Head2,commander_3012_icon,1,2,30,Commander_3012_N,Commander_3012_0,Commander_3012_1,Commander_3012_2,Commander_3012_3,Commander_3012_4,0,,0,0.0,,449|450|451|452|453|454
3020,commander_uniform-10003020,commander_uniform-20003020,HeadAcco,commander_3020_icon,2,0,30,Commander_3020_N,Commander_3020_0,Commander_3020_1,Commander_3020_2,Commander_3020_3,Commander_3020_4,0,HairBinder2,0,0.2,-0.064|0.376,455|456|457|458|459|460
3031,commander_uniform-10003031,commander_uniform-20003031,Body1,commander_3031_icon,3,1,30,Commander_3031_N,Commander_3031_0,Commander_3031_1,Commander_3031_2,Commander_3031_3,Commander_3031_4,0,,0,0.0,,461|462|463|464|465|466
3032,commander_uniform-10003032,commander_uniform-20003032,Body2,commander_3032_icon,3,2,30,Commander_3032_N,Commander_3032_0,Commander_3032_1,Commander_3032_2,Commander_3032_3,Commander_3032_4,0,,0,0.0,,467|468|469|470|471|472
3040,commander_uniform-10003040,commander_uniform-20003040,BodyAcco,commander_3040_icon,4,0,30,Commander_3040_N,Commander_3040_0,Commander_3040_1,Commander_3040_2,Commander_3040_3,Commander_3040_4,0,BodyBinder1,0,0.2,-0.153|0.015,473|474|475|476|477|478
3051,commander_uniform-10003051,commander_uniform-20003051,Foot1,commander_3051_icon,5,1,30,Commander_3051_N,Commander_3051_0,Commander_3051_1,Commander_3051_2,Commander_3051_3,Commander_3051_4,0,,0,0.0,,479|480|481|482|483|484
3052,commander_uniform-10003052,commander_uniform-20003052,Foot2,commander_3052_icon,5,2,30,Commander_3052_N,Commander_3052_0,Commander_3052_1,Commander_3052_2,Commander_3052_3,Commander_3052_4,0,,0,0.0,,485|486|487|488|489|490
3120,commander_uniform-10003120,commander_uniform-20003120,HeadAcco,commander_3120_icon,2,0,31,Commander_3120_N,,,,,,0,HairBinder2,0,0.2,-0.032|0.243,491
3310,commander_uniform-10003310,commander_uniform-20003310,Head,commander_3310_icon,1,0,33,Commander_3310_N,,,,,,0,,0,0.0,,493
3411,commander_uniform-10003411,commander_uniform-20003411,Head1,commander_3411_icon,1,1,34,Commander_3411_N,Commander_3411_0,Commander_3411_1,Commander_3411_2,Commander_3411_3,Commander_3411_4,0,,0,0.0,,494|495|496|497|498|499
3412,commander_uniform-10003412,commander_uniform-20003412,Head2,commander_3412_icon,1,2,34,Commander_3412_N,Commander_3412_0,Commander_3412_1,Commander_3412_2,Commander_3412_3,Commander_3412_4,0,,0,0.0,,500|501|502|503|504|505
3420,commander_uniform-10003420,commander_uniform-20003420,HeadAcco,commander_3420_icon,2,0,34,Commander_3420_N,Commander_3420_0,Commander_3420_1,Commander_3420_2,Commander_3420_3,Commander_3420_4,0,HairBinder2,0,0.2,-0.064|0.376,506|507|508|509|510|511
3431,commander_uniform-10003431,commander_uniform-20003431,Body1,commander_3431_icon,3,1,34,Commander_3431_N,Commander_3431_0,Commander_3431_1,Commander_3431_2,Commander_3431_3,Commander_3431_4,0,,0,0.0,,512|513|514|515|516|517
3432,commander_uniform-10003432,commander_uniform-20003432,Body2,commander_3432_icon,3,2,34,Commander_3432_N,Commander_3432_0,Commander_3432_1,Commander_3432_2,Commander_3432_3,Commander_3432_4,0,,0,0.0,,518|519|520|521|522|523
3440,commander_uniform-10003440,commander_uniform-20003440,BodyAcco,commander_3440_icon,4,0,34,Commander_3440_N,Commander_3440_0,Commander_3440_1,Commander_3440_2,Commander_3440_3,Commander_3440_4,0,BodyBinder1,0,0.2,-0.035|-0.136,524|525|526|527|528|529
3451,commander_uniform-10003451,commander_uniform-20003451,Foot1,commander_3451_icon,5,1,34,Commander_3451_N,Commander_3451_0,Commander_3451_1,Commander_3451_2,Commander_3451_3,Commander_3451_4,0,,0,0.0,,530|531|532|533|534|535
3452,commander_uniform-10003452,commander_uniform-20003452,Foot2,commander_3452_icon,5,2,34,Commander_3452_N,Commander_3452_0,Commander_3452_1,Commander_3452_2,Commander_3452_3,Commander_3452_4,0,,0,0.0,,536|537|538|539|540|541
3640,commander_uniform-10003640,commander_uniform-20003640,BodyAcco,commander_3640_icon,4,0,36,Commander_3640_N,Commander_3640_0,Commander_3640_1,Commander_3640_2,Commander_3640_3,Commander_3640_4,0,BodyBinder1,0,0.5,-0.221|0.693,543|544|545|546|547|548
3720,commander_uniform-10003720,commander_uniform-20003720,HeadAcco,commander_3720_icon,2,0,37,Commander_3720_N,,,,,,0,HairBinder2,0,0.2,-0.064|0.376,549
3740,commander_uniform-10003740,commander_uniform-20003740,BodyAcco,commander_3740_icon,4,0,37,Commander_3740_N,,,,,,0,BodyBinder1,0,0.2,-0.035|-0.136,550
3820,commander_uniform-10003820,commander_uniform-20003820,HeadAcco,commander_3820_icon,2,0,38,Commander_3820_N,,,,,,0,HairBinder2,0,0.2,-0.077|0.254,551
3911,commander_uniform-10003911,commander_uniform-20003911,Head1,commander_3911_icon,1,1,39,Commander_3911_N,Commander_3911_0,Commander_3911_1,Commander_3911_2,Commander_3911_3,Commander_3911_4,0,,0,0.0,,552|553|554|555|556|557
3912,commander_uniform-10003912,commander_uniform-20003912,Head2,commander_3912_icon,1,2,39,Commander_3912_N,Commander_3912_0,Commander_3912_1,Commander_3912_2,Commander_3912_3,Commander_3912_4,0,,0,0.0,,558|559|560|561|562|563
3920,commander_uniform-10003920,commander_uniform-20003920,HeadAcco,commander_3920_icon,2,0,39,Commander_3920_N,Commander_3920_0,Commander_3920_1,Commander_3920_2,Commander_3920_3,Commander_3920_4,0,HairBinder2,0,0.2,-0.064|0.376,564|565|566|567|568|569
3931,commander_uniform-10003931,commander_uniform-20003931,Body1,commander_3931_icon,3,1,39,Commander_3931_N,Commander_3931_0,Commander_3931_1,Commander_3931_2,Commander_3931_3,Commander_3931_4,0,,0,0.0,,570|571|572|573|574|575
3932,commander_uniform-10003932,commander_uniform-20003932,Body2,commander_3932_icon,3,2,39,Commander_3932_N,Commander_3932_0,Commander_3932_1,Commander_3932_2,Commander_3932_3,Commander_3932_4,0,,0,0.0,,576|577|578|579|580|581
3940,commander_uniform-10003940,commander_uniform-20003940,BodyAcco,commander_3940_icon,4,0,39,Commander_3940_N,Commander_3940_0,Commander_3940_1,Commander_3940_2,Commander_3940_3,Commander_3940_4,0,BodyBinder1,0,0.2,-0.035|-0.136,582|583|584|585|586|587
3951,commander_uniform-10003951,commander_uniform-20003951,Foot1,commander_3951_icon,5,1,39,Commander_3951_N,Commander_3951_0,Commander_3951_1,Commander_3951_2,Commander_3951_3,Commander_3951_4,0,,0,0.0,,588|589|590|591|592|593
