id,type,prize_id,cost,quota,clear_cycle,function_control_id,start_time,end_time,is_new,increase,type_id,sort,obtain
99,1,12164,4001-8000,0,0,0,,,0,,1,402,0
100,3,12315,4003-5000,0,0,0,,,0,,3,401,0
101,3,12316,4003-5000,0,0,0,,,0,,3,400,0
102,3,12317,4003-4000,0,0,0,,,0,,3,399,0
103,4,12415,4003-1500|4004-1500,0,0,0,,,0,,4,398,0
104,4,12416,4001-1500|4004-1500,0,0,0,,,0,,4,397,0
105,4,12417,4002-1500|4004-1500,0,0,0,,,0,,4,396,0
106,1,12165,4001-8000,0,0,0,,,0,,1,395,0
107,1,12166,4001-8000,0,0,0,,,0,,1,394,0
108,4,12418,4003-1500|4004-1500,0,0,0,,,0,,4,393,0
109,4,12419,4001-1500|4004-1500,0,0,0,,,0,,4,392,0
110,4,12420,4002-1500|4004-1500,0,0,0,,,0,,4,391,0
111,3,12318,4003-5000,0,0,0,,,0,,3,390,0
112,3,12319,4003-5000,0,0,0,,,0,,3,389,0
113,3,12320,4003-4000,0,0,0,,,0,,3,388,0
114,1,12167,4001-8000,0,0,0,,,0,,1,387,0
115,1,12168,4001-8000,0,0,0,,,0,,1,386,0
116,4,12421,4003-1500|4004-1500,0,0,0,,,0,,4,385,0
117,4,12422,4001-1500|4004-1500,0,0,0,,,0,,4,384,0
118,4,12423,4002-1500|4004-1500,0,0,0,,,0,,4,383,0
119,3,12321,4003-5000,0,0,0,,,0,,3,382,0
120,3,12322,4003-5000,0,0,0,,,0,,3,381,0
121,3,12323,4003-4000,0,0,0, ,,0,,3,380,0
122,1,12169,4001-8000,0,0,0,,,0,,1,379,0
123,1,12170,4001-8000,0,0,0,,,0,,1,378,0
124,1,12171,4001-8000,0,0,0,,,0,,1,377,0
125,1,12172,4001-8000,0,0,0,,,0,,1,376,0
126,1,12173,4001-8000,0,0,0,,,0,,1,375,0
127,1,12174,4001-8000,0,0,0,,,0,,1,374,0
128,1,12175,4001-8000,0,0,0,,,0,,1,373,0
129,1,12176,4001-8000,0,0,0,,,0,,1,372,0
130,1,12177,4001-8000,0,0,1,,,0,,1,371,0
131,1,12178,4001-8000,0,0,0,,,0,,1,370,0
132,1,12179,4001-8000,0,0,0,,,0,,1,369,0
133,4,12424,4003-1500|4004-1500,0,0,0,,,0,,4,368,0
134,4,12425,4001-1500|4004-1500,0,0,0,,,0,,4,367,0
135,4,12426,4002-1500|4004-1500,0,0,0,,,0,,4,366,0
136,3,12324,4003-4000,0,0,0,,,0,,3,365,0
137,3,12325,4003-4000,0,0,0,,,0,,3,364,0
138,3,12326,4003-5000,0,0,0, ,,0,,3,363,0
139,52,12501,4001-4500,1,0,0,,,0,,5,362,2
140,52,12502,4001-4500,1,0,0,,,0,,5,361,2
141,1,12180,4001-8000,0,0,0,,,0,,1,360,0
142,1,12181,4001-8000,0,0,0,,,0,,1,359,0
143,4,12427,4003-1500|4004-1500,0,0,0,,,0,,4,358,0
144,4,12428,4001-1500|4004-1500,0,0,0,,,0,,4,357,0
145,4,12429,4002-1500|4004-1500,0,0,0,,,0,,4,356,0
146,3,12327,4003-5000,0,0,0,,,0,,3,355,0
147,3,12328,4003-4000,0,0,0,,,0,,3,354,0
148,3,12329,4003-6000,0,0,0, ,,0,,3,353,0
149,53,12503,4001-18000,1,0,0,,,0,,5,352,2
150,52,12504,4001-4500,1,0,0,,,0,,5,351,2
151,52,12505,4001-4500,1,0,0,,,0,,5,350,2
153,1,12182,4001-8000,0,0,0,,,0,,1,349,0
154,53,12506,4001-18000,1,0,0,,,0,,5,348,2
155,4,12430,4003-1500|4004-1500,0,0,0,,,0,,4,347,0
156,4,12431,4001-1500|4004-1500,0,0,0,,,0,,4,346,0
157,4,12432,4002-1500|4004-1500,0,0,0,,,0,,4,345,0
158,3,12330,4003-4000,0,0,0,,,0,,3,344,0
159,3,12331,4003-5000,0,0,0,,,0,,3,343,0
160,3,12332,4003-6000,0,0,0, ,,0,,3,342,0
161,1,12183,4001-8000,0,0,0,,,0,,1,341,0
162,1,12184,4001-8000,0,0,0,,,0,,1,340,0
163,53,12507,4001-18000,1,0,0,,,0,,5,339,2
164,4,12433,4003-1500|4004-1500,0,0,0,,,0,,4,338,0
165,4,12434,4001-1500|4004-1500,0,0,0,,,0,,4,337,0
166,4,12435,4002-1500|4004-1500,0,0,0,,,0,,4,336,0
167,3,12333,4003-5000,0,0,0,,,0,,3,335,0
168,3,12334,4003-5000,0,0,0,,,0,,3,334,0
169,3,12335,4003-4000,0,0,0, ,,0,,3,333,0
170,1,12185,4001-8000,0,0,0,,,0,,1,332,0
171,1,12186,4001-8000,0,0,0,,,0,,1,331,0
172,4,12436,4003-1500|4004-1500,0,0,0,,,0,,4,330,0
173,4,12437,4001-1500|4004-1500,0,0,0,,,0,,4,329,0
174,4,12438,4002-1500|4004-1500,0,0,0,,,0,,4,328,0
175,3,12336,4003-5000,0,0,0,,,0,,3,327,0
176,3,12337,4003-5000,0,0,0,,,0,,3,326,0
177,3,12338,4003-5000,0,0,0, ,,0,,3,325,0
178,1,12187,4001-8000,0,0,0,,,0,,1,324,0
179,1,12188,4001-8000,0,0,0,,,0,,1,323,0
180,4,12439,4003-1500|4004-1500,0,0,0,,,0,,4,322,0
181,4,12440,4001-1500|4004-1500,0,0,0,,,0,,4,321,0
182,4,12441,4002-1500|4004-1500,0,0,0,,,0,,4,320,0
183,3,12339,4003-4000,0,0,0,,,0,,3,319,0
184,3,12340,4003-5000,0,0,0,,,0,,3,318,0
185,3,12341,4003-5000,0,0,0, ,,0,,3,317,0
186,1,12189,4001-8000,0,0,0,,,0,,1,316,0
187,1,12190,4001-8000,0,0,0,,,0,,1,315,0
188,1,12191,4001-8000,0,0,0,,,0,,1,314,0
189,1,12192,4001-8000,0,0,0,,,0,,1,313,0
190,1,12193,4001-8000,0,0,0,,,0,,1,312,0
191,1,12194,4001-8000,0,0,0,,,0,,1,311,0
192,1,12195,4001-8000,0,0,0,,,0,,1,310,0
193,1,12196,4001-8000,0,0,0,,,0,,1,309,0
194,1,12197,4001-8000,0,0,0,,,0,,1,308,0
195,1,12601,4001-8000,0,0,0,,,0,,1,307,0
196,1,12602,4001-8000,0,0,0,,,0,,1,306,0
197,1,12603,4001-8000,0,0,0,,,0,,1,305,0
198,1,12604,4001-8000,0,0,0,,,0,,1,304,0
199,1,12605,4001-8000,0,0,0,,,0,,1,303,0
200,1,12606,4001-8000,0,0,0,,,0,,1,302,0
201,1,12607,4001-8000,0,0,0,,,0,,1,301,0
202,1,12608,4001-8000,0,0,0,,,0,,1,300,0
203,1,12609,4001-8000,0,0,0,,,0,,1,299,0
204,1,12610,4001-8000,0,0,0,,,0,,1,298,0
205,1,12611,4001-8000,0,0,0,,,0,,1,297,0
206,1,12612,4001-8000,0,0,0,,,0,,1,296,0
207,1,12613,4001-8000,0,0,0,,,0,,1,295,0
208,1,12614,4001-8000,0,0,0,,,0,,1,294,0
209,1,12198,4001-8000,0,0,0,,,0,,1,293,0
210,1,12199,4001-8000,0,0,0,,,0,,1,292,0
211,4,12442,4003-1500|4004-1500,0,0,0,,,0,,4,291,0
212,4,12443,4001-1500|4004-1500,0,0,0,,,0,,4,290,0
213,4,12444,4002-1500|4004-1500,0,0,0,,,0,,4,289,0
214,3,12342,4003-5000,0,0,0,,,0,,3,288,0
215,3,12343,4003-5000,0,0,0,,,0,,3,287,0
216,3,12344,4003-4000,0,0,0, ,,0,,3,286,0
217,1,12615,4001-8000,0,0,0,,,0,,1,285,0
218,1,121001,4001-8000,0,0,0,,,0,,1,284,0
219,1,121002,4001-8000,0,0,0,,,0,,1,283,0
220,4,12445,4003-1500|4004-1500,0,0,0,,,0,,4,282,0
221,4,12446,4001-1500|4004-1500,0,0,0,,,0,,4,281,0
222,4,12447,4002-1500|4004-1500,0,0,0,,,0,,4,280,0
223,3,12345,4003-5000,0,0,0,,,0,,3,279,0
224,3,12346,4003-5000,0,0,0,,,0,,3,278,0
225,3,12347,4003-5000,0,0,0, ,,0,,3,277,0
226,1,121003,4001-8000,0,0,0, ,,0,,1,276,0
227,1,121004,4001-8000,0,0,0, ,,0,,1,275,0
228,1,121005,4001-8000,0,0,0, ,,0,,1,274,0
229,1,121006,4001-8000,0,0,0,,,0,,1,273,0
230,1,121007,4001-8000,0,0,0,,,0,,1,272,0
231,4,12448,4003-1500|4004-1500,0,0,0,,,0,,4,271,0
232,4,12449,4001-1500|4004-1500,0,0,0,,,0,,4,270,0
233,4,12450,4002-1500|4004-1500,0,0,0,,,0,,4,269,0
234,3,12348,4003-5000,0,0,0,,,0,,3,268,0
235,3,12349,4003-5000,0,0,0,,,0,,3,267,0
236,3,12350,4003-4000,0,0,0, ,,0,,3,266,0
237,1,121008,4001-8000,0,0,0,,,0,,1,265,0
238,52,12508,4001-4500,1,0,0,,,0,,5,264,2
239,1,121009,4001-8000,0,0,0,,,0,,1,263,0
240,1,121010,4001-8000,0,0,0,,,0,,1,262,0
241,1,121011,4001-8000,0,0,0,,,0,,1,261,0
242,1,121012,4001-8000,0,0,0,,,0,,1,260,0
243,1,121013,4001-8000,0,0,0,,,0,,1,259,0
244,1,121014,4001-8000,0,0,0,,,0,,1,258,0
245,1,121015,4001-8000,0,0,0,,,0,,1,257,0
246,1,121016,4001-8000,0,0,0,,,0,,1,256,0
247,4,12451,4003-1500|4004-1500,0,0,0,,,0,,4,255,0
248,4,12452,4001-1500|4004-1500,0,0,0,,,0,,4,254,0
249,4,12453,4002-1500|4004-1500,0,0,0,,,0,,4,253,0
250,3,12351,4003-5000,0,0,0,,,0,,3,252,0
251,3,12352,4003-5000,0,0,0,,,0,,3,251,0
252,3,12353,4003-4000,0,0,0, ,,0,,3,250,0
253,1,121017,4001-8000,0,0,0,,,0,,1,249,0
254,1,121018,4001-8000,0,0,0,,,0,,1,248,0
255,3,12354,4003-5000,0,0,0,,,0,,3,247,0
256,3,12355,4003-5000,0,0,0,,,0,,3,246,0
257,3,12356,4003-4000,0,0,0, ,,0,,3,245,0
258,4,12454,4003-1500|4004-1500,0,0,0,,,0,,4,244,0
259,4,12455,4001-1500|4004-1500,0,0,0,,,0,,4,243,0
260,4,12456,4002-1500|4004-1500,0,0,0,,,0,,4,242,0
261,53,12509,4001-18000,1,0,0,,,0,,5,241,2
262,1,121019,4001-8000,0,0,0,,,0,,1,240,0
263,1,121020,4001-8000,0,0,0,,,0,,1,239,0
264,1,121021,4001-8000,0,0,0,,,0,,1,238,0
265,1,121022,4001-8000,0,0,0,,,0,,1,237,0
266,1,121023,4001-8000,0,0,0,,,0,,1,236,0
267,1,121024,4001-8000,0,0,0,,,0,,1,235,0
268,1,121025,4001-8000,0,0,0,,,0,,1,234,0
269,1,121026,4001-8000,0,0,0,,,0,,1,233,0
270,53,12510,4001-18000,1,0,0,,,0,,5,232,2
271,1,121027,4001-8000,0,0,0,,,0,,1,231,0
272,1,121028,4001-8000,0,0,0,,,0,,1,230,0
273,1,121029,4001-8000,0,0,0,,,0,,1,229,0
274,1,121030,4001-8000,0,0,0,,,0,,1,228,0
275,1,121031,4001-8000,0,0,0,,,0,,1,227,0
276,1,121032,4001-8000,0,0,0,,,0,,1,226,0
277,1,121033,4001-8000,0,0,0,,,0,,1,225,0
278,1,121034,4001-8000,0,0,0,,,0,,1,224,0
279,1,121035,4001-8000,0,0,0,,,0,,1,223,0
280,1,121036,4001-8000,0,0,0,,,0,,1,222,0
281,1,121037,4001-8000,0,0,0,,,0,,1,221,0
282,1,121038,4001-8000,0,0,0,,,0,,1,220,0
287,1,121043,4001-8000,0,0,0,,,0,,1,215,0
288,1,121044,4001-8000,0,0,0,,,0,,1,214,0
289,1,121045,4001-8000,0,0,0,,,0,,1,213,0
290,1,121046,4001-8000,0,0,0,,,0,,1,212,0
291,1,121047,4001-8000,0,0,0,,,0,,1,211,0
292,1,121048,4001-8000,0,0,0,,,0,,1,210,0
293,1,121049,4001-8000,0,0,0,,,0,,1,209,0
294,1,121050,4001-8000,0,0,0,,,0,,1,208,0
295,1,121051,4001-8000,0,0,0,,,0,,1,207,0
313,2,12633,4001-1200,1,0,0,,,1,,5,189,2
314,2,12634,4001-1200,1,0,0,,,1,,5,188,2
315,2,12635,4001-1200,1,0,0,,,1,,5,187,2
316,2,12636,4001-1200,1,0,0,,,1,,5,186,2
317,2,12637,4001-1200,1,0,0,,,1,,5,185,2
318,2,12638,4001-1200,1,0,0,,,1,,5,184,2
319,2,12639,4001-1200,1,0,0,,,1,,5,183,2
320,2,12640,4001-1200,1,0,0,,,1,,5,182,2
321,2,12641,4001-1200,1,0,0,,,1,,5,181,2
322,2,12642,4001-1200,1,0,0,,,1,,5,180,2
323,1,121052,4001-8000,0,0,0,,,1,,1,179,0
324,1,121053,4001-8000,0,0,0,,,1,,1,178,0
325,1,121054,4001-8000,0,0,0,,,1,,1,177,0
326,1,121055,4001-8000,0,0,0,,,1,,1,176,0
330,1,121059,4001-8000,0,0,0,,,0,,1,172,0
