mission_id,team_effect,month_team_count,team_count,mp,ammo,mre,part,duration,experience,expect_gun_level,get_gun_num,gun_n_pool,gun_1_pool,limit_guns,get_equip_num,equip_n_pool,equip_1_pool,limit_equips,draw_event_id
61,9500,1,2,540,540,540,180,8100,440,87,5,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|12|27|18|58|70|34|37|89|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|12|27|18|58|70|34|37|89|80|1|99|26,,0,0,0,,0
62,10000,1,2,630,630,630,210,9300,510,89,7,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|22|6|29|32|58|61|44|37|86|77|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|22|6|29|32|58|61|44|37|86|77|100|101|118,,0,0,0,,0
63,10500,1,2,720,720,720,240,10800,600,91,8,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|8|22|27|70|61|44|34|77|80|0,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|8|22|27|70|61|44|34|77|80|103|39|69|78,,0,0,0,,0
64,11500,1,2,1000,1000,1000,350,14400,750,93,9,9|2|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|0,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|36|66|88|35|20,35,0,0,0,,0
65,10000,1,2,270,270,270,90,3900,315,87,5,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|87|82|3|12|27|22|70|61|34|37|89|80|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|87|82|3|12|27|22|70|61|34|37|89|80|1|69,,0,0,0,,0
66,10500,1,2,300,300,300,100,4500,270,88,5,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|3|6|29|32|58|61|34|44|86|77|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|3|6|29|32|58|61|34|44|86|77|26|36,,0,0,0,,0
67,10500,1,2,420,420,420,140,6300,415,89,6,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|11|14|18|29|58|70|37|44|80|77|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|11|14|18|29|58|70|37|44|80|77|75|66|99,,0,0,0,,0
68,11000,1,2,540,540,540,180,8100,550,90,8,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|8|12|22|32|105|70|61|44|34|37|86|89|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|8|12|22|32|105|70|61|44|34|37|86|89|60|100|26,,0,0,0,,0
69,11500,1,2,480,480,480,160,7200,400,91,5,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|3|14|11|12|29|27|18|32|58|61|70|44|37|34|77|80|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|3|14|11|12|29|27|18|32|58|61|70|44|37|34|77|80|101|39|88|1,,0,0,0,,0
70,12500,1,2,720,720,720,240,10800,600,93,6,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|0,139|141|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|85|101|36|118|140,140,0,0,0,,0
71,11500,1,2,450,450,450,150,6600,380,89,5,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|12|27|18|58|70|34|37|89|80|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|3|12|27|18|58|70|34|37|89|80|99|101|39,,0,0,0,,0
72,12500,1,2,660,660,660,220,9600,560,91,6,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|22|6|29|32|58|61|44|37|86|77|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|22|6|29|32|58|61|44|37|86|77|1|66|78,,0,0,0,,0
73,14000,1,2,720,720,720,240,10500,600,96,6,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|8|22|27|70|61|44|34|77|80|0,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|8|22|27|70|61|44|34|77|80|26|42|118|88,,0,0,0,,0
74,16000,1,2,1200,1200,1200,400,16200,900,99,7,139|141|5|10|90|91|92|17|25|93|24|31|33|133|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|0,139|141|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|107|51|47|40|41|52|87|82|110|81|111|11|14|3|12|29|27|18|32|58|61|70|44|37|34|80|89|36|69|75|140|109,140,0,0,0,,0
75,11500,1,2,360,360,360,120,4800,330,93,5,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|0,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|26|39|60,,0,0,0,,0
76,12000,1,2,420,420,420,140,5700,380,94,5,5|10|91|141|21|25|33|93|94|40|47|52|68|74|133|82|110|6|11|13|3|22|29|34|44|61|105|80|89|0,5|10|91|141|21|25|33|93|94|40|47|52|68|74|133|82|110|6|11|13|3|22|29|34|44|61|105|80|89|1|36|78,,0,0,0,,0
77,12500,1,2,450,450,450,150,6000,400,95,5,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|0,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|99|69|75,,0,0,0,,0
78,13000,1,2,480,480,480,160,6300,420,96,5,5|10|91|141|21|25|33|93|94|40|47|52|68|74|133|82|110|6|11|13|3|22|29|34|44|61|105|80|89|0,5|10|91|141|21|25|33|93|94|40|47|52|68|74|133|82|110|6|11|13|3|22|29|34|44|61|105|80|89|103|66|88,,0,0,0,,0
79,14000,1,2,510,510,510,170,6600,440,97,6,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|0,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|100|101|42|118,,0,0,0,,0
80,16000,1,2,960,960,960,320,10800,720,99,8,5|10|91|141|21|25|33|93|94|40|47|52|68|74|133|82|110|6|11|13|3|22|29|34|44|61|105|80|89|0,5|10|91|141|21|25|33|93|94|40|47|52|68|74|133|82|110|6|11|13|3|22|29|34|44|61|105|80|89|26|36|72|78|169,169,0,0,0,,0
81,14000,1,2,600,600,600,200,7800,520,100,5,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|0,2|9|90|139|17|24|31|92|94|41|51|63|71|107|81|87|111|3|8|12|14|18|27|32|37|58|70|77|86|1|101|42|88,,0,0,0,,0
