id,sangvis_id,sangvis_level,life,sangvis_advance,sangvis_shape_n,sangvis_resolution_level,skill1,skill2,skill3,skill_advance,chip1,chip2,favor
584206,2012,80,100,5,5,4,5,5,5,5,0,0,90000
584207,2012,80,100,5,5,4,5,5,5,5,0,0,90000
584208,2006,80,100,5,5,4,5,5,5,5,0,0,90000
584209,3010,80,100,5,5,4,5,5,5,5,0,0,90000
585501,1005,75,100,3,2,4,10,10,5,5,0,0,90000
585502,2006,75,100,3,2,4,0,0,5,5,0,0,90000
585503,2005,75,100,3,2,4,0,0,5,5,0,0,90000
585504,2005,75,100,3,2,4,0,0,5,5,0,0,90000
585505,2005,75,100,3,2,4,0,0,5,5,0,0,90000
585506,2006,75,100,3,2,4,0,0,5,5,0,0,90000
585507,2006,75,100,3,2,4,0,0,5,5,0,0,90000
587001,1005,100,100,3,2,4,10,10,5,5,0,0,90000
587002,2006,100,100,3,2,4,0,0,5,5,0,0,90000
587003,2005,100,100,3,2,4,0,0,5,5,0,0,90000
587004,2005,100,100,3,2,4,0,0,5,5,0,0,90000
587005,2005,100,100,3,2,4,0,0,5,5,0,0,90000
587006,2006,100,100,3,2,4,0,0,5,5,0,0,90000
587007,2006,100,100,3,2,4,0,0,5,5,0,0,90000
587301,1009,100,100,5,5,4,10,10,5,5,0,0,90000
587302,2015,100,100,5,5,4,5,5,5,5,0,0,90000
587303,2015,100,100,5,5,4,5,5,5,5,0,0,90000
587304,2004,100,100,5,5,4,5,5,5,5,0,0,90000
587305,2004,100,100,5,5,4,5,5,5,5,0,0,90000
587306,2012,100,100,5,5,4,5,5,5,5,0,0,90000
587307,2012,100,100,5,5,4,5,5,5,5,0,0,90000
587308,2006,100,100,5,5,4,5,5,5,5,0,0,90000
587309,3010,100,100,5,5,4,5,5,5,5,0,0,90000
587401,1011,100,100,5,5,4,10,10,5,5,0,0,90000
770001,1012,100,100,5,5,4,10,10,10,10,0,0,90000
770002,9002,100,100,5,5,4,0,0,0,5,0,0,90000
770003,9003,100,100,5,5,4,0,0,0,5,0,0,90000
770004,9004,100,100,5,5,4,0,0,0,5,0,0,90000
770005,9005,100,100,5,5,4,0,0,0,5,0,0,90000
770006,9006,100,100,5,5,4,0,0,0,5,0,0,90000
770007,9007,100,100,5,5,4,0,0,0,5,0,0,90000
770008,9008,100,100,5,5,4,0,0,0,5,0,0,90000
770009,9009,100,100,5,5,4,0,0,0,5,0,0,90000
4110301,1006,40,100,3,1,3,2,2,2,0,0,0,90000
4110302,3004,40,100,2,2,2,0,0,0,0,0,0,90000
4110303,3004,40,100,2,2,2,0,0,0,0,0,0,90000
4110304,2003,40,100,2,2,2,0,0,0,0,0,0,90000
4110305,2003,40,100,2,2,2,0,0,0,0,0,0,90000
4110801,1006,50,80,3,1,3,2,2,2,0,0,0,90000
4110802,3004,50,70,2,2,2,0,0,0,0,0,0,90000
4110803,3004,50,70,2,2,2,0,0,0,0,0,0,90000
4110804,2003,50,80,2,2,2,0,0,0,0,0,0,90000
4110805,2003,50,80,2,2,2,0,0,0,0,0,0,90000
4140601,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140602,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140603,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140604,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140605,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140606,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140607,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140608,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140611,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140612,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140613,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140614,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140615,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140616,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140617,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140618,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140621,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140622,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140623,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140624,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140625,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140626,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140627,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140628,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140631,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140632,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140633,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140634,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140635,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140636,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140637,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140638,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140641,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140642,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140643,3003,80,100,3,2,4,0,0,0,0,0,0,90000
4140644,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140645,2002,80,100,3,2,2,0,0,0,0,0,0,90000
4140646,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140647,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140648,3004,80,100,3,2,4,0,0,0,0,0,0,90000
4140801,9001,100,100,5,2,4,10,10,10,10,0,0,90000
6000001,2002,30,100,2,2,2,0,0,0,0,0,0,90000
6000002,1008,30,100,5,2,3,5,5,5,0,0,0,90000
6000003,2012,30,100,3,2,3,0,0,0,0,0,0,90000
6000004,2012,30,100,3,2,3,0,0,0,0,0,0,90000
6000005,2003,30,100,5,2,3,0,0,0,0,0,0,90000
6000006,2006,100,100,5,2,4,5,5,5,5,0,0,90000
6000007,1008,100,100,5,1,4,10,10,10,10,0,0,150000
6000008,2004,100,100,5,2,4,5,5,5,5,0,0,90000
6000009,2004,100,100,5,2,4,5,5,5,5,0,0,90000
6000010,2003,100,100,5,2,4,5,5,5,5,0,0,90000
6510101,1006,100,100,3,2,4,10,10,5,5,0,0,90000
6510102,2009,100,100,3,2,4,0,0,5,5,0,0,90000
6510103,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510104,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510201,1010,100,100,3,2,4,10,10,5,5,0,0,90000
6510202,2009,100,100,3,2,4,0,0,5,5,0,0,90000
6510203,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510204,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510301,2006,100,100,3,2,4,0,0,5,5,0,0,90000
6510303,2006,100,100,3,2,4,0,0,5,5,0,0,90000
6510304,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510305,2004,100,100,3,2,4,0,0,5,5,0,0,90000
6510306,2004,100,100,3,2,4,0,0,5,5,0,0,90000
9720031,1027,100,100,5,5,4,10,10,5,5,0,0,90000
9720032,2006,100,100,5,5,4,0,0,5,5,0,0,90000
9720033,3009,100,100,5,5,4,0,0,0,5,0,0,90000
9720034,2015,100,100,5,5,4,0,0,5,5,0,0,90000
9720035,2015,100,100,5,5,4,0,0,5,5,0,0,90000
9720041,1027,100,100,5,5,4,10,10,5,5,0,0,90000
9720042,2006,100,100,5,5,4,0,0,5,5,0,0,90000
9720043,3009,100,100,5,5,4,0,0,0,5,0,0,90000
9720044,2015,100,100,5,5,4,0,0,5,5,0,0,90000
9720045,2015,100,100,5,5,4,0,0,5,5,0,0,90000
9720046,2013,100,100,5,5,4,0,0,5,5,0,0,90000
9720047,2013,100,100,5,5,4,0,0,5,5,0,0,90000
