id,name,code,description,lvup_description,skill_group_id,level,train_coin_type,train_coin_number,skill_up_time,spot_type,spot_belong,spot_echelon,cd_time,cd_time_type,consumption,start_range,is_night,data_pool,is_airborne,airborne_mission_buff_config_id,effect_cast,effect_self,effect_target,trigger_id,target_id,special_spot_add,special_spot_minus,mission_buff_add,mission_buff_minus,subsidiary_mission_skill,is_manual,allyteam_summoner,ap_cost,consumption_item,drop_item,fun_game_type,fun_game_name,fun_game_result_sub
701,mission_skill_config-10000701,target,mission_skill_config-20000701,mission_skill_config-30000701,7,1,0,0,0,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
702,mission_skill_config-10000702,target,mission_skill_config-20000702,mission_skill_config-30000702,7,2,1,200,7200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
703,mission_skill_config-10000703,target,mission_skill_config-20000703,mission_skill_config-30000703,7,3,1,400,21600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
704,mission_skill_config-10000704,target,mission_skill_config-20000704,mission_skill_config-30000704,7,4,1,600,36000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
705,mission_skill_config-10000705,target,mission_skill_config-20000705,mission_skill_config-30000705,7,5,2,240,50400,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
706,mission_skill_config-10000706,target,mission_skill_config-20000706,mission_skill_config-30000706,7,6,2,400,72000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
707,mission_skill_config-10000707,target,mission_skill_config-20000707,mission_skill_config-30000707,7,7,2,600,93600,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
708,mission_skill_config-10000708,target,mission_skill_config-20000708,mission_skill_config-30000708,7,8,2,800,115200,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
709,mission_skill_config-10000709,target,mission_skill_config-20000709,mission_skill_config-30000709,7,9,3,400,144000,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
710,mission_skill_config-10000710,target,mission_skill_config-20000710,mission_skill_config-30000710,7,10,3,600,172800,-1,-1,-1,1,0,40,0,0,1,0,0,0,0,0,,,6:1,,,,,0,,0,,,0,,
801,mission_skill_config-10000801,reinforce,mission_skill_config-20000801,mission_skill_config-30000801,8,1,0,0,0,-1,-1,1,1,0,2,0,0,3,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
802,mission_skill_config-10000802,reinforce,mission_skill_config-20000802,mission_skill_config-30000802,8,2,1,200,7200,-1,-1,1,1,0,2,0,0,3.5,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
803,mission_skill_config-10000803,reinforce,mission_skill_config-20000803,mission_skill_config-30000803,8,3,1,400,21600,-1,-1,1,1,0,2,0,0,4,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
804,mission_skill_config-10000804,reinforce,mission_skill_config-20000804,mission_skill_config-30000804,8,4,1,600,36000,-1,-1,1,1,0,2,0,0,4.5,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
805,mission_skill_config-10000805,reinforce,mission_skill_config-20000805,mission_skill_config-30000805,8,5,2,240,50400,-1,-1,1,1,0,2,0,0,5,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
806,mission_skill_config-10000806,reinforce,mission_skill_config-20000806,mission_skill_config-30000806,8,6,2,400,72000,-1,-1,1,1,0,2,0,0,6,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
807,mission_skill_config-10000807,reinforce,mission_skill_config-20000807,mission_skill_config-30000807,8,7,2,600,93600,-1,-1,1,1,0,2,0,0,7,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
808,mission_skill_config-10000808,reinforce,mission_skill_config-20000808,mission_skill_config-30000808,8,8,2,800,115200,-1,-1,1,1,0,2,0,0,8,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
809,mission_skill_config-10000809,reinforce,mission_skill_config-20000809,mission_skill_config-30000809,8,9,3,400,144000,-1,-1,1,1,0,2,0,0,9,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
810,mission_skill_config-10000810,reinforce,mission_skill_config-20000810,mission_skill_config-30000810,8,10,3,600,172800,-1,-1,1,1,0,2,0,0,10,0,0,0,0,0,,,8:1,,,,,0,,0,,,0,,
901,mission_skill_config-10000901,airborne,mission_skill_config-20000901,mission_skill_config-30000901,9,1,0,0,0,"3,-3,7,-7","0,1,2,3",0,5,0,5,3,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
902,mission_skill_config-10000902,airborne,mission_skill_config-20000902,mission_skill_config-30000902,9,2,1,200,7200,"3,-3,7,-7","0,1,2,3",0,5,0,5,3,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
903,mission_skill_config-10000903,airborne,mission_skill_config-20000903,mission_skill_config-30000903,9,3,1,400,21600,"3,-3,7,-7","0,1,2,3",0,5,0,5,3,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
904,mission_skill_config-10000904,airborne,mission_skill_config-20000904,mission_skill_config-30000904,9,4,1,600,36000,"3,-3,7,-7","0,1,2,3",0,5,0,5,4,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
905,mission_skill_config-10000905,airborne,mission_skill_config-20000905,mission_skill_config-30000905,9,5,2,240,50400,"3,-3,7,-7","0,1,2,3",0,5,0,5,4,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
906,mission_skill_config-10000906,airborne,mission_skill_config-20000906,mission_skill_config-30000906,9,6,2,400,72000,"3,-3,7,-7","0,1,2,3",0,5,0,5,5,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
907,mission_skill_config-10000907,airborne,mission_skill_config-20000907,mission_skill_config-30000907,9,7,2,600,93600,"3,-3,7,-7","0,1,2,3",0,5,0,5,5,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
908,mission_skill_config-10000908,airborne,mission_skill_config-20000908,mission_skill_config-30000908,9,8,2,800,115200,"3,-3,7,-7","0,1,2,3",0,5,0,5,6,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
909,mission_skill_config-10000909,airborne,mission_skill_config-20000909,mission_skill_config-30000909,9,9,3,400,144000,"3,-3,7,-7","0,1,2,3",0,5,0,5,6,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
910,mission_skill_config-10000910,airborne,mission_skill_config-20000910,mission_skill_config-30000910,9,10,3,600,172800,"3,-3,7,-7","0,1,2,3",0,5,0,5,99,0,1,1,10086,100861,0,100861,,,,,,,,0,,0,,,0,,
1001,mission_skill_config-10001001,Landmines,mission_skill_config-20001001,mission_skill_config-30001001,10,1,0,0,0,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,20,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1002,mission_skill_config-10001002,Landmines,mission_skill_config-20001002,mission_skill_config-30001002,10,2,1,200,7200,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,23,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1003,mission_skill_config-10001003,Landmines,mission_skill_config-20001003,mission_skill_config-30001003,10,3,1,400,21600,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,26,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1004,mission_skill_config-10001004,Landmines,mission_skill_config-20001004,mission_skill_config-30001004,10,4,1,600,36000,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,30,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1005,mission_skill_config-10001005,Landmines,mission_skill_config-20001005,mission_skill_config-30001005,10,5,2,240,50400,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,33,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1006,mission_skill_config-10001006,Landmines,mission_skill_config-20001006,mission_skill_config-30001006,10,6,2,400,72000,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,36,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1007,mission_skill_config-10001007,Landmines,mission_skill_config-20001007,mission_skill_config-30001007,10,7,2,600,93600,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,40,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1008,mission_skill_config-10001008,Landmines,mission_skill_config-20001008,mission_skill_config-30001008,10,8,2,800,115200,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,43,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1009,mission_skill_config-10001009,Landmines,mission_skill_config-20001009,mission_skill_config-30001009,10,9,3,400,144000,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,46,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1010,mission_skill_config-10001010,Landmines,mission_skill_config-20001010,mission_skill_config-30001010,10,10,3,600,172800,-1,"0,1,2,3","101,102,103,0",3,0,5,1,0,50,0,0,0,0,0,,100001590&&100001890,10:1,,,,,0,,0,,,0,,
1101,mission_skill_config-10001101,position,mission_skill_config-20001101,mission_skill_config-30001101,11,1,0,0,0,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,10,0,0,0,0,0,,100001590&&100001890,1101:1,,,,,0,,0,,,0,,
1102,mission_skill_config-10001102,position,mission_skill_config-20001102,mission_skill_config-30001102,11,2,1,200,7200,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,11,0,0,0,0,0,,100001590&&100001890,1102:1,,,,,0,,0,,,0,,
1103,mission_skill_config-10001103,position,mission_skill_config-20001103,mission_skill_config-30001103,11,3,1,400,21600,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,12,0,0,0,0,0,,100001590&&100001890,1103:1,,,,,0,,0,,,0,,
1104,mission_skill_config-10001104,position,mission_skill_config-20001104,mission_skill_config-30001104,11,4,1,600,36000,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,13,0,0,0,0,0,,100001590&&100001890,1104:1,,,,,0,,0,,,0,,
1105,mission_skill_config-10001105,position,mission_skill_config-20001105,mission_skill_config-30001105,11,5,2,240,50400,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,14,0,0,0,0,0,,100001590&&100001890,1105:1,,,,,0,,0,,,0,,
1106,mission_skill_config-10001106,position,mission_skill_config-20001106,mission_skill_config-30001106,11,6,2,400,72000,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,15,0,0,0,0,0,,100001590&&100001890,1106:1,,,,,0,,0,,,0,,
1107,mission_skill_config-10001107,position,mission_skill_config-20001107,mission_skill_config-30001107,11,7,2,600,93600,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,16,0,0,0,0,0,,100001590&&100001890,1107:1,,,,,0,,0,,,0,,
1108,mission_skill_config-10001108,position,mission_skill_config-20001108,mission_skill_config-30001108,11,8,2,800,115200,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,17,0,0,0,0,0,,100001590&&100001890,1108:1,,,,,0,,0,,,0,,
1109,mission_skill_config-10001109,position,mission_skill_config-20001109,mission_skill_config-30001109,11,9,3,400,144000,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,18,0,0,0,0,0,,100001590&&100001890,1109:1,,,,,0,,0,,,0,,
1110,mission_skill_config-10001110,position,mission_skill_config-20001110,mission_skill_config-30001110,11,10,3,600,172800,-1,"0,1,2,3","101,102,103,0",3,0,10,1,0,20,0,0,0,0,0,,100001590&&100001890,1110:1,,,,,0,,0,,,0,,
1201,mission_skill_config-10001201,fortress,mission_skill_config-20001201,mission_skill_config-30001201,12,1,0,0,0,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1202,mission_skill_config-10001202,fortress,mission_skill_config-20001202,mission_skill_config-30001202,12,2,1,200,7200,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1203,mission_skill_config-10001203,fortress,mission_skill_config-20001203,mission_skill_config-30001203,12,3,1,400,21600,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1204,mission_skill_config-10001204,fortress,mission_skill_config-20001204,mission_skill_config-30001204,12,4,1,600,36000,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1205,mission_skill_config-10001205,fortress,mission_skill_config-20001205,mission_skill_config-30001205,12,5,2,240,50400,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1206,mission_skill_config-10001206,fortress,mission_skill_config-20001206,mission_skill_config-30001206,12,6,2,400,72000,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1207,mission_skill_config-10001207,fortress,mission_skill_config-20001207,mission_skill_config-30001207,12,7,2,600,93600,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1208,mission_skill_config-10001208,fortress,mission_skill_config-20001208,mission_skill_config-30001208,12,8,2,800,115200,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1209,mission_skill_config-10001209,fortress,mission_skill_config-20001209,mission_skill_config-30001209,12,9,3,400,144000,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1210,mission_skill_config-10001210,fortress,mission_skill_config-20001210,mission_skill_config-30001210,12,10,3,600,172800,-1,-1,-1,3,0,5,0,0,0,0,0,0,0,0,,,12:1,,,,,0,,0,,,0,,
1301,mission_skill_config-10001301,command,mission_skill_config-20001301,mission_skill_config-30001301,13,1,0,0,0,-1,-1,-1,1,0,1,0,0,1.05,0,0,0,0,0,,,13:1,,,,,0,,0,,,0,,
1302,mission_skill_config-10001302,command,mission_skill_config-20001302,mission_skill_config-30001302,13,2,1,200,7200,-1,-1,-1,1,0,1,0,0,1.08,0,0,0,0,0,,,13:1,,,,,0,,0,,,0,,
1303,mission_skill_config-10001303,command,mission_skill_config-20001303,mission_skill_config-30001303,13,3,1,400,21600,-1,-1,-1,1,0,1,0,0,1.1,0,0,0,0,0,,,13:1,,,,,0,,0,,,0,,
1304,mission_skill_config-10001304,command,mission_skill_config-20001304,mission_skill_config-30001304,13,4,1,600,36000,-1,-1,-1,1,0,1,0,0,1.12,0,0,0,0,0,,,13:1,,,,,0,,0,,,0,,
