id,name,code,description,priority,duration,delay,size,sound,spine,if_starting,relative_position,offset,rotation_offset,is_focus,use_ease
1016,mission_effect_config-10001016,zsd_left,mission_effect_config-20001016,0,0.0,0.0,1.0,0,0,0,0,0|150,,0,0
1017,mission_effect_config-10001017,zsd_up,mission_effect_config-20001017,0,0.0,0.0,1.0,0,0,0,0,-120|0,,0,0
1018,mission_effect_config-10001018,zsd_down,mission_effect_config-20001018,0,0.0,0.0,1.0,0,0,0,0,-120|0,,0,0
1019,mission_effect_config-10001019,hfq_zt,mission_effect_config-20001019,0,0.0,0.0,0.1,0,0,0,0,0|0,,0,0
1020,mission_effect_config-10001020,jy_hudie,mission_effect_config-20001020,1,0.0,0.0,0.30000000000000004,0,0,0,0,0|150,,0,0
70021,mission_effect_config-10070021,M_buff04,mission_effect_config-20070021,5,0.0,0.0,1.5,,0,0,0,50|120;0|0,,1,0
70022,mission_effect_config-10070022,M_buff01,mission_effect_config-20070022,5,0.0,0.0,1.5,,0,0,0,50|120;0|0,,1,0
100861,mission_effect_config-10100861,Heli,mission_effect_config-20100861,0,1.0,0.0,1.0,UI_helicopter_loop,1,0,0,0|0,,0,0
900001,mission_effect_config-10900001,effectPowerup,mission_effect_config-20900001,0,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
900002,mission_effect_config-10900002,effectNoDrop,mission_effect_config-20900002,3,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
900003,mission_effect_config-10900003,Mission_gas,mission_effect_config-20900003,9,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1000011,mission_effect_config-11000011,Empty,mission_effect_config-21000011,0,1.0,0.0,1.0,BT_LockGate_Open,0,0,0,0|0,,0,0
1000012,mission_effect_config-11000012,Empty,mission_effect_config-21000012,0,1.0,0.0,1.0,BT_LockGate_Close,0,0,0,0|0,,0,0
1000013,mission_effect_config-11000013,Empty,mission_effect_config-21000013,0,1.0,0.0,1.0,BT_console_start,0,0,0,0|0,,0,0
1000014,mission_effect_config-11000014,Empty,mission_effect_config-21000014,0,1.0,0.0,1.0,BT_ControlStation_Freeze,0,0,0,0|0,,0,0
1000015,mission_effect_config-11000015,dilei_baoza,mission_effect_config-21000015,0,1.0,0.0,1.0,BT_RockExplo,0,0,0,0|0,,0,0
1000016,mission_effect_config-11000016,EMP,mission_effect_config-21000016,0,3.0,0.0,1.0,map_emp_explo,0,0,0,0|0,,0,0
1000017,mission_effect_config-11000017,build_baoza,mission_effect_config-21000017,99,1.0,0.0,0.8,BT_grenade_explode,0,0,0,0|0,,0,0
1000018,mission_effect_config-11000018,Y(Bmap)_qiaoduan,mission_effect_config-21000018,0,0.0,0.0,1.0,0,0,0,0,50|55,,0,0
1000019,mission_effect_config-11000019,Soak,mission_effect_config-21000019,0,0.0,0.0,1.5,0,0,0,0,0|0,,0,0
1000020,mission_effect_config-11000020,PortableEMP,mission_effect_config-21000020,0,3.0,0.0,1.0,map_emp_explo,0,0,0,0|0,,0,0
1000021,mission_effect_config-11000021,dzrq_2Dzhengti01,mission_effect_config-21000021,0,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1000022,mission_effect_config-11000022,dzrq_2Dzhengti02,mission_effect_config-21000022,0,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1000023,mission_effect_config-11000023,dzrq_2Dzhengti03,mission_effect_config-21000023,0,0.0,0.0,1.0,0,0,0,0,0|0,,0,0
1000024,mission_effect_config-11000024,bian_sz,mission_effect_config-21000024,1,0.0,0.0,0.1,0,0,0,0,0|0,,0,0
1000025,mission_effect_config-11000025,sgd_tuowei,mission_effect_config-21000025,0,1.0,0.33,1.0,BT_The_Division_Flash_Bomb,0,1,0,0|0,,0,0
1000026,mission_effect_config-11000026,sgd_baozha,mission_effect_config-21000026,0,0.0,0.0,1.0,BT_The_Division_Flash_Bomb_Explosion,0,0,0,0|0,,0,0
1000027,mission_effect_config-11000027,sld_tuowei,mission_effect_config-21000027,0,1.0,0.33,1.0,BT_The_Division_Grenade,0,1,0,0|0,,0,0
1000028,mission_effect_config-11000028,build_baoza,mission_effect_config-21000028,0,0.0,0.0,1.0,BT_The_Division_Grenade_Explosion,0,0,0,0|0,,0,0
1000029,mission_effect_config-11000029,Machine_Gun_Tower_Action,mission_effect_config-21000029,0,1.0,0.0,1.0,BT_The_Division_Machine_Gun_Tower,0,0,0,0|0,,0,0
1000030,mission_effect_config-11000030,MGT_shouji,mission_effect_config-21000030,0,1.0,0.0,1.0,0,0,0,0,0|0,,0,0
1000031,mission_effect_config-11000031,Machine_Gun_Tower_Action,mission_effect_config-21000031,0,0.0,0.2,1.0,0,3,0,0,0|0,,0,0
1000032,mission_effect_config-11000032,Machine_Gun_Tower_Action,mission_effect_config-21000032,0,1.0,0.0,1.0,BT_The_Division_Machine_Gun_Tower_Shooting,4,0,0,0|0,,0,0
1000033,mission_effect_config-11000033,qx_shuzi00,mission_effect_config-21000033,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000034,mission_effect_config-11000034,qx_shuzi01,mission_effect_config-21000034,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000035,mission_effect_config-11000035,qx_shuzi02,mission_effect_config-21000035,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000036,mission_effect_config-11000036,qx_shuzi03,mission_effect_config-21000036,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000037,mission_effect_config-11000037,qx_shuzi04,mission_effect_config-21000037,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000038,mission_effect_config-11000038,qx_shuzi05,mission_effect_config-21000038,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000039,mission_effect_config-11000039,qx_shuzi06,mission_effect_config-21000039,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000040,mission_effect_config-11000040,qx_shuzi07,mission_effect_config-21000040,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000041,mission_effect_config-11000041,qx_shuzi08,mission_effect_config-21000041,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000042,mission_effect_config-11000042,qx_shuzi09,mission_effect_config-21000042,10,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000043,mission_effect_config-11000043,Battlefield_fire,mission_effect_config-21000043,0,1.0,0.0,1.0,BT_squad_howitzer,0,0,0,0|0,,0,0
1000044,mission_effect_config-11000044,build_baoza,mission_effect_config-21000044,0,1.0,0.0,0.8,BT_grenade_explode,0,0,0,0|0,,0,0
1000045,mission_effect_config-11000045,dian_guangzhu,mission_effect_config-21000045,0,1.0,0.0,0.01,,0,0,0,0|0,,0,0
1000046,mission_effect_config-11000046,ddl_saomiao,mission_effect_config-21000046,0,5.0,0.0,1.0,SFX_20_Winter_Radar_Scan,0,0,0,0|0,,0,0
1000047,mission_effect_config-11000047,sheshi_xian,mission_effect_config-21000047,0,1.0,0.0,0.05,,0,0,0,0|0,,0,0
1000048,mission_effect_config-11000048,Empty,mission_effect_config-21000048,0,1.0,0.0,1.0,SFX_20_Winter_Boom,0,0,0,0|0,,0,0
1000049,mission_effect_config-11000049,Empty,mission_effect_config-21000049,0,1.0,0.0,1.0,SFX_20_Winter_Buff,0,0,0,0|0,,0,0
1000050,mission_effect_config-11000050,Empty,mission_effect_config-21000050,0,1.0,0.0,1.0,SFX_20_Winter_Debuff,0,0,0,0|0,,0,0
1000051,mission_effect_config-11000051,Empty,mission_effect_config-21000051,0,1.0,0.5,1.0,BT_rotate,0,0,0,0|0,,0,0
1000052,mission_effect_config-11000052,golyatlpg_d,mission_effect_config-21000052,0,1.0,0.0,1.0,,0,3,-500|1000,0|0,,0,0
1000053,mission_effect_config-11000053,build_baoza,mission_effect_config-21000053,0,0.0,0.0,1.0,BT_The_Division_Grenade_Explosion,0,0,0,0|0,,0,0
1000054,mission_effect_config-11000054,skidarrow04,mission_effect_config-21000054,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000055,mission_effect_config-11000055,skidarrow03,mission_effect_config-21000055,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000056,mission_effect_config-11000056,skidarrow02,mission_effect_config-21000056,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000057,mission_effect_config-11000057,skidarrow01,mission_effect_config-21000057,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000058,mission_effect_config-11000058,bomb_shuzi00,mission_effect_config-21000058,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000059,mission_effect_config-11000059,bomb_shuzi01,mission_effect_config-21000059,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000060,mission_effect_config-11000060,bomb_shuzi02,mission_effect_config-21000060,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000061,mission_effect_config-11000061,bomb_shuzi03,mission_effect_config-21000061,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000062,mission_effect_config-11000062,bomb_shuzi04,mission_effect_config-21000062,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000063,mission_effect_config-11000063,bomb_shuzi05,mission_effect_config-21000063,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000064,mission_effect_config-11000064,bomb_shuzi06,mission_effect_config-21000064,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000065,mission_effect_config-11000065,bomb_shuzi07,mission_effect_config-21000065,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000066,mission_effect_config-11000066,bomb_shuzi08,mission_effect_config-21000066,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000067,mission_effect_config-11000067,bomb_shuzi09,mission_effect_config-21000067,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000068,mission_effect_config-11000068,Empty,mission_effect_config-21000068,0,1.0,0.0,1.0,SFX_20_Winter_Password,0,0,0,0|0,,0,0
1000069,mission_effect_config-11000069,build_baoza_1,mission_effect_config-21000069,10,2.0,0.0,1.0,BT_grenade_explode,0,0,0,0|0,,0,0
1000070,mission_effect_config-11000070,Bushu_ice01,mission_effect_config-21000070,10,0.0,0.0,1.0,,0,0,0,0|0,,0,0
1000071,mission_effect_config-11000071,Bushu_ice02,mission_effect_config-21000071,10,1.0,0.0,1.0,Equip_Ice,0,0,0,0|0,,0,0
1000072,mission_effect_config-11000072,Bushu_xz_yan,mission_effect_config-21000072,10,1.0,0.0,1.0,Equip_Smoke,0,0,0,0|0,,0,0
1000073,mission_effect_config-11000073,jashinchan_eat,mission_effect_config-21000073,48,3.0,0.0,1.0,,2,0,0,0|200,,0,0
1000074,mission_effect_config-11000074,ddl_xingxing,mission_effect_config-21000074,0,0.0,0.0,1.0,,0,0,0,0|0,,0,0
1000075,mission_effect_config-11000075,Viscosity_Bomb,mission_effect_config-21000075,1,0.46,0.0,0.5,21Summer_Bomb_Whoosh,0,3,-800|1000,0|0,,0,0
1000076,mission_effect_config-11000076,Viscosity_Bomb,mission_effect_config-21000076,1,0.0,0.86,0.5,21Summer_Bomb_Alarm,2,0,0,0|0,,0,0
1000077,mission_effect_config-11000077,skidarrow64340,mission_effect_config-21000077,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000078,mission_effect_config-11000078,skidarrow64361,mission_effect_config-21000078,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000079,mission_effect_config-11000079,skidarrow64367,mission_effect_config-21000079,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000080,mission_effect_config-11000080,skidarrow64363,mission_effect_config-21000080,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000081,mission_effect_config-11000081,Empty,mission_effect_config-21000081,0,1.0,0.0,1.0,BT_grenade_explode,0,0,0,0|0,,0,0
1000082,mission_effect_config-11000082,SpotTarget0,mission_effect_config-21000082,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000083,mission_effect_config-11000083,MGT_shouji,mission_effect_config-21000083,0,0.5,0.0,0.02,0,0,0,0,0|0,,0,0
1000084,mission_effect_config-11000084,MGT_shouji_1,mission_effect_config-21000084,0,0.5,0.0,0.02,BT_Sniper_skill_1,0,0,0,0|0,,0,0
1000085,mission_effect_config-11000085,skidarrow05,mission_effect_config-21000085,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000086,mission_effect_config-11000086,skidarrow06,mission_effect_config-21000086,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000088,mission_effect_config-11000088,skidarrow08,mission_effect_config-21000088,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000089,mission_effect_config-11000089,build_baoza_1,mission_effect_config-21000089,10,1.0,0.5,1.0,UI_Missile_Attack_Delay1,0,0,0,0|0,,0,0
1000090,mission_effect_config-11000090,chuansong_03xh,mission_effect_config-21000090,0,0.0,0.0,0.02,0,0,0,0,90|35,,0,0
1000091,mission_effect_config-11000091,chuansong_03,mission_effect_config-21000091,5,1.0,0.0,0.05,,0,0,0,0|0,,0,0
1000092,mission_effect_config-11000092,力场盾,mission_effect_config-21000092,200,1.0,0.0,1.0,UI_Spe_Build_Buff,0,0,0,0|0,,0,0
1000093,mission_effect_config-11000093,powerUp,mission_effect_config-21000093,200,1.0,0.0,1.0,UI_Spe_Build_Buff,0,0,0,0|0,,0,0
1000094,mission_effect_config-11000094,build_baoza+emp,mission_effect_config-21000094,10,1.0,0.5,1.0,UI_Missile_Attack_Delay2,0,0,0,0|0,,0,0
1000095,mission_effect_config-11000095,Empty,mission_effect_config-21000095,0,1.0,0.0,1.0,UI_Build_Construct,0,0,0,0|0,,0,0
1000096,mission_effect_config-11000096,Empty,mission_effect_config-21000096,0,1.0,0.0,1.0,UI_Build_Upgrade,0,0,0,0|0,,0,0
1000097,mission_effect_config-11000097,Empty,mission_effect_config-21000097,0,1.0,0.0,1.0,UI_Spe_Build_Buff,0,0,0,0|0,,0,0
1000098,mission_effect_config-11000098,Empty,mission_effect_config-21000098,0,1.0,0.0,1.0,UI_Spe_Build_Portal,0,0,0,0|0,,0,0
1000099,mission_effect_config-11000099,Viscosity_Bomb,mission_effect_config-21000099,1,0.0,0.86,0.5,,2,0,0,0|0,,0,0
1000100,mission_effect_config-11000100,CanDestroyBuildTip,mission_effect_config-21000100,1,0.0,0.0,1.0,,0,0,0,0|0,,0,0
1000101,mission_effect_config-11000101,Empty,mission_effect_config-21000101,0,1.0,0.0,1.0,2022_white_valentine_Chocolate,0,0,0,0|0,,0,0
1000102,mission_effect_config-11000102,GQ_yanhua,mission_effect_config-21000102,0,3.0,0.0,1.0,2022_Bikini_Fireworks,0,0,0,0|0,,0,0
1000103,mission_effect_config-11000103,XDZY_TY2,mission_effect_config-21000103,1,2.0,-1.0,4.0,,0,0,0,0|0,,0,0
1000104,mission_effect_config-11000104,LLS_hongzha02,mission_effect_config-21000104,1,2.0,-2.0,2.0,Blackjack_attack1,0,0,0,0|0,,0,0
1000105,mission_effect_config-11000105,Dian_tiepian02,mission_effect_config-21000105,-1,0.0,0.0,1.0,,0,0,0,0|20,,0,0
1000106,mission_effect_config-11000106,Dian_tiepian03,mission_effect_config-21000106,-1,0.0,0.0,1.0,,0,0,0,0|100,,0,0
1000107,mission_effect_config-11000107,Dian_tiepian01,mission_effect_config-21000107,-1,0.0,0.0,1.0,,0,0,0,0|100,,0,0
1000108,mission_effect_config-11000108,Dian_tiepian04,mission_effect_config-21000108,-1,0.0,0.0,1.2,,0,0,0,0|50,,0,0
1000109,mission_effect_config-11000109,Fly_tu160,mission_effect_config-21000109,1,3.0,0.0,2.0,Blackjack_flying,0,4,0|0;0|0;0|0;1|1,-5500|-5500;6500|6500,0|0|45;0|0|45,2|0.5|1,0
1000110,mission_effect_config-11000110,DXG_combo_fire02,mission_effect_config-21000110,-1,0.0,0.0,0.01,,0,0,0,-20|-50,,0,0
1000111,mission_effect_config-11000111,ddl_xingxing,mission_effect_config-21000111,-1,0.0,0.0,0.01,,0,0,0,0|0,,0,0
1000112,mission_effect_config-11000112,bushu_moon,mission_effect_config-21000112,-1,0.0,0.0,1.0,,0,0,0,0|0,,0,0
1000113,mission_effect_config-11000113,MGT_shouji,mission_effect_config-21000113,0,1.0,0.0,0.02,0,0,0,0,0|0,,0,0
1000114,mission_effect_config-11000114,zhgq_by_01,mission_effect_config-21000114,5,1.5,0.5,2.5,,0,0,0,0|0,,1,0
1000115,mission_effect_config-11000115,zhgq_by_02,mission_effect_config-21000115,5,1.5,0.5,3.0,,0,0,0,0|0,,1,0
1000116,mission_effect_config-11000116,zhgq_by_03,mission_effect_config-21000116,5,1.5,0.5,2.5,,0,0,0,0|80,,1,0
1000117,mission_effect_config-11000117,zhgq_by_bq01,mission_effect_config-21000117,5,1.5,1.5,1.0,,0,0,0,0|0,,0,0
1000118,mission_effect_config-11000118,zhgq_by_bq02,mission_effect_config-21000118,5,1.5,1.5,1.0,,0,0,0,0|0,,0,0
1000119,mission_effect_config-11000119,zhgq_by_th,mission_effect_config-21000119,0,0.0,0.0,1.0,,0,0,0,0|0,,0,0
1000120,mission_effect_config-11000120,zhgq_by_01,mission_effect_config-21000120,5,1.5,1.5,2.5,,0,0,0,0|0,,1,0
1000121,mission_effect_config-11000121,zhgq_by_02,mission_effect_config-21000121,5,1.5,1.5,3.0,,0,0,0,0|0,,1,0
1000122,mission_effect_config-11000122,zhgq_by_03,mission_effect_config-21000122,5,1.5,1.5,2.5,,0,0,0,0|80,,1,0
1000123,mission_effect_config-11000123,zhgq_by_02,mission_effect_config-21000123,5,1.5,3.5,3.0,,0,0,0,0|0,,0,0
1000124,mission_effect_config-11000124,qipao_yys,mission_effect_config-21000124,5,0.0,0.0,1.0,,0,0,0,-200|250;0|0,,0,0
1000125,mission_effect_config-11000125,tnub_1000,mission_effect_config-21000125,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000126,mission_effect_config-11000126,tnub_1500,mission_effect_config-21000126,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000127,mission_effect_config-11000127,tnub_500,mission_effect_config-21000127,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000128,mission_effect_config-11000128,tnub_2000,mission_effect_config-21000128,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000129,mission_effect_config-11000129,tnub_3000,mission_effect_config-21000129,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000130,mission_effect_config-11000130,tnub_4500,mission_effect_config-21000130,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000131,mission_effect_config-11000131,tnub_4000,mission_effect_config-21000131,5,1.5,0.5,1.5,,0,0,0,0|50,,0,0
1000132,mission_effect_config-11000132,tnub_1000,mission_effect_config-21000132,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000133,mission_effect_config-11000133,tnub_1500,mission_effect_config-21000133,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000134,mission_effect_config-11000134,tnub_500,mission_effect_config-21000134,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000135,mission_effect_config-11000135,tnub_2000,mission_effect_config-21000135,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000136,mission_effect_config-11000136,tnub_3000,mission_effect_config-21000136,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000137,mission_effect_config-11000137,tnub_4500,mission_effect_config-21000137,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000138,mission_effect_config-11000138,tnub_4000,mission_effect_config-21000138,5,1.5,1.5,1.5,,0,0,0,0|50,,0,0
1000139,mission_effect_config-11000139,Empty,mission_effect_config-21000139,0,2.5,0.0,1.0,,0,0,0,0|0,,0,0
1000140,mission_effect_config-11000140,Empty,mission_effect_config-21000140,0,1.5,0.0,1.0,,0,0,0,0|0,,0,0
1000141,mission_effect_config-11000141,BlueCA,mission_effect_config-21000141,0,1.0,0.0,0.5,,0,0,0,0|0,,0,0
1000142,mission_effect_config-11000142,sheshi_dian,mission_effect_config-21000142,0,0.0,0.0,1.0,,0,0,0,0|0,,0,0
1000143,mission_effect_config-11000143,sheshi_dian_sj,mission_effect_config-21000143,0,0.0,0.8,1.3,,0,0,0,0|0,,0,0
1000144,mission_effect_config-11000144,Empty,mission_effect_config-21000144,0,0.01,0.0,1.0,,0,0,0,0|0,,1,0
1000145,mission_effect_config-11000145,Viscosity_Bomb,mission_effect_config-21000145,1,0.0,0.86,0.5,,2,0,0,0|0,,0,0
1000146,mission_effect_config-11000146,chuansong_02xh,mission_effect_config-21000146,0,0.0,0.0,0.02,0,0,0,0,100|150;0|0,,0,0
1000147,mission_effect_config-11000147,Rock_effect,mission_effect_config-21000147,0,1.0,0.0,1.0,,0,0,0,0|0,,0,0
1000148,mission_effect_config-11000148,Fly_tu160,mission_effect_config-21000148,1,4.0,0.0,2.0,Blackjack_flying,0,4,0|0;0|0;0|0;1|1,-5500|-5500;6500|6500,0|0|45;0|0|45,2|0.5|1,0
1000149,mission_effect_config-11000149,XDZY_TY2,mission_effect_config-21000149,1,2.0,-0.5,4.0,,0,0,0,0|0,,0,0
1000150,mission_effect_config-11000150,LLS_hongzha02,mission_effect_config-21000150,1,2.0,-1.5,2.0,Blackjack_attack1,0,0,0,0|0,,0,0
1000151,mission_effect_config-11000151,Serenity,mission_effect_config-21000151,10,1.5,0.0,1.0,SFX_20_Winter_Radar_Scan,0,4,0|0;0|0;0|0;1|1,0|60;0|220,0|0|0;0|0|0,0,0
1000152,mission_effect_config-11000152,sheshi_dian_sj,mission_effect_config-21000152,0,0.2,0.0,1.3,,0,0,0,0|0,,0,0
1000153,mission_effect_config-11000153,MGT_shouji,mission_effect_config-21000153,0,1.0,0.0,0.02,BT_The_Division_Machine_Gun_Tower_Shooting,0,0,0,0|0,,0,0
1000154,mission_effect_config-11000154,Empty,mission_effect_config-21000154,99,0.5,0.0,1.0,BT_Skill_missilelock,0,0,0,0|0,,0,0
1000155,mission_effect_config-11000155,bomb_shuzi00,mission_effect_config-21000155,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000156,mission_effect_config-11000156,bomb_shuzi01,mission_effect_config-21000156,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000157,mission_effect_config-11000157,bomb_shuzi02,mission_effect_config-21000157,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000158,mission_effect_config-11000158,bomb_shuzi03,mission_effect_config-21000158,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000159,mission_effect_config-11000159,bomb_shuzi04,mission_effect_config-21000159,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000160,mission_effect_config-11000160,bomb_shuzi05,mission_effect_config-21000160,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000161,mission_effect_config-11000161,bomb_shuzi06,mission_effect_config-21000161,5,1.0,0.0,1.6,,0,0,0,0|0,,0,0
1000162,mission_effect_config-11000162,EMP_another,mission_effect_config-21000162,10,1.0,0.0,2.0,,0,0,0,0|0,,0,0
9490401,mission_effect_config-19490401,ddl_xingxing,mission_effect_config-29490401,0,1.0,0.0,0.02,,0,0,0,0|0,,0,0
9999999,mission_effect_config-19999999,Empty,mission_effect_config-29999999,0,1.0,0.0,1.0,Stop_UI_loop,0,0,0,0|0,,0,0
