id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef
67,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000067,0,1,0,
68,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,0",,0,20002,0,,,,,0,,,,,,enemy_team-10000068,0,1,0,
69,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000069,0,1,0,
70,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,58,61",,0,20005,0,,,,,0,,,,,,enemy_team-10000070,0,1,0,
71,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,11,12,18,32,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000071,0,1,0,
72,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000072,0,1,0,
73,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,enemy_team-10000073,0,1,0,
74,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000074,0,1,0,
75,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000075,0,1,0,
76,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000076,0,1,0,
77,"9,2,5,10,90,91,92,17,25,93,24,21,71,68,74,63,51,47,8,22,70,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000077,0,1,0,
78,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,8,70",,0,20004,0,,,,,0,,,,,,enemy_team-10000078,0,1,0,
79,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000079,0,1,0,
80,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,enemy_team-10000080,0,1,0,
81,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000081,0,1,0,
82,"92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,29,27,32,18,58,61,70,19",,0,90004,1,,,19,,0,,,,,,enemy_team-10000082,0,1,0,
83,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000083,0,1,0,
84,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,6,8,22,70,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000084,0,1,0,
85,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000085,0,1,0,
86,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000086,0,1,0,
87,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,8,70",,0,20005,0,,,,,0,,,,,,enemy_team-10000087,0,1,0,
88,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000088,0,1,0,
89,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20002,0,,,,,0,,,,,,enemy_team-10000089,0,1,0,
90,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000090,0,1,0,
91,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000091,0,1,0,
92,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000092,0,1,0,
93,"9,2,5,10,90,91,92,17,25,93,24,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000093,0,1,0,
94,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20002,0,,,,,0,,,,,,enemy_team-10000094,0,1,0,
95,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000095,0,1,0,
96,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000096,0,1,0,
97,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000097,0,1,0,
98,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,3,14,29,27,18,32,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000098,0,1,0,
99,"92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,29,27,32,18,58,61,70",,0,20006,0,,,,,0,,,,,,enemy_team-10000099,0,1,0,
100,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,6,8,22,70,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000100,0,1,0,
101,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000101,0,1,0,
102,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000102,0,1,0,
103,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000103,0,1,0,
104,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000104,0,1,0,
105,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000105,0,1,0,
106,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20001,0,,,,,0,,,,,,enemy_team-10000106,0,1,0,
107,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000107,0,1,0,
108,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000108,0,1,0,
109,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70",,0,20006,0,,,,,0,,,,,,enemy_team-10000109,0,1,0,
110,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000110,0,1,0,
111,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000111,0,1,0,
112,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000112,0,1,0,
113,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000113,0,1,0,
114,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000114,0,1,0,
115,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,44,26,19",,0,90005,0,,,19,,0,,,,,,enemy_team-10000115,0,1,0,
116,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20001,0,,,,,0,,,,,,enemy_team-10000116,0,1,0,
117,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000117,0,1,0,
118,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,32,18,58,61,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000118,0,1,0,
119,"9,2,5,10,90,91,92,17,25,93,24,31,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70",,0,20004,0,,,,,0,,,,,,enemy_team-10000119,0,1,0,
120,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20002,0,,,,,0,,,,,,enemy_team-10000120,0,1,0,
121,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000121,0,1,0,
122,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,44",,0,20006,0,,,,,0,,,,,,enemy_team-10000122,0,1,0,
123,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,41,11,14,3,12,13,29,27,18,32,58,61,70,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000123,0,1,0,
124,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,6,8,13,58,61,70,44,37,34",,0,20007,0,,,,,0,,,,,,enemy_team-10000124,0,1,0,
125,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000125,0,1,0,
126,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000126,0,1,0,
127,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,11,14,3,12,13,29,27,18,32,58,61,70,44,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000127,0,1,0,
128,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000128,0,1,0,
129,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20007,1,,,,,0,,,,,,enemy_team-10000129,0,1,0,
130,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000130,0,1,0,
131,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,58,61,70,44,37,34",,0,20007,1,,,,,0,,,,,,enemy_team-10000131,0,1,0,
132,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,29,27,18,32,22,58,61,70,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000132,0,1,0,
133,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000133,0,1,0,
134,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20003,0,,,,,0,,,,,,enemy_team-10000134,0,1,0,
135,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,18,32,58,61,44,37,34,0",,0,20007,0,,,,,0,,,,,,enemy_team-10000135,0,1,0,
136,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34",,0,20007,0,,,,,0,,,,,,enemy_team-10000136,0,1,0,
137,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,18,32,58,61,44,37,34,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000137,0,1,0,
138,"9,2,5,10,90,91,21,24,31,33,94,71,68,74,63,51,47,40,41,87,82,6,8,13,22,70,0",,0,20007,0,,,,,0,,,,,,enemy_team-10000138,0,1,0,
139,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,14,3,12,29,27,18,32,58,61,70,44,37,34,89,86,60,108",,0,90006,1,,,108,,0,,,,,,enemy_team-10000139,0,1,0,
140,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000140,0,1,0,
141,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000141,0,1,0,
142,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000142,0,1,0,
143,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000143,0,1,0,
144,"9,2,5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,12,18,32,58,61,44,37,34,89,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000144,0,1,0,
145,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,27,18,58,61,44,37,89,86,1",,0,20005,1,,,,,0,,,,,,enemy_team-10000145,0,1,0,
146,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000146,0,1,0,
147,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000147,0,1,0,
148,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000148,0,1,0,
149,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,14,29,32,58,70,44,34,89,77,26",,0,20008,1,,,,,0,,,,,,enemy_team-10000149,0,1,0,
150,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000150,0,1,0,
151,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20004,0,,,,,0,,,,,,enemy_team-10000151,0,1,0,
152,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000152,0,1,0,
153,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000153,0,1,0,
154,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,3,29,18,61,70,37,34,86,80,60",,0,20008,0,,,,,0,,,,,,enemy_team-10000154,0,1,0,
155,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000155,0,1,0,
156,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000156,0,1,0,
157,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,12,14,27,32,58,61,37,34,77,80,1,26,60,108",,0,90007,1,,,108,,0,,,,,,enemy_team-10000157,0,1,0,
158,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000158,0,1,0,
159,"9,10,90,91,21,93,24,33,94,71,68,74,63,51,47,41,40,87,82,12,14,27,32,58,61,37,34,77,80,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000159,0,1,0,
160,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20007,0,,,,,0,,,,,,enemy_team-10000160,0,1,0,
161,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,11,12,27,18,58,61,44,37,89,86,1",,0,20005,1,,,,,0,,,,,,enemy_team-10000161,0,1,0,
162,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,11,12,27,18,58,61,44,37,89,86,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000162,0,1,0,
163,"5,10,90,91,93,24,31,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000163,0,1,0,
164,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000164,0,1,0,
165,"9,2,5,10,90,91,92,17,25,93,24,31,33,94,71,68,74,63,51,47,40,41,87,82,3,14,29,32,58,70,44,34,89,77,26",,0,20008,0,,,,,0,,,,,,enemy_team-10000165,0,1,0,
166,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,3,14,29,32,58,70,44,34,89,77,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000166,0,1,0,
167,"9,2,90,91,92,17,25,33,94,71,68,74,63,51,47,41,40,87,82,0",,0,20005,0,,,,,0,,,,,,enemy_team-10000167,0,1,0,
168,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20008,0,,,,,0,,,,,,enemy_team-10000168,0,1,0,
169,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,0",,0,20008,0,,,,,0,,,,,,enemy_team-10000169,0,1,0,
170,"9,2,5,10,92,17,25,93,24,71,68,74,63,51,47,41,40,87,82,11,3,29,18,61,70,37,34,80,86,0",,0,20006,0,,,,,0,,,,,,enemy_team-10000170,0,1,0,
