id,name,target_type,type,is_number,life_type,value,hostage_value,is_armor,effect_birth,effect_process_star,effect_process_end,effect_process_duration,defender_value
1000004,mission_hurt_config-11000004,2,2,0,1,*0,0,0,0,0,0,0,0
1000005,mission_hurt_config-11000005,2,2,0,1,30,1,0,0,0,0,0,0
1000006,mission_hurt_config-11000006,2,2,0,1,99,3,0,0,0,0,0,0
1000010,mission_hurt_config-11000010,0,1,0,2,0,0,0,0,0,0,0,99999
1000028,mission_hurt_config-11000028,2,2,0,1,34,1,0,0,0,0,0,0
1000048,mission_hurt_config-11000048,2,2,0,1,1,0,0,0,0,0,0,0
1000049,mission_hurt_config-11000049,0,1,0,2,0,0,0,0,0,0,0,99599
1000050,mission_hurt_config-11000050,2,2,0,1,50,1,0,0,0,0,0,0
1000051,mission_hurt_config-11000051,2,2,0,1,90,1,0,0,0,0,0,0
1000052,mission_hurt_config-11000052,2,2,0,1,100,0,0,0,0,0,0,0
1000055,mission_hurt_config-11000055,0,1,0,2,0,0,0,0,0,0,0,5000
1000064,mission_hurt_config-11000064,0,1,0,2,0,0,0,0,0,0,0,99999
6360001,mission_hurt_config-16360001,2,2,1,2,101,0,0,0,0,1000069,0,0
6430001,mission_hurt_config-16430001,2,2,1,1,20,0,0,0,0,0,0,0
6430002,mission_hurt_config-16430002,2,1,1,2,3,0,0,0,0,0,0,0
6430003,mission_hurt_config-16430003,2,2,1,1,10,0,0,1000030,0,0,0,0
6430004,mission_hurt_config-16430004,2,2,1,1,50,0,0,0,0,0,0,0
6430005,mission_hurt_config-16430005,2,2,1,1,8,0,0,0,0,0,0,0
6430006,mission_hurt_config-16430006,2,1,1,2,2,0,0,0,0,0,0,0
6430007,mission_hurt_config-16430007,2,2,1,1,5,0,0,1000030,0,0,0,0
6430008,mission_hurt_config-16430008,2,2,1,1,30,0,0,0,0,0,0,0
6430009,mission_hurt_config-16430009,2,2,1,2,500,0,0,0,0,0,0,0
6430010,mission_hurt_config-16430010,2,2,1,2,5,0,0,0,0,0,0,0
6440001,mission_hurt_config-16440001,2,2,1,2,51,0,0,0,0,0,0,0
6440002,mission_hurt_config-16440002,2,2,1,2,101,0,0,0,0,1000052,1000053,0
6440003,mission_hurt_config-16440003,2,2,1,2,101,0,0,0,0,0,0,0
6440004,mission_hurt_config-16440004,2,2,1,2,0,0,0,0,0,0,0,99999
6480001,mission_hurt_config-16480001,2,2,1,1,35,0,0,0,0,0,0,99999
6480002,mission_hurt_config-16480002,2,2,1,1,35,0,0,0,0,0,0,0
6510001,mission_hurt_config-16510001,2,2,1,1,30,0,0,0,0,0,0,
6510002,mission_hurt_config-16510002,2,2,1,1,80,0,0,0,0,0,0,
6510003,mission_hurt_config-16510003,2,2,1,1,100,0,0,0,0,0,0,
6510004,mission_hurt_config-16510004,2,2,1,1,10,0,0,0,0,0,0,
6510005,mission_hurt_config-16510005,2,2,1,2,30,0,0,0,0,0,0,99999
6540001,mission_hurt_config-16540001,2,2,1,2,100,0,0,0,0,0,0,9999
6560001,mission_hurt_config-16560001,2,2,0,1,10,0,0,1000113,0,0,0,0
6560002,mission_hurt_config-16560002,2,2,1,2,101,0,0,0,0,1000069,0,99999
6560003,mission_hurt_config-16560003,2,2,0,2,95,0,0,0,0,0,0,0
6580001,mission_hurt_config-16580001,2,2,1,2,100,0,0,0,0,0,0,99999
6630001,mission_hurt_config-16630001,2,2,1,2,101,0,0,0,0,1000069,0,999
6630002,mission_hurt_config-16630002,2,2,1,2,101,0,0,0,0,1000069,0,99999
8120701,mission_hurt_config-18120701,0,1,0,2,0,0,0,0,0,0,0,8599
9130610,mission_hurt_config-19130610,2,1,0,2,999999,1,0,0,0,0,0,0
9334951,mission_hurt_config-19334951,2,1,1,1,99999,5,0,0,0,0,0,0
9337202,mission_hurt_config-19337202,0,1,0,2,50,0,0,0,0,0,0,0
9362003,mission_hurt_config-19362003,2,2,0,1,30,0,0,0,0,0,0,0
9362015,mission_hurt_config-19362015,2,2,0,1,50,0,0,0,0,0,0,0
9362024,mission_hurt_config-19362024,2,2,0,1,60,0,0,0,0,0,0,0
