id,mission_id,description,scripts,campaign,bgm,title,is_util,start,round,point,first,mid,end,fail,step_start_story,step_end_story
32,90008,story_util-10000032,2-4-1N|2-4-2N,2,BGM_Frontline,story_util-20000032,1,2-4-1N,,,2-4-2N,,2-4-2N,,,
33,25,story_util-10000033,3-1-1|3-1-2,3,BGM_Frontline,story_util-20000033,1,3-1-1,,,3-1-2,,3-1-2,,,
34,26,story_util-10000034,3-2-1|3-2-2,3,BGM_Frontline,story_util-20000034,1,3-2-1,,,3-2-2,,3-2-2,,,
35,27,story_util-10000035,3-3-1|3-3-2,3,BGM_Frontline,story_util-20000035,1,3-3-1,,,3-3-2,,3-3-2,,,
36,28,story_util-10000036,3-4-1|3-4-2,3,BGM_Frontline,story_util-20000036,1,3-4-1,,,3-4-2,,3-4-2,,,
37,29,story_util-10000037,3-5-1|3-5-2,3,BGM_Frontline,story_util-20000037,1,3-5-1,,,3-5-2,,3-5-2,,,
38,30,story_util-10000038,3-6-1|3-6-2,3,BGM_Frontline,story_util-20000038,1,3-6-1,,,3-6-2,,3-6-2,,,
39,31,story_util-10000039,3-1-1E|3-1-2E,3,BGM_Frontline,story_util-20000039,1,3-1-1E,,,3-1-2E,,3-1-2E,,,
40,32,story_util-10000040,3-2-1E|3-2-2E,3,BGM_Frontline,story_util-20000040,1,3-2-1E,,,3-2-2E,,3-2-2E,,,
41,33,story_util-10000041,3-3-1E|3-3-2E,3,BGM_Frontline,story_util-20000041,1,3-3-1E,,,3-3-2E,,3-3-2E,,,
42,34,story_util-10000042,3-4-1E|3-4-2E,3,BGM_Frontline,story_util-20000042,1,3-4-1E,,,3-4-2E,,3-4-2E,,,
43,90009,story_util-10000043,3-1-1N|3-1-2N,3,BGM_Frontline,story_util-20000043,1,3-1-1N,,,3-1-2N,,3-1-2N,,,
44,90010,story_util-10000044,3-2-1N|3-2-2N,3,BGM_Frontline,story_util-20000044,1,3-2-1N,,,3-2-2N,,3-2-2N,,,
45,90011,story_util-10000045,3-3-1N|3-3-2N,3,BGM_Frontline,story_util-20000045,1,3-3-1N,,,3-3-2N,,3-3-2N,,,
46,90012,story_util-10000046,3-4-1N|3-4-2N,3,BGM_Frontline,story_util-20000046,1,3-4-1N,,,3-4-2N,,3-4-2N,,,
47,35,story_util-10000047,4-1-1|4-1-2,4,BGM_Frontline,story_util-20000047,1,4-1-1,,,4-1-2,,4-1-2,,,
48,36,story_util-10000048,4-2-1|4-2-2,4,BGM_Frontline,story_util-20000048,1,4-2-1,,,4-2-2,,4-2-2,,,
49,37,story_util-10000049,4-3-1|4-3-2,4,BGM_Frontline,story_util-20000049,1,4-3-1,,,4-3-2,,4-3-2,,,
50,38,story_util-10000050,4-4-1|4-4-2,4,BGM_Frontline,story_util-20000050,1,4-4-1,,,4-4-2,,4-4-2,,,
51,39,story_util-10000051,4-5-1|4-5-2,4,BGM_Frontline,story_util-20000051,1,4-5-1,,,4-5-2,,4-5-2,,,
52,40,story_util-10000052,4-6-1|4-6-2,4,BGM_Frontline,story_util-20000052,1,4-6-1,,,4-6-2,,4-6-2,,,
53,41,story_util-10000053,4-1-1E|4-1-2E,4,BGM_Frontline,story_util-20000053,1,4-1-1E,,,4-1-2E,,4-1-2E,,,
54,42,story_util-10000054,4-2-1E|4-2-2E,4,BGM_Frontline,story_util-20000054,1,4-2-1E,,,4-2-2E,,4-2-2E,,,
55,43,story_util-10000055,4-3-1E|4-3-2E,4,BGM_Frontline,story_util-20000055,1,4-3-1E,,,4-3-2E,,4-3-2E,,,
56,44,story_util-10000056,4-4-1E|4-4-2E,4,BGM_Frontline,story_util-20000056,1,4-4-1E,,,4-4-2E,,4-4-2E,,,
57,45,story_util-10000057,5-1-1|5-1-2,5,BGM_Frontline,story_util-20000057,1,5-1-1,,,5-1-2,,5-1-2,,,
58,46,story_util-10000058,5-2-1|5-2-2,5,BGM_Frontline,story_util-20000058,1,5-2-1,,,5-2-2,,5-2-2,,,
59,47,story_util-10000059,5-3-1|5-3-2,5,BGM_Frontline,story_util-20000059,1,5-3-1,,,5-3-2,,5-3-2,,,
60,48,story_util-10000060,5-4-1|5-4-2,5,BGM_Frontline,story_util-20000060,1,5-4-1,,,5-4-2,,5-4-2,,,
61,49,story_util-10000061,5-5-1|5-5-2,5,BGM_Frontline,story_util-20000061,1,5-5-1,,,5-5-2,,5-5-2,,,
62,50,story_util-10000062,5-6-1|5-6-2,5,BGM_Frontline,story_util-20000062,1,5-6-1,,,5-6-2,,5-6-2,,,
63,51,story_util-10000063,5-1-1E|5-1-2E,5,BGM_Frontline,story_util-20000063,1,5-1-1E,,,5-1-2E,,5-1-2E,,,
64,52,story_util-10000064,5-2-1E|5-2-2E,5,BGM_Frontline,story_util-20000064,1,5-2-1E,,,5-2-2E,,5-2-2E,,,
65,53,story_util-10000065,5-3-1E|5-3-2E,5,BGM_Frontline,story_util-20000065,1,5-3-1E,,,5-3-2E,,5-3-2E,,,
66,54,story_util-10000066,5-4-1E|5-4-2E,5,BGM_Frontline,story_util-20000066,1,5-4-1E,,,5-4-2E,,5-4-2E,,,
67,55,story_util-10000067,6-1-1|6-1-2,6,BGM_Frontline,story_util-20000067,1,6-1-1,,,6-1-2,,6-1-2,,,
68,56,story_util-10000068,6-2-1|6-2-2,6,BGM_Frontline,story_util-20000068,1,6-2-1,,,6-2-2,,6-2-2,,,
69,57,story_util-10000069,6-3-1|6-3-2,6,BGM_Frontline,story_util-20000069,1,6-3-1,,,6-3-2,,6-3-2,,,
70,58,story_util-10000070,6-4-1|6-4-2,6,BGM_Frontline,story_util-20000070,1,6-4-1,,,6-4-2,,6-4-2,,,
71,59,story_util-10000071,6-5-1|6-5-2,6,BGM_Frontline,story_util-20000071,1,6-5-1,,,6-5-2,,6-5-2,,,
72,60,story_util-10000072,6-6-1|6-6-2,6,BGM_Frontline,story_util-20000072,1,6-6-1,,,6-6-2,,6-6-2,,,
73,61,story_util-10000073,6-1-1E|6-1-2E,6,BGM_Frontline,story_util-20000073,1,6-1-1E,,,6-1-2E,,6-1-2E,,,
74,62,story_util-10000074,6-2-1E|6-2-2E,6,BGM_Frontline,story_util-20000074,1,6-2-1E,,,6-2-2E,,6-2-2E,,,
75,63,story_util-10000075,6-3-1E|6-3-2E,6,BGM_Frontline,story_util-20000075,1,6-3-1E,,,6-3-2E,,6-3-2E,,,
76,64,story_util-10000076,6-4-1E|6-4-2E,6,BGM_Frontline,story_util-20000076,1,6-4-1E,,,6-4-2E,,6-4-2E,,,
77,90013,story_util-10000077,4-1-1N|4-1-2N,4,BGM_Frontline,story_util-20000077,1,4-1-1N,,,4-1-2N,,4-1-2N,,,
78,90014,story_util-10000078,4-2-1N|4-2-2N,4,BGM_Frontline,story_util-20000078,1,4-2-1N,,,4-2-2N,,4-2-2N,,,
79,90015,story_util-10000079,4-3-1N|4-3-2N,4,BGM_Frontline,story_util-20000079,1,4-3-1N,,,4-3-2N,,4-3-2N,,,
80,90016,story_util-10000080,4-4-1N|4-4-2N,4,BGM_Frontline,story_util-20000080,1,4-4-1N,,,4-4-2N,,4-4-2N,,,
81,65,story_util-10000081,7-1-1|7-1-2,7,BGM_Frontline,story_util-20000081,1,7-1-1,,,7-1-2,,7-1-2,,,
82,66,story_util-10000082,7-2-1|7-2-2,7,BGM_Frontline,story_util-20000082,1,7-2-1,,,7-2-2,,7-2-2,,,
83,67,story_util-10000083,7-3-1|7-3-2,7,BGM_Frontline,story_util-20000083,1,7-3-1,,,7-3-2,,7-3-2,,,
84,68,story_util-10000084,7-4-1|7-4-2,7,BGM_Frontline,story_util-20000084,1,7-4-1,,,7-4-2,,7-4-2,,,
85,69,story_util-10000085,7-5-1|7-5-2,7,BGM_Frontline,story_util-20000085,1,7-5-1,,,7-5-2,,7-5-2,,,
86,70,story_util-10000086,7-6-1|7-6-2,7,BGM_Frontline,story_util-20000086,1,7-6-1,,,7-6-2,,7-6-2,,,
87,71,story_util-10000087,7-1-1E|7-1-2E,7,BGM_Frontline,story_util-20000087,1,7-1-1E,,,7-1-2E,,7-1-2E,,,
88,72,story_util-10000088,7-2-1E|7-2-2E,7,BGM_Frontline,story_util-20000088,1,7-2-1E,,,7-2-2E,,7-2-2E,,,
89,73,story_util-10000089,7-3-1E|7-3-2E,7,BGM_Frontline,story_util-20000089,1,7-3-1E,,,7-3-2E,,7-3-2E,,,
90,74,story_util-10000090,7-4-1E|7-4-2E,7,BGM_Frontline,story_util-20000090,1,7-4-1E,,,7-4-2E,,7-4-2E,,,
91,90017,story_util-10000091,5-1-1N|5-1-2N,5,BGM_Frontline,story_util-20000091,1,5-1-1N,,,5-1-2N,,5-1-2N,,,
92,90018,story_util-10000092,5-2-1N|5-2-2N,5,BGM_Frontline,story_util-20000092,1,5-2-1N,,,5-2-2N,,5-2-2N,,,
93,90019,story_util-10000093,5-3-1N|5-3-2N,5,BGM_Frontline,story_util-20000093,1,5-3-1N,,,5-3-2N,,5-3-2N,,,
94,90020,story_util-10000094,5-4-1N|5-4-2N,5,BGM_Frontline,story_util-20000094,1,5-4-1N,,,5-4-2N,,5-4-2N,,,
95,10001|10018,story_util-10000095,-1-1-1|-1-1-2,-1,BGM_Frontline,story_util-20000095,1,-1-1-1,,,-1-1-2,,-1-1-2,,,
96,10002|10019,story_util-10000096,-1-2-1|-1-2-2First|-1-2-2End,-1,BGM_Frontline,story_util-20000096,1,-1-2-1,,,-1-2-2First,,-1-2-2End,,,
97,10003|10020,story_util-10000097,-1-3-1|-1-3-2First|-1-3-2End,-1,BGM_Frontline,story_util-20000097,1,-1-3-1,,,-1-3-2First,,-1-3-2End,,,
98,10004|10021,story_util-10000098,-1-4-1|-1-4-2First|-1-4-2End,-1,BGM_Frontline,story_util-20000098,1,-1-4-1,,,-1-4-2First,,-1-4-2End,,,
99,10005,story_util-10000099,-2-1-1|-2-1-4-Point2007|-2-1-4-Point2179|-2-1-2First,-2,BGM_Frontline,story_util-20000099,1,-2-1-1,,2007:-2-1-4-Point2007|2179:-2-1-4-Point2179,-2-1-2First,,-2-1-2First,,,
100,10006,story_util-10000100,-2-2-1|-2-2-4-Point2204|-2-2-2First,-2,BGM_Frontline,story_util-20000100,1,-2-2-1,,2204:-2-2-4-Point2204,-2-2-2First,,-2-2-2First,,,
101,10007,story_util-10000101,-2-3-1|-2-3-4-Point2215|-2-3-4-Point2058|-2-3-2First,-2,BGM_Frontline,story_util-20000101,1,-2-3-1,,2215:-2-3-4-Point2215|2058:-2-3-4-Point2058,-2-3-2First,,-2-3-2First,,,
102,10008,story_util-10000102,-2-4-1|-2-4-2First|-2-4-2End,-2,BGM_Frontline,story_util-20000102,1,-2-4-1,,,-2-4-2First,,-2-4-2End,,,
103,10009,story_util-10000103,-3-1-1|-3-1-2First,-3,BGM_Frontline,story_util-20000103,1,-3-1-1,,,-3-1-2First,,-3-1-2First,,,
104,10010,story_util-10000104,-3-2-1|-3-2-2First,-3,BGM_Frontline,story_util-20000104,1,-3-2-1,,,-3-2-2First,,-3-2-2First,,,
105,10011,story_util-10000105,-3-3-1|-3-3-2First,-3,BGM_Frontline,story_util-20000105,1,-3-3-1,,,-3-3-2First,,-3-3-2First,,,
106,10012,story_util-10000106,-3-4-1|-3-4-4-Point2499|-3-4-2First|-3-4-2End,-3,BGM_Frontline,story_util-20000106,1,-3-4-1,,2499:-3-4-4-Point2499,-3-4-2First,,-3-4-2End,,,
107,10013,story_util-10000107,-4-1-1|-4-1-2First,-4,BGM_Frontline,story_util-20000107,1,-4-1-1,,,-4-1-2First,,-4-1-2First,,,
108,10014,story_util-10000108,-4-2-1|-4-2-2First,-4,BGM_Frontline,story_util-20000108,1,-4-2-1,,,-4-2-2First,,-4-2-2First,,,
109,10015,story_util-10000109,-4-3-1|-4-3-2First,-4,BGM_Frontline,story_util-20000109,1,-4-3-1,,,-4-3-2First,,-4-3-2First,,,
110,10016,story_util-10000110,-4-4-1|-4-4-2First|-4-4-2End,-4,BGM_Frontline,story_util-20000110,1,-4-4-1,,,-4-4-2First,,-4-4-2End,,,
112,10022,story_util-10000112,-7-1-1|-7-1-3Round1|-7-1-2First|-7-1-2End,-7,BGM_Frontline,story_util-20000112,1,-7-1-1,1:-7-1-3Round1,,-7-1-2First,,-7-1-2End,,,
113,10023,story_util-10000113,-7-2-1|-7-2-3Round1|-7-2-2First|-7-2-2End,-7,BGM_Frontline,story_util-20000113,1,-7-2-1,1:-7-2-3Round1,,-7-2-2First,,-7-2-2End,,,
114,10024,story_util-10000114,-7-3-1|-7-3-3Round1|-7-3-2First|-7-3-2End,-7,BGM_Frontline,story_util-20000114,1,-7-3-1,1:-7-3-3Round1,,-7-3-2First,,-7-3-2End,,,
115,10025,story_util-10000115,-7-4-1|-7-4-3Round1|-7-4-2First|-7-4-2End,-7,BGM_Frontline,story_util-20000115,1,-7-4-1,1:-7-4-3Round1,,-7-4-2First,,-7-4-2End,,,
116,75,story_util-10000116,8-1-1|8-1-2,8,BGM_Frontline,story_util-20000116,1,8-1-1,,,8-1-2,,8-1-2,,,
117,76,story_util-10000117,8-2-1|8-2-2,8,BGM_Frontline,story_util-20000117,1,8-2-1,,,8-2-2,,8-2-2,,,
118,77,story_util-10000118,8-3-1|8-3-2,8,BGM_Frontline,story_util-20000118,1,8-3-1,,,8-3-2,,8-3-2,,,
119,78,story_util-10000119,8-4-1|8-4-2,8,BGM_Frontline,story_util-20000119,1,8-4-1,,,8-4-2,,8-4-2,,,
120,79,story_util-10000120,8-5-1|8-5-2,8,BGM_Frontline,story_util-20000120,1,8-5-1,,,8-5-2,,8-5-2,,,
121,80,story_util-10000121,8-6-1|8-6-2,8,BGM_Frontline,story_util-20000121,1,8-6-1,,,8-6-2,,8-6-2,,,
122,81,story_util-10000122,8-1-1E|8-1-2E,8,BGM_Frontline,story_util-20000122,1,8-1-1E,,,8-1-2E,,8-1-2E,,,
123,82,story_util-10000123,8-2-1E|8-2-2E,8,BGM_Frontline,story_util-20000123,1,8-2-1E,,,8-2-2E,,8-2-2E,,,
124,83,story_util-10000124,8-3-1E|8-3-2E,8,BGM_Frontline,story_util-20000124,1,8-3-1E,,,8-3-2E,,8-3-2E,,,
125,84,story_util-10000125,8-4-1E|8-4-2E,8,BGM_Frontline,story_util-20000125,1,8-4-1E,,,8-4-2E,,8-4-2E,,,
126,90021,story_util-10000126,6-1-1N|6-1-2N,6,BGM_Frontline,story_util-20000126,1,6-1-1N,,,6-1-2N,,6-1-2N,,,
127,90022,story_util-10000127,6-2-1N|6-2-2N,6,BGM_Frontline,story_util-20000127,1,6-2-1N,,,6-2-2N,,6-2-2N,,,
128,90023,story_util-10000128,6-3-1N|6-3-2N,6,BGM_Frontline,story_util-20000128,1,6-3-1N,,,6-3-2N,,6-3-2N,,,
129,90024,story_util-10000129,6-4-1N|6-4-2N,6,BGM_Frontline,story_util-20000129,1,6-4-1N,,,6-4-2N,,6-4-2N,,,
130,85,story_util-10000130,9-1-1|9-1-2,9,BGM_Frontline,story_util-20000130,1,9-1-1,,,9-1-2,,9-1-2,,,
131,86,story_util-10000131,9-2-1|9-2-2,9,BGM_Frontline,story_util-20000131,1,9-2-1,,,9-2-2,,9-2-2,,,
132,87,story_util-10000132,9-3-1|9-3-2,9,BGM_Frontline,story_util-20000132,1,9-3-1,,,9-3-2,,9-3-2,,,
133,88,story_util-10000133,9-4-1|9-4-2,9,BGM_Frontline,story_util-20000133,1,9-4-1,,,9-4-2,,9-4-2,,,
134,89,story_util-10000134,9-5-1|9-5-2,9,BGM_Frontline,story_util-20000134,1,9-5-1,,,9-5-2,,9-5-2,,,
135,90,story_util-10000135,9-6-1|9-6-2,9,BGM_Frontline,story_util-20000135,1,9-6-1,,,9-6-2,,9-6-2,,,
136,91,story_util-10000136,9-1-1E|9-1-2E,9,BGM_Frontline,story_util-20000136,1,9-1-1E,,,9-1-2E,,9-1-2E,,,
137,92,story_util-10000137,9-2-1E|9-2-2E,9,BGM_Frontline,story_util-20000137,1,9-2-1E,,,9-2-2E,,9-2-2E,,,
138,93,story_util-10000138,9-3-1E|9-3-2E,9,BGM_Frontline,story_util-20000138,1,9-3-1E,,,9-3-2E,,9-3-2E,,,
139,94,story_util-10000139,9-4-1E|9-4-2E,9,BGM_Frontline,story_util-20000139,1,9-4-1E,,,9-4-2E,,9-4-2E,,,
140,95,story_util-10000140,10-1-1|10-1-2,10,BGM_Frontline,story_util-20000140,1,10-1-1,,,10-1-2,,10-1-2,,,
141,96,story_util-10000141,10-2-1|10-2-2,10,BGM_Frontline,story_util-20000141,1,10-2-1,,,10-2-2,,10-2-2,,,
142,97,story_util-10000142,10-3-1|10-3-2,10,BGM_Frontline,story_util-20000142,1,10-3-1,,,10-3-2,,10-3-2,,,
143,98,story_util-10000143,10-4-1|10-4-2,10,BGM_Frontline,story_util-20000143,1,10-4-1,,5302:10-4-4-Point5302,10-4-2,,10-4-2,,,
144,99,story_util-10000144,10-5-1|10-5-2,10,BGM_Frontline,story_util-20000144,1,10-5-1,,,10-5-2,,10-5-2,,,
145,100,story_util-10000145,10-6-1|10-6-2,10,BGM_Frontline,story_util-20000145,1,10-6-1,,,10-6-2,,10-6-2,,,
146,101,story_util-10000146,10-1-1E|10-1-2E,10,BGM_Frontline,story_util-20000146,1,10-1-1E,,,10-1-2E,,10-1-2E,,,
147,102,story_util-10000147,10-2-1E|10-2-2E,10,BGM_Frontline,story_util-20000147,1,10-2-1E,,5417:10-2-4E-Point5417,10-2-2E,,10-2-2E,,,
148,103,story_util-10000148,10-3-1E|10-3-2E,10,BGM_Frontline,story_util-20000148,1,10-3-1E,,,10-3-2E,,10-3-2E,,,
149,104,story_util-10000149,10-4-1E|10-4-2E,10,BGM_Frontline,story_util-20000149,1,10-4-1E,,,10-4-2E,,10-4-2E,,,
150,10030,story_util-10000150,-10-1-1|-10-1-2First,-10,BGM_Frontline,story_util-20000150,1,-10-1-1,,,-10-1-2First,,-10-1-2First,,,
151,10031,story_util-10000151,-10-2-1|-10-2-2First,-10,BGM_Frontline,story_util-20000151,1,-10-2-1,,,-10-2-2First,,-10-2-2First,,,
152,10032,story_util-10000152,-10-3-1|-10-3-2First,-10,BGM_Frontline,story_util-20000152,1,-10-3-1,,4229:-10-3-4-Point4229,-10-3-2First,,-10-3-2First,,,
153,10033,story_util-10000153,-10-4-1|-10-4-2End,-10,BGM_Frontline,story_util-20000153,1,-10-4-1,,,-10-4-2First,,-10-4-2End,,,
154,10034,story_util-10000154,-11-1-1|-11-1-2First,-11,BGM_Frontline,story_util-20000154,1,-11-1-1,,4270:-11-1-4-Point4270,-11-1-2First,,-11-1-2First,,,
155,10035,story_util-10000155,-11-2-1|-11-2-2First,-11,BGM_Frontline,story_util-20000155,1,-11-2-1,,4292:-11-2-4-Point4292,-11-2-2First,,-11-2-2First,,,
156,10037,story_util-10000156,-11-3-1|-11-3-2First,-11,BGM_Frontline,story_util-20000156,1,-11-3-1,,4411:-11-3-4-Point4411,-11-3-2First,,-11-3-2First,,,
157,10038,story_util-10000157,-11-4-1|-11-4-2First|-11-4-2End,-11,BGM_Frontline,story_util-20000157,1,-11-4-1,,4431:-11-4-4-Point4431,-11-4-2First,,-11-4-2End,,,
158,10039,story_util-10000158,-12-1-1|-12-1-2First,-12,BGM_Frontline,story_util-20000158,1,-12-1-1,,4528:-12-1-4-Point4528|4540:-12-1-4-Point4540|4538:-12-1-4-Point4538,-12-1-2First,,-12-1-2First,,,
159,10040,story_util-10000159,-12-2-1|-12-2-2First,-12,BGM_Frontline,story_util-20000159,1,-12-2-1,,4560:-12-2-4-Point4560|4601:-12-2-4-Point4601|4562:-12-2-4-Point4562,-12-2-2First,,-12-2-2First,,,
160,10041,story_util-10000160,-12-3-1|-12-3-2First,-12,BGM_Frontline,story_util-20000160,1,-12-3-1,,4605:-12-3-4-Point4605|4615:-12-3-4-Point4615|4641:-12-3-4-Point4641,-12-3-2First,,-12-3-2First,,,
161,10042,story_util-10000161,-12-4-1|-12-4-2First|-12-4-2End,-12,BGM_Frontline,story_util-20000161,1,-12-4-1,,4723:-12-4-4-Point4723|4724:-12-4-4-Point4724|4671:-12-4-4-Point4671|4518:-12-4-4-Point4518,-12-4-2First,,-12-4-2End,,,
162,90025,story_util-10000162,7-1-1N|7-1-2N,7,BGM_Frontline,story_util-20000162,1,7-1-1N,,,7-1-2N,,7-1-2N,,,
163,90026,story_util-10000163,7-2-1N|7-2-2N,7,BGM_Frontline,story_util-20000163,1,7-2-1N,,,7-2-2N,,7-2-2N,,,
164,90027,story_util-10000164,7-3-1N|7-3-2N,7,BGM_Frontline,story_util-20000164,1,7-3-1N,,,7-3-2N,,7-3-2N,,,
165,90028,story_util-10000165,7-4-1N|7-4-2N,7,BGM_Frontline,story_util-20000165,1,7-4-1N,,,7-4-2N,,7-4-2N,,,
166,90029,story_util-10000166,8-1-1N|8-1-2N,8,BGM_Frontline,story_util-20000166,1,8-1-1N,,,8-1-2N,,8-1-2N,,,
167,90030,story_util-10000167,8-2-1N|8-2-2N,8,BGM_Frontline,story_util-20000167,1,8-2-1N,,7123:8-2-4N-Point7123,8-2-2N,,8-2-2N,,,
168,90031,story_util-10000168,8-3-1N|8-3-2N,8,BGM_Frontline,story_util-20000168,1,8-3-1N,,,8-3-2N,,8-3-2N,,,
169,90032,story_util-10000169,8-4-1N|8-4-2N,8,BGM_Frontline,story_util-20000169,1,8-4-1N,,,8-4-2N,,8-4-2N,,,
170,105,story_util-10000170,11-1-1|11-1-2,11,BGM_Frontline,story_util-20000170,1,11-1-1,,9245:11-1-4-Point9245,11-1-2,,11-1-2,,,
171,106,story_util-10000171,11-2-1|11-2-2,11,BGM_Frontline,story_util-20000171,1,11-2-1,,,11-2-2,,11-2-2,,,
172,107,story_util-10000172,11-3-1|11-3-2,11,BGM_Frontline,story_util-20000172,1,11-3-1,,,11-3-2,,11-3-2,,,
173,108,story_util-10000173,11-4-1|11-4-2,11,BGM_Frontline,story_util-20000173,1,11-4-1,,,11-4-2,,11-4-2,,,
174,109,story_util-10000174,11-5-1|11-5-2,11,BGM_Frontline,story_util-20000174,1,11-5-1,,9015:11-5-4-Point9015,11-5-2,,11-5-2,,,
175,110,story_util-10000175,11-6-1|11-6-2,11,BGM_Frontline,story_util-20000175,1,11-6-1,,,11-6-2,,11-6-2,,,
176,111,story_util-10000176,11-1-1E|11-1-2E,11,BGM_Frontline,story_util-20000176,1,11-1-1E,,9102:11-1-4E-Point9102,11-1-2E,,11-1-2E,,,
177,112,story_util-10000177,11-2-1E|11-2-2E,11,BGM_Frontline,story_util-20000177,1,11-2-1E,,,11-2-2E,,11-2-2E,,,
178,113,story_util-10000178,11-3-1E|11-3-2E,11,BGM_Frontline,story_util-20000178,1,11-3-1E,,,11-3-2E,,11-3-2E,,,
179,114,story_util-10000179,11-4-1E|11-4-2E,11,BGM_Frontline,story_util-20000179,1,11-4-1E,,9292:11-4-4E-Point9292,11-4-2E,,11-4-2E,,,
192,10017|10105,story_util-10000192,-5-1-1|-5-1-3Round10,-5,BGM_Frontline,story_util-20000192,1,-5-1-1,5:-5-1-3Round10,,,,,,,
197,10036,story_util-10000197,-13-1-1,-13,BGM_Frontline,story_util-20000197,1,-13-1-1,,,,,,,,
