id,type,arg,code,item_name,introduction,rank,sort,initial_num,daily_limit,upper_limit,consume_type,item_access,detail_introduction
604,1,1,sangvis_gacha_coin1,item-10000604,item-20000604,1,0,,,0,1,,item-30000604
605,1,1,sangvis_gacha_coin3,item-10000605,item-20000605,1,31,,,0,0,"1,5,3,2",item-30000605
606,1,1,sangvis_exchange_item,item-10000606,item-20000606,1,34,,,0,0,19,item-30000606
1001,5,1,profilePic_rank2_AAT-52,item-10001001,item-20001001,1,0,,,0,0,,item-30001001
1002,5,1,profilePic_rank2_G43,item-10001002,item-20001002,1,0,,,0,0,,item-30001002
1003,5,1,profilePic_rank2_IDW,item-10001003,item-20001003,1,0,,,0,0,,item-30001003
1004,5,1,profilePic_rank2_L85A1,item-10001004,item-20001004,1,0,,,0,0,,item-30001004
1005,5,1,profilePic_rank2_M1911,item-10001005,item-20001005,1,0,,,0,0,,item-30001005
1006,5,1,profilePic_rank2_PPSH-41,item-10001006,item-20001006,1,0,,,0,0,,item-30001006
1007,5,1,profilePic_rank2_MAB38,item-10001007,item-20001007,1,0,,,0,0,,item-30001007
1008,5,1,profilePic_rank3_AK-47,item-10001008,item-20001008,1,0,,,0,0,,item-30001008
1009,5,1,profilePic_rank3_Glock17,item-10001009,item-20001009,1,0,,,0,0,,item-30001009
1010,5,1,profilePic_rank3_PM,item-10001010,item-20001010,1,0,,,0,0,,item-30001010
1011,5,1,profilePic_rank3_Vz61,item-10001011,item-20001011,1,0,,,0,0,,item-30001011
1012,5,1,profilePic_rank3_SPS,item-10001012,item-20001012,1,0,,,0,0,,item-30001012
1013,5,1,profilePic_rank4_AR15,item-10001013,item-20001013,1,0,,,0,0,,item-30001013
1014,5,1,profilePic_rank4_M1918,item-10001014,item-20001014,1,0,,,0,0,,item-30001014
1015,5,1,profilePic_rank4_mp5,item-10001015,item-20001015,1,0,,,0,0,,item-30001015
1016,5,1,profilePic_rank4_PTRD,item-10001016,item-20001016,1,0,,,0,0,,item-30001016
1017,5,1,profilePic_rank4_ump9,item-10001017,item-20001017,1,0,,,0,0,,item-30001017
1018,5,1,profilePic_rank5_G11,item-10001018,item-20001018,1,0,,,0,0,,item-30001018
1019,5,1,profilePic_rank5_OTs14,item-10001019,item-20001019,1,0,,,0,0,,item-30001019
1020,5,1,profilePic_rank5_KP31,item-10001020,item-20001020,1,0,,,0,0,,item-30001020
1021,5,2,card_rank1_iop,item-10001021,item-20001021,1,0,,,0,0,,item-30001021
1022,5,2,card_rankJ_aegis,item-10001022,item-20001022,1,0,,,0,0,,item-30001022
1023,5,2,card_rankK_jupiter,item-10001023,item-20001023,1,0,,,0,0,,item-30001023
1024,5,2,card_rankK_sop2,item-10001024,item-20001024,1,0,,,0,0,,item-30001024
1025,5,2,card_rankA_kp31,item-10001025,item-20001025,1,0,,,0,0,,item-30001025
1026,5,1,profilePic_rank0_anniv1_M4,item-10001026,item-20001026,1,0,,,0,0,,item-30001026
1027,5,1,profilePic_rank0_anniv1_ar15,item-10001027,item-20001027,1,0,,,0,0,,item-30001027
1028,5,1,profilePic_rank0_anniv1_m16,item-10001028,item-20001028,1,0,,,0,0,,item-30001028
1029,5,1,profilePic_rank0_anniv1_sop2,item-10001029,item-20001029,1,0,,,0,0,,item-30001029
1030,5,2,card_rankA_anniv1,item-10001030,item-20001030,1,0,,,0,0,,item-30001030
1031,5,1,profilePic_rank3_BrenMK,item-10001031,item-20001031,1,0,,,0,0,,item-30001031
1032,5,1,profilePic_rank3_FMG9,item-10001032,item-20001032,1,0,,,0,0,,item-30001032
1033,5,1,profilePic_rank3_KS23,item-10001033,item-20001033,1,0,,,0,0,,item-30001033
1034,5,1,profilePic_rank3_M9,item-10001034,item-20001034,1,0,,,0,0,,item-30001034
1035,5,1,profilePic_rank3_M1919A4,item-10001035,item-20001035,1,0,,,0,0,,item-30001035
1036,5,1,profilePic_rank3_MAC10,item-10001036,item-20001036,1,0,,,0,0,,item-30001036
1037,5,1,profilePic_rank3_MicroUZI,item-10001037,item-20001037,1,0,,,0,0,,item-30001037
1038,5,1,profilePic_rank3_OTs12,item-10001038,item-20001038,1,0,,,0,0,,item-30001038
1039,5,1,profilePic_rank3_PPS43,item-10001039,item-20001039,1,0,,,0,0,,item-30001039
1040,5,1,profilePic_rank3_RMB93,item-10001040,item-20001040,1,0,,,0,0,,item-30001040
1041,5,1,profilePic_rank3_StenMK2,item-10001041,item-20001041,1,0,,,0,0,,item-30001041
1042,5,1,profilePic_rank3_SV98,item-10001042,item-20001042,1,0,,,0,0,,item-30001042
1043,5,1,profilePic_rank4_G36,item-10001043,item-20001043,1,0,,,0,0,,item-30001043
1044,5,1,profilePic_rank4_M1873,item-10001044,item-20001044,1,0,,,0,0,,item-30001044
1045,5,1,profilePic_rank4_SPAS12,item-10001045,item-20001045,1,0,,,0,0,,item-30001045
1046,5,1,profilePic_rank4_SVD,item-10001046,item-20001046,1,0,,,0,0,,item-30001046
1047,5,1,profilePic_rank4_UMP45,item-10001047,item-20001047,1,0,,,0,0,,item-30001047
1048,5,1,profilePic_rank5_KSG,item-10001048,item-20001048,1,0,,,0,0,,item-30001048
1049,5,1,profilePic_rank5_M99,item-10001049,item-20001049,1,0,,,0,0,,item-30001049
1050,5,1,profilePic_rank5_RO635,item-10001050,item-20001050,1,0,,,0,0,,item-30001050
1051,5,1,card_rank10_manticore,item-10001051,item-20001051,1,0,,,0,0,,item-30001051
1052,5,1,card_rank2_vespidripper,item-10001052,item-20001052,1,0,,,0,0,,item-30001052
1053,5,1,card_rankJ_m4a1,item-10001053,item-20001053,1,0,,,0,0,,item-30001053
1054,5,1,card_rankJ_spp1,item-10001054,item-20001054,1,0,,,0,0,,item-30001054
1055,5,1,card_rankQ_dreamer,item-10001055,item-20001055,1,0,,,0,0,,item-30001055
1056,5,1,profilePic_rank0_deepdive_ump40,item-10001056,item-20001056,1,0,,,0,0,,item-30001056
1057,5,1,card_rankA_deepdive,item-10001057,item-20001057,1,0,,,0,0,,item-30001057
1058,5,1,profilePic_rank2_FNP-9,item-10001058,item-20001058,1,0,,,0,0,,item-30001058
1059,5,1,profilePic_rank2_G3,item-10001059,item-20001059,1,0,,,0,0,,item-30001059
1060,5,1,profilePic_rank2_LWMMG,item-10001060,item-20001060,1,0,,,0,0,,item-30001060
1061,5,1,profilePic_rank2_M3,item-10001061,item-20001061,1,0,,,0,0,,item-30001061
1062,5,1,profilePic_rank2_NagantM1895,item-10001062,item-20001062,1,0,,,0,0,,item-30001062
1063,5,1,profilePic_rank2_SpectreM4,item-10001063,item-20001063,1,0,,,0,0,,item-30001063
1064,5,1,profilePic_rank2_SVT-38,item-10001064,item-20001064,1,0,,,0,0,,item-30001064
1065,5,1,profilePic_rank3_M1Garand,item-10001065,item-20001065,1,0,,,0,0,,item-30001065
1066,5,1,profilePic_rank3_M2HB,item-10001066,item-20001066,1,0,,,0,0,,item-30001066
1067,5,1,profilePic_rank3_M21,item-10001067,item-20001067,1,0,,,0,0,,item-30001067
1068,5,1,profilePic_rank3_StG44,item-10001068,item-20001068,1,0,,,0,0,,item-30001068
1069,5,1,profilePic_rank3_TTpistol,item-10001069,item-20001069,1,0,,,0,0,,item-30001069
1070,5,1,profilePic_rank4_ASVal,item-10001070,item-20001070,1,0,,,0,0,,item-30001070
1071,5,1,profilePic_rank4_M60,item-10001071,item-20001071,1,0,,,0,0,,item-30001071
1072,5,1,profilePic_rank4_Mk23,item-10001072,item-20001072,1,0,,,0,0,,item-30001072
1073,5,1,profilePic_rank4_Springfield,item-10001073,item-20001073,1,0,,,0,0,,item-30001073
1074,5,1,profilePic_rank4_Stechkin,item-10001074,item-20001074,1,0,,,0,0,,item-30001074
1075,5,1,profilePic_rank5_Kar98k,item-10001075,item-20001075,1,0,,,0,0,,item-30001075
1076,5,1,profilePic_rank5_M950A,item-10001076,item-20001076,1,0,,,0,0,,item-30001076
1077,5,1,profilePic_rank5_Thompson,item-10001077,item-20001077,1,0,,,0,0,,item-30001077
1078,5,1,card_rank8_jaeger,item-10001078,item-20001078,1,0,,,0,0,,item-30001078
1079,5,1,card_rank10_dragoon,item-10001079,item-20001079,1,0,,,0,0,,item-30001079
1080,5,1,card_rankJ_sangvisferri,item-10001080,item-20001080,1,0,,,0,0,,item-30001080
1081,5,1,card_rankK_ar15,item-10001081,item-20001081,1,0,,,0,0,,item-30001081
1082,5,1,card_rankQ_destroyer,item-10001082,item-20001082,1,0,,,0,0,,item-30001082
1083,5,1,cg1,item-10001083,item-20001083,1,0,,,0,0,,item-30001083
1084,5,1,cg2,item-10001084,item-20001084,1,0,,,0,0,,item-30001084
1085,5,1,cg3,item-10001085,item-20001085,1,0,,,0,0,,item-30001085
1086,5,1,cg4,item-10001086,item-20001086,1,0,,,0,0,,item-30001086
1087,5,1,profilePic_pm_halloween,item-10001087,item-20001087,1,0,,,0,0,,item-30001087
1088,5,1,profilePic_vector_halloween,item-10001088,item-20001088,1,0,,,0,0,,item-30001088
1089,5,1,profilePic_mp5_halloween,item-10001089,item-20001089,1,0,,,0,0,,item-30001089
1090,5,1,profilePic_m45_halloween,item-10001090,item-20001090,1,0,,,0,0,,item-30001090
1091,5,1,profilePic_m1903_halloween,item-10001091,item-20001091,1,0,,,0,0,,item-30001091
1092,5,1,profilePic_wa2000_halloween,item-10001092,item-20001092,1,0,,,0,0,,item-30001092
1093,5,1,profilePic_m1919a4_halloween,item-10001093,item-20001093,1,0,,,0,0,,item-30001093
1094,5,1,profilePic_mk23_halloween,item-10001094,item-20001094,1,0,,,0,0,,item-30001094
1095,5,1,profilePic_g11_halloween,item-10001095,item-20001095,1,0,,,0,0,,item-30001095
1096,5,1,profilePic_64type_halloween,item-10001096,item-20001096,1,0,,,0,0,,item-30001096
1097,5,1,profilePic_MLEMK1_nichijou,item-10001097,item-20001097,1,0,,,0,0,,item-30001097
1098,5,1,profilePic_MicroUZI_nichijou,item-10001098,item-20001098,1,0,,,0,0,,item-30001098
1099,5,1,profilePic_M1918_nichijou,item-10001099,item-20001099,1,0,,,0,0,,item-30001099
1100,5,1,profilePic_MP446_nichijou,item-10001100,item-20001100,1,0,,,0,0,,item-30001100
1101,5,1,profilePic_64type_nichijou,item-10001101,item-20001101,1,0,,,0,0,,item-30001101
1102,5,1,profilePic_Grizzly_nichijou,item-10001102,item-20001102,1,0,,,0,0,,item-30001102
1103,5,1,profilePic_M1919A4_nichijou,item-10001103,item-20001103,1,0,,,0,0,,item-30001103
1104,5,1,profilePic_m1873_xmas,item-10001104,item-20001104,1,0,,,0,0,,item-30001104
1105,5,1,profilePic_m1903_xmas,item-10001105,item-20001105,1,0,,,0,0,,item-30001105
1106,5,1,profilePic_m14_xmas,item-10001106,item-20001106,1,0,,,0,0,,item-30001106
1107,5,1,profilePic_m21_xmas,item-10001107,item-20001107,1,0,,,0,0,,item-30001107
1108,5,1,profilePic_svd_xmas,item-10001108,item-20001108,1,0,,,0,0,,item-30001108
1109,5,1,profilePic_wa2000_xmas,item-10001109,item-20001109,1,0,,,0,0,,item-30001109
1110,5,1,profilePic_ntw_xmas,item-10001110,item-20001110,1,0,,,0,0,,item-30001110
1111,5,1,profilePic_fal_xmas,item-10001111,item-20001111,1,0,,,0,0,,item-30001111
1112,5,1,profilePic_mg5_xmas,item-10001112,item-20001112,1,0,,,0,0,,item-30001112
1113,5,1,profilePic_kp31_xmas,item-10001113,item-20001113,1,0,,,0,0,,item-30001113
1114,5,1,profilePic_561type_spring,item-10001114,item-20001114,1,0,,,0,0,,item-30001114
1115,5,1,profilePic_mp446_spring,item-10001115,item-20001115,1,0,,,0,0,,item-30001115
1116,5,1,profilePic_nz75_spring,item-10001116,item-20001116,1,0,,,0,0,,item-30001116
1117,5,1,profilePic_m99_spring,item-10001117,item-20001117,1,0,,,0,0,,item-30001117
1118,5,1,profilePic_95type_spring,item-10001118,item-20001118,1,0,,,0,0,,item-30001118
1119,5,1,profilePic_97type_spring,item-10001119,item-20001119,1,0,,,0,0,,item-30001119
1120,5,1,profilePic_59type_spring,item-10001120,item-20001120,1,0,,,0,0,,item-30001120
1121,5,1,profilePic_ptrd_spring,item-10001121,item-20001121,1,0,,,0,0,,item-30001121
1122,5,1,profilePic_ump9_spring,item-10001122,item-20001122,1,0,,,0,0,,item-30001122
1123,5,1,profilePic_ump45_spring,item-10001123,item-20001123,1,0,,,0,0,,item-30001123
1124,5,1,profilePic_welrod_spring,item-10001124,item-20001124,1,0,,,0,0,,item-30001124
1126,5,1,profilePic_tt33_wedding,item-10001126,item-20001126,1,0,,,0,0,,item-30001126
1127,5,1,profilePic_ppsh41_wedding,item-10001127,item-20001127,1,0,,,0,0,,item-30001127
1128,5,1,profilePic_stenmkii_wedding,item-10001128,item-20001128,1,0,,,0,0,,item-30001128
1129,5,1,profilePic_mlemk1_wedding,item-10001129,item-20001129,1,0,,,0,0,,item-30001129
1130,5,1,profilePic_pk_wedding,item-10001130,item-20001130,1,0,,,0,0,,item-30001130
1131,5,1,profilePic_p7_wedding,item-10001131,item-20001131,1,0,,,0,0,,item-30001131
1132,5,1,profilePic_fal_wedding,item-10001132,item-20001132,1,0,,,0,0,,item-30001132
1133,5,1,profilePic_ar15_serafuku,item-10001133,item-20001133,1,0,,,0,0,,item-30001133
1134,5,1,profilePic_m950a_serafuku,item-10001134,item-20001134,1,0,,,0,0,,item-30001134
1135,5,1,profilePic_mg4_serafuku,item-10001135,item-20001135,1,0,,,0,0,,item-30001135
1136,5,1,profilePic_6p62_serafuku,item-10001136,item-20001136,1,0,,,0,0,,item-30001136
1137,5,1,profilePic_vz61_dress,item-10001137,item-20001137,1,0,,,0,0,,item-30001137
1138,5,1,profilePic_m1903_dress,item-10001138,item-20001138,1,0,,,0,0,,item-30001138
1139,5,1,profilePic_m1891_dress,item-10001139,item-20001139,1,0,,,0,0,,item-30001139
1140,5,1,profilePic_wa2000_dress,item-10001140,item-20001140,1,0,,,0,0,,item-30001140
1141,5,1,profilePic_hk416_dress,item-10001141,item-20001141,1,0,,,0,0,,item-30001141
1142,5,1,profilePic_m1918_dress,item-10001142,item-20001142,1,0,,,0,0,,item-30001142
1143,5,1,profilePic_sr3mp_dress,item-10001143,item-20001143,1,0,,,0,0,,item-30001143
1144,5,1,profilePic_m950a_dress,item-10001144,item-20001144,1,0,,,0,0,,item-30001144
1145,5,1,profilePic_MLEMK1_childrensday,item-10001145,item-20001145,1,0,,,0,0,,item-30001145
1146,5,1,profilePic_MP40_childrensday,item-10001146,item-20001146,1,0,,,0,0,,item-30001146
1147,5,1,profilePic_Grizzly_childrensday,item-10001147,item-20001147,1,0,,,0,0,,item-30001147
1148,5,1,profilePic_NEGEV_childrensday,item-10001148,item-20001148,1,0,,,0,0,,item-30001148
1149,5,1,profilePic_G36_childrensday,item-10001149,item-20001149,1,0,,,0,0,,item-30001149
1150,5,1,profilePic_myu12_bb,item-10001150,item-20001150,1,0,,,0,0,,item-30001150
1151,5,1,profilePic_dress_elphelt_gg,item-10001151,item-20001151,1,0,,,0,0,,item-30001151
1152,5,1,profilePic_blood_elphelt_gg,item-10001152,item-20001152,1,0,,,0,0,,item-30001152
1153,5,1,profilePic_NTW20_swimsuit,item-10001153,item-20001153,1,0,,,0,0,,item-30001153
1154,5,1,profilePic_95type_swimsuit,item-10001154,item-20001154,1,0,,,0,0,,item-30001154
1155,5,1,profilePic_KP31_swimsuit,item-10001155,item-20001155,1,0,,,0,0,,item-30001155
1156,5,1,profilePic_G28_swimsuit,item-10001156,item-20001156,1,0,,,0,0,,item-30001156
1157,5,1,profilePic_Ithaca37_swimsuit,item-10001157,item-20001157,1,0,,,0,0,,item-30001157
1158,5,1,profilePic_M1_swimsuit,item-10001158,item-20001158,1,0,,,0,0,,item-30001158
1159,5,1,profilePic_M1903_swimsuit,item-10001159,item-20001159,1,0,,,0,0,,item-30001159
1160,5,1,profilePic_WA2000_swimsuit,item-10001160,item-20001160,1,0,,,0,0,,item-30001160
1161,5,1,profilePic_FN57_swimsuit,item-10001161,item-20001161,1,0,,,0,0,,item-30001161
1162,5,1,profilePic_PKP_yukata,item-10001162,item-20001162,1,0,,,0,0,,item-30001162
1163,5,1,profilePic_G36C_yukata,item-10001163,item-20001163,1,0,,,0,0,,item-30001163
1164,5,1,profilePic_OTs14_yukata,item-10001164,item-20001164,1,0,,,0,0,,item-30001164
1165,5,1,profilePic_KLIN_yukata,item-10001165,item-20001165,1,0,,,0,0,,item-30001165
1166,5,1,profilePic_MP5_yukata,item-10001166,item-20001166,1,0,,,0,0,,item-30001166
1167,5,1,profilePic_M249SAW_leisurewear,item-10001167,item-20001167,1,0,,,0,0,,item-30001167
1168,5,1,profilePic_9A91_leisurewear,item-10001168,item-20001168,1,0,,,0,0,,item-30001168
1169,5,1,profilePic_G3_leisurewear,item-10001169,item-20001169,1,0,,,0,0,,item-30001169
1170,5,1,profilePic_MG3_leisurewear,item-10001170,item-20001170,1,0,,,0,0,,item-30001170
1171,5,1,profilePic_TAR-21_leisurewear,item-10001171,item-20001171,1,0,,,0,0,,item-30001171
1172,5,1,profilePic_2016halloween,item-10001172,item-20001172,1,0,,,0,0,,item-30001172
1173,5,1,profilePic_Welrod_halloween2,item-10001173,item-20001173,1,0,,,0,0,,item-30001173
1174,5,1,profilePic_79type_halloween2,item-10001174,item-20001174,1,0,,,0,0,,item-30001174
1175,5,1,profilePic_IWS2000_halloween2,item-10001175,item-20001175,1,0,,,0,0,,item-30001175
1176,5,1,profilePic_P7_halloween2,item-10001176,item-20001176,1,0,,,0,0,,item-30001176
1177,5,1,profilePic_Spitfire_halloween2,item-10001177,item-20001177,1,0,,,0,0,,item-30001177
1178,5,1,profilePic_FNFNC_halloween2,item-10001178,item-20001178,1,0,,,0,0,,item-30001178
1179,5,1,profilePic_SuperSASS_halloween2,item-10001179,item-20001179,1,0,,,0,0,,item-30001179
1180,5,1,profilePic_rank5_RFB,item-10001180,item-20001180,1,0,,,0,0,,item-30001180
1181,5,1,profilePic_rank5_SAT8,item-10001181,item-20001181,1,0,,,0,0,,item-30001181
1182,5,1,profilePic_rank4_USAS12,item-10001182,item-20001182,1,0,,,0,0,,item-30001182
1183,5,1,profilePic_rank5_Vector,item-10001183,item-20001183,1,0,,,0,0,,item-30001183
1184,5,1,profilePic_rank4_Spitfire,item-10001184,item-20001184,1,0,,,0,0,,item-30001184
1185,5,1,card_rank7_kar98k,item-10001185,item-20001185,1,0,,,0,0,,item-30001185
1186,5,1,card_rankQ_M4A1,item-10001186,item-20001186,1,0,,,0,0,,item-30001186
1187,5,1,card_rankK_M16A1,item-10001187,item-20001187,1,0,,,0,0,,item-30001187
1188,5,1,card_rank10_HALLOWEEN,item-10001188,item-20001188,1,0,,,0,0,,item-30001188
1189,5,1,card_rankQ_dinergate,item-10001189,item-20001189,1,0,,,0,0,,item-30001189
1203,5,1,profilePic_M1928A1_manwear,item-10001203,item-20001203,1,0,,,0,0,,item-30001203
1204,5,1,profilePic_Contender_manwear,item-10001204,item-20001204,1,0,,,0,0,,item-30001204
1205,5,1,profilePic_PKP_manwear,item-10001205,item-20001205,1,0,,,0,0,,item-30001205
1206,5,1,profilePic_MG5_manwear,item-10001206,item-20001206,1,0,,,0,0,,item-30001206
1207,5,1,profilePic_AEK999_manwear,item-10001207,item-20001207,1,0,,,0,0,,item-30001207
1208,5,1,profilePic_PzB39_manwear,item-10001208,item-20001208,1,0,,,0,0,,item-30001208
1209,5,1,profilePic_G36_manwear,item-10001209,item-20001209,1,0,,,0,0,,item-30001209
1210,5,1,profilePic_2017manwear,item-10001210,item-20001210,1,0,,,0,0,,item-30001210
1211,5,1,cg_manwear,item-10001211,item-20001211,1,0,,,0,0,,item-30001211
1212,5,1,profilePic_2016xmas,item-10001212,item-20001212,1,0,,,0,0,,item-30001212
1213,5,1,cg_christmas_bed,item-10001213,item-20001213,1,0,,,0,0,,item-30001213
1214,5,1,cg_christmas_room,item-10001214,item-20001214,1,0,,,0,0,,item-30001214
1215,5,1,profilePic_RFB_xmas2,item-10001215,item-20001215,1,0,,,0,0,,item-30001215
1216,5,1,profilePic_G11_xmas2,item-10001216,item-20001216,1,0,,,0,0,,item-30001216
1217,5,1,profilePic_ZastavaM21_xmas2,item-10001217,item-20001217,1,0,,,0,0,,item-30001217
1218,5,1,profilePic_CZ75_xmas2,item-10001218,item-20001218,1,0,,,0,0,,item-30001218
1219,5,1,profilePic_Ameli_xmas2,item-10001219,item-20001219,1,0,,,0,0,,item-30001219
1220,5,1,profilePic_M1918_xmas2,item-10001220,item-20001220,1,0,,,0,0,,item-30001220
1221,5,1,profilePic_OC44_xmas2,item-10001221,item-20001221,1,0,,,0,0,,item-30001221
1222,5,1,profilePic_bonus1_xmas2,item-10001222,item-20001222,1,0,,,0,0,,item-30001222
1223,5,1,profilePic_bonus2_xmas2,item-10001223,item-20001223,1,0,,,0,0,,item-30001223
1224,5,1,profilePic_bonus3_xmas2,item-10001224,item-20001224,1,0,,,0,0,,item-30001224
