id,code,chip_up_exp,chip_group,level,name,description,cd_type,init_cd,cd,rank,number,skill_target_first,skill_target_second,use_stage,target_select_first,target_select_second,type,is_active,price,sell_price,experience,init_time,fit_gun_type,custom_type,show_ui,log_description,ai_skill,cutin_animation_duration
19001,Item_Icon_4,0,190,1,chess_chip-10019001,chess_chip-20019001,0,0,0,5,4,19001,0,6,5,0,1,1,5,5,1,5,,,2,chess_chip-30019001,,0.0
19101,Item_Icon_5,0,191,1,chess_chip-10019101,chess_chip-20019101,0,0,0,3,4,19101,0,6|11,42,0,1,1,3,3,1,2,,,0,chess_chip-30019101,,0.0
19201,Item_Icon_6,0,192,1,chess_chip-10019201,chess_chip-20019201,0,0,0,3,4,19201,0,6|11,42,0,1,1,3,3,1,2,,,0,chess_chip-30019201,,0.0
19301,Item_Icon_7,0,193,1,chess_chip-10019301,chess_chip-20019301,0,0,0,4,4,19301,0,6|11,42,0,1,1,4,4,1,3,,,0,chess_chip-30019301,,0.0
19401,Item_Icon_8,0,194,1,chess_chip-10019401,chess_chip-20019401,0,0,0,3,0,19401,0,6|11,5,0,1,1,3,3,1,2,,,0,chess_chip-30019401,,0.0
19901,ChipNewIcons_52,1,199,1,chess_chip-10019901,chess_chip-20019901,0,0,0,5,5,0,0,0,0,0,1,0,5,5,1,5,0,,0,chess_chip-30019901,,0.0
19902,ChipNewIcons_52,0,199,2,chess_chip-10019902,chess_chip-20019902,0,0,0,5,0,19901,19907,0,5,5,1,0,0,7,1,0,0,,0,chess_chip-30019902,,0.0
20101,GunSkill_1,0,201,1,chess_chip-10020101,chess_chip-20020101,2,1,2,0,0,20101,20801,6|11,44,6,4,1,0,0,0,0,,,0,chess_chip-30020101,2010101|2080101,0.0
20201,GunSkill_4,0,202,1,chess_chip-10020201,chess_chip-20020201,2,3,3,0,0,0,20201,6|11,1,3,4,1,0,0,0,0,,,0,chess_chip-30020201,2020101,0.0
20301,GunSkill_3,0,203,1,chess_chip-10020301,chess_chip-20020301,2,0,2,0,0,20501|20601|20701|20901|21001|21101|21201|21301|21401,0,6|11,1,0,4,1,0,0,0,0,,,0,chess_chip-30020301,2050101|2060101|2070101|2090101|2100101|2110101|2120101|2130101|2140101,0.0
20401,GunSkill_2,0,204,1,chess_chip-10020401,chess_chip-20020401,2,1,2,0,0,0,20401,6|11,1,4,4,1,0,0,0,0,,,0,chess_chip-30020401,2040101,0.0
30101,TechSkill_1,0,301,1,chess_chip-10030101,chess_chip-20030101,2,2,3,0,0,30601,0,6,1,0,3,1,0,0,0,0,,,0,chess_chip-30030101,,0.0
30201,TechSkill_2,0,302,1,chess_chip-10030201,chess_chip-20030201,2,1,2,0,0,30201,0,6|11,31,0,3,1,0,0,0,0,,,0,chess_chip-30030201,3020101,0.0
30301,TechSkill_3,0,303,1,chess_chip-10030301,chess_chip-20030301,2,0,0,0,0,30302|30303|30304|30305|30306|30307|30308|30309|30310|30311|30312|30313|30314|30315|30316|30317|30318|30319,0,6|11,32,0,3,1,0,0,0,0,,,0,chess_chip-30030301,30322|30323|30324|30325|30326|30327|30328|30329|30330|30331|30332|30333|30334|30335|30336|30337|30338|30339,0.0
30401,TechSkill_4,0,304,1,chess_chip-10030401,chess_chip-20030401,2,1,1,0,0,30501,0,6|11,31,0,3,1,0,0,0,0,,,0,chess_chip-30030401,3050101,0.0
30501,TechSkill_16lab,0,305,1,chess_chip-10030501,chess_chip-20030501,2,0,2,0,0,30901|31001|31101|31201,0,6|11,32,0,3,1,0,0,0,0,,,0,chess_chip-30030501,3090101|3100101|3110101|3120101,0.5
60201,ChipIconsNew1_03,1,602,1,chess_chip-10060201,chess_chip-20060201,0,0,0,5,5,60201|60202|60203,0,0,10,0,1,0,5,5,1,5,1,,0,chess_chip-30060201,,0.0
60202,ChipIconsNew1_03,0,602,2,chess_chip-10060202,chess_chip-20060202,0,0,0,5,0,60201|60204|60203,19904,0,10,5,1,0,0,7,1,0,1,,0,chess_chip-30060202,,0.0
60301,Item_运兵站,0,603,1,chess_chip-10060301,chess_chip-20060301,0,0,0,1,0,60301,0,6|11,5,0,1,1,2,2,1,1,,,1,chess_chip-30060301,,0.0
60501,Item_备用配件,0,605,1,chess_chip-10060501,chess_chip-20060501,0,0,0,3,0,30340,0,6|11,32,0,1,1,3,3,1,0,,,0,chess_chip-30060501,,0.0
60601,Item_运输载具,0,606,1,chess_chip-10060601,chess_chip-20060601,0,0,0,5,0,60601,0,6|11,42,0,1,1,3,3,1,2,,,0,chess_chip-30060601,,0.0
60701,ChipIcons_05,1,607,1,chess_chip-10060701,chess_chip-20060701,0,0,0,4,6,60701|60711|60706|60705|60704|60703,0,0,10,0,1,0,4,4,1,3,1,,0,chess_chip-30060701,,0.0
60702,ChipIcons_05,0,607,2,chess_chip-10060702,chess_chip-20060702,0,0,0,4,0,60702|60712|60710|60709|60708|60707,0,0,10,0,1,0,0,6,1,0,1,,0,chess_chip-30060702,,0.0
60801,ChipNewIcons_11,1,608,1,chess_chip-10060801,chess_chip-20060801,0,0,0,1,8,60801|6080101|6080102,0,0,10,0,1,0,2,2,1,1,1,1,0,chess_chip-30060801,,0.0
60802,ChipNewIcons_11,0,608,2,chess_chip-10060802,chess_chip-20060802,0,0,0,1,0,60802|6080201|6080202,0,0,10,0,1,0,0,4,1,0,1,,0,chess_chip-30060802,,0.0
60901,ChipIconsNew1_01,1,609,1,chess_chip-10060901,chess_chip-20060901,0,0,0,1,8,60901,0,0,10,0,1,0,2,2,1,1,1,1,0,chess_chip-30060901,,0.0
60902,ChipIconsNew1_01,0,609,2,chess_chip-10060902,chess_chip-20060902,0,0,0,1,0,60902,0,0,10,0,1,0,0,4,1,0,1,,0,chess_chip-30060902,,0.0
61001,ChipIconsNew1_10,1,610,1,chess_chip-10061001,chess_chip-20061001,0,0,0,3,7,61001,0,0,5,0,1,0,3,3,1,2,4,610,0,chess_chip-30061001,,0.0
61002,ChipIconsNew1_10,0,610,2,chess_chip-10061002,chess_chip-20061002,0,0,0,3,0,61002,0,0,5,0,1,0,0,5,1,0,4,610,0,chess_chip-30061002,,0.0
61101,ChipIconsNew1_11,1,611,1,chess_chip-10061101,chess_chip-20061101,0,0,0,4,6,61101,0,0,5,0,1,0,3,3,1,3,4,611,0,chess_chip-30061101,,0.0
61102,ChipIconsNew1_11,0,611,2,chess_chip-10061102,chess_chip-20061102,0,0,0,4,0,61102,0,0,5,0,1,0,0,5,1,0,4,611,0,chess_chip-30061102,,0.0
61201,ChipIconsNew1_12,1,612,1,chess_chip-10061201,chess_chip-20061201,0,0,0,3,7,61201,0,0,38,0,1,0,3,3,1,2,2,2,0,chess_chip-30061201,,0.0
61202,ChipIconsNew1_12,0,612,2,chess_chip-10061202,chess_chip-20061202,0,0,0,3,0,61202,0,0,38,0,1,0,0,5,1,0,2,2,0,chess_chip-30061202,,0.0
61301,Item_Icon_6,0,613,1,chess_chip-10061301,chess_chip-20061301,0,0,0,3,0,61301,0,6|11,42,0,1,1,0,0,1,0,,,0,chess_chip-30061301,,0.0
61401,Item_Icon_6,0,614,1,chess_chip-10061401,chess_chip-20061401,0,0,0,3,0,61401,0,6|11,42,0,1,1,0,0,1,0,,,0,chess_chip-30061401,,0.0
61501,ChipIconsNew1_13,1,615,1,chess_chip-10061501,chess_chip-20061501,0,0,0,3,7,61501,0,0,5,0,1,0,3,3,1,2,2,,0,chess_chip-30061501,,0.0
61502,ChipIconsNew1_13,0,615,2,chess_chip-10061502,chess_chip-20061502,0,0,0,3,0,61502,0,0,5,0,1,0,0,5,1,0,2,,0,chess_chip-30061502,,0.0
61601,ChipIconsNew1_14,1,616,1,chess_chip-10061601,chess_chip-20061601,0,0,0,4,6,61601,0,0,38,0,1,0,4,4,1,3,2,,0,chess_chip-30061601,,0.0
61602,ChipIconsNew1_14,0,616,2,chess_chip-10061602,chess_chip-20061602,0,0,0,4,0,61602,0,0,38,0,1,0,0,6,1,0,2,,0,chess_chip-30061602,,0.0
61701,ChipIconsNew1_15,1,617,1,chess_chip-10061701,chess_chip-20061701,0,0,0,1,8,61702|61701|61704,0,0,38,0,1,0,2,2,1,1,2,,0,chess_chip-30061701,,0.0
61702,ChipIconsNew1_15,0,617,2,chess_chip-10061702,chess_chip-20061702,0,0,0,1,0,61703|61701|61705,0,0,38,0,1,0,0,4,1,0,2,,0,chess_chip-30061702,,0.0
61801,ChipIconsNew1_16,1,618,1,chess_chip-10061801,chess_chip-20061801,0,0,0,1,8,61801,0,0,17,0,1,0,2,2,1,1,3,,0,chess_chip-30061801,,0.0
61802,ChipIconsNew1_16,0,618,2,chess_chip-10061802,chess_chip-20061802,0,0,0,1,0,61802,0,0,17,0,1,0,0,4,1,0,3,,0,chess_chip-30061802,,0.0
61901,ChipIconsNew1_17,1,619,1,chess_chip-10061901,chess_chip-20061901,0,0,0,1,8,61901,0,0,5,0,1,0,4,4,1,1,3,,0,chess_chip-30061901,,0.0
61902,ChipIconsNew1_17,0,619,2,chess_chip-10061902,chess_chip-20061902,0,0,0,1,0,61902,0,0,5,0,1,0,0,6,1,0,3,,0,chess_chip-30061902,,0.0
62001,ChipIconsNew1_18,1,620,1,chess_chip-10062001,chess_chip-20062001,0,0,0,3,7,62001|62002,0,0,17,0,1,0,3,3,1,2,3,,0,chess_chip-30062001,,0.0
62002,ChipIconsNew1_18,0,620,2,chess_chip-10062002,chess_chip-20062002,0,0,0,3,0,62001|62003,0,0,17,0,1,0,0,5,1,0,3,,0,chess_chip-30062002,,0.0
62101,ChipIconsNew1_19,1,621,1,chess_chip-10062101,chess_chip-20062101,0,0,0,3,7,62101,0,0,17,0,1,0,3,3,1,2,3,,0,chess_chip-30062101,,0.0
62102,ChipIconsNew1_19,0,621,2,chess_chip-10062102,chess_chip-20062102,0,0,0,3,0,62102,0,0,17,0,1,0,0,5,1,0,3,,0,chess_chip-30062102,,0.0
62301,ChipIconsNew1_05,1,623,1,chess_chip-10062301,chess_chip-20062301,0,0,0,3,7,62301,0,0,40,0,1,0,3,3,1,2,4,,0,chess_chip-30062301,,0.0
62302,ChipIconsNew1_05,0,623,2,chess_chip-10062302,chess_chip-20062302,0,0,0,3,0,62302|62301,0,0,40,0,1,0,0,5,1,0,4,,0,chess_chip-30062302,,0.0
62401,ChipIconsNew1_06,1,624,1,chess_chip-10062401,chess_chip-20062401,0,0,0,1,8,62401,0,0,5,0,1,0,2,2,1,1,4,,0,chess_chip-30062401,,0.0
62402,ChipIconsNew1_06,0,624,2,chess_chip-10062402,chess_chip-20062402,0,0,0,1,0,62402,0,0,5,0,1,0,0,4,1,0,4,,0,chess_chip-30062402,,0.0
62501,ChipIconsNew1_09,1,625,1,chess_chip-10062501,chess_chip-20062501,0,0,0,1,8,62501|62503,0,0,40,0,1,0,2,2,1,1,4,,0,chess_chip-30062501,,0.0
62502,ChipIconsNew1_09,0,625,2,chess_chip-10062502,chess_chip-20062502,0,0,0,1,0,62502|62503,0,0,40,0,1,0,0,4,1,0,4,,0,chess_chip-30062502,,0.0
62601,ChipIconsNew1_07,1,626,1,chess_chip-10062601,chess_chip-20062601,0,0,0,3,7,62601,0,0,48,0,1,0,3,3,1,2,0,,0,chess_chip-30062601,,0.0
62602,ChipIconsNew1_07,0,626,2,chess_chip-10062602,chess_chip-20062602,0,0,0,3,0,62602,0,0,48,0,1,0,0,5,1,0,0,,0,chess_chip-30062602,,0.0
