id,group_id,lv,unlock_num,if_skill_up,resolution_number,resolution_hp,resolution_rec,resolution_pow,resolution_rate,resolution_hit,resolution_dodge,resolution_armor,resolution_armor_piercing,resolution_crit,resolution_crit_dmg,resolution_speed,resolution_effect,effect_grid_effect,ap_add,cost_reduce,skill1,skill2,skill3,skill_advance
10701,107,1,1,0,1,366,41,50,23,18,33,0,0,0,0,0,200,0:4|15;5|15|2:1|12;3|12,0,0,0,0,0,0
10702,107,2,1,0,1,366,41,80,23,18,63,0,0,0,0,0,200,0:4|15;5|15|2:1|12;3|12,0,0,0,0,0,0
10703,107,3,1,0,1,366,41,80,38,33,63,0,0,0,0,0,200,0:4|15;5|15|2:1|12;3|12,0,0,0,0,0,0
10704,107,4,1,1,1,366,41,80,38,33,63,0,0,0,0,0,200,0:4|15;5|15|2:1|12;3|12,0,0,900834,0,0,0
10800,108,0,0,0,1,246,29,47,22,36,26,0,0,0,0,0,0,3:2|9;3|9|5:1|9;4|9,0,0,0,0,0,0
10801,108,1,1,0,1,246,29,47,22,36,26,0,0,0,0,0,200,3:2|15;3|15|5:1|15;4|15,0,0,0,0,0,0
10802,108,2,1,0,1,246,29,77,42,36,26,0,0,0,0,0,200,3:2|15;3|15|5:1|15;4|15,0,0,0,0,0,0
10803,108,3,1,0,1,366,29,77,42,36,66,0,0,0,0,0,200,3:2|15;3|15|5:1|15;4|15,0,0,0,0,0,0
10804,108,4,1,1,1,366,29,77,42,36,66,0,0,0,0,0,200,3:2|15;3|15|5:1|15;4|15,0,0,900926,0,0,0
10900,109,0,0,0,1,331,37,56,24,20,44,0,0,0,0,0,0,0:3|9;4|9|6:1|6;5|6,0,0,0,0,0,0
10901,109,1,1,0,1,331,37,56,24,20,44,0,0,0,0,0,200,0:3|15;4|15|6:1|10;5|10,0,0,0,0,0,0
10902,109,2,1,0,1,331,37,96,24,20,60,0,0,0,0,0,200,0:3|15;4|15|6:1|10;5|10,0,0,0,0,0,0
10903,109,3,1,0,1,331,37,96,36,35,60,0,0,0,0,0,200,0:3|15;4|15|6:1|10;5|10,0,0,0,0,0,0
10904,109,4,1,1,1,331,37,96,36,35,60,0,0,0,0,0,200,0:3|15;4|15|6:1|10;5|10,0,0,900970,0,0,0
11000,110,0,0,0,1,366,41,45,31,20,39,0,0,0,0,0,0,0:1|10|4:3|6;5|6|5:4|6;8|6,0,0,0,0,0,0
11001,110,1,1,0,1,366,41,45,31,20,39,0,0,0,0,0,200,0:1|15|4:3|10;5|10|5:4|10;8|10,0,0,0,0,0,0
11002,110,2,1,0,1,366,41,45,43,20,57,0,0,0,0,0,200,0:1|15|4:3|10;5|10|5:4|10;8|10,0,0,0,0,0,0
11003,110,3,1,0,1,366,41,77,43,40,57,0,0,0,0,0,200,0:1|15|4:3|10;5|10|5:4|10;8|10,0,0,0,0,0,0
11004,110,4,1,1,1,366,41,77,43,40,57,0,0,0,0,0,200,0:1|15|4:3|10;5|10|5:4|10;8|10,0,0,911031,0,0,0
11100,111,0,0,0,1,287,55,46,23,35,13,5,0,0,0,0,0,0:1|6;2|6;5|6;8|6,0,0,0,0,0,0
11101,111,1,1,0,1,287,55,46,23,35,13,5,0,0,0,0,200,0:1|10;2|10;5|10;8|10,0,0,0,0,0,0
11102,111,2,1,0,1,453,55,46,39,35,13,5,0,0,0,0,200,0:1|10;2|10;5|10;8|10,0,0,0,0,0,0
11103,111,3,1,0,1,453,55,72,39,35,48,5,0,0,0,0,200,0:1|10;2|10;5|10;8|10,0,0,0,0,0,0
11104,111,4,1,1,1,453,55,72,39,35,48,5,0,0,0,0,200,0:1|10;2|10;5|10;8|10,0,0,901201,0,0,0
11200,112,0,0,0,1,401,45,63,25,21,42,0,0,0,0,0,0,0:1|10;3|10;4|10,0,0,0,0,0,0
11201,112,1,1,0,1,401,45,63,25,21,42,0,0,0,0,0,200,0:1|15;3|15;4|15,0,0,0,0,0,0
11202,112,2,1,0,1,401,45,100,25,21,60,0,0,0,0,0,200,0:1|15;3|15;4|15,0,0,0,0,0,0
11203,112,3,1,0,1,401,45,100,35,38,60,0,0,0,0,0,200,0:1|15;3|15;4|15,0,0,0,0,0,0
11204,112,4,1,1,1,401,45,100,35,38,60,0,0,0,0,0,200,0:1|15;3|15;4|15,0,0,902163,0,0,0
11300,113,0,0,0,1,313,41,80,16,29,18,0,0,0,0,0,0,0:2|12|4:1|6;3|6,0,0,0,0,0,0
11301,113,1,1,0,1,313,41,80,16,29,18,0,0,0,0,0,200,0:2|20|4:1|10;3|10,0,0,0,0,0,0
11302,113,2,1,0,1,313,41,102,16,41,18,0,0,0,0,0,200,0:2|20|4:1|10;3|10,0,0,0,0,0,0
11303,113,3,1,0,1,313,41,102,26,41,32,0,0,0,0,0,200,0:2|20|4:1|10;3|10,0,0,0,0,0,0
11304,113,4,1,1,1,313,41,102,26,41,32,0,0,0,0,0,200,0:2|20|4:1|10;3|10,0,0,902362,0,0,0
11400,114,0,0,0,1,235,41,85,19,19,31,0,0,0,0,0,0,4:1|8;3|8|5:4|8;5|8,0,0,0,0,0,0
11401,114,1,1,0,1,235,41,85,19,19,31,0,0,0,0,0,200,4:1|12;3|12|5:4|12;5|12,0,0,0,0,0,0
11402,114,2,1,0,1,366,41,85,19,19,54,0,0,0,0,0,200,4:1|12;3|12|5:4|12;5|12,0,0,0,0,0,0
11403,114,3,1,0,1,366,41,103,19,35,54,0,0,0,0,0,200,4:1|12;3|12|5:4|12;5|12,0,0,0,0,0,0
11404,114,4,1,1,1,366,41,103,19,35,54,0,0,0,0,0,200,4:1|12;3|12|5:4|12;5|12,0,0,902442,0,0,0
11500,115,0,0,0,1,419,46,57,31,18,21,0,0,0,0,0,0,3:1|10;3|10;4|10,0,0,0,0,0,0
11501,115,1,1,0,1,419,46,57,31,18,21,0,0,0,0,0,200,3:1|15;3|15;4|15,0,0,0,0,0,0
11502,115,2,1,0,1,419,46,77,31,18,36,0,0,0,0,0,200,3:1|15;3|15;4|15,0,0,0,0,0,0
11503,115,3,1,0,1,419,46,107,31,43,36,0,0,0,0,0,200,3:1|15;3|15;4|15,0,0,0,0,0,0
11504,115,4,1,1,1,419,46,107,31,43,36,0,0,0,0,0,200,3:1|15;3|15;4|15,0,0,750002,0,0,0
11600,116,0,0,0,1,250,49,48,24,27,50,0,0,0,0,0,0,0:4|6;8|6|3:1|10,0,0,0,0,0,0
11601,116,1,1,0,1,250,49,48,24,27,50,0,0,0,0,0,200,0:4|10;8|10|3:1|15,0,0,0,0,0,0
11602,116,2,1,0,1,250,49,75,24,27,63,0,0,0,0,0,200,0:4|10;8|10|3:1|15,0,0,0,0,0,0
11603,116,3,1,0,1,436,49,75,39,27,63,0,0,0,0,0,200,0:4|10;8|10|3:1|15,0,0,0,0,0,0
11604,116,4,1,1,1,436,49,75,39,27,63,0,0,0,0,0,200,0:4|10;8|10|3:1|15,0,0,750080,0,0,0
11700,117,0,0,0,1,200,46,40,29,10,66,0,0,0,0,0,0,1:1|6;8|6|4:3|9;4|9,0,0,0,0,0,0
11701,117,1,1,0,1,200,46,40,29,10,66,0,0,0,0,0,200,1:1|10;8|10|4:3|15;4|15,0,0,0,0,0,0
11702,117,2,1,0,1,200,46,70,29,25,66,0,0,0,0,0,200,1:1|10;8|10|4:3|15;4|15,0,0,0,0,0,0
11703,117,3,1,0,1,419,46,100,29,25,66,0,0,0,0,0,200,1:1|10;8|10|4:3|15;4|15,0,0,0,0,0,0
11704,117,4,1,1,1,419,46,100,29,25,66,0,0,0,0,0,200,1:1|10;8|10|4:3|15;4|15,0,0,750277,0,0,0
11800,118,0,0,0,1,110,30,39,35,38,55,0,0,0,0,0,0,5:2|6;4|10|6:1|6;3|10,0,0,0,0,0,0
11801,118,1,1,0,1,110,30,39,35,38,55,0,0,0,0,0,200,5:2|10;4|15|6:1|10;3|15,0,0,0,0,0,0
11802,118,2,1,0,1,110,30,77,35,48,55,0,0,0,0,0,200,5:2|10;4|15|6:1|10;3|15,0,0,0,0,0,0
11803,118,3,1,0,1,278,30,77,35,48,75,0,0,0,0,0,200,5:2|10;4|15|6:1|10;3|15,0,0,0,0,0,0
11804,118,4,1,1,1,278,30,77,35,48,75,0,0,0,0,0,200,5:2|10;4|15|6:1|10;3|15,0,0,750364,0,0,0
11900,119,0,0,0,1,250,65,90,10,35,7,7,0,0,0,0,0,3:1|10;4|10;5|10,0,0,0,0,0,0
11901,119,1,1,0,1,250,65,90,10,35,7,7,0,0,0,0,200,3:1|15;4|15;5|15,0,0,0,0,0,0
11902,119,2,1,0,1,376,65,90,29,35,7,7,0,0,0,0,200,3:1|15;4|15;5|15,0,0,0,0,0,0
11903,119,3,1,0,1,576,65,90,29,35,30,7,0,0,0,0,200,3:1|15;4|15;5|15,0,0,0,0,0,0
11904,119,4,1,1,1,576,65,90,29,35,30,7,0,0,0,0,200,3:1|15;4|15;5|15,0,0,750398,0,0,0
12000,120,0,0,0,1,160,55,68,19,27,36,0,0,0,0,0,0,1:5|6;8|6|4:1|10;4|10,0,0,0,0,0,0
12001,120,1,1,0,1,160,55,68,19,27,36,0,0,0,0,0,200,1:5|10;8|10|4:1|15;4|15,0,0,0,0,0,0
12002,120,2,1,0,1,308,55,68,19,27,57,0,0,0,0,0,200,1:5|10;8|10|4:1|15;4|15,0,0,0,0,0,0
12003,120,3,1,0,1,488,55,68,19,42,57,0,0,0,0,0,200,1:5|10;8|10|4:1|15;4|15,0,0,0,0,0,0
12004,120,4,1,1,1,488,55,68,19,42,57,0,0,0,0,0,200,1:5|10;8|10|4:1|15;4|15,0,0,750410,0,0,0
12100,121,0,0,0,1,221,78,49,24,29,41,0,0,0,0,0,0,0:5|30|5:1|9;4|9,0,0,0,0,0,0
12101,121,1,1,0,1,221,78,49,24,29,41,0,0,0,0,0,200,0:5|50|5:1|15;4|15,0,0,0,0,0,0
12102,121,2,1,0,1,353,78,84,24,29,41,0,0,0,0,0,200,0:5|50|5:1|15;4|15,0,0,0,0,0,0
12103,121,3,1,0,1,541,78,84,24,29,66,0,0,0,0,0,200,0:5|50|5:1|15;4|15,0,0,0,0,0,0
12104,121,4,1,1,1,541,78,84,24,29,66,0,0,0,0,0,200,0:5|50|5:1|15;4|15,0,0,750580,0,0,0
12200,122,0,0,0,1,150,78,10,24,48,24,7,0,0,0,0,0,4:1|12;3|30;5|15,0,0,0,0,0,0
12201,122,1,1,0,1,150,78,10,24,48,24,7,0,0,0,0,200,4:1|20;3|50;5|30,0,0,0,0,0,0
12202,122,2,1,0,1,400,78,10,24,48,24,13,0,0,0,0,200,4:1|20;3|50;5|30,0,0,0,0,0,0
12203,122,3,1,0,1,697,78,49,24,48,24,13,0,0,0,0,200,4:1|20;3|50;5|30,0,0,0,0,0,0
12204,122,4,1,1,1,697,78,49,24,48,24,13,0,0,0,0,200,4:1|20;3|50;5|30,0,0,750623,0,0,0
12300,123,0,0,0,1,300,53,50,30,30,54,0,0,0,0,0,0,0:2|6;5|12|4:1|12,0,0,0,0,0,0
12301,123,1,1,0,1,300,53,50,30,30,54,0,0,0,0,0,200,0:2|10;5|20|4:1|20,0,0,0,0,0,0
12302,123,2,1,0,1,471,53,50,30,41,54,0,0,0,0,0,200,0:2|10;5|20|4:1|20,0,0,0,0,0,0
12303,123,3,1,0,1,471,53,86,36,41,54,0,0,0,0,0,200,0:2|10;5|20|4:1|20,0,0,0,0,0,0
12304,123,4,1,1,1,471,53,86,36,41,54,0,0,0,0,0,200,0:2|10;5|20|4:1|20,0,0,750701,0,0,0
12400,124,0,0,0,1,153,66,60,17,65,20,7,0,0,0,0,0,4:2|12;3|30;5|15,0,0,0,0,0,0
12401,124,1,1,0,1,153,66,60,17,65,20,7,0,0,0,0,200,4:2|20;3|50;5|30,0,0,0,0,0,0
12402,124,2,1,0,1,333,66,60,17,65,36,7,0,0,0,0,200,4:2|20;3|50;5|30,0,0,0,0,0,0
12403,124,3,1,0,1,593,66,106,17,65,36,7,0,0,0,0,200,4:2|20;3|50;5|30,0,0,0,0,0,0
12404,124,4,1,1,1,593,66,106,17,65,36,7,0,0,0,0,200,4:2|20;3|50;5|30,0,0,750784,0,0,0
12500,125,0,0,0,1,200,41,64,21,48,60,0,0,0,0,0,0,4:1|12;2|12,0,0,0,0,0,0
12501,125,1,1,0,1,200,41,64,21,48,60,0,0,0,0,0,200,4:1|20;2|20,0,0,0,0,0,0
12502,125,2,1,0,1,200,41,90,21,48,79,0,0,0,0,0,200,4:1|20;2|20,0,0,0,0,0,0
12503,125,3,1,0,1,366,41,130,21,48,79,0,0,0,0,0,200,4:1|20;2|20,0,0,0,0,0,0
12504,125,4,1,1,1,366,41,130,21,48,79,0,0,0,0,0,200,4:1|20;2|20,0,0,750871,0,0,0
12600,126,0,0,0,1,313,35,31,10,40,60,0,0,0,0,0,0,0:2|6;5|12|6:1|12,0,0,0,0,0,0
12601,126,1,1,0,1,313,35,31,10,40,60,0,0,0,0,0,200,0:2|10;5|20|6:1|20,0,0,0,0,0,0
12602,126,2,1,0,1,313,35,50,25,40,60,0,0,0,0,0,200,0:2|10;5|20|6:1|20,0,0,0,0,0,0
12603,126,3,1,0,1,313,35,100,25,53,60,0,0,0,0,0,200,0:2|10;5|20|6:1|20,0,0,0,0,0,0
12604,126,4,1,1,1,313,35,100,25,53,60,0,0,0,0,0,200,0:2|10;5|20|6:1|20,0,0,750886,0,0,0
12700,127,0,0,0,1,100,65,77,20,38,55,0,0,0,0,0,0,0:1|6;2|6;4|15,0,0,0,0,0,0
12701,127,1,1,0,1,100,65,77,20,38,55,0,0,0,0,0,200,0:1|10;2|10;4|30,0,0,0,0,0,0
12702,127,2,1,0,1,219,65,77,20,38,81,0,0,0,0,0,200,0:1|10;2|10;4|30,0,0,0,0,0,0
12703,127,3,1,0,1,419,65,77,36,38,81,0,0,0,0,0,200,0:1|10;2|10;4|30,0,0,0,0,0,0
12704,127,4,1,1,1,419,65,77,36,38,81,0,0,0,0,0,200,0:1|10;2|10;4|30,0,0,750961,0,0,0
12800,128,0,0,0,1,200,39,40,29,20,48,0,0,0,0,0,0,0:1|12|3:8|12|4:5|12,0,0,0,0,0,0
12801,128,1,1,0,1,200,39,40,29,20,48,0,0,0,0,0,200,0:1|20|3:8|20|4:5|20,0,0,0,0,0,0
12802,128,2,1,0,1,348,39,40,46,20,48,0,0,0,0,0,200,0:1|20|3:8|20|4:5|20,0,0,0,0,0,0
12803,128,3,1,0,1,348,39,88,46,30,48,0,0,0,0,0,200,0:1|20|3:8|20|4:5|20,0,0,0,0,0,0
12804,128,4,1,1,1,348,39,88,46,30,48,0,0,0,0,0,200,0:1|20|3:8|20|4:5|20,0,0,760003,0,0,0
12900,129,0,0,0,1,200,42,80,20,20,60,0,0,0,0,0,0,4:1|15;4|15;5|25,0,0,0,0,0,0
12901,129,1,1,0,1,200,42,80,20,20,60,0,0,0,0,0,200,4:1|30;4|30;5|50,0,0,0,0,0,0
12902,129,2,1,0,1,384,42,80,36,20,60,0,0,0,0,0,200,4:1|30;4|30;5|50,0,0,0,0,0,0
12903,129,3,1,0,1,384,42,111,36,53,60,0,0,0,0,0,200,4:1|30;4|30;5|50,0,0,0,0,0,0
12904,129,4,1,1,1,384,42,111,36,53,60,0,0,0,0,0,200,4:1|30;4|30;5|50,0,0,760011,0,0,0
20100,201,0,0,0,1,44,9,8,32,31,46,0,0,0,0,0,0,,0,0,0,0,0,0
20101,201,1,1,0,2,44,9,8,32,31,46,0,0,0,0,0,0,,0,0,0,0,0,0
20102,201,2,1,0,3,44,9,8,32,31,46,0,0,0,0,0,0,,0,0,0,0,0,0
20103,201,3,1,0,4,44,9,8,32,31,46,0,0,0,0,0,0,,0,0,0,0,0,0
20104,201,4,1,0,5,44,9,8,32,31,46,0,0,0,0,0,0,,0,0,0,0,0,0
20200,202,0,0,0,1,77,11,15,27,33,39,0,0,0,0,0,0,,0,0,0,0,0,0
20201,202,1,1,0,2,77,11,15,27,33,39,0,0,0,0,0,0,,0,0,0,0,0,0
20202,202,2,1,0,3,77,11,15,27,33,39,0,0,0,0,0,0,,0,0,0,0,0,0
20203,202,3,1,0,4,77,11,15,27,33,39,0,0,0,0,0,0,,0,0,0,0,0,0
20204,202,4,1,0,5,77,11,15,27,33,39,0,0,0,0,0,0,,0,0,0,0,0,0
20300,203,0,0,0,1,83,11,13,30,34,22,11,0,0,0,0,0,,0,0,0,0,0,0
20301,203,1,1,0,2,83,11,13,30,34,22,11,0,0,0,0,0,,0,0,0,0,0,0
20302,203,2,1,0,3,83,11,13,30,34,22,11,0,0,0,0,0,,0,0,0,0,0,0
20303,203,3,1,0,4,83,11,13,30,34,22,11,0,0,0,0,0,,0,0,0,0,0,0
20304,203,4,1,0,5,83,11,13,30,34,22,11,0,0,0,0,0,,0,0,0,0,0,0
20400,204,0,0,0,1,64,6,31,27,38,17,8,0,0,0,0,0,,0,0,0,0,0,0
20401,204,1,1,0,2,64,6,31,27,38,17,8,0,0,0,0,0,,0,0,0,0,0,0
20402,204,2,1,0,3,64,6,31,27,38,17,8,0,0,0,0,0,,0,0,0,0,0,0
20403,204,3,1,0,4,64,6,31,27,38,17,8,0,0,0,0,0,,0,0,0,0,0,0
20404,204,4,1,0,5,64,6,31,27,38,17,8,0,0,0,0,0,,0,0,0,0,0,0
20500,205,0,0,0,1,23,4,18,44,36,30,10,0,0,0,0,0,,0,0,0,0,0,0
20501,205,1,1,0,2,23,4,18,44,36,30,10,0,0,0,0,0,,0,0,0,0,0,0
20502,205,2,1,0,3,23,4,18,44,36,30,10,0,0,0,0,0,,0,0,0,0,0,0
20503,205,3,1,0,4,23,4,18,44,36,30,10,0,0,0,0,0,,0,0,0,0,0,0
20504,205,4,1,0,5,23,4,18,44,36,30,10,0,0,0,0,0,,0,0,0,0,0,0
20600,206,0,0,0,1,332,85,63,24,13,11,7,0,0,0,0,0,,0,0,0,0,0,0
20601,206,1,1,0,1,432,85,123,24,48,11,7,0,0,0,0,0,,0,0,0,0,0,0
20602,206,2,1,0,1,532,85,123,24,48,36,13,0,0,0,0,0,,0,0,0,0,0,0
20603,206,3,1,0,1,632,85,243,24,48,36,13,0,0,0,0,0,,0,0,0,0,0,0
20604,206,4,1,0,1,732,85,243,44,48,36,19,0,0,0,0,0,,0,0,0,0,0,0
20800,208,0,0,0,1,87,11,17,31,38,47,0,0,0,0,0,0,,0,0,0,0,0,0
20801,208,1,1,0,2,87,11,17,31,38,47,0,0,0,0,0,0,,0,0,0,0,0,0
20802,208,2,1,0,3,87,11,17,31,38,47,0,0,0,0,0,0,,0,0,0,0,0,0
20803,208,3,1,0,4,87,11,17,31,38,47,0,0,0,0,0,0,,0,0,0,0,0,0
20804,208,4,1,0,5,87,11,17,31,38,47,0,0,0,0,0,0,,0,0,0,0,0,0
20900,209,0,0,0,1,67,10,11,41,25,74,0,0,0,0,0,0,,0,0,0,0,0,0
20901,209,1,1,0,2,67,10,11,41,25,74,0,0,0,0,0,0,,0,0,0,0,0,0
20902,209,2,1,0,3,67,10,11,41,25,74,0,0,0,0,0,0,,0,0,0,0,0,0
20903,209,3,1,0,4,67,10,11,41,25,74,0,0,0,0,0,0,,0,0,0,0,0,0
20904,209,4,1,0,5,67,10,11,41,25,74,0,0,0,0,0,0,,0,0,0,0,0,0
21000,210,0,0,0,1,59,7,16,42,38,53,0,0,0,0,0,0,,0,0,0,0,0,0
21001,210,1,1,0,2,59,7,16,42,38,53,0,0,0,0,0,0,,0,0,0,0,0,0
21002,210,2,1,0,3,59,7,16,42,38,53,0,0,0,0,0,0,,0,0,0,0,0,0
21003,210,3,1,0,4,59,7,16,42,38,53,0,0,0,0,0,0,,0,0,0,0,0,0
21004,210,4,1,0,5,59,7,16,42,38,53,0,0,0,0,0,0,,0,0,0,0,0,0
21100,211,0,0,0,1,64,10,16,52,40,57,0,0,0,0,0,0,,0,0,0,0,0,0
21101,211,1,1,0,2,64,10,16,52,40,57,0,0,0,0,0,0,,0,0,0,0,0,0
21102,211,2,1,0,3,64,10,16,52,40,57,0,0,0,0,0,0,,0,0,0,0,0,0
21103,211,3,1,0,4,64,10,16,52,40,57,0,0,0,0,0,0,,0,0,0,0,0,0
21104,211,4,1,0,5,64,10,16,52,40,57,0,0,0,0,0,0,,0,0,0,0,0,0
21200,212,0,0,0,1,80,9,18,27,36,45,0,0,0,0,0,0,,0,0,0,0,0,0
21201,212,1,1,0,2,80,9,18,27,36,45,0,0,0,0,0,0,,0,0,0,0,0,0
21202,212,2,1,0,3,80,9,18,27,36,45,0,0,0,0,0,0,,0,0,0,0,0,0
21203,212,3,1,0,4,80,9,18,27,36,45,0,0,0,0,0,0,,0,0,0,0,0,0
21204,212,4,1,0,5,80,9,18,27,36,45,0,0,0,0,0,0,,0,0,0,0,0,0
21300,213,0,0,0,1,58,6,14,44,25,23,0,0,0,0,0,0,,0,0,0,0,0,0
21301,213,1,1,0,2,58,6,14,44,25,23,0,0,0,0,0,0,,0,0,0,0,0,0
21302,213,2,1,0,3,58,6,14,44,25,23,0,0,0,0,0,0,,0,0,0,0,0,0
21303,213,3,1,0,4,58,6,14,44,25,23,0,0,0,0,0,0,,0,0,0,0,0,0
21304,213,4,1,0,5,58,6,14,44,25,23,0,0,0,0,0,0,,0,0,0,0,0,0
21400,214,0,0,0,1,107,14,11,22,34,28,15,0,0,0,0,0,,0,0,0,0,0,0
21401,214,1,1,0,2,107,14,11,22,34,28,15,0,0,0,0,0,,0,0,0,0,0,0
21402,214,2,1,0,3,107,14,11,22,34,28,15,0,0,0,0,0,,0,0,0,0,0,0
21403,214,3,1,0,4,107,14,11,22,34,28,15,0,0,0,0,0,,0,0,0,0,0,0
21404,214,4,1,0,5,107,14,11,22,34,28,15,0,0,0,0,0,,0,0,0,0,0,0
21500,215,0,0,0,1,47,5,21,29,36,28,0,0,0,0,0,0,,0,0,0,0,0,0
21501,215,1,1,0,2,47,5,21,29,36,28,0,0,0,0,0,0,,0,0,0,0,0,0
21502,215,2,1,0,3,47,5,21,29,36,28,0,0,0,0,0,0,,0,0,0,0,0,0
21503,215,3,1,0,4,47,5,21,29,36,28,0,0,0,0,0,0,,0,0,0,0,0,0
21504,215,4,1,0,5,47,5,21,29,36,28,0,0,0,0,0,0,,0,0,0,0,0,0
21600,216,0,0,0,1,123,17,19,31,49,23,0,0,0,0,0,0,,0,0,0,0,0,0
21601,216,1,1,0,2,123,17,19,31,49,23,0,0,0,0,0,0,,0,0,0,0,0,0
21602,216,2,1,0,3,123,17,19,31,49,23,0,0,0,0,0,0,,0,0,0,0,0,0
21603,216,3,1,0,4,123,17,19,31,49,23,0,0,0,0,0,0,,0,0,0,0,0,0
