"id","type","unlock_lv","unlock_ids","unlock_label","count","prize_id","title","content","unlock_course","new_type","grade_id","sort","condition","new_unlock_ids"
"174","squad_get_chip","","","","1","782","career_quest-10000174","career_quest-20000174","","1","29","208","",""
"175","squad_get_secret_data","","","","1","783","career_quest-10000175","career_quest-20000175","","1","29","209","",""
"176","squad_get_type1_unit","","","","1","784","career_quest-10000176","career_quest-20000176","","1","29","210","",""
"177","squad_up_rank","","","","1","785","career_quest-10000177","career_quest-20000177","","1","30","222","",""
"178","squad_rank_max","","","","1","786","career_quest-10000178","career_quest-20000178","","1","33","264","",""
"179","squad_train_time","","","","1","787","career_quest-10000179","career_quest-20000179","","1","29","211","",""
"180","squad_level_max","","","","1","788","career_quest-10000180","career_quest-20000180","","1","33","265","",""
"181","squad_up_skill_times","","","","1","789","career_quest-10000181","career_quest-20000181","","1","30","223","",""
"182","squad_up_advanced_times","","","","1","790","career_quest-10000182","career_quest-20000182","","1","33","266","",""
"184","squad_chip_retire_times","","","","1","792","career_quest-10000184","career_quest-20000184","","1","30","224","",""
"185","squad_eat_chip_num","","","","1","793","career_quest-10000185","career_quest-20000185","","1","30","225","",""
"186","explore_auto_team","20","","","1","794","career_quest-10000186","career_quest-20000186","","1","48","363","",""
"187","explore_first_times","20","","","1","795","career_quest-10000187","career_quest-20000187","","1","48","364","",""
"188","explore_replay","20","","","1","796","career_quest-10000188","career_quest-20000188","","1","48","365","",""
"189","explore_get_prize","20","","","1","797","career_quest-10000189","career_quest-20000189","","1","48","366","",""
"190","explore_change_item","20","","","1","798","career_quest-10000190","career_quest-20000190","","1","48","367","",""
"191","uniform_get_color","","","","1","799","career_quest-10000191","career_quest-20000191","130","1","56","410","",""
"192","activation_uniform_skill","","","","1","800","career_quest-10000192","career_quest-20000192","130","1","54","392","",""
"193","change_gender","","","","1","11002","career_quest-10000193","career_quest-20000193","","1","54","393","",""
"194","mission_emergency_0_1_3","","","mission:5","1","11003","career_quest-10000194","career_quest-20000194","","2","2","7","",""
"195","mission_emergency_0_1_5","","","","1","11004","career_quest-10000195","career_quest-20000195","","2","2","8","",""
"196","mission_emergency_0_1_6","","","","1","11005","career_quest-10000196","career_quest-20000196","","2","2","9","",""
"197","mission_emergency_0_2_1","","","","1","11006","career_quest-10000197","career_quest-20000197","","2","3","18","",""
"198","mission_emergency_0_2_2","","","","1","11007","career_quest-10000198","career_quest-20000198","","2","3","19","",""
"199","mission_emergency_0_2_3","","","","1","11008","career_quest-10000199","career_quest-20000199","","2","3","20","",""
"200","mission_emergency_0_2_4","","","","1","11009","career_quest-10000200","career_quest-20000200","","2","3","21","",""
"201","mission_emergency_0_2_5","","","","1","11010","career_quest-10000201","career_quest-20000201","","2","3","22","",""
"202","mission_emergency_0_2_6","","","","1","11011","career_quest-10000202","career_quest-20000202","","2","3","23","",""
"203","mission_emergency_1_1_2","","","mission:15","1","11012","career_quest-10000203","career_quest-20000203","","2","3","24","",""
"204","mission_emergency_1_1_3","","","","1","11013","career_quest-10000204","career_quest-20000204","","2","3","25","",""
"205","mission_emergency_1_1_4","","","","1","11014","career_quest-10000205","career_quest-20000205","","2","3","26","",""
"206","mission_emergency_1_2_2","","","","1","11015","career_quest-10000206","career_quest-20000206","","2","5","42","",""
"207","mission_emergency_1_2_3","","","","1","11016","career_quest-10000207","career_quest-20000207","","2","5","43","",""
"208","mission_emergency_1_2_4","","","","1","11017","career_quest-10000208","career_quest-20000208","","2","5","44","",""
"209","mission_emergency_0_3_1","","","","1","11018","career_quest-10000209","career_quest-20000209","","2","5","45","",""
"210","mission_emergency_0_3_2","","","","1","11019","career_quest-10000210","career_quest-20000210","","2","5","46","",""
"211","mission_emergency_0_3_3","","","","1","11020","career_quest-10000211","career_quest-20000211","","2","5","47","",""
"212","mission_emergency_0_3_4","","","","1","11021","career_quest-10000212","career_quest-20000212","","2","5","48","",""
"213","mission_emergency_0_3_5","","","","1","11022","career_quest-10000213","career_quest-20000213","","2","5","49","",""
"214","mission_emergency_0_3_6","","","","1","11023","career_quest-10000214","career_quest-20000214","","2","5","50","",""
"215","mission_emergency_1_3_2","","","","1","11024","career_quest-10000215","career_quest-20000215","","2","6","59","",""
"216","mission_emergency_1_3_3","","","","1","11025","career_quest-10000216","career_quest-20000216","","2","6","60","",""
"217","mission_emergency_1_3_4","","","","1","11026","career_quest-10000217","career_quest-20000217","","2","6","61","",""
"218","mission_emergency_0_4_1","","","","1","11027","career_quest-10000218","career_quest-20000218","","2","6","62","",""
"219","mission_emergency_0_4_2","","","","1","11028","career_quest-10000219","career_quest-20000219","","2","6","63","",""
"220","mission_emergency_0_4_3","","","","1","11029","career_quest-10000220","career_quest-20000220","","2","6","64","",""
"221","mission_emergency_0_4_4","","","","1","11030","career_quest-10000221","career_quest-20000221","","2","6","65","",""
"222","mission_emergency_0_4_5","","","","1","11031","career_quest-10000222","career_quest-20000222","","2","6","66","",""
"223","mission_emergency_0_4_6","","","","1","11032","career_quest-10000223","career_quest-20000223","","2","6","67","",""
"224","mission_emergency_1_4_2","","","","1","11033","career_quest-10000224","career_quest-20000224","","2","8","79","",""
"225","mission_emergency_1_4_3","","","","1","11034","career_quest-10000225","career_quest-20000225","","2","8","80","",""
"226","mission_emergency_1_4_4","","","","1","11035","career_quest-10000226","career_quest-20000226","","2","8","81","",""
"227","mission_emergency_0_5_1","","","","1","11036","career_quest-10000227","career_quest-20000227","","2","8","82","",""
"228","mission_emergency_0_5_2","","","","1","11037","career_quest-10000228","career_quest-20000228","","2","8","83","",""
"229","mission_emergency_0_5_3","","","","1","11038","career_quest-10000229","career_quest-20000229","","2","8","84","",""
"230","mission_emergency_0_5_4","","","","1","11039","career_quest-10000230","career_quest-20000230","","2","8","85","",""
"231","mission_emergency_0_5_5","","","","1","11040","career_quest-10000231","career_quest-20000231","","2","8","86","",""
"232","mission_emergency_3_1_2","","","","1","11041","career_quest-10000232","career_quest-20000232","","2","17","131","",""
"233","mission_emergency_3_1_3","","","","1","11042","career_quest-10000233","career_quest-20000233","","2","17","132","",""
"234","mission_emergency_3_1_4","","","","1","11043","career_quest-10000234","career_quest-20000234","","2","17","133","",""
"235","mission_emergency_3_2_2","","","","1","11044","career_quest-10000235","career_quest-20000235","","2","18","141","",""
"236","mission_emergency_3_2_3","","","","1","11045","career_quest-10000236","career_quest-20000236","","2","18","142","",""
"237","mission_emergency_3_2_4","","","","1","11046","career_quest-10000237","career_quest-20000237","","2","18","143","",""
"238","mission_emergency_3_3_2","","","","1","11047","career_quest-10000238","career_quest-20000238","","2","19","151","",""
"239","mission_emergency_3_3_3","","","","1","11048","career_quest-10000239","career_quest-20000239","","2","19","152","",""
"240","mission_emergency_3_3_4","","","","1","11049","career_quest-10000240","career_quest-20000240","","2","19","153","",""
"241","mission_emergency_0_5_6","","","","1","11050","career_quest-10000241","career_quest-20000241","","2","8","87","",""
"242","sangvis_daily_retrieval","","","","3","11051","career_quest-10000242","career_quest-20000242","134","1","35","270","",""
"243","sangvis_aided_retrieval","","","","3","11052","career_quest-10000243","career_quest-20000243","134","1","35","271","",""
"244","sangvis_exercise_exp","","","","1","11053","career_quest-10000244","career_quest-20000244","134","1","35","272","",""
"245","sangvis_exercise_star","","","","1","11054","career_quest-10000245","career_quest-20000245","134","1","35","273","",""
"246","sangvis_exercise_analysis","","","","1","11055","career_quest-10000246","career_quest-20000246","134","1","35","274","",""
"247","sangvis_advance","","","","1","11056","career_quest-10000247","career_quest-20000247","134","1","35","275","",""
"248","sangvis_resolution","","","","1","11057","career_quest-10000248","career_quest-20000248","134","1","36","281","",""
"249","sangvis_wear_chip","","","","1","11058","career_quest-10000249","career_quest-20000249","134","1","36","282","",""
"250","sangvis_getexp","","","","1","11059","career_quest-10000250","career_quest-20000250","134","1","35","276","",""
"251","sangvis_transport","","","","1","11060","career_quest-10000251","career_quest-20000251","134","1","38","305","",""
"252","sangvis_skillpractic","","","","1","11061","career_quest-10000252","career_quest-20000252","134","1","35","277","",""
"253","sangvis_disassemble","","","","1","11062","career_quest-10000253","career_quest-20000253","134","1","37","295","",""
"254","targettrain_paas_1","","","","1","11063","career_quest-10000254","career_quest-20000254","","1","41","320","",""
"255","targettrain_paas_2","","","","1","11064","career_quest-10000255","career_quest-20000255","","1","42","326","",""
"256","targettrain_paas_3","","","","1","11065","career_quest-10000256","career_quest-20000256","","1","43","332","",""
"257","targettrain_paas_4","","","","1","11066","career_quest-10000257","career_quest-20000257","","1","44","340","",""
"258","targettrain_paas_5","","","","1","11067","career_quest-10000258","career_quest-20000258","","1","45","349","",""
"259","fetter_read_story","","","","1","11068","career_quest-10000259","career_quest-20000259","","1","62","429","",""
"260","fetter_unlock_milestone","","","","1","11069","career_quest-10000260","career_quest-20000260","","1","61","434","",""
"261","fetter_clear_fetter","","","","1","11070","career_quest-10000261","career_quest-20000261","","1","63","435","",""
"262","fetter_voice","","","","1","11071","career_quest-10000262","career_quest-20000262","","1","63","440","",""
"263","fetter_skill","","","","1","11072","career_quest-10000263","career_quest-20000263","","1","63","441","",""
"265","develop_gun","3","","","10","11074","career_quest-10000265","career_quest-20000265","","1","2","10","",""
"268","special_develop_gun","","","bestrank1:30","3","11077","career_quest-10000268","career_quest-20000268","","1","10","98","",""
"269","gun_getexp","","","","5","11078","career_quest-10000269","career_quest-20000269","","1","3","27","",""
"270","gun_getexp","","","","10","11079","career_quest-10000270","career_quest-20000270","","1","5","51","",""
"272","mission_duplicate_type1","12","","","3","11080","career_quest-10000272","career_quest-20000272","","1","7","71","",""
"273","c_gun_level","","","","5","11081","career_quest-10000273","career_quest-20000273","","1","2","13","10",""
"274","c_gun_level","","","","5","11082","career_quest-10000274","career_quest-20000274","","1","3","28","25",""
"275","c_gun_level","","","","5","11083","career_quest-10000275","career_quest-20000275","","1","5","52","40",""
"276","c_gun_level","","","","5","11084","career_quest-10000276","career_quest-20000276","","1","6","68","55",""
"277","c_gun_level","","","","5","11085","career_quest-10000277","career_quest-20000277","","1","8","89","70",""
"278","c_gun_level","","","","5","11086","career_quest-10000278","career_quest-20000278","","1","10","99","90",""
"279","c_gun_level","","","","10","11087","career_quest-10000279","career_quest-20000279","","1","3","29","10",""
"280","c_gun_level","","","","10","11088","career_quest-10000280","career_quest-20000280","","1","4","35","25",""
"281","c_gun_level","","","","10","11089","career_quest-10000281","career_quest-20000281","","1","7","72","55",""
"282","c_gun_level","","","","10","11090","career_quest-10000282","career_quest-20000282","","1","9","95","70",""
"283","c_gun_level","","","","10","11091","career_quest-10000283","career_quest-20000283","","1","11","102","90",""
"284","c_gun_level","","","","10","11092","career_quest-10000284","career_quest-20000284","","1","13","108","100",""
"285","c_gun_level","","","","15","11093","career_quest-10000285","career_quest-20000285","","1","14","114","100",""
"286","c_gun_level","","","","20","11094","career_quest-10000286","career_quest-20000286","","1","15","122","100",""
"287","eat_gun","","","","10","11095","career_quest-10000287","career_quest-20000287","","1","3","30","",""
"288","eat_gun","","","","15","11096","career_quest-10000288","career_quest-20000288","","1","4","36","",""
"289","eat_gun","","","","20","11097","career_quest-10000289","career_quest-20000289","","1","5","53","",""
"290","eat_gun","","","","30","11098","career_quest-10000290","career_quest-20000290","","1","6","69","",""
"291","mission_duplicate_type2","12","","","3","11099","career_quest-10000291","career_quest-20000291","","1","6","70","",""
"292","combine_gun","","","","5","11100","career_quest-10000292","career_quest-20000292","","1","3","31","",""
"293","combine_gun","","","","10","11101","career_quest-10000293","career_quest-20000293","","1","5","54","",""
"294","combine_gun","","","","15","11102","career_quest-10000294","career_quest-20000294","","1","8","90","",""
"295","retire_gun_core","","","","10","11103","career_quest-10000295","career_quest-20000295","","1","8","91","",""
"296","mission_duplicate_type3","12","","","3","11104","career_quest-10000296","career_quest-20000296","","1","7","73","",""
"297","c_gun_skill_level","12","","","1","11105","career_quest-10000297","career_quest-20000297","","1","4","37","2",""
"298","c_gun_skill_level","12","","","1","11106","career_quest-10000298","career_quest-20000298","","1","7","74","5",""
"299","c_gun_skill_level","12","","","5","11107","career_quest-10000299","career_quest-20000299","","1","9","96","3",""
"300","c_gun_skill_level","12","","","5","11108","career_quest-10000300","career_quest-20000300","","1","10","100","5",""
"301","c_gun_skill_level","12","","","5","11109","career_quest-10000301","career_quest-20000301","","1","11","103","8",""
"302","c_gun_skill_level","12","","","5","11110","career_quest-10000302","career_quest-20000302","","1","12","106","10",""
"303","c_gun_skill_level","12","","","10","11111","career_quest-10000303","career_quest-20000303","","1","13","109","10",""
"304","c_gun_skill_level","12","","","15","11112","career_quest-10000304","career_quest-20000304","","1","14","115","10",""
"305","c_gun_skill_level","12","","","20","11113","career_quest-10000305","career_quest-20000305","","1","15","123","10",""
"306","c_gun_skill2_level","60","","","1","11114","career_quest-10000306","career_quest-20000306","","1","14","116","10","169"
"307","c_gun_skill2_level","60","","","3","11115","career_quest-10000307","career_quest-20000307","","1","15","124","10",""
"308","doll_memoris","60","","","1","11116","career_quest-10000308","career_quest-20000308","","1","13","110","",""
"309","doll_memoris","60","","","3","11117","career_quest-10000309","career_quest-20000309","","1","14","117","",""
"310","mission_duplicate_type5","60","","","3","11118","career_quest-10000310","career_quest-20000310","","1","13","111","",""
"311","mission_duplicate_type5","60","","","10","11119","career_quest-10000311","career_quest-20000311","","1","14","118","",""
"312","up_mod1","60","","","3","11120","career_quest-10000312","career_quest-20000312","97","1","14","119","",""
"313","up_mod1","60","","","5","11121","career_quest-10000313","career_quest-20000313","97","1","15","125","",""
"314","up_mod2","60","","","3","11122","career_quest-10000314","career_quest-20000314","97","1","15","126","",""
"315","develop_equip","","","","20","11123","career_quest-10000315","career_quest-20000315","","1","18","144","",""
"316","c_iop_develop_equip","","","","1","11124","career_quest-10000316","career_quest-20000316","","1","17","134","16",""
"317","c_iop_develop_equip","","","","1","11125","career_quest-10000317","career_quest-20000317","","1","17","135","18",""
"318","different_equip","","","","5","11126","career_quest-10000318","career_quest-20000318","","1","18","145","",""
"319","different_equip","","","","10","11127","career_quest-10000319","career_quest-20000319","","1","19","154","",""
"320","rank5_equip","","","","20","11128","career_quest-10000320","career_quest-20000320","","1","20","158","",""
"321","rank5_equip","","","","50","11129","career_quest-10000321","career_quest-20000321","","1","21","163","",""
"322","c_equip_enhancement","","","","1","11130","career_quest-10000322","career_quest-20000322","","1","19","155","10",""
"323","c_equip_enhancement","","","","5","11131","career_quest-10000323","career_quest-20000323","","1","20","159","10",""
"324","c_equip_enhancement","","","","30","11132","career_quest-10000324","career_quest-20000324","","1","21","164","10",""
"325","trial_layer","","","","50","11133","career_quest-10000325","career_quest-20000325","","1","20","160","",""
"326","trial_layer","","","","100","11134","career_quest-10000326","career_quest-20000326","","1","21","165","",""
"327","adjust_equip_attr_100","","","","5","11135","career_quest-10000327","career_quest-20000327","","1","20","161","",""
"328","adjust_equip_attr_100","","","","30","11136","career_quest-10000328","career_quest-20000328","","1","21","166","",""
"332","different_fairy","","","","3","11140","career_quest-10000332","career_quest-20000332","","1","25","183","",""
"333","different_fairy","","","","5","11141","career_quest-10000333","career_quest-20000333","","1","26","192","",""
"334","different_fairy","","","","10","11142","career_quest-10000334","career_quest-20000334","","1","27","200","",""
"335","c_fairy_level","","","","1","11143","career_quest-10000335","career_quest-20000335","","1","23","174","10",""
"336","c_fairy_level","","","","1","11144","career_quest-10000336","career_quest-20000336","","1","24","178","30",""
"337","c_fairy_level","","","","1","11145","career_quest-10000337","career_quest-20000337","","1","25","184","70",""
"338","c_fairy_level","","","","1","11146","career_quest-10000338","career_quest-20000338","","1","26","193","90",""
"339","c_fairy_level","","","","2","11147","career_quest-10000339","career_quest-20000339","","1","26","194","70",""
"340","c_fairy_level","","","","2","11148","career_quest-10000340","career_quest-20000340","","1","27","201","100",""
"341","eat_fairy","","","","1","11149","career_quest-10000341","career_quest-20000341","86,87,88","1","25","185","",""
"342","c_fairy_rank","","","","1","11150","career_quest-10000342","career_quest-20000342","","1","25","186","2",""
"343","c_fairy_rank","","","","1","11151","career_quest-10000343","career_quest-20000343","","1","26","195","3",""
"344","c_fairy_rank","","","","1","11152","career_quest-10000344","career_quest-20000344","","1","27","202","4",""
"345","c_fairy_rank","","","","2","11153","career_quest-10000345","career_quest-20000345","","1","26","196","2",""
"346","c_fairy_rank","","","","2","11154","career_quest-10000346","career_quest-20000346","","1","27","203","3",""
"347","adjust_fairy","","","","1","11155","career_quest-10000347","career_quest-20000347","86,87,88","1","24","179","",""
"348","adjust_fairy","","","","10","11156","career_quest-10000348","career_quest-20000348","86,87,88","1","26","197","",""
"349","c_fairy_skill_level","","","","1","11157","career_quest-10000349","career_quest-20000349","","1","25","187","5",""
"350","c_fairy_skill_level","","","","1","11158","career_quest-10000350","career_quest-20000350","","1","26","198","10",""
"351","c_fairy_skill_level","","","","2","11159","career_quest-10000351","career_quest-20000351","","1","27","204","10",""
"352","c_establish_up","","","","3","11160","career_quest-10000352","career_quest-20000352","","1","24","180","301",""
"353","c_establish_up","","","","6","11161","career_quest-10000353","career_quest-20000353","","1","26","188","301",""
"354","c_establish_up","","","","10","11162","career_quest-10000354","career_quest-20000354","","1","27","199","301",""
"355","squad_base_data_analyse","","","","20","11163","career_quest-10000355","career_quest-20000355","","1","30","226","",""
"356","squad_senior_data_analyse","","","","5","11164","career_quest-10000356","career_quest-20000356","","1","30","227","",""
"357","c_squad_rank","","","","1","11165","career_quest-10000357","career_quest-20000357","","1","31","241","3",""
"358","c_squad_rank","","","","1","11166","career_quest-10000358","career_quest-20000358","","1","32","253","4",""
"359","write_squad_report","","","","1","11167","career_quest-10000359","career_quest-20000359","","1","29","212","",""
"360","exchange_squad_report","","","","1","11168","career_quest-10000360","career_quest-20000360","","1","30","228","",""
"361","c_squad_level","","","","1","11169","career_quest-10000361","career_quest-20000361","","1","30","229","30",""
"362","c_squad_level","","","","1","11170","career_quest-10000362","career_quest-20000362","","1","31","242","50",""
"363","c_squad_level","","","","1","11171","career_quest-10000363","career_quest-20000363","","1","32","254","70",""
"364","c_squad_allskills_level","","","","1","11172","career_quest-10000364","career_quest-20000364","","1","30","230","6",""
"365","c_squad_allskills_level","","","","1","11173","career_quest-10000365","career_quest-20000365","","1","31","243","15",""
"366","c_squad_allskills_level","","","","1","11174","career_quest-10000366","career_quest-20000366","","1","32","255","24",""
"367","c_squad_allskills_level","","","","1","11175","career_quest-10000367","career_quest-20000367","","1","33","267","30",""
"368","c_squad_chip_level","","","","1","11176","career_quest-10000368","career_quest-20000368","","1","30","231","5",""
"369","c_squad_chip_level","","","","3","11177","career_quest-10000369","career_quest-20000369","","1","31","244","5",""
"370","c_squad_chip_level","","","","6","11178","career_quest-10000370","career_quest-20000370","","1","32","256","10",""
"371","c_squad_chip_level","","","","6","11179","career_quest-10000371","career_quest-20000371","","1","33","268","20",""
"372","squad_get_chip","","","","20","11180","career_quest-10000372","career_quest-20000372","","1","30","232","",""
"373","c_establish_up","","","","1","11181","career_quest-10000373","career_quest-20000373","","1","29","213","601",""
"374","c_establish_up","","","","3","11182","career_quest-10000374","career_quest-20000374","","1","30","233","601",""
"375","c_establish_up","","","","6","11183","career_quest-10000375","career_quest-20000375","","1","32","245","601",""
"376","c_establish_up","","","","10","11184","career_quest-10000376","career_quest-20000376","","1","33","257","601",""
"377","c_establish_up","","","","1","11185","career_quest-10000377","career_quest-20000377","","1","29","214","602",""
"378","c_establish_up","","","","2","11186","career_quest-10000378","career_quest-20000378","","1","30","234","602",""
"381","c_establish_up","","","","1","11187","career_quest-10000381","career_quest-20000381","","1","29","215","603",""
"382","c_establish_up","","","","3","11188","career_quest-10000382","career_quest-20000382","","1","30","235","603",""
"383","c_establish_up","","","","6","11189","career_quest-10000383","career_quest-20000383","","1","32","247","603",""
"384","c_establish_up","","","","10","11190","career_quest-10000384","career_quest-20000384","","1","33","259","603",""
"385","c_establish_up","","","","1","11191","career_quest-10000385","career_quest-20000385","","1","29","216","502",""
"386","c_establish_up","","","","3","11192","career_quest-10000386","career_quest-20000386","","1","30","236","502",""
"387","c_establish_up","","","","6","11193","career_quest-10000387","career_quest-20000387","","1","32","248","502",""
"388","c_establish_up","","","","10","11194","career_quest-10000388","career_quest-20000388","","1","33","260","502",""
"389","c_establish_up","","","","1","11195","career_quest-10000389","career_quest-20000389","","1","29","217","501",""
"390","c_establish_up","","","","3","11196","career_quest-10000390","career_quest-20000390","","1","30","237","501",""
"391","c_establish_up","","","","6","11197","career_quest-10000391","career_quest-20000391","","1","32","249","501",""
"392","c_establish_up","","","","10","11198","career_quest-10000392","career_quest-20000392","","1","33","261","501",""
"393","c_establish_up","","","","1","11199","career_quest-10000393","career_quest-20000393","","1","29","218","503",""
"394","c_establish_up","","","","3","11200","career_quest-10000394","career_quest-20000394","","1","30","238","503",""
"395","c_establish_up","","","","6","11201","career_quest-10000395","career_quest-20000395","","1","32","250","503",""
"396","c_establish_up","","","","10","11202","career_quest-10000396","career_quest-20000396","","1","33","262","503",""
"397","c_establish_up","","","","1","11203","career_quest-10000397","career_quest-20000397","","1","29","219","504",""
"398","c_establish_up","","","","3","11204","career_quest-10000398","career_quest-20000398","","1","30","239","504",""
"399","c_establish_up","","","","6","11205","career_quest-10000399","career_quest-20000399","","1","32","251","504",""
"400","c_establish_up","","","","10","11206","career_quest-10000400","career_quest-20000400","","1","33","263","504",""
"401","c_establish_up","","","","1","11207","career_quest-10000401","career_quest-20000401","","1","35","278","901",""
"402","c_establish_up","","","","3","11208","career_quest-10000402","career_quest-20000402","","1","36","283","901",""
"403","c_establish_up","","","","6","11209","career_quest-10000403","career_quest-20000403","","1","38","296","901",""
"404","c_establish_up","","","","10","11210","career_quest-10000404","career_quest-20000404","","1","39","306","901",""
"405","sangvis_daily_retrieval","","","","10","11211","career_quest-10000405","career_quest-20000405","134","1","36","284","",""
