identity,type,count,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,title,content,type_sort,sort,icon_code,prize_id,mission_id,condition,commander_title,unlock_function
40,mission_medal4,40,200,200,200,200,200,0,0,0,3-3|4-3,,,,achievement-10000040,achievement-20000040,5,62,获得N枚银章,0,,,achievement-30000040,0
41,mission_medal4,50,250,250,250,250,250,0,0,0,3-3|4-3,,,,achievement-10000041,achievement-20000041,5,62,获得N枚银章,0,,,achievement-30000041,0
42,mission_bestrank5,5,90,90,90,90,90,0,10,0,1-1,,,,achievement-10000042,achievement-20000042,5,63,获得N枚金章,0,,,achievement-30000042,0
43,mission_bestrank5,10,120,120,120,120,120,0,20,0,1-1,,,,achievement-10000043,achievement-20000043,5,63,获得N枚金章,0,,,achievement-30000043,0
44,mission_bestrank5,20,150,150,150,150,150,0,30,0,1-3,,,,achievement-10000044,achievement-20000044,5,63,获得N枚金章,0,,,achievement-30000044,0
45,mission_bestrank5,30,200,200,200,200,200,0,40,0,1-3,,,,achievement-10000045,achievement-20000045,5,63,获得N枚金章,0,,,achievement-30000045,0
46,mission_bestrank5,40,250,250,250,250,250,0,50,0,1-5,,,,achievement-10000046,achievement-20000046,5,63,获得N枚金章,0,,,achievement-30000046,0
47,mission_bestrank5,50,300,300,300,300,300,0,60,0,1-5,,,,achievement-10000047,achievement-20000047,5,63,获得N枚金章,0,,,achievement-30000047,0
48,teammove_random,1,90,30,30,30,10,1,0,90,4-1,,,,achievement-10000048,achievement-20000048,1,1,踩随机点,0,,,achievement-30000048,0
49,teammove_random,10,60,60,60,60,20,1,0,0,4-1,,,,achievement-10000049,achievement-20000049,1,1,踩随机点,0,,,achievement-30000049,0
50,teammove_random,100,100,100,100,100,30,2,0,0,4-2,,,,achievement-10000050,achievement-20000050,1,1,踩随机点,0,,,achievement-30000050,0
51,teammove_random,500,200,200,200,200,60,3,0,0,8-2,,,,achievement-10000051,achievement-20000051,1,1,踩随机点,0,,,achievement-30000051,0
52,teammove_random,1000,500,500,500,500,200,4,0,0,8-3,,,,achievement-10000052,achievement-20000052,1,1,踩随机点,0,,,achievement-30000052,0
53,teammove_random,5000,1000,1000,1000,1000,300,6,0,0,8-3,,,,achievement-10000053,achievement-20000053,1,1,踩随机点,0,,,achievement-30000053,0
54,teammove_random,10000,2000,2000,2000,2000,600,10,0,0,8-5,,,,achievement-10000054,achievement-20000054,1,1,踩随机点,0,,,achievement-30000054,0
55,enemy_die,1,90,30,30,30,10,0,0,10,1-1,,,,achievement-10000055,achievement-20000055,1,2,消灭N个敌人,0,,,achievement-30000055,0
56,enemy_die,100,60,60,60,60,20,0,0,0,1-1,,,,achievement-10000056,achievement-20000056,1,2,消灭N个敌人,0,,,achievement-30000056,0
57,enemy_die,1000,100,100,100,100,30,0,0,0,1-3,,,,achievement-10000057,achievement-20000057,1,2,消灭N个敌人,0,,,achievement-30000057,0
58,enemy_die,5000,200,200,200,200,60,0,0,0,1-3,,,,achievement-10000058,achievement-20000058,1,2,消灭N个敌人,0,,,achievement-30000058,0
59,enemy_die,10000,500,500,500,500,200,0,0,0,1-5,,,,achievement-10000059,achievement-20000059,1,2,消灭N个敌人,0,,,achievement-30000059,0
60,enemy_die,50000,1000,1000,1000,1000,300,0,0,0,1-5,,,,achievement-10000060,achievement-20000060,1,2,消灭N个敌人,0,,,achievement-30000060,0
61,enemy_die,100000,2000,2000,2000,2000,600,0,0,0,1-10,,,,achievement-10000061,achievement-20000061,1,2,消灭N个敌人,0,,,achievement-30000061,0
62,team_die,1,30,30,30,30,10,0,0,0,1-1,,,,achievement-10000062,achievement-20000062,1,3,失败,0,,,achievement-30000062,0
63,team_die,10,60,60,60,60,20,0,0,0,1-1,,,,achievement-10000063,achievement-20000063,1,3,失败,0,,,achievement-30000063,0
64,team_die,100,100,100,100,100,30,0,0,0,1-3,,,,achievement-10000064,achievement-20000064,1,3,失败,0,,,achievement-30000064,0
65,team_die,500,200,200,200,200,60,0,0,0,1-3,,,,achievement-10000065,achievement-20000065,1,3,失败,0,,,achievement-30000065,0
66,team_die,1000,500,500,500,500,200,0,0,0,1-5,,,,achievement-10000066,achievement-20000066,1,3,失败,0,,,achievement-30000066,0
67,team_die,5000,1000,1000,1000,1000,300,0,0,0,1-5,,,,achievement-10000067,achievement-20000067,1,3,失败,0,,,achievement-30000067,0
68,team_die,10000,2000,2000,2000,2000,600,0,0,0,1-10,,,,achievement-10000068,achievement-20000068,1,3,失败,0,,,achievement-30000068,0
69,mission_win,1,90,30,30,30,10,0,0,71,3-1|4-1,,,,achievement-10000069,achievement-20000069,1,4,胜利,0,,,achievement-30000069,0
70,mission_win,10,60,60,60,60,20,0,0,0,3-1|4-1,,,,achievement-10000070,achievement-20000070,1,4,胜利,0,,,achievement-30000070,0
71,mission_win,100,100,100,100,100,30,0,0,0,3-2|4-2,,,,achievement-10000071,achievement-20000071,1,4,胜利,0,,,achievement-30000071,0
72,mission_win,500,200,200,200,200,60,0,0,0,3-2|4-2,,,,achievement-10000072,achievement-20000072,1,4,胜利,0,,,achievement-30000072,0
73,mission_win,1000,500,500,500,500,200,0,0,0,3-3|4-3,,,,achievement-10000073,achievement-20000073,1,4,胜利,0,,,achievement-30000073,0
74,mission_win,5000,1000,1000,1000,1000,300,0,0,0,3-3|4-3,,,,achievement-10000074,achievement-20000074,1,4,胜利,0,,,achievement-30000074,0
75,mission_win,10000,2000,2000,2000,2000,600,0,0,0,3-5|4-5,,,,achievement-10000075,achievement-20000075,1,4,胜利,0,,,achievement-30000075,0
76,mission_lose,1,30,30,30,30,10,0,0,0,3-1|4-1,,,,achievement-10000076,achievement-20000076,1,5,失败,0,,,achievement-30000076,0
77,mission_lose,10,60,60,60,60,20,0,0,0,3-1|4-1,,,,achievement-10000077,achievement-20000077,1,5,失败,0,,,achievement-30000077,0
78,mission_lose,50,100,100,100,100,30,0,0,0,3-2|4-2,,,,achievement-10000078,achievement-20000078,1,5,失败,0,,,achievement-30000078,0
79,mission_lose,100,200,200,200,200,60,0,0,0,3-2|4-2,,,,achievement-10000079,achievement-20000079,1,5,失败,0,,,achievement-30000079,0
80,mission_lose,500,500,500,500,500,200,0,0,0,3-3|4-3,,,,achievement-10000080,achievement-20000080,1,5,失败,0,,,achievement-30000080,0
81,mission_lose,1000,1000,1000,1000,1000,300,0,0,0,3-3|4-3,,,,achievement-10000081,achievement-20000081,1,5,失败,0,,,achievement-30000081,0
82,mission_lose,2000,2000,2000,2000,2000,600,0,0,0,3-5|4-5,,,,achievement-10000082,achievement-20000082,1,5,失败,0,,,achievement-30000082,0
83,fix_gun,1,30,30,30,30,10,0,0,0,4-1,,,,achievement-10000083,achievement-20000083,8,123,人形修复,0,,,achievement-30000083,0
84,fix_gun,10,60,60,60,60,20,0,0,0,4-2,,,,achievement-10000084,achievement-20000084,8,123,人形修复,0,,,achievement-30000084,0
85,fix_gun,100,100,100,100,100,30,0,0,0,4-3,,,,achievement-10000085,achievement-20000085,8,123,人形修复,0,,,achievement-30000085,0
86,fix_gun,500,200,200,200,200,60,0,0,0,4-3,,,,achievement-10000086,achievement-20000086,8,123,人形修复,0,,,achievement-30000086,0
87,fix_gun,1000,500,500,500,500,200,0,0,0,4-5,,,,achievement-10000087,achievement-20000087,8,123,人形修复,0,,,achievement-30000087,0
88,fix_gun,5000,1000,1000,1000,1000,300,0,0,0,4-5,,,,achievement-10000088,achievement-20000088,8,123,人形修复,0,,,achievement-30000088,0
89,fix_gun,10000,2000,2000,2000,2000,600,0,0,0,4-10,,,,achievement-10000089,achievement-20000089,8,123,人形修复,0,,,achievement-30000089,0
90,operation,1,30,30,30,30,10,0,0,0,,,,,achievement-10000090,achievement-20000090,11,161,后勤支援,0,,,achievement-30000090,0
91,operation,10,60,60,60,60,20,0,0,0,1-1|3-1|4-1,,,,achievement-10000091,achievement-20000091,11,161,后勤支援,0,,,achievement-30000091,0
92,operation,100,100,100,100,100,30,0,0,0,1-3|3-3|4-3,,,,achievement-10000092,achievement-20000092,11,161,后勤支援,0,,,achievement-30000092,0
93,operation,500,200,200,200,200,60,0,0,0,1-3|3-3|4-3,,,,achievement-10000093,achievement-20000093,11,161,后勤支援,0,,,achievement-30000093,0
94,operation,1000,500,500,500,500,200,0,0,0,1-5|3-5|4-5,,,,achievement-10000094,achievement-20000094,11,161,后勤支援,0,,,achievement-30000094,0
95,operation,5000,1000,1000,1000,1000,300,0,0,0,1-5|3-5|4-5,,,,achievement-10000095,achievement-20000095,11,161,后勤支援,0,,,achievement-30000095,0
96,operation,10000,2000,2000,2000,2000,600,0,0,0,1-10|3-10|4-10,,,,achievement-10000096,achievement-20000096,11,161,后勤支援,0,,,achievement-30000096,0
97,develop_gun,1,30,30,30,30,10,0,0,25,,,,,achievement-10000097,achievement-20000097,8,121,建造,0,,,achievement-30000097,0
98,develop_gun,10,60,60,60,60,20,0,0,0,3-1,,,,achievement-10000098,achievement-20000098,8,121,建造,0,,,achievement-30000098,0
99,develop_gun,100,100,100,100,100,30,0,0,0,3-3,,,,achievement-10000099,achievement-20000099,8,121,建造,0,,,achievement-30000099,0
100,develop_gun,200,200,200,200,200,60,0,0,0,3-3,,,,achievement-10000100,achievement-20000100,8,121,建造,0,,,achievement-30000100,0
101,develop_gun,500,500,500,500,500,200,0,0,0,3-5,,,,achievement-10000101,achievement-20000101,8,121,建造,0,,,achievement-30000101,0
102,develop_gun,1000,1000,1000,1000,1000,300,0,0,0,3-5,,,,achievement-10000102,achievement-20000102,8,121,建造,0,,,achievement-30000102,0
103,develop_gun,2000,2000,2000,2000,2000,600,0,0,0,3-10,,,,achievement-10000103,achievement-20000103,8,121,建造,0,,,achievement-30000103,0
104,combine_gun,1,30,30,30,30,10,1,0,0,,,,,achievement-10000104,achievement-20000104,8,125,人形扩编,0,,,achievement-30000104,0
105,combine_gun,10,60,60,60,60,20,3,0,0,,,,,achievement-10000105,achievement-20000105,8,125,人形扩编,0,,,achievement-30000105,0
106,combine_gun,100,100,100,100,100,30,5,0,0,,,,,achievement-10000106,achievement-20000106,8,125,人形扩编,0,,,achievement-30000106,0
107,combine_gun,200,200,200,200,200,60,10,0,0,,,,,achievement-10000107,achievement-20000107,8,125,人形扩编,0,,,achievement-30000107,0
108,combine_gun,500,500,500,500,500,200,15,0,0,,,,,achievement-10000108,achievement-20000108,8,125,人形扩编,0,,,achievement-30000108,0
109,combine_gun,1000,1000,1000,1000,1000,300,20,0,0,,,,,achievement-10000109,achievement-20000109,8,125,人形扩编,0,,,achievement-30000109,0
110,combine_gun,2000,2000,2000,2000,2000,600,25,0,0,,,,,achievement-10000110,achievement-20000110,8,125,人形扩编,0,,,achievement-30000110,0
111,eat_gun,1,30,30,30,30,10,0,0,0,1-1,,,,achievement-10000111,achievement-20000111,8,124,强化,0,,,achievement-30000111,0
112,eat_gun,10,60,60,60,60,20,0,0,0,1-1,,,,achievement-10000112,achievement-20000112,8,124,强化,0,,,achievement-30000112,0
113,eat_gun,100,100,100,100,100,30,0,0,0,1-3,,,,achievement-10000113,achievement-20000113,8,124,强化,0,,,achievement-30000113,0
114,eat_gun,500,200,200,200,200,60,0,0,0,1-3,,,,achievement-10000114,achievement-20000114,8,124,强化,0,,,achievement-30000114,0
115,eat_gun,1000,500,500,500,500,200,0,0,0,1-5,,,,achievement-10000115,achievement-20000115,8,124,强化,0,,,achievement-30000115,0
116,eat_gun,5000,1000,1000,1000,1000,300,0,0,0,1-5,,,,achievement-10000116,achievement-20000116,8,124,强化,0,,,achievement-30000116,0
117,eat_gun,10000,2000,2000,2000,2000,600,0,0,0,1-10,,,,achievement-10000117,achievement-20000117,8,124,强化,0,,,achievement-30000117,0
118,retire_gun,1,30,30,30,30,10,1,0,0,,,,,achievement-10000118,achievement-20000118,8,126,人形拆解,0,,,achievement-30000118,0
119,retire_gun,10,60,60,60,60,20,1,0,0,,,,,achievement-10000119,achievement-20000119,8,126,人形拆解,0,,,achievement-30000119,0
120,retire_gun,100,100,100,100,100,30,3,0,0,,,,,achievement-10000120,achievement-20000120,8,126,人形拆解,0,,,achievement-30000120,0
121,retire_gun,500,200,200,200,200,60,3,0,0,,,,,achievement-10000121,achievement-20000121,8,126,人形拆解,0,,,achievement-30000121,0
122,retire_gun,1000,500,500,500,500,200,5,0,0,,,,,achievement-10000122,achievement-20000122,8,126,人形拆解,0,,,achievement-30000122,0
123,retire_gun,5000,1000,1000,1000,1000,300,5,0,0,,,,,achievement-10000123,achievement-20000123,8,126,人形拆解,0,,,achievement-30000123,0
124,retire_gun,10000,2000,2000,2000,2000,600,10,0,0,,,,,achievement-10000124,achievement-20000124,8,126,人形拆解,0,,,achievement-30000124,0
125,max_mp,5000,50,200,0,0,0,0,0,0,4-1,,,,achievement-10000125,achievement-20000125,11,162,人力,0,,,achievement-30000125,0
126,max_mp,10000,100,400,0,0,0,0,0,0,4-1,,,,achievement-10000126,achievement-20000126,11,162,人力,0,,,achievement-30000126,0
127,max_mp,20000,200,1000,0,0,0,0,0,0,4-2,,,,achievement-10000127,achievement-20000127,11,162,人力,0,,,achievement-30000127,0
128,max_mp,50000,500,2000,0,0,0,0,0,0,4-2,,,,achievement-10000128,achievement-20000128,11,162,人力,0,,,achievement-30000128,0
129,max_mp,100000,1000,5000,0,0,0,0,0,0,4-3,,,,achievement-10000129,achievement-20000129,11,162,人力,0,,,achievement-30000129,0
130,max_ammo,5000,50,0,200,0,0,0,0,0,3-1,,,,achievement-10000130,achievement-20000130,11,163,弹药,0,,,achievement-30000130,0
131,max_ammo,10000,100,0,400,0,0,0,0,0,3-1,,,,achievement-10000131,achievement-20000131,11,163,弹药,0,,,achievement-30000131,0
132,max_ammo,20000,200,0,1000,0,0,0,0,0,3-2,,,,achievement-10000132,achievement-20000132,11,163,弹药,0,,,achievement-30000132,0
133,max_ammo,50000,500,0,2000,0,0,0,0,0,3-2,,,,achievement-10000133,achievement-20000133,11,163,弹药,0,,,achievement-30000133,0
134,max_ammo,100000,1000,0,5000,0,0,0,0,0,3-3,,,,achievement-10000134,achievement-20000134,11,163,弹药,0,,,achievement-30000134,0
135,max_mre,5000,50,0,0,200,0,0,0,0,1-1,,,,achievement-10000135,achievement-20000135,11,164,口粮,0,,,achievement-30000135,0
136,max_mre,10000,100,0,0,400,0,0,0,0,1-1,,,,achievement-10000136,achievement-20000136,11,164,口粮,0,,,achievement-30000136,0
137,max_mre,20000,200,0,0,1000,0,0,0,0,1-2,,,,achievement-10000137,achievement-20000137,11,164,口粮,0,,,achievement-30000137,0
138,max_mre,50000,500,0,0,2000,0,0,0,0,1-2,,,,achievement-10000138,achievement-20000138,11,164,口粮,0,,,achievement-30000138,0
139,max_mre,100000,1000,0,0,5000,0,0,0,0,1-3,,,,achievement-10000139,achievement-20000139,11,164,口粮,0,,,achievement-30000139,0
140,max_part,5000,50,0,0,0,200,0,0,0,4-1,,,,achievement-10000140,achievement-20000140,11,165,零件,0,,,achievement-30000140,0
141,max_part,10000,100,0,0,0,400,0,0,0,4-1,,,,achievement-10000141,achievement-20000141,11,165,零件,0,,,achievement-30000141,0
142,max_part,20000,200,0,0,0,1000,0,0,0,4-2,,,,achievement-10000142,achievement-20000142,11,165,零件,0,,,achievement-30000142,0
143,max_part,50000,500,0,0,0,2000,0,0,0,4-2,,,,achievement-10000143,achievement-20000143,11,165,零件,0,,,achievement-30000143,0
144,max_part,100000,1000,0,0,0,5000,0,0,0,4-3,,,,achievement-10000144,achievement-20000144,11,165,零件,0,,,achievement-30000144,0
145,upgrade,1,30,30,30,30,10,0,0,0,8-1,,,,achievement-10000145,achievement-20000145,8,127,技能训练,0,,,achievement-30000145,4
146,upgrade,10,60,60,60,60,20,0,0,0,8-1,,,,achievement-10000146,achievement-20000146,8,127,技能训练,0,,,achievement-30000146,4
147,upgrade,50,100,100,100,100,30,0,0,0,8-2,,,,achievement-10000147,achievement-20000147,8,127,技能训练,0,,,achievement-30000147,4
148,upgrade,100,200,200,200,200,60,0,0,0,8-2,,,,achievement-10000148,achievement-20000148,8,127,技能训练,0,,,achievement-30000148,4
149,upgrade,500,500,500,500,500,200,0,0,0,8-3,,,,achievement-10000149,achievement-20000149,8,127,技能训练,0,,,achievement-30000149,4
150,upgrade,1000,1000,1000,1000,1000,300,0,0,0,8-3,,,,achievement-10000150,achievement-20000150,8,127,技能训练,0,,,achievement-30000150,4
151,upgrade,2000,2000,2000,2000,2000,600,0,0,0,8-5,,,,achievement-10000151,achievement-20000151,8,127,技能训练,0,,,achievement-30000151,4
152,coin_mission,1,30,30,30,30,10,0,0,0,8-1,,,,achievement-10000152,achievement-20000152,1,6,模拟作战,0,,,achievement-30000152,0
153,coin_mission,10,60,60,60,60,20,0,0,0,4-1,,,,achievement-10000153,achievement-20000153,1,6,模拟作战,0,,,achievement-30000153,0
154,coin_mission,50,100,100,100,100,30,0,0,0,4-3,,,,achievement-10000154,achievement-20000154,1,6,模拟作战,0,,,achievement-30000154,0
155,coin_mission,100,200,200,200,200,60,0,0,0,4-3,,,,achievement-10000155,achievement-20000155,1,6,模拟作战,0,,,achievement-30000155,0
156,coin_mission,500,500,500,500,500,200,0,0,0,4-5,,,,achievement-10000156,achievement-20000156,1,6,模拟作战,0,,,achievement-30000156,0
157,coin_mission,1000,1000,1000,1000,1000,300,0,0,0,4-5,,,,achievement-10000157,achievement-20000157,1,6,模拟作战,0,,,achievement-30000157,0
158,coin_mission,2000,2000,2000,2000,2000,600,0,0,0,4-10,,,,achievement-10000158,achievement-20000158,1,6,模拟作战,0,,,achievement-30000158,0
159,auto_mission,1,30,30,30,30,10,0,0,0,,,,,achievement-10000159,achievement-20000159,1,7,自律作战,0,,,achievement-30000159,0
160,auto_mission,10,60,60,60,60,20,0,0,0,3-1,,,,achievement-10000160,achievement-20000160,1,7,自律作战,0,,,achievement-30000160,0
161,auto_mission,100,100,100,100,100,30,0,0,0,3-3,,,,achievement-10000161,achievement-20000161,1,7,自律作战,0,,,achievement-30000161,0
162,auto_mission,500,200,200,200,200,60,0,0,0,3-3,,,,achievement-10000162,achievement-20000162,1,7,自律作战,0,,,achievement-30000162,0
163,auto_mission,1000,500,500,500,500,200,0,0,0,3-5,,,,achievement-10000163,achievement-20000163,1,7,自律作战,0,,,achievement-30000163,0
164,auto_mission,5000,1000,1000,1000,1000,300,0,0,0,3-5,,,,achievement-10000164,achievement-20000164,1,7,自律作战,0,,,achievement-30000164,0
165,auto_mission,10000,2000,2000,2000,2000,600,0,0,0,3-10,,,,achievement-10000165,achievement-20000165,1,7,自律作战,0,,,achievement-30000165,0
166,get_equip_category1,10,30,50,50,50,20,0,0,0,2-1,,,,achievement-10000166,achievement-20000166,4,42,获得N个配件,0,,,achievement-30000166,2
167,get_equip_category1,50,50,100,100,100,30,0,0,0,2-1,,,,achievement-10000167,achievement-20000167,4,42,获得N个配件,0,,,achievement-30000167,2
168,get_equip_category1,100,100,200,200,200,60,0,0,0,2-2,,,,achievement-10000168,achievement-20000168,4,42,获得N个配件,0,,,achievement-30000168,2
169,get_equip_category1,200,200,300,300,300,100,0,0,0,2-2,,,,achievement-10000169,achievement-20000169,4,42,获得N个配件,0,,,achievement-30000169,2
170,get_equip_category1,500,500,400,400,400,150,0,0,0,2-3,,,,achievement-10000170,achievement-20000170,4,42,获得N个配件,0,,,achievement-30000170,2
171,get_equip_category1,1000,1000,500,500,500,200,0,0,0,2-5,,,,achievement-10000171,achievement-20000171,4,42,获得N个配件,0,,,achievement-30000171,2
172,get_equip_category2,10,30,50,50,50,20,0,0,0,2-1,,,,achievement-10000172,achievement-20000172,4,43,获得N个弹匣,0,,,achievement-30000172,2
173,get_equip_category2,50,50,100,100,100,30,0,0,0,2-1,,,,achievement-10000173,achievement-20000173,4,43,获得N个弹匣,0,,,achievement-30000173,2
174,get_equip_category2,100,100,200,200,200,60,0,0,0,2-2,,,,achievement-10000174,achievement-20000174,4,43,获得N个弹匣,0,,,achievement-30000174,2
175,get_equip_category2,200,200,300,300,300,100,0,0,0,2-2,,,,achievement-10000175,achievement-20000175,4,43,获得N个弹匣,0,,,achievement-30000175,2
176,get_equip_category2,500,500,400,400,400,150,0,0,0,2-3,,,,achievement-10000176,achievement-20000176,4,43,获得N个弹匣,0,,,achievement-30000176,2
177,get_equip_category2,1000,1000,500,500,500,200,0,0,0,2-5,,,,achievement-10000177,achievement-20000177,4,43,获得N个弹匣,0,,,achievement-30000177,2
178,get_equip_category3,10,30,50,50,50,20,0,0,0,2-1,,,,achievement-10000178,achievement-20000178,4,44,获得N个人形装备,0,,,achievement-30000178,2
179,get_equip_category3,50,50,100,100,100,30,0,0,0,2-1,,,,achievement-10000179,achievement-20000179,4,44,获得N个人形装备,0,,,achievement-30000179,2
180,get_equip_category3,100,100,200,200,200,60,0,0,0,2-2,,,,achievement-10000180,achievement-20000180,4,44,获得N个人形装备,0,,,achievement-30000180,2
181,get_equip_category3,200,200,300,300,300,100,0,0,0,2-2,,,,achievement-10000181,achievement-20000181,4,44,获得N个人形装备,0,,,achievement-30000181,2
182,get_equip_category3,500,500,400,400,400,150,0,0,0,2-3,,,,achievement-10000182,achievement-20000182,4,44,获得N个人形装备,0,,,achievement-30000182,2
183,get_equip_category3,1000,1000,500,500,500,200,0,0,0,2-5,,,,achievement-10000183,achievement-20000183,4,44,获得N个人形装备,0,,,achievement-30000183,2
184,get_equip_rank3,1,100,100,100,100,100,0,0,0,,,,,achievement-10000184,achievement-20000184,4,41,首次获得N星装备,0,,,achievement-30000184,2
