id,reward_gun_pool,equip_s_probability,draw_event_s_id,enemy_leader,if_stay,correction_belong,correction_turn,limit_guns,limit_equips,ai,ai_content,enemy_type_display,use_building,use_building_skill,team_confrontfun_pic,team_confrontfun_des,effect_ext,targettrain_cancollect,fight_type,type_coef,recommended_team_ids,show_lv,show_color,battle_range
105,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|32|18|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000105,0,1,0,,6,0,0,
106,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000106,0,1,0,,6,0,0,
107,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|32|18|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000107,0,1,0,,6,0,0,
108,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000108,0,1,0,,6,0,0,
109,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70,,0,20006,0,,,,,0,,,,,,enemy_team-10000109,0,1,0,,6,0,0,
110,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000110,0,1,0,,6,0,0,
111,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000111,0,1,0,,6,0,0,
112,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000112,0,1,0,,1,0,0,
113,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000113,0,1,0,,6,0,0,
114,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000114,0,1,0,,6,0,0,
115,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|44|26|19,,6097,90005,0,,,19,,0,,,,,,enemy_team-10000115,0,1,0,,6,0,0,
116,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|0,,0,20001,0,,,,,0,,,,,,enemy_team-10000116,0,1,0,,1,0,0,
117,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000117,0,1,0,,6,0,0,
118,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|32|18|58|61|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000118,0,1,0,,6,0,0,
119,9|2|5|10|90|91|92|17|25|93|24|31|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70,,0,20004,0,,,,,0,,,,,,enemy_team-10000119,0,1,0,,6,0,0,
120,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|0,,0,20002,0,,,,,0,,,,,,enemy_team-10000120,0,1,0,,6,0,0,
121,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000121,0,1,0,,6,0,0,
122,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|44,,0,20006,0,,,,,0,,,,,,enemy_team-10000122,0,1,0,,6,0,0,
123,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|41|11|14|3|12|13|29|27|18|32|58|61|70|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000123,0,1,0,,6,0,0,
124,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|6|8|13|58|61|70|44|37|34,,0,20007,0,,,,,0,,,,,,enemy_team-10000124,0,1,0,,6,0,0,
125,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000125,0,1,0,,1,0,0,
126,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000126,0,1,0,,6,0,0,
127,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|11|14|3|12|13|29|27|18|32|58|61|70|44|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000127,0,1,0,,6,0,0,
128,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000128,0,1,0,,6,0,0,
129,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|29|27|18|32|22|58|61|70|0,,0,20007,1,,,,,0,,,,,,enemy_team-10000129,0,1,0,,6,0,0,
130,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|29|27|18|32|22|58|61|70|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000130,0,1,0,,6,0,0,
131,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|29|27|18|32|58|61|70|44|37|34,,0,20007,1,,,,,0,,,,,,enemy_team-10000131,0,1,0,,6,0,0,
132,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|29|27|18|32|22|58|61|70|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000132,0,1,0,,6,0,0,
133,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000133,0,1,0,,6,0,0,
134,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|0,,0,20003,0,,,,,0,,,,,,enemy_team-10000134,0,1,0,,6,0,0,
135,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|12|18|32|58|61|44|37|34|0,,0,20007,0,,,,,0,,,,,,enemy_team-10000135,0,1,0,,6,0,0,
136,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|70|44|37|34,,0,20007,0,,,,,0,,,,,,enemy_team-10000136,0,1,0,,6,0,0,
137,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|12|18|32|58|61|44|37|34|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000137,0,1,0,,6,0,0,
138,9|2|5|10|90|91|21|24|31|33|94|71|68|74|63|51|47|40|41|87|82|6|8|13|22|70|0,,0,20007,0,,,,,0,,,,,,enemy_team-10000138,0,1,0,,6,0,0,
139,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|14|3|12|29|27|18|32|58|61|70|44|37|34|89|86|60|108,,6098,90006,1,,,108,,0,,,,,,enemy_team-10000139,0,1,0,,6,0,0,
140,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000140,0,1,0,,6,0,0,
141,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|12|18|32|58|61|44|37|34|89|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000141,0,1,0,,6,0,0,
142,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|12|18|32|58|61|44|37|34|89|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000142,0,1,0,,6,0,0,
143,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000143,0,1,0,,6,0,0,
144,9|2|5|10|90|91|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|12|18|32|58|61|44|37|34|89|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000144,0,1,0,,6,0,0,
145,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|12|27|18|58|61|44|37|89|86|1,,0,20005,1,,,,,0,,,,,,enemy_team-10000145,0,1,0,,6,0,0,
146,9|2|90|91|92|17|25|33|94|71|68|74|63|51|47|41|40|87|82|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000146,0,1,0,,6,0,0,
147,9|2|90|91|92|17|25|33|94|71|68|74|63|51|47|41|40|87|82|3|14|29|32|58|70|44|34|89|77|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000147,0,1,0,,6,0,0,
148,9|2|90|91|92|17|25|33|94|71|68|74|63|51|47|41|40|87|82|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000148,0,1,0,,6,0,0,
149,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|3|14|29|32|58|70|44|34|89|77|26,,0,20008,1,,,,,0,,,,,,enemy_team-10000149,0,1,0,,6,0,0,
150,9|2|90|91|92|17|25|33|94|71|68|74|63|51|47|41|40|87|82|3|14|29|32|58|70|44|34|89|77|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000150,0,1,0,,6,0,0,
151,9|2|5|10|92|17|25|93|24|71|68|74|63|51|47|41|40|87|82|0,,0,20004,0,,,,,0,,,,,,enemy_team-10000151,0,1,0,,6,0,0,
152,9|2|5|10|92|17|25|93|24|71|68|74|63|51|47|41|40|87|82|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000152,0,1,0,,6,0,0,
153,9|2|5|10|92|17|25|93|24|71|68|74|63|51|47|41|40|87|82|11|3|29|18|61|70|37|34|80|86|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000153,0,1,0,,6,0,0,
154,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|11|3|29|18|61|70|37|34|86|80|60,,0,20008,0,,,,,0,,,,,,enemy_team-10000154,0,1,0,,6,0,0,
155,9|2|5|10|92|17|25|93|24|71|68|74|63|51|47|41|40|87|82|11|3|29|18|61|70|37|34|80|86|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000155,0,1,0,,6,0,0,
156,9|10|90|91|21|93|24|33|94|71|68|74|63|51|47|41|40|87|82|0,,0,20005,0,,,,,0,,,,,,enemy_team-10000156,0,1,0,,6,0,0,
157,9|2|5|10|90|91|92|17|25|93|24|31|33|94|71|68|74|63|51|47|40|41|87|82|12|14|27|32|58|61|37|34|77|80|1|26|60|108,,6098,90007,1,,,108,,0,,,,,,enemy_team-10000157,0,1,0,,6,0,0,
158,9|10|90|91|21|93|24|33|94|71|68|74|63|51|47|41|40|87|82|12|14|27|32|58|61|37|34|77|80|0,,0,20006,0,,,,,0,,,,,,enemy_team-10000158,0,1,0,,6,0,0,
