id,develop_type,type,name,en_name,content,background,mp,ammo,mre,part,type_rarity,preview,is_produce,produce_mp,produce_ammo,produce_mre,produce_part,produce_preview
11,2,6,recommended_formula-10000011,recommended_formula-20000011,recommended_formula-30000011,sg_bg,8000,1000,8000,4000,6:A|2:D|3:D|4:D,2:16-0|18-0|22-0|26-0|27-0|32-0|116-0|178-0|3:34-0|36-0|37-0|39-0|42-0|43-0|44-0|46-0|48-0|50-0|53-0|95-0|117-0|128-0|145-0|146-0|148-0|180-0|184-0|197-0|198-0|235-0|247-0|257-0|261-0|270-0|305-0|312-0|329-0|337-0|348-0|377-0|381-0|388-0|389-0|402-0|403-0|4:58-0|60-0|61-0|65-0|66-0|69-0|70-0|105-0|118-0|120-0|122-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|6:152-0|153-0|154-0|155-0|156-0|157-0|158-0|159-0|160-0|162-0|163-0|164-0|165-0|188-0|189-0|190-0|281-0|282-0|283-0|323-0|324-0|325-0|326-0|350-0|351-0|352-0|353-0|366-0|367-0|368-0|397-0|398-0,0,0,0,0,0,
12,2,6,recommended_formula-10000012,recommended_formula-20000012,recommended_formula-30000012,sg_bg,6000,1000,6000,4000,6:B|3:B|2:D|4:D,2:16-0|18-0|22-0|26-0|27-0|32-0|116-0|178-0|3:34-0|36-0|37-0|39-0|42-0|43-0|44-0|46-0|48-0|50-0|53-0|95-0|117-0|128-0|145-0|146-0|148-0|180-0|184-0|197-0|198-0|235-0|247-0|257-0|261-0|270-0|305-0|312-0|329-0|337-0|348-0|377-0|381-0|388-0|389-0|402-0|403-0|4:58-0|60-0|61-0|65-0|66-0|69-0|70-0|105-0|118-0|120-0|122-0|216-0|237-0|262-0|288-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|6:152-0|153-0|154-0|155-0|156-0|157-0|158-0|159-0|160-0|162-0|163-0|164-0|165-0|188-0|189-0|190-0|281-0|282-0|283-0|323-0|324-0|325-0|326-0|350-0|351-0|352-0|353-0|366-0|367-0|368-0|397-0|398-0,0,0,0,0,0,
13,3,1,recommended_formula-10000013,recommended_formula-20000013,recommended_formula-30000013,equip_bg,140,10,110,10,1:A|2:A|3:A|4:C|9:C|10:C|11:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,140,10,110,10,1:4|2:4|3:3|4:2
14,3,2,recommended_formula-10000014,recommended_formula-20000014,recommended_formula-30000014,equip_bg,140,10,110,10,1:A|2:A|3:A|4:C|9:C|10:C|11:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,140,10,110,10,5:4|6:4|7:3|8:2
15,3,3,recommended_formula-10000015,recommended_formula-20000015,recommended_formula-30000015,equip_bg,140,10,110,10,1:A|2:A|3:A|4:C|9:C|10:C|11:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,140,10,110,10,9:4|10:4|11:3|12:2
16,3,4,recommended_formula-10000016,recommended_formula-20000016,recommended_formula-30000016,equip_bg,70,10,150,30,4:A|1:C|2:C|3:C|9:C|10:C|11:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,70,10,150,30,13:4|14:4|15:3|16:1|305:1
17,3,13,recommended_formula-10000017,recommended_formula-20000017,recommended_formula-30000017,equip_bg,150,50,50,50,13:A|9:C|16:C|11:C|10:C|1:C|2:C|3:C|4:C|15:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,150,50,50,50,63:4|64:4|65:3|66:2
18,3,5,recommended_formula-10000018,recommended_formula-20000018,recommended_formula-30000018,equip_bg,10,150,90,100,5:A|7:C|6:C|8:C|17:C|4:C|1:C|2:C|3:C|9:C|10:C|11:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229,1,10,150,90,100,17:4|18:4|19:3|226:3|20:2|227:2
19,3,6,recommended_formula-10000019,recommended_formula-20000019,recommended_formula-30000019,equip_bg,180,180,10,50,6:A|1:C|2:C|3:C|4:C|5:C|7:C|8:C|17:C|9:C|10:C|11:C|13:C|15:C|16:C,4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229,1,180,180,10,50,69:4|70:4|71:3|72:2|225:2
20,3,8,recommended_formula-10000020,recommended_formula-20000020,recommended_formula-30000020,equip_bg,10,230,120,80,8:A|1:C|2:C|3:C|4:C|6:C|5:C|7:C|17:C|9:C|10:C|11:C|13:C|15:C|16:C|23:C,4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229|23:310|311,1,10,230,120,80,29:4|30:4|31:3|32:2
21,3,7,recommended_formula-10000021,recommended_formula-20000021,recommended_formula-30000021,equip_bg,30,150,30,130,7:A|6:C|8:C|5:C|17:C|1:C|2:C|3:C|13:C|9:C|16:C|11:C|10:C|4:C|15:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229,1,30,150,30,130,73:3|77:3|74:3|78:3|75:3|79:3|230:3|76:1|80:1|231:1|235:1
22,3,10,recommended_formula-10000022,recommended_formula-20000022,recommended_formula-30000022,equip_bg,100,80,10,100,10:A|9:C|1:C|2:C|3:C|4:C|11:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,100,80,10,100,37:3|55:3|38:3|56:3|39:2|57:2|40:1|58:1
23,3,11,recommended_formula-10000023,recommended_formula-20000023,recommended_formula-30000023,equip_bg,50,50,100,100,11:A|10:B|9:C|1:C|2:C|3:C|4:C|13:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,50,50,100,100,42:5|43:3|44:2
24,3,14,recommended_formula-10000024,recommended_formula-20000024,recommended_formula-30000024,equip_bg,30,30,30,200,14:A|13:C|9:C|16:C|11:C|10:B|15:C|1:C|2:C|3:C|4:C,4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|14:67|68|15:87|88|89|90|16:222|223|224,1,30,30,30,200,67:5|68:3
25,3,15,recommended_formula-10000025,recommended_formula-20000025,recommended_formula-30000025,equip_bg,180,20,200,20,15:A|1:C|2:C|3:C|13:C|9:C|16:C|11:C|10:C|4:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,180,20,200,20,87:4|88:4|89:3|90:2
26,3,102,recommended_formula-10000026,recommended_formula-20000026,recommended_formula-30000026,equip_bg,150,150,150,150,1:C|2:C|3:C|21:C|23:C|8:C|7:B|14:C|22:C|17:C|6:C|5:B|16:C|13:C|9:C|15:C|11:C|10:C|4:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|14:67|68|15:87|88|89|90|16:222|223|224|17:228|229|21:312|313|314|22:306|307|308|23:310|311,0,0,0,0,0,
27,4,101,recommended_formula-10000027,recommended_formula-20000027,recommended_formula-30000027,fairy_bg,500,500,500,500,101:C|1:C|2:C|3:C|4:C|13:C|16:C|10:C|11:C|15:C|9:C,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
28,4,101,recommended_formula-10000028,recommended_formula-20000028,recommended_formula-30000028,fairy_bg,2000,2000,2000,2000,101:C|1:C|2:C|3:C|4:C|13:C|16:C|5:C|6:C|8:C|7:C|10:C|11:C|15:C|9:C,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9|5|10|11|12|13|14|23,0,0,0,0,0,
29,4,1,recommended_formula-10000029,recommended_formula-20000029,recommended_formula-30000029,equip_bg,2000,500,1650,500,1:A|101:C|2:A|3:A|4:D|13:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
30,4,2,recommended_formula-10000030,recommended_formula-20000030,recommended_formula-30000030,equip_bg,2000,500,1650,500,2:A|101:C|1:A|3:A|4:D|13:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
31,4,3,recommended_formula-10000031,recommended_formula-20000031,recommended_formula-30000031,equip_bg,2000,500,1650,500,3:A|101:C|1:A|2:A|4:D|13:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
32,4,4,recommended_formula-10000032,recommended_formula-20000032,recommended_formula-30000032,equip_bg,1000,500,2250,500,4:A|101:C|1:D|2:D|3:D|13:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
33,4,13,recommended_formula-10000033,recommended_formula-20000033,recommended_formula-30000033,equip_bg,2250,750,750,750,13:A|101:C|1:D|2:D|3:D|4:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
34,4,5,recommended_formula-10000034,recommended_formula-20000034,recommended_formula-30000034,equip_bg,500,2250,1350,1500,5:A|101:C|6:D|8:D|7:D|17:D|1:D|2:D|3:D|4:D|13:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
35,4,6,recommended_formula-10000035,recommended_formula-20000035,recommended_formula-30000035,equip_bg,2700,2700,500,750,6:A|101:C|5:D|8:D|7:D|17:D|4:D|13:D|16:D|10:D|11:D|15:D|9:D,4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
36,4,8,recommended_formula-10000036,recommended_formula-20000036,recommended_formula-30000036,equip_bg,500,3500,1800,1200,8:A|101:C|5:D|6:D|7:D|17:D|4:D|13:D|16:D|10:D|11:D|15:D|9:D,4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
37,4,7,recommended_formula-10000037,recommended_formula-20000037,recommended_formula-30000037,equip_bg,500,2250,500,2000,7:A|101:C|5:D|6:D|8:D|17:D|1:D|2:D|3:D|4:D|13:D|16:D|10:D|11:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
38,4,10,recommended_formula-10000038,recommended_formula-20000038,recommended_formula-30000038,equip_bg,1500,1200,500,1500,10:A|101:C|11:D|15:D|9:D|1:D|2:D|3:D|4:D|13:D|16:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
39,4,11,recommended_formula-10000039,recommended_formula-20000039,recommended_formula-30000039,equip_bg,750,750,1500,1500,11:A|101:C|10:D|15:D|9:D|1:D|2:D|3:D|4:D|13:D|16:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
40,4,14,recommended_formula-10000040,recommended_formula-20000040,recommended_formula-30000040,equip_bg,500,500,500,3000,14:A|11:C|15:C|9:D|4:C|13:C|16:D|10:C,4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|14:67|68|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
41,4,15,recommended_formula-10000041,recommended_formula-20000041,recommended_formula-30000041,equip_bg,2700,500,3000,500,15:A|10:D|11:D|9:D|1:D|2:D|3:D|4:D|13:D|16:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|15:88|89|90|16:222|223|224|101:15|16|17|1|2|3|4|6|24|25|7|8|9,0,0,0,0,0,
42,4,102,recommended_formula-10000042,recommended_formula-20000042,recommended_formula-30000042,equip_bg,2500,2500,2500,2500,1:D|2:D|3:D|4:D|13:D|16:D|5:D|6:D|8:D|7:D|17:D|10:D|11:D|14:D|15:D|9:D,1:2|3|4|2:6|7|8|3:10|11|12|4:14|15|16|5:18|19|20|226|227|6:70|71|72|225|7:74|75|76|78|79|80|230|231|235|8:30|31|32|9:232|233|234|10:38|39|40|56|57|58|11:42|43|44|13:64|65|66|14:67|68|15:88|89|90|16:222|223|224|17:228|229|101:15|16|17|1|2|3|4|6|24|25|7|8|9|5|10|11|12|13|14|23,0,0,0,0,0,
43,2,2|3|4,recommended_formula-10000043,recommended_formula-20000043,recommended_formula-30000043,hybrid_bg,4000,4000,4000,2000,2:C|3:C|4:C,2:16-0|18-0|20-0|22-0|23-0|26-0|27-0|28-0|29-0|32-0|101-0|103-0|104-0|115-0|116-0|127-0|135-0|137-0|150-0|178-0|213-0|228-0|245-0|286-0|304-0|328-0|336-0|347-0|355-0|363-0|364-0|376-0|380-0|391-0|392-0|401-0|3:34-0|36-0|37-0|39-0|42-0|43-0|44-0|46-0|48-0|50-0|53-0|95-0|117-0|128-0|145-0|146-0|148-0|180-0|184-0|197-0|198-0|235-0|247-0|257-0|261-0|270-0|305-0|312-0|329-0|337-0|348-0|377-0|381-0|388-0|389-0|402-0|403-0|4:58-0|60-0|61-0|62-0|64-0|65-0|66-0|69-0|70-0|72-0|105-0|106-0|118-0|120-0|122-0|129-0|130-0|171-0|172-0|181-0|194-0|196-0|205-0|206-0|214-0|215-0|216-0|236-0|237-0|243-0|262-0|287-0|288-0|290-0|293-0|306-0|313-0|330-0|338-0|349-0|356-0|365-0|378-0|382-0|390-0|393-0|394-0|404-0|405-0,0,0,0,0,0,
44,3,16,recommended_formula-10000044,recommended_formula-20000044,recommended_formula-30000044,equip_bg,180,65,65,65,16:A|13:B|9:C|15:C|1:C|2:C|3:C|11:C|10:C|4:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224,1,180,65,65,65,222:5|223:3|224:2
45,3,9,recommended_formula-10000045,recommended_formula-20000045,recommended_formula-30000045,equip_bg,170,120,50,50,9:A|13:B|6:B|1:C|2:C|3:C|8:C|5:C|7:C|17:C|4:C|10:C|11:C|15:C|16:C,1:1|2|3|4|2:5|6|7|8|3:9|10|11|12|4:13|14|15|16|305|5:17|18|19|20|226|227|6:69|70|71|72|225|7:73|74|75|76|77|78|79|80|230|231|235|8:29|30|31|32|9:232|233|234|309|10:37|38|39|40|55|56|57|58|11:42|43|44|13:63|64|65|66|15:87|88|89|90|16:222|223|224|17:228|229,1,170,120,50,50,232:5|233:3|234:1|309:1
