id,type,prize_id,cost,quota,clear_cycle,function_control_id,start_time,end_time,is_new,increase
46,1,12116,4001-8000,0,0,0,,,0,
47,1,12117,4001-8000,0,0,0,,,0,
48,1,12118,4001-8000,0,0,0,,,0,
49,1,12119,4001-8000,0,0,0,,,0,
50,1,12120,4001-8000,0,0,0,,,0,
55,1,12125,4001-15000,0,0,0,,,0,
56,1,12126,4001-15000,0,0,0,,,0,
57,3,12313,4003-5000,0,0,0,,,0,
58,3,12314,4003-5000,0,0,0,,,0,
59,4,12412,4003-1500|4004-1500,0,0,0,,,0,
60,4,12413,4001-1500|4004-1500,0,0,0,,,0,
61,4,12414,4002-1500|4004-1500,0,0,0,,,0,
65,1,12130,4001-8000,0,0,0,,,0,
66,1,12131,4001-8000,0,0,0,,,0,
67,1,12132,4001-8000,0,0,0,,,0,
68,1,12133,4001-8000,0,0,0,,,0,
69,1,12134,4001-8000,0,0,0,,,0,
70,1,12135,4001-8000,0,0,0,,,0,
71,1,12136,4001-8000,0,0,0,,,0,
72,1,12137,4001-8000,0,0,0,,,0,
73,1,12138,4001-8000,0,0,0,,,0,
74,1,12139,4001-8000,0,0,0,,,0,
75,1,12140,4001-8000,0,0,0,,,0,
76,1,12141,4001-8000,0,0,0,,,0,
77,1,12142,4001-8000,0,0,0,,,0,
78,1,12143,4001-8000,0,0,0,,,0,
79,1,12144,4001-8000,0,0,0,,,0,
80,1,12145,4001-8000,0,0,0,,,0,
81,1,12146,4001-8000,0,0,0,,,0,
82,1,12147,4001-8000,0,0,0,,,0,
83,1,12148,4001-8000,0,0,0,,,0,
84,1,12149,4001-8000,0,0,0,,,0,
85,1,12150,4001-8000,0,0,0,,,0,
86,1,12151,4001-8000,0,0,0,,,0,
87,1,12152,4001-8000,0,0,0,,,0,
88,1,12153,4001-8000,0,0,0,,,0,
89,1,12154,4001-8000,0,0,0,,,0,
90,1,12155,4001-8000,0,0,0,,,0,
91,1,12156,4001-8000,0,0,0,,,0,
92,1,12157,4001-8000,0,0,0,,,0,
93,1,12158,4001-8000,0,0,0,,,0,
94,1,12159,4001-8000,0,0,0,,,0,
95,1,12160,4001-8000,0,0,0,,,0,
100,3,12315,4003-5000,0,0,0,,,0,
101,3,12316,4003-5000,0,0,0,,,0,
102,3,12317,4003-4000,0,0,0,,,0,
103,4,12415,4003-1500|4004-1500,0,0,0,,,0,
104,4,12416,4001-1500|4004-1500,0,0,0,,,0,
105,4,12417,4002-1500|4004-1500,0,0,0,,,0,
106,1,12165,4001-8000,0,0,0,,,0,
107,1,12166,4001-8000,0,0,0,,,0,
108,4,12418,4003-1500|4004-1500,0,0,0,,,0,
109,4,12419,4001-1500|4004-1500,0,0,0,,,0,
110,4,12420,4002-1500|4004-1500,0,0,0,,,0,
111,3,12318,4003-5000,0,0,0,,,0,
112,3,12319,4003-5000,0,0,0,,,0,
113,3,12320,4003-4000,0,0,0,,,0,
116,4,12421,4003-1500|4004-1500,0,0,0,,,0,
117,4,12422,4001-1500|4004-1500,0,0,0,,,0,
118,4,12423,4002-1500|4004-1500,0,0,0,,,0,
119,3,12321,4003-5000,0,0,0,,,0,
120,3,12322,4003-5000,0,0,0,,,0,
121,3,12323,4003-4000,0,0,0, ,,0,
133,4,12424,4003-1500|4004-1500,0,0,0,,,0,
134,4,12425,4001-1500|4004-1500,0,0,0,,,0,
135,4,12426,4002-1500|4004-1500,0,0,0,,,0,
136,3,12324,4003-4000,0,0,0,,,0,
137,3,12325,4003-4000,0,0,0,,,0,
138,3,12326,4003-5000,0,0,0, ,,0,
139,52,12501,4001-4500,1,0,0,,,0,
140,52,12502,4001-4500,1,0,0,,,0,
143,4,12427,4003-1500|4004-1500,0,0,0,,,0,
144,4,12428,4001-1500|4004-1500,0,0,0,,,0,
145,4,12429,4002-1500|4004-1500,0,0,0,,,0,
146,3,12327,4003-5000,0,0,0,,,0,
147,3,12328,4003-4000,0,0,0,,,0,
148,3,12329,4003-6000,0,0,0, ,,0,
149,51,12503,4001-18000,1,0,0,,,0,
150,52,12504,4001-4500,1,0,0,,,0,
151,52,12505,4001-4500,1,0,0,,,0,
154,51,12506,4001-18000,1,0,0,,,0,
155,4,12430,4003-1500|4004-1500,0,0,0,,,0,
156,4,12431,4001-1500|4004-1500,0,0,0,,,0,
157,4,12432,4002-1500|4004-1500,0,0,0,,,0,
158,3,12330,4003-4000,0,0,0,,,0,
159,3,12331,4003-5000,0,0,0,,,0,
160,3,12332,4003-6000,0,0,0, ,,0,
163,51,12507,4001-18000,1,0,0,,,0,
164,4,12433,4003-1500|4004-1500,0,0,0,,,0,
165,4,12434,4001-1500|4004-1500,0,0,0,,,0,
166,4,12435,4002-1500|4004-1500,0,0,0,,,0,
167,3,12333,4003-5000,0,0,0,,,0,
168,3,12334,4003-5000,0,0,0,,,0,
169,3,12335,4003-4000,0,0,0, ,,0,
172,4,12436,4003-1500|4004-1500,0,0,0,,,0,
173,4,12437,4001-1500|4004-1500,0,0,0,,,0,
174,4,12438,4002-1500|4004-1500,0,0,0,,,0,
175,3,12336,4003-5000,0,0,0,,,0,
176,3,12337,4003-5000,0,0,0,,,0,
177,3,12338,4003-5000,0,0,0, ,,0,
183,3,12339,4003-4000,0,0,0,,,0,
184,3,12340,4003-5000,0,0,0,,,0,
185,3,12341,4003-5000,0,0,0, ,,0,
188,1,12191,4001-8000,0,0,0,,,0,
208,1,12614,4001-8000,0,0,0,,,0,
217,1,12615,4001-8000,0,0,0,,,0,
226,1,121003,4001-8000,0,0,0, ,,0,
227,1,121004,4001-8000,0,0,0, ,,0,
237,1,121008,4001-8000,0,0,0,,,0,
238,52,12508,4001-4500,1,0,0,,,0,
262,1,121019,4001-8000,0,0,0,,,1,
263,1,121020,4001-8000,0,0,0,,,1,
264,1,121021,4001-8000,0,0,0,,,1,
265,1,121022,4001-8000,0,0,0,,,1,
266,1,121023,4001-8000,0,0,0,,,1,
267,1,121024,4001-8000,0,0,0,,,1,
268,1,121025,4001-8000,0,0,0,,,1,
269,1,121026,4001-8000,0,0,0,,,1,
313,2,12633,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
314,2,12634,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
315,2,12635,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
316,2,12636,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
317,2,12637,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
318,2,12638,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
319,2,12639,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
320,2,12640,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
321,2,12641,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
322,2,12642,4001-1200,0,4,0,,,0,1|0|2025-03-18 00:00:00
330,1,121059,4001-8000,0,0,0,,,0,
