id,name,code,description,priority,duration,delay,size,sound,spine,if_starting,relative_position,offset,rotation_offset,is_focus
1000058,mission_effect_config-11000058,bomb_shuzi00,mission_effect_config-21000058,0,1,0,1,,0,0,0,"0,0",,0
1000059,mission_effect_config-11000059,bomb_shuzi01,mission_effect_config-21000059,0,1,0,1,,0,0,0,"0,0",,0
1000060,mission_effect_config-11000060,bomb_shuzi02,mission_effect_config-21000060,0,1,0,1,,0,0,0,"0,0",,0
1000061,mission_effect_config-11000061,bomb_shuzi03,mission_effect_config-21000061,0,1,0,1,,0,0,0,"0,0",,0
1000062,mission_effect_config-11000062,bomb_shuzi04,mission_effect_config-21000062,0,1,0,1,,0,0,0,"0,0",,0
1000063,mission_effect_config-11000063,bomb_shuzi05,mission_effect_config-21000063,0,1,0,1,,0,0,0,"0,0",,0
1000064,mission_effect_config-11000064,bomb_shuzi06,mission_effect_config-21000064,0,1,0,1,,0,0,0,"0,0",,0
1000065,mission_effect_config-11000065,bomb_shuzi07,mission_effect_config-21000065,0,1,0,1,,0,0,0,"0,0",,0
1000066,mission_effect_config-11000066,bomb_shuzi08,mission_effect_config-21000066,0,1,0,1,,0,0,0,"0,0",,0
1000067,mission_effect_config-11000067,bomb_shuzi09,mission_effect_config-21000067,0,1,0,1,,0,0,0,"0,0",,0
1000068,mission_effect_config-11000068,Empty,mission_effect_config-21000068,0,1,0,1,SFX_20_Winter_Password,0,0,0,"0,0",,0
1000069,mission_effect_config-11000069,build_baoza_1,mission_effect_config-21000069,10,2,0,1,BT_grenade_explode,0,0,0,"0,0",,0
1000070,mission_effect_config-11000070,Bushu_ice01,mission_effect_config-21000070,10,0,0,1,,0,0,0,"0,0",,0
1000071,mission_effect_config-11000071,Bushu_ice02,mission_effect_config-21000071,10,1,0,1,Equip_Ice,0,0,0,"0,0",,0
1000072,mission_effect_config-11000072,Bushu_xz_yan,mission_effect_config-21000072,10,1,0,1,Equip_Smoke,0,0,0,"0,0",,0
1000073,mission_effect_config-11000073,jashinchan_eat,mission_effect_config-21000073,48,3,0,1,,2,0,0,"0,200",,0
1000074,mission_effect_config-11000074,ddl_xingxing,mission_effect_config-21000074,0,0,0,1,,0,0,0,"0,0",,0
1000075,mission_effect_config-11000075,Viscosity_Bomb,mission_effect_config-21000075,10,0.46,0,0.5,21Summer_Bomb_Whoosh,0,1,"-1000,2000","0,0",,0
1000076,mission_effect_config-11000076,Viscosity_Bomb,mission_effect_config-21000076,10,0,0.86,0.5,21Summer_Bomb_Alarm,2,0,0,"0,0",,0
1000077,mission_effect_config-11000077,skidarrow64340,mission_effect_config-21000077,0,1,0,0.5,,0,0,0,"0,0",,0
1000078,mission_effect_config-11000078,skidarrow64361,mission_effect_config-21000078,0,1,0,0.5,,0,0,0,"0,0",,0
1000079,mission_effect_config-11000079,skidarrow64367,mission_effect_config-21000079,0,1,0,0.5,,0,0,0,"0,0",,0
1000080,mission_effect_config-11000080,skidarrow64363,mission_effect_config-21000080,0,1,0,0.5,,0,0,0,"0,0",,0
1000081,mission_effect_config-11000081,Empty,mission_effect_config-21000081,0,1,0,1,BT_grenade_explode,0,0,0,"0,0",,0
1000082,mission_effect_config-11000082,SpotTarget0,mission_effect_config-21000082,0,1,0,1,,0,0,0,"0,0",,0
1000083,mission_effect_config-11000083,MGT_shouji,mission_effect_config-21000083,0,0.5,0,1,0,0,0,0,"0,0",,0
1000084,mission_effect_config-11000084,MGT_shouji_1,mission_effect_config-21000084,0,0.5,0,1,BT_Sniper_skill_1,0,0,0,"0,0",,0
1000085,mission_effect_config-11000085,skidarrow05,mission_effect_config-21000085,0,1,0,0.5,,0,0,0,"0,0",,0
1000086,mission_effect_config-11000086,skidarrow06,mission_effect_config-21000086,0,1,0,0.5,,0,0,0,"0,0",,0
1000088,mission_effect_config-11000088,skidarrow08,mission_effect_config-21000088,0,1,0,0.5,,0,0,0,"0,0",,0
1000089,mission_effect_config-11000089,build_baoza_1,mission_effect_config-21000089,10,1,0.5,1,UI_Missile_Attack_Delay1,0,0,0,"0,0",,0
1000090,mission_effect_config-11000090,chuansong_03xh,mission_effect_config-21000090,0,0,0,0.3,0,0,0,0,"90,35",,0
1000091,mission_effect_config-11000091,chuansong_03,mission_effect_config-21000091,5,1,0,1,,0,0,0,"0,0",,0
1000092,mission_effect_config-11000092,力场盾,mission_effect_config-21000092,200,1,0,1,UI_Spe_Build_Buff,0,0,0,"0,0",,0
1000093,mission_effect_config-11000093,powerUp,mission_effect_config-21000093,200,1,0,1,UI_Spe_Build_Buff,0,0,0,"0,0",,0
1000094,mission_effect_config-11000094,build_baoza+emp,mission_effect_config-21000094,10,1,0.5,1,UI_Missile_Attack_Delay2,0,0,0,"0,0",,0
1000095,mission_effect_config-11000095,Empty,mission_effect_config-21000095,0,1,0,1,UI_Build_Construct,0,0,0,"0,0",,0
1000096,mission_effect_config-11000096,Empty,mission_effect_config-21000096,0,1,0,1,UI_Build_Upgrade,0,0,0,"0,0",,0
1000097,mission_effect_config-11000097,Empty,mission_effect_config-21000097,0,1,0,1,UI_Spe_Build_Buff,0,0,0,"0,0",,0
1000098,mission_effect_config-11000098,Empty,mission_effect_config-21000098,0,1,0,1,UI_Spe_Build_Portal,0,0,0,"0,0",,0
1000099,mission_effect_config-11000099,Viscosity_Bomb,mission_effect_config-21000099,10,0,0.86,0.5,,2,0,0,"0,0",,0
1000100,mission_effect_config-11000100,CanDestroyBuildTip,mission_effect_config-21000100,10,0,0,1,,0,0,0,"0,0",,0
1000101,mission_effect_config-11000101,Empty,mission_effect_config-21000101,0,1,0,1,2022_white_valentine_Chocolate,0,0,0,"0,0",,0
9490401,mission_effect_config-19490401,ddl_xingxing,mission_effect_config-29490401,0,1,0,0.8,,0,0,0,"0,0",,0
9999999,mission_effect_config-19999999,Empty,mission_effect_config-29999999,0,1,0,1,Stop_UI_loop,0,0,0,"0,0",,0
