id,name,type,rank,favor,fit_gun,skin,poster,code,bonus_description,description,is_hidden,exp,profile_pic,item_access,detail_introduction,sort
308,gift_item-10000308,2,6,50000,106,308,30308,gift_bundle_xmas_FNFAL,gift_item-20000308,gift_item-30000308,0,0,0,,,0
309,gift_item-10000309,2,6,50000,109,309,30309,gift_bundle_xmas_MG5,gift_item-20000309,gift_item-30000309,0,0,0,,,0
310,gift_item-10000310,2,6,50000,115,310,30310,gift_bundle_xmas_KP31,gift_item-20000310,gift_item-30000310,0,0,0,,,0
401,gift_item-10000401,2,6,50000,66,401,30401,gift_bundle_spring_561type,gift_item-20000401,gift_item-30000401,0,0,0,,,0
402,gift_item-10000402,2,6,50000,91,402,30402,gift_bundle_spring_mp446,gift_item-20000402,gift_item-30000402,0,0,0,,,0
403,gift_item-10000403,2,6,50000,126,403,30403,gift_bundle_spring_nz75,gift_item-20000403,gift_item-30000403,0,0,0,,,0
404,gift_item-10000404,2,6,50000,128,404,30404,gift_bundle_spring_m99,gift_item-20000404,gift_item-30000404,0,0,0,,,0
405,gift_item-10000405,2,6,50000,129,405,30405,gift_bundle_spring_95type,gift_item-20000405,gift_item-30000405,0,0,0,,,0
406,gift_item-10000406,2,6,50000,130,406,30406,gift_bundle_spring_97type,gift_item-20000406,gift_item-30000406,0,0,0,,,0
407,gift_item-10000407,2,6,50000,132,407,30407,gift_bundle_spring_59type,gift_item-20000407,gift_item-30000407,0,0,0,,,0
408,gift_item-10000408,2,6,50000,42,408,30408,gift_bundle_spring_ptrd,gift_item-20000408,gift_item-30000408,0,0,0,,,0
409,gift_item-10000409,2,6,50000,101,409,30409,gift_bundle_spring_ump9,gift_item-20000409,gift_item-30000409,0,0,0,,,0
410,gift_item-10000410,2,6,50000,103,410,30410,gift_bundle_spring_ump45,gift_item-20000410,gift_item-30000410,0,0,0,,,0
411,gift_item-10000411,2,6,50000,114,411,30411,gift_bundle_spring_welrod,gift_item-20000411,gift_item-30000411,0,0,0,,,0
501,gift_item-10000501,2,6,50000,58,501,30501,gift_bundle_golden_ak47,gift_item-20000501,gift_item-30000501,0,0,0,,,0
503,gift_item-10000503,2,6,50000,1001,503,30503,gift_bundle_bb_myu12,gift_item-20000503,gift_item-30000503,0,0,0,,,0
504,gift_item-10000504,2,6,50000,1002,504,30504,gift_bundle_gg_dress_elphelt,gift_item-20000504,gift_item-30000504,0,0,0,,,0
505,gift_item-10000505,2,6,50000,1002,505,30505,gift_bundle_gg_blood_elphelt,gift_item-20000505,gift_item-30000505,0,0,0,,,0
509,gift_item-10000509,2,6,50000,1009,509,30509,gift_bundle_djmax_clear,gift_item-20000509,gift_item-30000509,0,0,0,,,0
510,gift_item-10000510,2,6,50000,1010,510,30510,gift_bundle_djmax_fail,gift_item-20000510,gift_item-30000510,0,0,0,,,0
523,gift_item-10000523,2,6,50000,221,523,30523,gift_bundle_comics10_GSH18,gift_item-20000523,gift_item-30000523,0,0,0,,,0
524,gift_item-10000524,2,6,50000,1020,524,30524,gift_bundle_sbld19_Stella,gift_item-20000524,gift_item-30000524,0,0,0,,,0
525,gift_item-10000525,2,6,50000,1019,525,30525,gift_bundle_sbld19_Dorothy,gift_item-20000525,gift_item-30000525,0,0,0,,,0
526,gift_item-10000526,2,6,50000,1022,526,30526,gift_bundle_sbld19_Dana,gift_item-20000526,gift_item-30000526,0,0,0,,,0
527,gift_item-10000527,2,6,50000,1018,527,30527,gift_bundle_sbld19_SEI,gift_item-20000527,gift_item-30000527,0,0,0,,,0
528,gift_item-10000528,2,6,50000,1021,528,30528,gift_bundle_sbld19_Alma,gift_item-20000528,gift_item-30000528,0,0,0,,,0
529,gift_item-10000529,2,6,50000,1017,529,30529,gift_bundle_sbld19_Jill,gift_item-20000529,gift_item-30000529,0,0,0,,,0
530,gift_item-10000530,2,6,50000,55,530,30530,gift_bundle_Carnival2020_M4A1,gift_item-20000530,gift_item-30000530,0,0,0,,,0
531,gift_item-10000531,2,6,50000,56,531,30531,gift_bundle_Carnival2020_M4 SOPMOD II,gift_item-20000531,gift_item-30000531,0,0,0,,,0
532,gift_item-10000532,2,6,50000,57,532,30532,gift_bundle_Carnival2020_AR15,gift_item-20000532,gift_item-30000532,0,0,0,,,0
533,gift_item-10000533,2,6,50000,54,533,30533,gift_bundle_Carnival2020_M16A1,gift_item-20000533,gift_item-30000533,0,0,0,,,0
534,gift_item-10000534,2,6,50000,143,534,30534,gift_bundle_Carnival2020_RO635,gift_item-20000534,gift_item-30000534,0,0,0,,,0
535,gift_item-10000535,2,6,50000,103,535,30535,gift_bundle_Carnival2020_UMP45,gift_item-20000535,gift_item-30000535,0,0,0,,,0
536,gift_item-10000536,2,6,50000,101,536,30536,gift_bundle_Carnival2020_UMP9,gift_item-20000536,gift_item-30000536,0,0,0,,,0
537,gift_item-10000537,2,6,50000,65,537,30537,gift_bundle_Carnival2020_HK416,gift_item-20000537,gift_item-30000537,0,0,0,,,0
538,gift_item-10000538,2,6,50000,122,538,30538,gift_bundle_Carnival2020_G11,gift_item-20000538,gift_item-30000538,0,0,0,,,0
539,gift_item-10000539,2,6,50000,102,539,30539,gift_bundle_Carnival2020_UMP40,gift_item-20000539,gift_item-30000539,0,0,0,,,0
541,gift_item-10000541,2,6,50000,1025,541,30541,gift_bundle_Gunslinger_Triela,gift_item-20000541,gift_item-30000541,0,0,0,,,0
542,gift_item-10000542,2,6,50000,1024,542,30542,gift_bundle_Gunslinger_Rico,gift_item-20000542,gift_item-30000542,0,0,0,,,0
543,gift_item-10000543,2,6,50000,1027,543,30543,gift_bundle_Gunslinger_Angelica,gift_item-20000543,gift_item-30000543,0,0,0,,,0
544,gift_item-10000544,2,6,50000,1023,544,30544,gift_bundle_Gunslinger_Henrietta,gift_item-20000544,gift_item-30000544,0,0,0,,,0
545,gift_item-10000545,2,6,50000,1026,545,30545,gift_bundle_Gunslinger_Claes,gift_item-20000545,gift_item-30000545,0,0,0,,,0
546,gift_item-10000546,2,6,50000,1029,546,30546,gift_bundle_Division_HK416Agent,gift_item-20000546,gift_item-30000546,0,0,0,,,0
547,gift_item-10000547,2,6,50000,1028,547,30547,gift_bundle_Division_VectorAgent,gift_item-20000547,gift_item-30000547,0,0,0,,,0
548,gift_item-10000548,2,6,50000,65,548,30548,gift_bundle_Division_HK416,gift_item-20000548,gift_item-30000548,0,0,0,,,0
549,gift_item-10000549,2,6,50000,20,549,30549,gift_bundle_Division_Vector,gift_item-20000549,gift_item-30000549,0,0,0,,,0
550,gift_item-10000550,2,6,50000,55,550,30550,gift_bundle_Carnival2021_M4A1,gift_item-20000550,gift_item-30000550,0,0,0,,,0
551,gift_item-10000551,2,6,50000,56,551,30551,gift_bundle_Carnival2021_M4 SOPMOD II,gift_item-20000551,gift_item-30000551,0,0,0,,,0
552,gift_item-10000552,2,6,50000,57,552,30552,gift_bundle_Carnival2021_AR15,gift_item-20000552,gift_item-30000552,0,0,0,,,0
553,gift_item-10000553,2,6,50000,54,553,30553,gift_bundle_Carnival2021_M16A1,gift_item-20000553,gift_item-30000553,0,0,0,,,0
554,gift_item-10000554,2,6,50000,143,554,30554,gift_bundle_Carnival2021_RO635,gift_item-20000554,gift_item-30000554,0,0,0,,,0
555,gift_item-10000555,2,6,50000,103,555,30555,gift_bundle_Carnival2021_UMP45,gift_item-20000555,gift_item-30000555,0,0,0,,,0
556,gift_item-10000556,2,6,50000,101,556,30556,gift_bundle_Carnival2021_UMP9,gift_item-20000556,gift_item-30000556,0,0,0,,,0
557,gift_item-10000557,2,6,50000,65,557,30557,gift_bundle_Carnival2021_HK416,gift_item-20000557,gift_item-30000557,0,0,0,,,0
558,gift_item-10000558,2,6,50000,122,558,30558,gift_bundle_Carnival2021_G11,gift_item-20000558,gift_item-30000558,0,0,0,,,0
559,gift_item-10000559,2,6,50000,102,559,30559,gift_bundle_Carnival2021_UMP40,gift_item-20000559,gift_item-30000559,0,0,0,,,0
560,gift_item-10000560,2,6,50000,257,560,30560,gift_bundle_Carnival2021_M200,gift_item-20000560,gift_item-30000560,0,0,0,,,0
561,gift_item-10000561,2,6,50000,315,561,30561,gift_bundle_Carnival2021_AUGPARA,gift_item-20000561,gift_item-30000561,0,0,0,,,0
562,gift_item-10000562,2,6,50000,318,562,30562,gift_bundle_Carnival2021_VHS,gift_item-20000562,gift_item-30000562,0,0,0,,,0
563,gift_item-10000563,2,6,50000,316,563,30563,gift_bundle_Carnival2021_GeneralLiu,gift_item-20000563,gift_item-30000563,0,0,0,,,0
564,gift_item-10000564,2,6,50000,296,564,30564,gift_bundle_Carnival2021_SL8,gift_item-20000564,gift_item-30000564,0,0,0,,,0
565,gift_item-10000565,2,6,50000,64,565,30565,gift_bundle_Carnival2021_G36,gift_item-20000565,gift_item-30000565,0,0,0,,,0
567,gift_item-10000567,2,6,50000,1030,567,30567,gift_bundle_Dropkick2021_Jashinchan,gift_item-20000567,gift_item-30000567,0,0,0,,,0
568,gift_item-10000568,2,6,50000,1033,568,30568,gift_bundle_Dropkick2021_Yurine,gift_item-20000568,gift_item-30000568,0,0,0,,,0
569,gift_item-10000569,2,6,50000,1032,569,30569,gift_bundle_Dropkick2021_Medusa,gift_item-20000569,gift_item-30000569,0,0,0,,,0
570,gift_item-10000570,2,6,50000,1031,570,30570,gift_bundle_Dropkick2021_Pekora,gift_item-20000570,gift_item-30000570,0,0,0,,,0
571,gift_item-10000571,2,6,50000,1034,571,30571,gift_bundle_Dropkick2021_Minosu,gift_item-20000571,gift_item-30000571,0,0,0,,,0
573,gift_item-10000573,2,6,50000,116,573,30573,gift_bundle_ChessBonus_Z62,gift_item-20000573,gift_item-30000573,0,0,0,,,0
574,gift_item-10000574,2,6,50000,56,574,30574,gift_bundle_AprilFool2022_M4 SOPMOD II,gift_item-20000574,gift_item-30000574,0,0,0,,,0
601,gift_item-10000601,2,6,50000,6,601,30601,gift_bundle_wedding_tt33,gift_item-20000601,gift_item-30000601,0,0,0,,,0
602,gift_item-10000602,2,6,50000,21,602,30602,gift_bundle_wedding_ppsh41,gift_item-20000602,gift_item-30000602,0,0,0,,,0
603,gift_item-10000603,2,6,50000,29,603,30603,gift_bundle_wedding_stenmkii,gift_item-20000603,gift_item-30000603,0,0,0,,,0
604,gift_item-10000604,2,6,50000,50,604,30604,gift_bundle_wedding_mlemk1,gift_item-20000604,gift_item-30000604,0,0,0,,,0
605,gift_item-10000605,2,6,50000,85,605,30605,gift_bundle_wedding_pk,gift_item-20000605,gift_item-30000605,0,0,0,,,0
606,gift_item-10000606,2,6,50000,100,606,30606,gift_bundle_wedding_p7,gift_item-20000606,gift_item-30000606,0,0,0,,,0
607,gift_item-10000607,2,6,50000,106,607,30607,gift_bundle_wedding_fal,gift_item-20000607,gift_item-30000607,0,0,0,,,0
701,gift_item-10000701,2,6,50000,57,701,30701,gift_bundle_serafuku_ar15,gift_item-20000701,gift_item-30000701,0,0,0,,,0
702,gift_item-10000702,2,6,50000,97,702,30702,gift_bundle_serafuku_m950a,gift_item-20000702,gift_item-30000702,0,0,0,,,0
703,gift_item-10000703,2,6,50000,125,703,30703,gift_bundle_serafuku_mg4,gift_item-20000703,gift_item-30000703,0,0,0,,,0
704,gift_item-10000704,2,6,50000,138,704,30704,gift_bundle_serafuku_6p62,gift_item-20000704,gift_item-30000704,0,0,0,,,0
801,gift_item-10000801,2,6,50000,27,801,30801,gift_bundle_dress_vz61,gift_item-20000801,gift_item-30000801,0,0,0,,,0
802,gift_item-10000802,2,6,50000,36,802,30802,gift_bundle_dress_m1903,gift_item-20000802,gift_item-30000802,0,0,0,,,0
803,gift_item-10000803,2,6,50000,39,803,30803,gift_bundle_dress_m1891,gift_item-20000803,gift_item-30000803,0,0,0,,,0
804,gift_item-10000804,2,6,50000,48,804,30804,gift_bundle_dress_wa2000,gift_item-20000804,gift_item-30000804,0,0,0,,,0
805,gift_item-10000805,2,6,50000,65,805,30805,gift_bundle_dress_hk416,gift_item-20000805,gift_item-30000805,0,0,0,,,0
806,gift_item-10000806,2,6,50000,75,806,30806,gift_bundle_dress_m1918,gift_item-20000806,gift_item-30000806,0,0,0,,,0
807,gift_item-10000807,2,6,50000,135,807,30807,gift_bundle_dress_sr3mp,gift_item-20000807,gift_item-30000807,0,0,0,,,0
808,gift_item-10000808,2,6,50000,97,808,30808,gift_bundle_dress_m950a,gift_item-20000808,gift_item-30000808,0,0,0,,,0
901,gift_item-10000901,2,6,50000,50,901,30901,gift_bundle_childrensday_MLEMK1,gift_item-20000901,gift_item-30000901,0,0,0,,,0
902,gift_item-10000902,2,6,50000,25,902,30902,gift_bundle_childrensday_MP40,gift_item-20000902,gift_item-30000902,0,0,0,,,0
903,gift_item-10000903,2,6,50000,96,903,30903,gift_bundle_childrensday_Grizzly,gift_item-20000903,gift_item-30000903,0,0,0,,,0
904,gift_item-10000904,2,6,50000,112,904,30904,gift_bundle_childrensday_NEGEV,gift_item-20000904,gift_item-30000904,0,0,0,,,0
905,gift_item-10000905,2,6,50000,64,905,30905,gift_bundle_childrensday_G36,gift_item-20000905,gift_item-30000905,0,0,0,,,0
1101,gift_item-10001101,2,6,50000,53,1101,31101,gift_bundle_swimsuit_NTW20,gift_item-20001101,gift_item-30001101,0,0,0,,,0
1102,gift_item-10001102,2,6,50000,129,1102,31102,gift_bundle_swimsuit_95type,gift_item-20001102,gift_item-30001102,0,0,0,,,0
1103,gift_item-10001103,2,6,50000,115,1103,31103,gift_bundle_swimsuit_KP31,gift_item-20001103,gift_item-30001103,0,0,0,,,0
1104,gift_item-10001104,2,6,50000,146,1104,31104,gift_bundle_swimsuit_G28,gift_item-20001104,gift_item-30001104,0,0,0,,,0
1105,gift_item-10001105,2,6,50000,153,1105,31105,gift_bundle_swimsuit_Ithaca37,gift_item-20001105,gift_item-30001105,0,0,0,,,0
1106,gift_item-10001106,2,6,50000,34,1106,31106,gift_bundle_swimsuit_M1,gift_item-20001106,gift_item-30001106,0,0,0,,,0
1107,gift_item-10001107,2,6,50000,36,1107,31107,gift_bundle_swimsuit_M1903,gift_item-20001107,gift_item-30001107,0,0,0,,,0
1108,gift_item-10001108,2,6,50000,48,1108,31108,gift_bundle_swimsuit_WA2000,gift_item-20001108,gift_item-30001108,0,0,0,,,0
1109,gift_item-10001109,2,6,50000,142,1109,31109,gift_bundle_swimsuit_FN57,gift_item-20001109,gift_item-30001109,0,0,0,,,0
1201,gift_item-10001201,2,6,50000,173,1201,31201,gift_bundle_yukata_pkp,gift_item-20001201,gift_item-30001201,0,0,0,,,0
1202,gift_item-10001202,2,6,50000,104,1202,31202,gift_bundle_yukata_G36C,gift_item-20001202,gift_item-30001202,0,0,0,,,0
1203,gift_item-10001203,2,6,50000,119,1203,31203,gift_bundle_yukata_OTs14,gift_item-20001203,gift_item-30001203,0,0,0,,,0
1204,gift_item-10001204,2,6,50000,177,1204,31204,gift_bundle_yukata_KLIN,gift_item-20001204,gift_item-30001204,0,0,0,,,0
1205,gift_item-10001205,2,6,50000,26,1205,31205,gift_bundle_yukata_MP5,gift_item-20001205,gift_item-30001205,0,0,0,,,0
1301,gift_item-10001301,2,6,50000,79,1301,31301,gift_bundle_leisurewear_M249SAW,gift_item-20001301,gift_item-30001301,0,0,0,,,0
1302,gift_item-10001302,2,6,50000,118,1302,31302,gift_bundle_leisurewear_9A91,gift_item-20001302,gift_item-30001302,0,0,0,,,0
1303,gift_item-10001303,2,6,50000,63,1303,31303,gift_bundle_leisurewear_G3,gift_item-20001303,gift_item-30001303,0,0,0,,,0
1304,gift_item-10001304,2,6,50000,88,1304,31304,gift_bundle_leisurewear_MG3,gift_item-20001304,gift_item-30001304,0,0,0,,,0
1305,gift_item-10001305,2,6,50000,72,1305,31305,gift_bundle_leisurewear_TAR21,gift_item-20001305,gift_item-30001305,0,0,0,,,0
1401,gift_item-10001401,2,6,50000,114,1401,31401,gift_bundle_halloween2_Welrod,gift_item-20001401,gift_item-30001401,0,0,0,,,0
1402,gift_item-10001402,2,6,50000,127,1402,31402,gift_bundle_halloween2_79type,gift_item-20001402,gift_item-30001402,0,0,0,,,0
1403,gift_item-10001403,2,6,50000,148,1403,31403,gift_bundle_halloween2_IWS2000,gift_item-20001403,gift_item-30001403,0,0,0,,,0
1404,gift_item-10001404,2,6,50000,100,1404,31404,gift_bundle_halloween2_P7,gift_item-20001404,gift_item-30001404,0,0,0,,,0
1405,gift_item-10001405,2,6,50000,168,1405,31405,gift_bundle_halloween2_Spitfire,gift_item-20001405,gift_item-30001405,0,0,0,,,0
1406,gift_item-10001406,2,6,50000,70,1406,31406,gift_bundle_halloween2_FNFNC,gift_item-20001406,gift_item-30001406,0,0,0,,,0
1407,gift_item-10001407,2,6,50000,124,1407,31407,gift_bundle_halloween2_SuperSASS,gift_item-20001407,gift_item-30001407,0,0,0,,,0
1501,gift_item-10001501,2,6,50000,16,1501,31501,gift_bundle_manwear_M1928A1,gift_item-20001501,gift_item-30001501,0,0,0,,,0
1502,gift_item-10001502,2,6,50000,183,1502,31502,gift_bundle_manwear_Contender,gift_item-20001502,gift_item-30001502,0,0,0,,,0
1503,gift_item-10001503,2,6,50000,173,1503,31503,gift_bundle_manwear_PKP,gift_item-20001503,gift_item-30001503,0,0,0,,,0
1504,gift_item-10001504,2,6,50000,109,1504,31504,gift_bundle_manwear_MG5,gift_item-20001504,gift_item-30001504,0,0,0,,,0
1505,gift_item-10001505,2,6,50000,149,1505,31505,gift_bundle_manwear_AEK999,gift_item-20001505,gift_item-30001505,0,0,0,,,0
1506,gift_item-10001506,2,6,50000,180,1506,31506,gift_bundle_manwear_PzB39,gift_item-20001506,gift_item-30001506,0,0,0,,,0
1507,gift_item-10001507,2,6,50000,64,1507,31507,gift_bundle_manwear_G36,gift_item-20001507,gift_item-30001507,0,0,0,,,0
1601,gift_item-10001601,2,6,50000,172,1601,31601,gift_bundle_xmas2_RFB,gift_item-20001601,gift_item-30001601,0,0,0,,,0
1602,gift_item-10001602,2,6,50000,122,1602,31602,gift_bundle_xmas2_G11,gift_item-20001602,gift_item-30001602,0,0,0,,,0
1603,gift_item-10001603,2,6,50000,196,1603,31603,gift_bundle_xmas2_ZastavaM21,gift_item-20001603,gift_item-30001603,0,0,0,,,0
1604,gift_item-10001604,2,6,50000,166,1604,31604,gift_bundle_xmas2_CZ75,gift_item-20001604,gift_item-30001604,0,0,0,,,0
1605,gift_item-10001605,2,6,50000,185,1605,31605,gift_bundle_xmas2_Ameli,gift_item-20001605,gift_item-30001605,0,0,0,,,0
1606,gift_item-10001606,2,6,50000,75,1606,31606,gift_bundle_xmas2_M1918,gift_item-20001606,gift_item-30001606,0,0,0,,,0
1608,gift_item-10001608,2,6,50000,145,1608,31608,gift_bundle_xmas2_OC44,gift_item-20001608,gift_item-30001608,0,0,0,,,0
1701,gift_item-10001701,2,6,50000,128,1701,31701,gift_bundle_leisurewear2_M99,gift_item-20001701,gift_item-30001701,0,0,0,,,0
1702,gift_item-10001702,2,6,50000,126,1702,31702,gift_bundle_leisurewear2_NZ75,gift_item-20001702,gift_item-30001702,0,0,0,,,0
1703,gift_item-10001703,2,6,50000,98,1703,31703,gift_bundle_leisurewear2_SPP1,gift_item-20001703,gift_item-30001703,0,0,0,,,0
1704,gift_item-10001704,2,6,50000,156,1704,31704,gift_bundle_leisurewear2_SUPERSHORTY,gift_item-20001704,gift_item-30001704,0,0,0,,,0
1705,gift_item-10001705,2,6,50000,159,1705,31705,gift_bundle_leisurewear2_RMB93,gift_item-20001705,gift_item-30001705,0,0,0,,,0
1801,gift_item-10001801,2,6,50000,179,1801,31801,gift_bundle_newyear2_DSR50,gift_item-20001801,gift_item-30001801,0,0,0,,,0
1802,gift_item-10001802,2,6,50000,188,1802,31802,gift_bundle_newyear2_SAT8,gift_item-20001802,gift_item-30001802,0,0,0,,,0
1803,gift_item-10001803,2,6,50000,175,1803,31803,gift_bundle_newyear2_ART556,gift_item-20001803,gift_item-30001803,0,0,0,,,0
1804,gift_item-10001804,2,6,50000,192,1804,31804,gift_bundle_newyear2_JS05,gift_item-20001804,gift_item-30001804,0,0,0,,,0
1805,gift_item-10001805,2,6,50000,99,1805,31805,gift_bundle_newyear2_MK23,gift_item-20001805,gift_item-30001805,0,0,0,,,0
1806,gift_item-10001806,2,6,50000,155,1806,31806,gift_bundle_newyear2_M590,gift_item-20001806,gift_item-30001806,0,0,0,,,0
1807,gift_item-10001807,2,6,50000,174,1807,31807,gift_bundle_newyear2_81typeR,gift_item-20001807,gift_item-30001807,0,0,0,,,0
1808,gift_item-10001808,2,6,50000,81,1808,31808,gift_bundle_newyear2_LWMMG,gift_item-20001808,gift_item-30001808,0,0,0,,,0
1809,gift_item-10001809,2,6,50000,95,1809,31809,gift_bundle_newyear2_88type,gift_item-20001809,gift_item-30001809,0,0,0,,,0
1901,gift_item-10001901,2,6,50000,20,1901,31901,gift_bundle_wedding2_Vector,gift_item-20001901,gift_item-30001901,0,0,0,,,0
1902,gift_item-10001902,2,6,50000,142,1902,31902,gift_bundle_wedding2_FN57,gift_item-20001902,gift_item-30001902,0,0,0,,,0
1903,gift_item-10001903,2,6,50000,26,1903,31903,gift_bundle_wedding2_MP5,gift_item-20001903,gift_item-30001903,0,0,0,,,0
1904,gift_item-10001904,2,6,50000,64,1904,31904,gift_bundle_wedding2_G36,gift_item-20001904,gift_item-30001904,0,0,0,,,0
1905,gift_item-10001905,2,6,50000,66,1905,31905,gift_bundle_wedding2_56-1type,gift_item-20001905,gift_item-30001905,0,0,0,,,0
1906,gift_item-10001906,2,6,50000,44,1906,31906,gift_bundle_wedding2_SV98,gift_item-20001906,gift_item-30001906,0,0,0,,,0
2001,gift_item-10002001,2,6,50000,194,2001,32001,gift_bundle_mzf_k2,gift_item-20002001,gift_item-30002001,0,0,0,,,0
2002,gift_item-10002002,2,6,50000,212,2002,32002,gift_bundle_mzf_k5,gift_item-20002002,gift_item-30002002,0,0,0,,,0
2003,gift_item-10002003,2,6,50000,177,2003,32003,gift_bundle_mzf_klin,gift_item-20002003,gift_item-30002003,0,0,0,,,0
2004,gift_item-10002004,2,6,50000,133,2004,32004,gift_bundle_mzf_63type,gift_item-20002004,gift_item-30002004,0,0,0,,,0
2101,gift_item-10002101,2,6,50000,179,2101,32101,gift_bundle_znq_DSR50,gift_item-20002101,gift_item-30002101,0,0,0,,,0
2102,gift_item-10002102,2,6,50000,96,2102,32102,gift_bundle_znq_Grizzly,gift_item-20002102,gift_item-30002102,0,0,0,,,0
2103,gift_item-10002103,2,6,50000,114,2103,32103,gift_bundle_znq_Welrod,gift_item-20002103,gift_item-30002103,0,0,0,,,0
2104,gift_item-10002104,2,6,50000,196,2104,32104,gift_bundle_znq_ZastavaM21,gift_item-20002104,gift_item-30002104,0,0,0,,,0
2105,gift_item-10002105,2,6,50000,1,2105,32105,gift_bundle_znq_M1873,gift_item-20002105,gift_item-30002105,0,0,0,,,0
2106,gift_item-10002106,2,6,50000,101,2106,32106,gift_bundle_znq_UMP9,gift_item-20002106,gift_item-30002106,0,0,0,,,0
2107,gift_item-10002107,2,6,50000,103,2107,32107,gift_bundle_znq_UMP45,gift_item-20002107,gift_item-30002107,0,0,0,,,0
2108,gift_item-10002108,2,6,50000,93,2108,32108,gift_bundle_znq_IDW,gift_item-20002108,gift_item-30002108,0,0,0,,,0
2109,gift_item-10002109,2,6,50000,131,2109,32109,gift_bundle_znq_EVO3,gift_item-20002109,gift_item-30002109,0,0,0,,,0
2201,gift_item-10002201,2,6,50000,197,2201,32201,gift_bundle_childrensday18_Carcano1891,gift_item-20002201,gift_item-30002201,0,0,0,,,0
2202,gift_item-10002202,2,6,50000,198,2202,32202,gift_bundle_childrensday18_Carcano1938,gift_item-20002202,gift_item-30002202,0,0,0,,,0
2203,gift_item-10002203,2,6,50000,142,2203,32203,gift_bundle_childrensday18_FN57,gift_item-20002203,gift_item-30002203,0,0,0,,,0
2204,gift_item-10002204,2,6,50000,136,2204,32204,gift_bundle_childrensday18_PP19,gift_item-20002204,gift_item-30002204,0,0,0,,,0
2205,gift_item-10002205,2,6,50000,213,2205,32205,gift_bundle_childrensday18_CBJMS,gift_item-20002205,gift_item-30002205,0,0,0,,,0
2206,gift_item-10002206,2,6,50000,202,2206,32206,gift_bundle_childrensday18_Thunder50,gift_item-20002206,gift_item-30002206,0,0,0,,,0
